wavelength,Back_TanFasf,Belly_TanFasf,Breast_TanFasf,Crissum_TanFasf,Crown_TanFasf,DorTail_TanFasf,Patch10_TanFasf,Patch11_TanFasf,Patch12_TanFasf,Rump_TanFasf,Throat_TanFasf,WingTip_TanFasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.7143333333,38.0953333333,-19.0476666667,21.4286666667,-4.76166666667,-2.381,90.476,45.238,69.0473333333,52.381,69.0473333333,30.9523333333
179.16,-66.6666666667,-73.3333333333,60.0,-53.3333333333,-66.6666666667,-73.3333333333,13.3333333333,53.3333333333,66.6666666667,-80.0,73.3333333333,-53.3333333333
179.54,200.0,266.667,244.444666667,366.666666667,355.555333333,433.333333333,322.222333333,122.222,200.0,266.667,255.555666667,444.444333333
179.93,33.3333333333,-133.333333333,-633.333333333,-366.666666667,-600.0,-366.666666667,-233.333333333,-233.333333333,233.333333333,-866.666666667,433.333333333,-466.666666667
180.31,-25.786,-1.887,-30.8176666667,-72.956,-61.006,-123.899666667,-4.40233333333,15.7233333333,17.6103333333,-15.7233333333,55.975,-84.9056666667
180.69,-21.393,7.46266666667,-25.3733333333,-65.1743333333,-50.7463333333,-95.5223333333,-6.46766666667,12.9356666667,6.96533333333,-10.4476666667,42.7863333333,-77.612
181.07,-52.8736666667,-5.747,-38.5056666667,-83.908,-70.115,-121.839,-39.655,-5.17266666667,-25.2873333333,-39.0806666667,26.4363333333,-107.471
181.45,-62.963,-1.587,-53.968,-80.423,-66.667,-124.338666667,-52.91,-18.5183333333,-42.328,-49.2063333333,15.873,-107.407333333
181.83,-44.8716666667,9.82866666667,-28.6326666667,-52.1366666667,-43.5896666667,-80.3416666667,-22.6496666667,-10.684,-15.812,-25.214,32.4786666667,-75.6406666667
182.21,-37.755,12.2446666667,-11.905,-31.6323333333,-25.8503333333,-66.3266666667,-8.16333333333,4.76166666667,-7.823,-5.442,33.3333333333,-58.8433333333
182.59,-42.2943333333,3.58433333333,-6.093,-48.7456666667,-34.767,-72.4016666667,-8.96033333333,2.15066666667,-5.018,-19.7133333333,35.1256666667,-68.1006666667
182.97,-16.369,12.2023333333,3.869,-23.8093333333,-17.2616666667,-43.75,3.27366666667,8.333,3.57133333333,-6.54766666667,40.1786666667,-51.488
183.35,-11.9223333333,17.275,3.40633333333,-17.7613333333,-15.815,-27.2503333333,4.623,5.59633333333,3.40633333333,-4.623,32.1166666667,-43.7956666667
183.73,-17.7946666667,10.526,-1.75466666667,-24.06,-26.0653333333,-35.589,1.25333333333,-2.25566666667,0.751666666667,-11.2783333333,27.3183333333,-49.3733333333
184.11,-14.9426666667,10.115,3.908,-20.9196666667,-17.931,-31.954,6.207,-2.069,7.35633333333,-12.6436666667,23.9083333333,-40.0
184.49,-3.628,14.739,13.8323333333,-14.7393333333,-11.338,-29.2516666667,17.0066666667,2.72133333333,20.8616666667,-10.204,31.746,-37.415
184.87,-5.797,7.48833333333,11.836,-22.222,-15.459,-35.9903333333,17.6326666667,-1.44933333333,25.121,-13.527,37.1983333333,-42.2706666667
185.25,3.70366666667,8.642,20.494,-25.1853333333,-9.136,-35.8023333333,21.7283333333,2.96059473233e-16,32.0986666667,-9.38233333333,44.6913333333,-46.42
185.63,8.01966666667,1.00233333333,24.812,-31.3283333333,-11.529,-39.0976666667,27.8193333333,-3.258,35.8393333333,-5.01233333333,44.862,-53.133
186.01,6.51633333333,-2.25566666667,17.7946666667,-37.5943333333,-15.7893333333,-47.87,22.5566666667,-3.75933333333,30.075,-15.0376666667,41.1026666667,-56.8923333333
186.39,10.072,-5.516,17.9856666667,-44.3646666667,-15.3476666667,-44.6043333333,20.1436666667,-7.674,26.6186666667,-14.8683333333,35.9713333333,-52.7576666667
186.77,9.81733333333,-7.306,18.9496666667,-33.105,-15.0686666667,-44.5203333333,18.4933333333,-8.219,22.3743333333,-12.1003333333,32.8766666667,-44.5203333333
187.15,-9.375,-23.1766666667,10.677,-57.0313333333,-36.458,-64.5833333333,7.03133333333,-17.1873333333,11.4583333333,-25.2603333333,22.6563333333,-61.4583333333
187.53,-12.913,-30.3306666667,12.913,-64.8646666667,-39.6396666667,-77.177,13.5133333333,-21.6216666667,10.811,-20.4203333333,27.027,-68.7686666667
187.91,-12.893,-35.22,8.49066666667,-65.4083333333,-30.503,-78.9306666667,12.893,-24.843,3.14466666667,-20.1256666667,22.327,-73.2703333333
188.29,-7.74433333333,-35.69,14.1413333333,-65.993,-26.2623333333,-76.431,23.2323333333,-21.212,1.68333333333,-16.835,27.946,-75.7573333333
