wavelength,Back_TiaBicf,Belly_TiaBicf,Breast_TiaBicf,Crissum_TiaBicf,Crown_TiaBicf,DorTail_TiaBicf,Rump_TiaBicf,Throat_TiaBicf,WingTip_TiaBicf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,63.8888055556,82.5756666667,84.0909166667,90.9091666664,80.3030833335,87.8787083333,97.390388889,41.6665,64.0151666667
179.16,113.541666667,155.208333333,133.333333333,141.666666667,121.875,91.1458333332,136.111111111,52.0833333332,94.7916666667
179.54,42.5925277776,-36.1110833333,-16.66675,25.0001666667,-66.6665833333,-79.1667916667,-10.4938055557,-241.666666667,-124.999958333
179.93,9.8766388889,2.46908333333,6.48158333334,54.9382500002,-22.22225,-12.4999166667,47.4278981481,-95.3704166667,-42.4382083333
180.31,-10.9953888888,-14.9305,-19.09725,43.0555833332,-50.0000833332,-39.930625,27.5076759259,-136.111166667,-86.2846666667
180.69,-55.5555833332,-73.24575,-86.4034999999,1.75433333317,-125.877083333,-113.596458333,-31.140361111,-207.456166667,-156.140375
181.07,-110.185305556,-156.0185,-172.222166667,-61.11125,-195.833333334,-166.203541667,-97.1708703704,-238.425833333,-229.861208334
181.45,-47.9167777777,-86.0119166668,-103.571416667,-23.8094999999,-107.738083333,-77.3809166667,-42.2948611109,-110.416666667,-123.511833333
181.83,-17.5347222222,-50.5208333334,-71.6145833334,-3.38541666665,-73.6979166667,-38.0208333333,-16.1168981481,-61.1979166667,-87.109375
182.21,-10.6320555556,-49.9999166665,-83.6206666667,-1.72416666665,-85.9195833333,-47.9884166667,-31.0984537038,-50.28725,-98.8505416667
182.59,-185.0,-284.166666667,-415.0,-140.833333333,-365.0,-302.916666667,-249.907407407,-283.333333333,-427.916666667
182.97,-392.777777778,-636.666666666,-915.000000001,-346.666666667,-720.0,-721.666666666,-595.185185186,-575.0,-865.833333333
183.35,-335.0,-631.666666667,-904.999999999,-330.0,-731.666666667,-750.0,-621.111111112,-628.333333333,-822.5
183.73,1084.72222222,1904.16666667,2391.66666667,1162.5,2183.33333334,2054.16666667,1796.2962963,1987.5,2318.75
184.11,238.194444445,343.055583333,432.638916666,238.1945,398.611083334,383.680583334,332.793175926,379.861083333,429.513666667
184.49,169.618055555,216.666666667,298.4375,160.416666667,290.104166667,283.072916667,239.409722222,288.541666667,287.5
184.87,124.014361111,139.516166667,184.4085,105.3765,185.483916667,193.817083333,160.334555556,196.236333333,178.225666666
185.25,132.118055556,151.041666667,197.916666667,108.333333333,189.322916667,209.375,178.993055556,205.46875,180.989583333
185.63,145.27775,166.111083333,218.61125,110.833333333,204.16675,216.944375,187.19137963,222.499916667,187.916666667
186.01,171.163972222,201.1905,286.111,117.063583333,268.65075,281.150875,236.24337963,287.301583333,236.904708333
186.39,131.130138889,139.9425,218.965666667,110.632333333,223.275833333,214.942666667,189.080416667,228.735666667,208.333333333
186.77,106.249888889,105.324083333,169.9075,95.1388333335,177.314833334,179.514,153.986759259,185.648083333,178.124916667
187.15,87.3458055555,91.2037500001,162.962916667,75.2314999999,153.70375,169.675958333,136.317009259,158.796583333,161.574125
187.53,69.8966666667,79.2638333334,134.3025,62.4030833334,124.030833333,143.120166667,104.823398148,123.4495,135.755833333
187.91,68.5698888889,83.3333333332,119.59875,67.5925833333,108.02475,126.38875,95.0788055555,107.407333333,124.614208333
188.29,64.9357222222,79.2270833333,104.589333333,68.96125,92.0289166666,107.608666667,83.02475,90.2174166667,110.990375
188.67,58.6078333333,71.0905833333,83.6419166668,65.0205,79.1150833333,94.3415833333,72.3365555556,81.1727499999,98.7655000001
189.05,57.5347222222,70.5208333333,76.9791666666,66.0416666667,73.9583333334,95.46875,70.2430555555,83.3333333333,95.5729166666
189.43,51.2132777778,67.7203333333,65.8045,61.4945,66.1877499999,85.68025,60.3236388889,77.96925,86.3505833333
189.81,55.7920555556,73.4928333334,67.2871666667,61.8793333333,68.1738333334,85.5495833334,58.3727962963,75.3545,82.092125
