wavelength,Back_RamMelf,Belly_RamMelf,Breast_RamMelf,Crissum_RamMelf,Crown_RamMelf,DorTail_RamMelf,Rump_RamMelf,Throat_RamMelf,WingTip_RamMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,8.88880000006,28.8888666667,-4.44453333332,77.7777999999,-11.1111333333,-8.8888666666,68.8888666666,135.555533333,139.999866667
179.16,273.333333333,86.6666666666,93.3333333332,60.0000000001,-40.0,-180.0,6.66666666666,313.333333333,46.6666666665
179.54,-1.11119999999,5.55559999999,-6.66666739995e-05,5.00013333332,25.0,34.4445333333,-4.99993333332,-4.99993333333,8.33340000001
179.93,60.0,57.9487333333,67.6921333333,60.5127333333,74.8717333333,78.9744666666,62.5641999999,44.6153333333,54.8717333333
180.31,36.5812666667,49.3163333333,62.6496666667,46.4102666667,67.6067333332,65.6411333334,33.0769333333,12.6496,30.8546
180.69,24.2105333333,38.772,55.6138666667,35.7896666666,59.2105333333,56.1402666666,19.5613333333,-2.54399999999,19.6492
181.07,29.2424666667,39.5454666667,55.6818666667,39.9999999999,59.1665333334,54.1667333333,24.2424,4.69706666666,23.1058
181.45,32.5078,38.0316666667,51.5556666667,36.5078666667,54.1586666667,46.9206666667,22.2220666667,7.99999999999,20.6349333333
181.83,36.3035333333,40.3960666667,53.4653333334,35.9736,55.7756666667,46.4685999999,25.0824666667,7.85473333336,14.5876
182.21,32.4666666667,34.0,49.8,29.1333333333,50.0000000001,40.4,19.2,0.533333333354,5.86666666665
182.59,33.4666666667,30.6666666667,51.7333333333,27.2,50.5333333333,38.3333333333,17.0666666667,1.2,2.06666666666
182.97,31.3269333333,25.6311333333,46.9256666667,21.5532666667,42.9772666667,31.5210666667,13.9804666667,-1.35926666667,0.7768
183.35,32.8852,24.874,42.6891333333,23.0251333333,41.1765999999,30.0281333333,17.6470666667,4.03353333333,4.64973333332
183.73,28.3174,16.8888666667,39.1746666667,19.4286666667,36.0634666667,24.127,11.6824666667,-2.60320000001,-4.0636
184.11,36.5016666667,22.8382666667,41.1222,25.6766,38.8779333333,31.0231333333,18.9438666667,1.71600000001,3.2342
184.49,41.897,27.588,38.4823333333,29.5934666667,40.8672,31.5446,23.5771333333,10.4064666667,11.2194
184.87,49.1375333333,33.38,41.4918666667,36.4102,45.9207999999,37.1561333333,30.2098,21.8181333333,19.6737333333
185.25,49.6504666667,34.5922666667,40.4196,35.0582666667,44.2423333333,36.55,30.2098,22.3776666667,22.9369333333
185.63,50.5035333333,36.6905333333,43.3094666667,36.4507333333,46.4268666667,37.8416,32.5180666667,23.7888666667,26.4747333333
186.01,53.5279333333,41.314,49.5863333333,41.1678,50.1217333333,40.7786666667,36.4476666667,28.3699333333,33.674
186.39,58.5066666667,48.8533333333,53.6533333333,46.8266666667,55.7333333333,45.3866666667,40.2133333333,33.28,39.04
186.77,58.631,52.7380666667,52.6190666667,48.6904666667,57.3808,46.7856666667,42.6786,33.9286,40.7142666667
187.15,62.2666666666,58.4,55.0,53.5333333333,63.8,52.0666666667,50.1333333333,40.2666666667,43.6
187.53,61.0698666666,56.7901333333,49.3004666667,49.0536,59.9999999999,46.1728,47.7366666667,35.7202666667,33.3332666667
187.91,54.0833333332,52.3333333333,40.5,40.4166666667,51.9166666666,36.5833333333,42.3333333333,30.0,24.4166666667
188.29,39.3237333334,41.6424,28.3091333333,28.0192666667,42.0288000001,21.7392,31.5941333333,19.3238,5.99039999998
188.67,35.6322000001,44.5977333333,27.931,29.5400666667,40.9195333333,18.1609333333,34.1380666667,16.3219333333,2.41393333334
189.05,37.7333333333,57.0666666666,35.0666666666,34.5333333333,45.3333333334,19.6,50.3999999999,21.4666666667,2.66666666666
189.43,30.0740666667,52.0001333332,29.6296666667,32.4444666666,44.5924666667,12.1482666667,54.6668000001,26.0741333333,-14.0741333334
189.81,15.9348666666,41.4633999999,16.4228,27.3170666667,37.2357333333,-0.16259999998,50.244,23.7398,-36.5853333334
190.19,3.8383333332,31.5150000001,-2.82840000002,23.8384,31.7171999999,-16.9696666667,46.2625333333,16.7678000001,-65.4546
190.57,-2.39320000008,18.1196666667,-1.5384,15.5555333333,27.8632666666,-22.2222666667,32.6494666666,21.7094,-62.5642
190.95,1.44153333332,9.00886666666,-4.32433333334,12.0721333333,26.8467333333,-30.9909333333,34.2343333334,31.1711333333,-71.5316000001
191.33,-2.9412,1.7648,-7.05893333335,3.72546666671,23.1372666667,-43.1372666667,21.9607333334,23.1374,-84.5099333333
191.71,0.7018,12.9824,-2.4562,6.66666666673,28.4211333333,-36.4912,19.1227333334,21.5789333333,-62.1053333333
192.09,8.13013333326,25.3658666667,9.26826666668,15.4471333333,31.5448,-27.9675333333,22.4389333333,24.2276,-42.6016000001
192.47,6.86273333333,22.5491333333,2.1568,10.7843333334,30.1961333334,-43.3333333334,19.4117333334,20.3920666666,-51.1765999999
192.85,-10.6666000001,11.1109999999,-47.5556,-30.2222,20.8889333334,-135.555533333,4.44439999987,7.1112666666,-168.888733333
193.23,104.761933333,89.5238666669,203.809466667,189.523866667,57.1428666667,383.809466667,111.428533334,104.761866667,479.0476
193.61,39.6078666666,36.4706666667,85.0980000001,83.1372666666,27.8430666669,166.6668,50.1960666666,61.5686666667,193.725533333
