wavelength,Back_HemFrom,Belly_HemFrom,Breast_HemFrom,Crissum_HemFrom,Crown_HemFrom,DorTail_HemFrom,Patch10_HemFrom,Rump_HemFrom,Throat_HemFrom,WingTip_HemFrom
192.09,-88.4166666667,-144.541666667,-126.416666667,-148.916666667,-115.916666667,-116.047971491,-113.916666667,-123.75,-98.9166666665,-90.1041666667
192.47,-123.703666667,-185.2909,-162.327866667,-196.296333333,-153.4392,-151.561895833,-143.915266667,-160.105866667,-130.370266667,-122.883666667
192.85,-144.5614,-211.111166667,-185.0292,-226.1988,-179.999933333,-169.208245833,-158.830333333,-180.116933333,-153.216466667,-146.637291667
193.23,-144.642866667,-214.2261,-191.071333333,-229.1668,-180.357133333,-164.729301316,-155.357133333,-179.761933333,-161.3096,-149.553583333
193.61,-116.458066667,-178.645433333,-156.562266667,-193.124666667,-146.458066667,-137.89210307,-127.083133333,-149.687333333,-135.937266667,-121.223666667
193.99,-79.8502666667,-118.352033333,-101.7978,-131.011333333,-98.9511333334,-88.6141342106,-80.8988000001,-100.524266667,-91.5355333334,-81.6948333333
194.37,-73.6879333334,-109.893733333,-95.2480666667,-125.8866,-91.4184,-83.5818315789,-72.1985333333,-97.3049999999,-85.9573333333,-82.0035416667
194.75,-63.9506,-96.9754333333,-82.5309333332,-108.580333333,-79.6296000001,-76.2997469299,-64.4445333333,-90.5557333332,-77.7777333333,-76.5817916667
195.13,-52.9824666666,-86.5203666667,-71.9298000001,-90.7017333333,-69.0643333333,-66.4234800439,-52.7486,-77.8362666667,-67.1928666667,-64.9488333333
195.51,-41.8487333333,-76.2464666667,-59.8318,-79.6079333333,-58.3753333333,-56.6164361843,-44.9860000001,-65.3221333334,-59.2716666666,-53.2912083333
195.89,-39.3988666666,-73.9890666667,-62.7868,-79.5627333333,-57.7595333333,-55.7585986841,-46.3933999999,-66.1202666666,-60.4372,-54.6448333333
196.27,-31.7708,-67.2916,-54.6875333333,-72.8125333334,-51.1458,-48.8381640351,-39.9480666667,-59.3751333333,-55.3126,-47.9494166667
196.65,-34.9373333334,-70.9774333333,-57.7945333333,-75.2380666667,-53.5337333333,-51.541839693,-45.6140000001,-62.9071333334,-58.6967999999,-51.50375
197.03,-39.5929333334,-72.4936,-60.3562666666,-79.8472666666,-56.3867333334,-56.0500701754,-50.7377999999,-66.7176000001,-64.3766,-52.7990416667
197.40,-40.3380666666,-71.0627666667,-59.3238000001,-79.0337333334,-55.3623999999,-55.2723423245,-51.5458666666,-67.3430666666,-63.5265999999,-51.539625
197.78,-50.5426,-84.7027666667,-72.0414,-90.7494,-66.8218,-65.5909333332,-63.2558666666,-80.5167333334,-75.0387333333,-62.1124583333
198.16,-77.0792666667,-124.095166667,-108.380933333,-126.984,-98.1587333334,-98.8513600878,-93.0159333333,-119.428533333,-104.952266667,-90.7142916667
198.54,-95.3403999999,-153.225866667,-135.268733333,-151.0394,-123.584266667,-120.571620395,-117.5628,-148.1004,-124.8028,-108.333333333
198.92,-116.546133333,-178.754966667,-163.3736,-180.8836,-150.040066667,-141.410529605,-139.116466667,-170.522133333,-146.264933333,-128.413666667
199.30,-132.236333333,-196.0759,-182.616066667,-202.1098,-166.076,-159.030802193,-158.481066667,-188.354533333,-164.303866667,-145.622333333
199.68,-165.915466667,-235.023533333,-227.23,-241.971666667,-205.2582,-195.609398903,-194.1782,-235.1174,-196.150266666,-184.683166667
200.06,-218.620666667,-299.195333333,-286.781466667,-303.793066667,-263.908066667,-251.685232237,-248.046,-300.229866667,-247.8162,-238.21825
200.44,-222.000066667,-302.944433333,-290.666666666,-302.333266667,-270.444466667,-251.511260307,-249.0,-306.777666667,-241.5556,-242.5
200.82,-230.9604,-313.2205,-299.547933333,-312.768466667,-283.1638,-257.945708553,-259.209,-316.610133333,-251.0736,-254.025458334
201.19,-315.606133333,-438.257433333,-402.424266667,-419.848466667,-380.7576,-353.111565789,-351.060733333,-430.454533333,-339.393933333,-353.219791667
201.57,-769.1228,-1042.6316,-936.140266667,-983.157933333,-905.613933334,-853.865513376,-840.0,-1020.35086667,-801.754400001,-853.728
201.95,-746.999999999,-991.166666667,-891.333333332,-949.333333334,-879.666666667,-838.6875,-799.666666667,-999.666666667,-779.0,-854.791666667
202.33,-1022.6666,-1299.5556,-1175.111,-1293.7778,-1182.6666,-1111.68279189,-1088.88886667,-1322.2222,-1067.55566667,-1182.22216667
202.71,-547.142800001,-662.023766667,-595.952333333,-681.4286,-606.904666666,-575.23413465,-561.904733333,-682.142800001,-563.809666666,-631.696333333
203.09,-554.615333334,-675.641066667,-604.102600001,-695.384666667,-616.153666667,-584.006408992,-580.256400001,-705.641133333,-579.4872,-644.391083333
203.47,-1052.44446667,-1242.4444,-1136.8888,-1291.55546667,-1163.5556,-1114.69298246,-1100.889,-1327.11113333,-1087.5556,-1226.66658333
203.85,-1207.1428,-1400.23826667,-1294.2856,-1467.14286666,-1319.04766667,-1284.63350307,-1247.14293333,-1470.47606667,-1252.38113333,-1398.8095
204.22,-2176.66666667,-2528.33333333,-2328.33333333,-2614.16666667,-2366.66666667,-2275.7127193,-2244.16666667,-2610.0,-2256.66666667,-2509.375
204.60,-4268.33333333,-4944.16666667,-4566.66666667,-5103.33333333,-4575.0,-4555.04385965,-4468.33333333,-5150.0,-4480.0,-4915.625
204.98,1300.00006667,1518.46156667,1408.71786667,1569.7436,1395.38466667,1411.80830351,1369.23086667,1575.89753333,1388.718,1495.51279167
205.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.74,-1025.0,-1176.25,-1128.33333333,-1262.08333333,-1097.5,-1102.53700658,-1084.16666667,-1253.75,-1085.0,-1154.94791667
206.12,-941.176466666,-1071.5686,-1034.1176,-1153.72546667,-989.411733333,-1022.50641272,-1006.27453333,-1127.451,-983.137266666,-1027.20595833
206.50,-711.818333334,-828.6364,-801.515200001,-878.484866666,-751.818133333,-791.938896711,-785.7576,-857.878733334,-751.2122,-776.325916667
206.87,-1347.22226667,-1579.16676667,-1583.33346667,-1680.0002,-1462.2222,-1533.99847807,-1511.66666667,-1653.88886667,-1436.11113333,-1493.0555
207.25,-1512.7272,-1773.93943333,-1808.485,-1893.3334,-1664.84833333,-1750.10762127,-1706.6666,-1884.8484,-1611.51513333,-1687.50020833
207.63,-16000.0,-18960.0,-19546.6666667,-20433.3333333,-17926.6666667,-18640.2412281,-18306.6666667,-20193.3333333,-17160.0,-17720.8333333
208.01,1698.5186,2022.96306667,2150.37033334,2173.33326667,1905.185,1984.29336382,1963.7036,2179.2592,1845.92586667,1871.75925
208.39,1532.66666667,1808.66666667,1928.66666667,1965.33333333,1683.33333333,1797.67324562,1736.66666667,1973.33333333,1665.33333333,1704.58333333
208.77,371.5942,432.681133333,455.5072,467.681,402.7536,422.13627829,410.869533334,460.2898,396.956466667,411.322416667
209.14,446.666666667,511.25,541.5,550.833333333,474.333333333,492.461074561,486.666666667,551.333333333,462.333333333,494.375
209.52,391.884133333,446.014433333,486.087,480.2898,421.5942,440.301751096,433.043466667,483.7682,406.521666667,441.213625
209.90,310.5554,345.8333,380.111066667,368.222266667,328.444533333,346.704623465,338.000133333,375.777866666,318.444466667,352.291708333
210.28,273.429933333,303.139966667,336.135266667,319.033733333,284.058066667,300.213092982,292.463866667,327.149666667,277.8744,314.794666667
210.66,255.159866667,284.063833333,315.0684,294.063866667,264.109533333,278.947385527,267.58,308.401866667,256.621,296.51825
211.03,237.662266667,263.5933,288.9178,267.618933333,238.528133333,256.494984649,245.5412,282.770533333,235.064866667,273.16
211.41,210.6666,229.740966667,249.629666667,229.333333333,203.1852,223.310134649,213.4816,242.444466667,205.111066667,240.879458333
211.79,227.539733333,247.618966667,262.2222,239.127066667,216.8254,236.791116009,226.508,257.857133333,219.6826,260.763916666
212.17,257.6256,284.292266667,286.118733333,270.593666667,242.922333333,267.703703289,256.346933333,293.790066667,245.388266667,296.632416667
212.55,232.1568,251.8039,250.666733333,240.000066667,216.549066667,239.33480329,226.666666667,260.078466667,218.5882,257.499916667
212.92,275.2778,289.5834,293.518533333,279.999933334,254.999933333,279.145378728,264.351733333,307.7778,258.1482,301.099458333
213.30,287.8788,302.727266667,306.666533333,297.1718,270.808,300.609788377,278.181866667,326.666733333,274.8484,320.075666667
213.68,320.677866667,339.265466667,337.514333333,333.107333333,307.570533333,343.022644737,310.282466667,363.615866667,314.237266667,357.132916667
214.06,352.692266667,377.6924,370.0,366.025533333,338.974466667,377.049166447,339.743733333,403.589733333,347.692333333,391.426333333
214.44,308.4656,330.2646,317.142866667,316.825466667,296.613933333,324.701967763,297.989466667,347.1958,303.703666667,333.796333333
214.81,267.0042,282.193866667,275.949466667,272.7426,259.4092,280.921717324,261.181466667,291.645666666,262.194066667,286.867208333
215.19,244.868933334,258.913866667,251.610533333,256.104866667,243.295933333,257.948263816,241.423266667,263.520466667,243.445733333,265.168625
215.57,239.058066667,251.413066667,244.202933333,253.912933333,242.753533333,254.912646272,235.144866667,257.318733333,239.6376,259.782625
215.95,252.284733333,262.434333333,258.1274,272.135066667,253.258266667,269.971331579,247.041133333,269.513133333,252.883866667,269.7565
216.32,248.122466667,258.2375,259.463533333,269.961666667,253.9462,267.93537171,245.364,264.521066666,249.961733333,268.726125
