wavelength,Back_SpoIntf,Belly_SpoIntf,Breast_SpoIntf,Crissum_SpoIntf,Crown_SpoIntf,DorTail_SpoIntf,Rump_SpoIntf,Throat_SpoIntf,WingTip_SpoIntf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.0476666666,57.1429999999,70.2380833334,2.38108333325,64.2857499999,22.619,25.0001666668,47.6190000002,38.0951666667
179.16,26.3888333334,26.3889166667,18.7500833333,1.38891666667,15.9721666667,46.5276666666,34.02775,20.8333333333,13.88875
179.54,51.5151666667,66.6666666667,21.96975,37.87875,56.8181666667,39.394,48.48475,39.394,6.81816666668
179.93,-11.3636666667,-12.1211666667,-7.57574999997,-37.1211666667,-37.8787499999,-12.87875,-11.3635,-40.9089166667,-15.909
180.31,46.6374999999,50.4385833332,76.3158333334,58.7720000001,43.4210833333,79.5321666666,53.2163333333,38.5965000001,61.111
180.69,38.889,48.5450833333,77.6455000001,53.8359166666,37.8308333333,70.5027499999,48.5449166667,30.9524166667,54.89425
181.07,47.0643333333,53.0304166668,78.4091666666,56.1554166667,43.2765833333,71.1175,53.1250833333,42.5189166667,55.3030833334
181.45,53.0405833333,60.9233333333,99.8873333333,71.3963333334,51.1261666667,81.0810833332,58.8964166667,53.1532500001,61.9369166667
181.83,55.86075,59.0659999999,89.8350833332,66.9414166666,53.2051666667,74.3591666667,55.1281666667,51.3736666667,55.4945833334
182.21,67.6469166666,71.6666666668,109.11775,82.4510833334,69.31375,86.0785833334,69.0196666666,64.70575,69.50975
182.59,72.3959999999,77.8645833334,127.864333333,98.5676666667,80.9894166667,97.7865000002,77.4739166666,74.8699999999,73.9584166667
182.97,78.4723333333,86.1110833333,150.173583333,112.847083333,85.5905000002,111.8055,83.8540833334,83.6805833334,73.2638333333
183.35,51.5871666667,55.5556666667,105.555666667,73.6773333334,53.5713333333,73.8095833333,55.0265,56.217,43.254
183.73,52.1144166667,57.8357500001,102.114333333,75.1244166666,50.2488333333,72.6369166666,53.2338333333,55.597,48.25875
184.11,41.91925,53.7878333333,97.0959166667,74.3686666668,43.0555,63.6365,41.0354166667,50.8839166667,37.1211666667
184.49,55.8080833332,63.6364166667,107.196916667,87.6261666667,51.894,71.2121666667,47.2220833334,65.5305000001,44.9493333333
184.87,69.9275,71.3768333333,107.367083333,99.9998333332,67.6328333333,83.2126666667,54.9518333333,80.5555833335,57.3671666667
185.25,69.7916666666,65.8564166668,99.1899166667,93.7499999999,65.04625,79.7455,47.1065833334,73.8424999999,58.2175833333
185.63,64.2105833333,63.7720000001,79.0349999999,81.5789166668,59.73675,69.5613333333,45.9649166667,60.7019166667,57.1053333333
186.01,65.87725,69.2104999999,82.193,88.9472500002,63.8596666668,71.4034166667,49.2981666666,63.4210833333,60.1753333333
186.39,75.9158333332,79.1210833334,90.3846666668,102.197833333,72.25275,79.5786666667,57.14275,73.4431666667,65.7508333334
186.77,75.7169166667,87.1864166667,91.4875833334,98.9248333333,72.4910833333,80.8243333333,55.5555833334,74.7311666666,67.8315
187.15,76.1550833334,85.3959166666,89.1089166667,93.4818333334,72.855,76.1551666667,57.5908333333,76.4025833333,71.2871666667
187.53,92.5813333333,102.134166667,107.621833333,117.073166667,85.061,94.2074166667,73.5772500001,91.2600833333,84.7559166666
