wavelength,Back_IriJelm,Belly_IriJelm,Breast_IriJelm,Crissum_IriJelm,Crown_IriJelm,DorTail_IriJelm,Rump_IriJelm,Throat_IriJelm,WingTip_IriJelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,57.1429333333,-12.3809333333,2.85706666666,25.7144,18.0952666666,65.7143999999,9.5239,-2.85719999998,19.9999333333
179.16,153.333333334,-99.9999999999,-393.333333333,66.6666666666,-166.666666667,240.0,23.3333333334,133.333333333,113.333333333
179.54,42.9630666667,14.0741333333,16.2962666667,62.2221333334,6.66666666665,59.9998666667,40.0000333333,26.6667333333,34.0740666667
179.93,10.0000000001,130.0,73.3333333333,40.0000000001,123.333333333,-59.9999999999,70.0,-30.0000000001,6.66666666668
180.31,68.0392000001,-0.588199999986,-12.1569333333,54.5097333332,2.15693333334,63.9215333335,5.58820000014,30.9804,23.9214666667
180.69,64.3677333333,-31.4943333333,-44.8275333333,39.5402666665,-25.5173333333,47.8159999999,-14.7125666668,8.96546666665,-11.4942
181.07,54.6236,-32.258,-46.0216,44.7312000001,-27.0967333333,33.5485333333,-14.516,8.3870666666,-19.3548666667
181.45,36.7675333334,-43.6363999999,-52.5251999999,29.6970000001,-38.1818000001,6.46459999998,-28.3838666667,-15.5555333333,-45.0504666667
181.83,31.1111333333,-61.7778,-73.1111333334,12.4444666667,-51.5554666666,-10.2222,-50.6666666666,-25.7776666667,-70.2224
182.21,31.4728666666,-36.1239999999,-49.9223999999,14.7285333334,-25.7363999999,-5.89146666666,-24.2636,-14.1085333333,-48.9922666667
182.59,35.7575333333,-35.4546,-41.0606666667,22.2727333334,-19.2424,-4.24246666667,-17.1212666667,-9.24240000001,-40.3029333335
182.97,19.5834666667,-48.7500666665,-64.3056,-1.38893333326,-29.4444666667,-24.1665333333,-29.9999,-25.9722,-48.4721333333
183.35,17.7778666667,-60.5556000001,-73.6111333334,-5.8333333332,-38.1943999999,-33.75,-36.8751,-44.7222666667,-59.3055333333
183.73,17.6296000001,-68.2962,-85.7777333333,-16.2963333333,-47.8518666667,-41.1850666667,-41.4074333333,-57.7778,-79.4073333333
184.11,-15.9999333334,-147.777866667,-180.6666,-61.7778666667,-104.666666667,-107.777866667,-94.1111333334,-126.888933333,-162.2222
184.49,-30.6666666665,-225.0,-285.666666667,-105.0,-163.333333333,-164.333333333,-138.5,-186.666666667,-254.0
184.87,7.74199999992,-112.257866667,-155.913933333,-39.7849999999,-65.3762666666,-71.1826666667,-55.1612999999,-83.0108666667,-127.956866667
