wavelength,Back_TanIctm,Belly_TanIctm,Breast_TanIctm,Crissum_TanIctm,Crown_TanIctm,DorTail_TanIctm,Patch10_TanIctm,Patch11_TanIctm,Rump_TanIctm,Throat_TanIctm,WingTip_TanIctm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,92.1212666666,57.5758,77.5757999999,72.7271999999,93.9394000001,64.8486,86.6666666667,76.9698,66.6666,106.060666667,100.0
179.16,85.7778000001,77.3334000001,79.5556000001,81.7778666667,96.4443999999,70.6666666667,76.8888000001,82.2222666667,71.7777333333,104.4446,97.7778000001
179.54,137.5,89.1666666667,86.6666666667,145.0,150.833333333,124.166666667,115.833333333,130.833333333,93.3333333333,179.166666667,143.333333333
179.93,84.6666666667,43.3333333333,48.6666666667,76.6666666667,101.333333333,106.666666667,100.666666667,89.3333333333,79.6666666667,102.666666667,77.3333333331
180.31,133.708866667,99.5305333333,103.004733334,125.821533333,158.4976,119.718333333,120.751133333,127.230133333,101.5962,140.093866667,132.1126
180.69,125.083333333,92.0833333333,96.6666666665,119.166666667,152.416666667,112.333333333,112.333333333,121.083333333,91.8750000001,129.5,123.916666667
181.07,135.3846,105.641,111.7948,134.957266667,171.709466667,128.6324,122.820533333,139.658133333,104.700833333,140.6838,138.461666667
181.45,152.4102,117.025733333,121.538466667,153.025666667,201.128266667,153.538466667,133.641066667,165.128133333,121.692266667,157.4358,159.897466667
181.83,132.694066667,104.474933333,108.493266667,134.429333333,178.904133333,131.415533333,116.438266667,146.849266667,112.785466667,134.612,137.899466667
182.21,124.4726,100.4218,102.869266667,129.367066667,168.523266667,118.903066667,109.5358,136.877733333,108.691866667,124.725733333,129.451466667
182.59,133.333333334,106.929866667,115.2632,143.157733333,180.087733333,126.929933333,120.087733333,147.894666667,119.473533333,134.2982,138.8596
182.97,145.970266666,119.005,125.074733333,160.995133333,199.3034,139.3034,132.636933333,165.671666667,132.0398,144.2786,154.925466667
183.35,121.690066667,102.1596,108.638466667,144.507,176.807466667,115.962333333,114.7418,148.356866667,115.211366667,127.605666667,135.962333333
183.73,110.813,100.8944,106.910533333,137.642266667,162.195266666,110.569066667,110.975666667,138.455333333,112.886266667,117.1544,134.634066666
184.11,102.1782,94.1914666666,98.3500666668,124.356533333,143.234266667,103.102266667,103.4984,126.600733333,105.214466667,107.6568,121.056066667
184.49,102.118266667,95.5140666666,96.0748666667,122.990666667,141.869266667,109.5952,103.925133333,125.669733333,105.1713,110.467133333,119.6262
184.87,113.135266667,107.392733333,107.7888,136.2376,153.729466667,122.904333333,119.604,137.4256,123.399433333,125.808666667,131.947266667
185.25,112.079266667,106.072533333,104.224533333,132.079266667,149.900933333,121.254133333,119.141866667,132.013333333,124.323366667,123.102266667,128.052933333
185.63,113.5826,108.660466667,108.722666667,132.8972,150.467333333,120.436,125.420533333,130.965733333,127.4455,123.177533333,126.8536
186.01,125.589333333,121.481466667,122.963,148.350266667,167.9462,133.939266667,142.222133333,147.3402,142.861966667,134.612666666,142.761
186.39,142.9364,141.8254,142.381,168.095133333,191.825466667,156.27,159.6032,173.0158,161.547566667,152.777666667,167.619066666
186.77,132.070266667,130.807066667,128.4912,151.3684,172.3508,146.035133333,139.649133333,155.3684,145.964966667,139.087666667,151.929866667
187.15,127.285133333,123.161466666,123.299,142.817866667,162.061933333,141.9244,130.103133333,146.529333333,141.855666667,135.189066667,142.130666667
187.53,135.072466667,124.637666667,129.057866667,148.115866667,169.6376,150.5074,137.753733333,154.1304,149.130333333,139.130333333,148.550666667
187.91,158.779333333,138.215933334,150.4226,176.150333333,201.408466667,181.971733333,162.065733333,182.535133334,177.323866667,166.291066667,172.488266667
188.29,187.179466667,155.512733333,182.435866666,208.205066667,249.102666667,226.538533333,192.179533333,218.846266667,213.525633333,201.5384,212.307733333
188.67,173.3332,151.724133333,180.229933333,194.8276,229.8852,202.8738,171.149466667,204.2528,198.793033333,183.792933333,194.827666667
189.05,156.568533334,142.647,167.549066667,177.451,204.901933333,186.2744,149.117666666,185.9804,177.5,164.705866667,180.9804
189.43,142.1212,128.282866667,152.2222,166.1616,190.6062,171.515133333,130.707066667,170.909066667,162.424166667,147.979733333,164.5454
189.81,133.230666667,123.179533333,146.564,161.743533333,178.974333333,166.871933333,121.948866667,163.897466667,151.333366667,136.717866667,151.794933333
190.19,167.361066667,158.333333333,185.5556,207.361,223.749933333,220.694333333,143.3334,200.138866666,185.833266667,167.777866667,183.333466667
190.57,152.631533333,150.643333333,171.812866667,192.865466667,207.836333334,198.947266667,139.298266667,177.076,174.035133333,152.397666667,163.391933333
190.95,173.055533333,180.2778,204.027733333,230.000133333,248.6112,230.277733333,166.666533333,212.222333333,213.750066667,179.583266667,185.833266667
191.33,179.1666,192.500066667,215.555533333,240.694266667,265.000066667,236.805533333,184.861066667,228.3334,222.7083,182.9166,191.111066667
191.71,169.7436,195.256333333,209.743466667,229.4872,254.487133333,226.666733333,179.358933333,218.2052,215.384566667,168.461466667,178.5898
192.09,162.2618,199.761866667,199.642866667,220.714266667,244.0476,214.1666,173.214266667,209.880933333,209.1667,159.285666667,159.4048
192.47,162.515666667,209.5598,203.018733333,226.792466667,249.433866666,214.339533333,180.8804,211.446533333,217.0439,154.8428,148.427733333
192.85,181.363666667,239.242533333,221.666666667,256.8182,279.393866667,243.6362,203.030266667,231.2122,244.621266667,166.8182,162.878866667
193.23,192.0,251.166666667,226.166666667,273.0,296.333333333,251.666666667,212.666666667,232.666666667,259.083333333,167.166666667,153.833333333
193.61,250.101,327.4748,296.1616,348.0808,377.1716,320.606,282.8282,295.9594,332.222266667,220.404066667,185.656666667
193.99,374.666666667,504.666666667,451.0,524.0,572.0,487.0,415.333333333,436.333333333,504.666666667,329.0,260.333333333
194.37,223.655933333,316.774266666,285.5914,318.709466667,353.5484,305.161266667,260.8602,272.4732,321.9353,204.946266667,154.408533333
194.75,273.6364,406.969733333,365.757466667,408.7878,429.393866667,392.121333333,311.5152,332.1212,417.1212,264.848333333,171.212133333
195.13,235.466666666,345.866666667,309.066666667,341.333333333,361.333333333,352.0,277.866666667,275.2,356.666666667,218.4,145.066666667
195.51,297.0,429.666666667,381.0,417.666666667,425.333333333,451.0,343.333333333,314.333333334,450.166666667,265.333333333,172.0
