wavelength,Back_DigCyaf,Belly_DigCyaf,Breast_DigCyaf,Crissum_DigCyaf,Crown_DigCyaf,DorTail_DigCyaf,Patch10_DigCyaf,Rump_DigCyaf,Throat_DigCyaf,WingTip_DigCyaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,64.0000000001,124.0,98.6666666667,102.666666667,125.333333333,85.8666666665,110.666666667,102.666666667,154.666666667,92.0
179.16,75.7143333333,88.5715333333,80.4761333334,78.0952,99.0477333334,84.4285300001,68.0952666667,88.5713333333,89.9999333333,80.0
179.54,260.0,773.333333333,466.666666667,466.666666667,766.666666667,529.333333334,246.666666667,360.0,433.333333333,466.666666667
179.93,275.0,315.0,270.0,265.0,315.0,244.166666667,260.0,298.333333333,280.0,316.666666667
180.31,148.7878,214.697,133.787933333,134.242466667,177.878866667,149.34847,149.696866667,165.303,182.121266667,165.303133333
180.69,143.733333333,206.533333333,133.6,129.866666667,170.8,141.046666667,145.6,161.866666667,170.933333333,158.666666667
181.07,149.6856,207.421333333,138.1132,130.0628,169.3082,146.861656666,145.786266667,165.7862,167.798866667,161.006266667
181.45,176.212066667,245.909066667,158.636266667,145.7576,192.272666667,171.522726667,173.1818,193.636333333,188.9394,182.727266667
181.83,143.777733333,185.444466667,129.5556,116.222133333,144.666533333,136.350096667,140.2222,158.444533333,146.6668,142.2222
182.21,135.353466667,168.4848,126.060666667,109.495,134.343466667,134.75242,131.818266667,148.282933333,132.727333333,127.2726
182.59,129.880866667,168.095333333,127.0238,101.904733333,130.119133333,130.738066667,126.428533334,153.452466667,126.7858,118.928733333
182.97,108.782933333,139.365133333,114.708933333,90.8994666667,113.756733333,114.301563333,106.031733333,132.169333333,106.137466667,100.529133333
183.35,99.7261333335,116.803666667,100.456466667,83.5617333332,103.196333333,104.483943333,88.1278666667,118.63,91.7808666667,87.7625999999
183.73,94.8918666668,110.303,96.7098666667,80.0865999999,98.4414666667,97.3074066667,78.4416000001,113.333333333,85.1082666668,82.9437333335
