wavelength,Back_SpoLeum,Belly_SpoLeum,Breast_SpoLeum,Crissum_SpoLeum,Crown_SpoLeum,DorTail_SpoLeum,Patch10_SpoLeum,Rump_SpoLeum,Throat_SpoLeum,WingTip_SpoLeum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,101.481333333,128.148111111,132.592666667,124.444222222,149.629666667,131.111333333,106.666555555,115.555666667,121.481222222,136.296333333
179.16,40.5555555556,65.0,69.4444444445,77.2222222222,58.8888888889,51.1111111111,46.6666666667,42.2222222222,45.5555555556,53.8888888889
179.54,-62.2222222222,-76.6666666668,-122.222222222,-131.111111111,-102.222222222,-115.555555556,-88.888888889,-40.0,-72.2222222222,-90.0
179.93,83.7037777779,125.185222222,155.555555556,138.518555555,138.518555556,150.370555555,128.148222222,125.925888889,119.999888889,148.148111111
180.31,116.354555556,137.203555555,170.287111111,164.045,171.660555556,163.170888889,146.566888889,116.354555556,130.337,142.072444444
180.69,140.416666667,168.472222222,202.5,191.25,205.0,189.583333333,171.805555556,137.5,155.972222222,170.138888889
181.07,146.814888889,172.296222222,206.666666667,202.370444445,208.740666667,197.185111111,190.518666666,141.333444445,160.888888889,170.222333333
181.45,175.520777778,204.861333333,245.833444444,235.243111111,247.396,239.062444444,227.083222222,171.875111111,200.347444445,206.597444444
181.83,144.883111111,170.760222222,204.678333333,192.982666666,208.333333333,199.122888889,193.713222222,147.076,170.906444444,175.584666667
182.21,174.193555556,198.745666667,242.473111111,221.684777778,240.501777778,232.257888889,232.616555556,165.233,196.236666667,197.670444444
182.59,197.996333334,229.326,264.662888889,247.541222222,264.663,252.094666667,251.548333333,181.056444445,222.586666667,223.497444445
182.97,210.919555556,253.831444444,282.758555556,266.092,278.927222222,280.268222222,272.413666667,192.528777778,235.057666667,247.318
183.35,263.492222222,314.285666667,344.898,332.426333333,342.630444444,345.351444444,343.764,235.147444444,299.773222222,307.709666667
183.73,238.888888889,288.888777778,315.277888889,305.357222222,308.333333333,304.563444445,309.325444445,215.476222222,273.809555556,281.547555555
184.11,225.573333333,272.839555556,290.652666667,277.777888889,283.774222222,273.192222222,285.714222222,205.467333334,252.204666667,264.374
184.49,216.402222222,264.550333333,285.185222222,271.075888889,281.481444444,265.432,271.428666667,203.174555556,245.15,263.315666667
184.87,181.286777778,214.327555556,233.771888889,219.883,228.947333333,228.070111111,228.362555555,167.69,198.684111111,212.573111111
185.25,233.333333333,268.965444444,295.785444445,271.839,296.551555556,283.333444444,272.222222222,214.367777778,255.555555556,277.394555556
185.63,267.848777778,308.274111111,345.153555556,310.401888889,354.373444444,328.132444444,323.167888889,247.990666666,287.470333333,317.494
186.01,349.074111111,404.012222222,435.494,400.617333333,457.716111111,414.506222222,420.679111111,307.098555556,360.185333333,391.975444444
186.39,287.654444444,334.074,340.740777778,325.679222222,382.469111111,332.098777778,349.135888889,251.851777778,304.691444445,320.246888889
186.77,517.874444444,587.439666666,615.459,585.507222222,712.077222222,626.570111111,650.241555555,463.768111111,548.792222222,578.744111111
187.15,580.423222222,642.327888889,686.772555556,652.381,813.227777778,699.470777778,735.449888889,535.978777778,628.042444444,625.926
187.53,6.66726081199e+15,7.98223229409e+15,8.23811863656e+15,7.44202779334e+15,9.94402758633e+15,8.22390272865e+15,8.84940267689e+15,6.33318697599e+15,7.49889142499e+15,7.33540848397e+15
187.91,833.333333332,988.034333334,1054.70111111,947.863111112,1216.23933333,1063.248,1159.82911111,818.803444444,940.170888888,888.034222222
188.29,1309.72222222,1512.5,1669.44444444,1512.5,1930.55555556,1705.55555556,1888.88888889,1252.77777778,1488.88888889,1379.16666667
188.67,1105.55555555,1234.44444444,1307.77777778,1181.11111111,1505.55555556,1394.44444444,1545.55555556,1008.88888889,1218.88888889,1054.44444445
189.05,780.00011111,861.481555557,924.444333333,885.185111111,1057.03711111,932.592444444,1074.81488889,710.370444444,874.074333333,753.333444445
189.43,1007.07066667,1187.879,1246.46466667,1191.91922222,1407.07055556,1335.35344444,1519.19177778,935.353444446,1174.74744445,976.767777779
189.81,1534.72222222,1734.72222222,1831.94444445,1841.66666667,2050.0,1963.88888889,2255.55555556,1394.44444445,1754.16666667,1475.0
190.19,-1398.61111111,-1550.0,-1776.38888889,-1704.16666667,-1933.33333333,-1861.11111111,-2102.77777778,-1320.83333333,-1665.27777778,-1380.55555555
190.57,-428.502444445,-477.777666667,-590.338111111,-554.106222222,-628.019333334,-591.304333334,-662.801888889,-429.951666667,-530.434888889,-438.164222222
190.95,-414.492666667,-469.082222222,-577.777888889,-529.951777778,-601.449333333,-547.826222222,-655.555666666,-404.830888889,-505.797,-413.526555556
191.33,-1048.14822222,-1187.65422222,-1491.358,-1308.64188889,-1480.247,-1330.86422222,-1685.18511111,-1051.85177778,-1303.70355555,-1061.72844444
191.71,-1262.5,-1341.66666667,-1681.94444445,-1502.77777778,-1737.5,-1519.44444444,-1908.33333333,-1209.72222222,-1502.77777778,-1241.66666667
192.09,-322.222222222,-340.740888889,-426.748888889,-376.543222222,-456.378555555,-391.769444445,-485.185111111,-309.465111111,-399.176888889,-325.925888889
192.47,-164.814777778,-173.148111111,-215.972222222,-189.351888889,-234.259333333,-191.666555556,-249.074,-166.666666667,-206.481444445,-174.536888889
192.85,-232.432444444,-255.856,-303.002888889,-266.967,-338.138,-267.567555556,-355.255222222,-253.453333334,-292.192111111,-260.960888889
193.23,-171.867555556,-195.271888889,-226.477444444,-189.834444445,-260.992888889,-200.236333333,-272.813111111,-195.744555556,-229.078111111,-204.018777778
193.61,-185.858666667,-211.363666667,-256.818333333,-197.474666667,-271.464444444,-191.666777778,-285.101,-203.282888889,-249.747333333,-220.202111111
193.99,-166.666666667,-199.305555556,-232.175888889,-168.518444444,-234.490666667,-173.611222222,-248.148111111,-181.25,-228.472222222,-198.842555555
194.37,-259.259222222,-302.469222222,-328.395222222,-250.617333333,-336.419666667,-250.308555556,-366.975444444,-265.740666667,-336.111222222,-298.456777778
194.75,-251.951777778,-299.399333333,-320.720777778,-244.444333333,-326.126222222,-243.843888889,-359.459555556,-260.961,-325.225333333,-289.789888889
195.13,-305.376222222,-360.215,-383.512333333,-286.738333333,-388.171888889,-300.358444445,-420.788555556,-317.204333333,-392.473,-342.652333333
195.51,-234.444444444,-284.166666667,-284.444444444,-225.0,-303.888888889,-235.277777778,-325.833333333,-251.944444445,-305.833333333,-260.555555555
195.89,-254.321,-311.419777778,-313.580333333,-255.246888889,-331.173,-265.432111111,-366.049333333,-291.049333333,-344.135777778,-297.530666667
196.27,-222.222333333,-270.635,-268.253888889,-221.693333333,-289.947333333,-219.312333333,-316.931111111,-243.650777778,-297.089777778,-253.174555556
196.65,-254.603333333,-312.063444444,-315.555555555,-248.888888889,-340.635,-257.460333333,-370.476333333,-272.698555555,-355.873,-274.603111111
197.03,-171.990777778,-217.824111111,-222.685111111,-176.157555555,-243.518555555,-186.574111111,-259.490666667,-190.046444445,-256.712888889,-192.823888889
197.40,-197.584666667,-249.033888889,-263.285,-212.801888889,-281.159555555,-226.811666667,-304.347888889,-228.744,-295.652222222,-217.874444444
197.78,-160.039111111,-189.668666667,-206.237888889,-171.539888889,-225.730888889,-182.651111111,-246.393777778,-184.990111111,-233.528333333,-179.532222222
198.16,-196.598666667,-230.612333333,-246.712,-203.628333334,-272.562333333,-213.832333333,-297.732333333,-230.158777778,-276.870777778,-219.727777778
198.54,-315.686222222,-363.071888889,-376.470555556,-319.934777778,-423.202666667,-351.634111111,-455.228666667,-380.718888889,-429.411888889,-337.908444444
198.92,-363.299888889,-396.632777778,-398.316666667,-351.851888889,-460.942666666,-395.286222222,-494.612777778,-408.080777778,-472.054,-377.441111111
199.30,-368.75,-406.597222222,-403.125,-367.013888889,-481.944444445,-409.375,-514.583333333,-429.861111111,-494.444444445,-403.472222222
199.68,-256.818222222,-270.959666667,-287.121222222,-256.060555555,-338.131333333,-274.494777778,-350.252444444,-292.929444444,-337.373777778,-278.282777778
200.06,-214.53,-228.632555556,-247.008666667,-210.683777778,-283.760777778,-239.102333333,-298.076888889,-245.940222222,-288.888777778,-232.478666667
200.44,-319.590555556,-350.877222222,-374.853666667,-323.976666667,-427.192888889,-367.543888889,-457.017555555,-379.239777778,-427.485333333,-347.368555555
200.82,-265.942111111,-293.478333333,-313.526666667,-273.912888889,-352.173888889,-319.082222222,-378.985444445,-326.811555556,-346.86,-289.613666667
201.19,-218.518444444,-235.596666667,-261.522666667,-223.868333333,-287.037,-261.522777778,-307.201666667,-267.901222222,-287.448444444,-232.715888889
201.57,-176.647888889,-196.986666666,-216.572666667,-182.862444445,-240.866333333,-217.137444444,-259.322111111,-221.657222222,-240.678,-193.408666667
201.95,-265.344,-299.471,-319.841111111,-278.571333334,-363.756555555,-335.714222222,-391.799,-339.682555555,-366.402111111,-288.888888889
202.33,-161.666666667,-189.629444444,-202.222222222,-176.851777778,-238.888777778,-218.703666667,-257.407333334,-222.962888889,-246.111,-181.666666666
202.71,-125.603666667,-161.191666667,-166.827666667,-145.571666667,-191.626444444,-175.201333333,-211.916333333,-180.193222222,-202.415444445,-152.979111111
203.09,-151.111111111,-198.889,-203.703777778,-171.666666667,-225.555555555,-206.296444444,-255.370222222,-214.259222222,-245.370444445,-190.555444445
203.47,-166.302333333,-212.568222222,-214.572,-185.063777778,-230.054777778,-214.389777778,-267.031111111,-228.233111111,-251.912666667,-200.910888889
203.85,-380.645222222,-475.985777778,-459.139777778,-403.942666667,-491.756444445,-489.247333333,-583.512666667,-495.698777778,-559.856777778,-460.573444444
204.22,-480.444444444,-600.444444444,-582.222222222,-510.222222222,-610.222222222,-611.555555556,-716.444444444,-616.0,-684.444444445,-572.888888889
204.60,-290.643333333,-371.052555556,-358.479666667,-314.619888889,-368.421111111,-378.070111111,-438.304111111,-375.146111111,-423.099444444,-366.081888889
204.98,-441.333333333,-548.444444444,-535.555555556,-478.222222222,-560.0,-581.777777778,-669.777777778,-560.444444444,-650.666666667,-567.555555555
205.36,-466.183444444,-583.091777778,-574.396,-516.908222222,-600.483111111,-619.806777778,-701.449222222,-582.125666667,-679.227,-618.840666667
205.74,-412.888888889,-513.333333333,-523.111111111,-468.444444445,-530.666666667,-556.444444444,-627.111111111,-506.222222222,-600.0,-552.888888889
206.12,-405.555666667,-524.074222222,-535.185222222,-482.870555555,-513.426,-551.851888889,-607.870333333,-497.685222222,-585.648111111,-540.740777778
206.50,-2669.44444444,-3327.77777778,-3463.88888889,-3233.33333333,-3350.0,-3572.22222222,-3808.33333333,-3150.0,-3627.77777778,-3600.0
206.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.25,-638.888888889,-807.936555556,-900.0,-841.269777777,-861.904777778,-924.603444444,-943.650666667,-804.761888889,-893.651000001,-861.904777778
207.63,-357.487777778,-456.038666667,-515.942111111,-474.396111111,-514.492666667,-536.231888889,-542.995111111,-441.545888889,-518.840666666,-507.246444444
208.01,-163.414777778,-227.371222222,-257.452555556,-246.070555556,-250.135555555,-266.937666667,-264.498666667,-223.577222222,-255.555555556,-249.593555555
208.39,-163.383888889,-218.686777778,-241.666555556,-244.191888889,-238.383888889,-246.464888889,-260.858444444,-215.151444445,-245.959555555,-247.727222222
208.77,-222.222111111,-281.372444444,-321.241777778,-317.647,-305.555555556,-331.372555555,-339.869222222,-299.019666667,-322.875888889,-331.372555555
209.14,-234.408444445,-320.788555556,-349.104,-349.820777778,-345.519777778,-351.254555555,-379.569888889,-320.788444445,-352.329777778,-360.573444445
209.52,-171.51,-251.851888889,-264.957,-269.800666667,-261.823333333,-267.521444444,-295.441666666,-241.880222222,-268.945777778,-272.934666667
209.90,-160.277777778,-233.055555555,-235.833333333,-250.0,-241.944444444,-258.333333333,-262.5,-222.222222222,-243.055555556,-253.611111111
210.28,-111.538222222,-164.743666667,-160.256333333,-178.632222222,-186.111111111,-192.948777778,-193.376111111,-155.555555555,-175.641,-201.068222222
210.66,-117.555555555,-166.0,-165.555555555,-185.333333333,-188.0,-200.222222222,-202.0,-158.222222222,-184.888888889,-203.777777778
211.03,-102.350555555,-148.931666667,-147.863222222,-161.111111111,-163.461666667,-183.974333333,-179.059777778,-135.897333333,-161.752222222,-187.179444444
211.41,-137.301555555,-192.857222222,-175.925888889,-218.254,-205.291111111,-244.708888889,-230.158666667,-180.687888889,-214.814888889,-247.089888889
211.79,-147.293444444,-200.284666667,-196.296333333,-236.182333333,-211.111111111,-256.979888889,-231.054111111,-193.162222222,-228.205111111,-264.102444445
212.17,-108.943222222,-152.845555555,-155.284666667,-189.701777778,-175.609777778,-202.981111111,-184.552888889,-147.967555555,-171.815777778,-223.848222222
212.55,-80.9116666664,-138.461555555,-141.880444444,-164.672333334,-158.974333333,-193.732111111,-169.515666667,-132.763555555,-154.985777778,-211.681
212.92,-92.4444444443,-204.888888889,-213.333333333,-235.111111111,-247.555555556,-282.666666667,-258.222222222,-173.777777778,-218.222222222,-304.888888889
213.30,-76.6283333332,-185.440666667,-183.141666667,-216.858111111,-211.877333333,-236.781777778,-208.429222222,-150.574666667,-187.356333334,-273.563
213.68,-142.995333333,-258.937222222,-256.038555556,-292.270555556,-288.405888889,-321.255888889,-291.787444444,-235.265777778,-272.463777778,-384.540888889
214.06,-146.913777778,-301.234444444,-283.333333334,-333.333444445,-340.123555556,-337.654333333,-343.827222222,-268.518555556,-337.654444445,-482.716111111
214.44,275.926,424.074,441.358,458.641888889,458.642111111,444.444333333,464.197444444,401.851888889,445.061666667,575.308555555
214.81,156.837555556,283.333444445,276.495777778,290.170888889,278.205,274.786333334,288.889111111,248.290666667,269.230777778,362.393
215.19,171.980666667,305.314111111,301.449222222,317.874333334,324.154555556,306.763111111,319.323666667,271.980666667,308.695777778,408.695666667
215.57,211.728444444,406.172888889,411.111222222,410.493777778,396.296333333,348.148111111,401.234666667,334.567888889,372.222222222,522.839444444
215.95,103.942555555,235.842222222,226.164888889,223.297444444,201.433777778,177.777666667,225.448,179.211555556,189.247333333,279.928444445
216.32,99.4831111111,195.090333333,194.315333333,183.979333333,166.408333333,161.240222222,193.281777778,147.803555556,157.105888889,222.997333333
216.70,86.6666666665,166.888888889,167.555555556,161.333333333,135.111111111,131.111111111,164.222222222,119.777777778,136.444444444,188.888888889
217.08,350.793666665,857.142888889,865.079222222,874.60311111,704.761888889,628.571555556,841.270111111,488.888777778,712.698444443,1033.33333333
217.46,-7.03687441773e+14,-1.82674416703e+15,-1.9653492692e+15,-1.82674416704e+15,-1.28653966628e+15,-1.59573566342e+15,-1.86939189078e+15,-1.10528684037e+15,-1.55664191666e+15,-2.22123561167e+15
217.83,-135.353666667,-453.535555556,-534.343555556,-496.969555555,-279.798111111,-483.838333333,-517.171777778,-248.484777778,-377.777888889,-586.868666667
218.21,-2322.22222222,-5588.88888889,-7066.66666667,-6588.8888889,-3255.55555556,-6533.33333333,-6277.77777778,-3544.44444444,-4444.44444445,-6833.33333333
218.59,6.66666666667,-185.0,-235.555555556,-204.444444445,-53.888888889,-210.0,-211.111111111,-71.1111111112,-120.555555556,-238.333333333
