wavelength,Back_SalCoem,Belly_SalCoem,Breast_SalCoem,Crissum_SalCoem,Crown_SalCoem,DorTail_SalCoem,Patch10_SalCoem,Patch11_SalCoem,Rump_SalCoem,Throat_SalCoem,WingTip_SalCoem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,49.9999999999,-58.3333333335,16.6666666669,76.6666666668,123.333333333,153.333333333,-11.6666666667,-69.9999999999,-3.3333333334,56.6666666667,23.3333333334
179.16,51.5151999999,65.7576666666,41.2120666667,46.0606,54.5454,43.6363333333,66.3637,47.8787333333,69.697,60.0001666667,56.3636666666
179.54,81.4815333333,102.962966667,78.5185333333,98.5184666667,79.2592666667,82.2223333333,111.4815,97.037,99.9999999999,100.000033333,79.2591333333
179.93,56.6666,36.1110333333,-7.77786666668,36.6667999999,-32.2221333334,-1.42108547152e-15,33.8888666667,2.2223333334,24.4444666667,10.5554333333,-0.000133333394002
180.31,124.666666667,129.777833333,95.1110666665,101.5556,40.6667333333,49.9998,157.111133333,131.111133333,125.111066667,105.0,91.5555999999
180.69,141.3334,146.5556,110.666666667,117.7778,49.7778000001,59.1112,172.666666667,151.777733334,145.3334,118.333333333,100.222266667
181.07,165.252533334,156.3634,133.535333333,141.212133333,67.8788,80.6059999999,177.373666667,157.7778,164.040333333,131.919166667,113.535333333
181.45,321.754333333,273.6844,262.105266667,266.3158,128.070133333,151.578933333,328.245566667,285.263133333,318.596466667,252.280666667,214.385866667
181.83,431.428533333,347.381,350.000066667,337.142866667,162.381133333,185.238066667,430.476266667,374.761933333,424.761933333,318.095266667,296.666666667
182.21,-1848.88893333,-1468.88876667,-1537.77773333,-1340.0,-728.888933335,-733.333399999,-1841.11103333,-1684.44466667,-1895.55553333,-1318.88886667,-1266.66666667
182.59,-608.333333333,-427.916666667,-483.333333334,-386.666666667,-199.166666667,-178.333333333,-546.666666667,-530.0,-646.666666667,-353.75,-373.333333333
182.97,-1118.33333333,-655.833333333,-905.0,-694.999999998,-366.666666667,-316.666666666,-938.333333335,-943.333333334,-1276.66666667,-623.333333333,-676.666666666
183.35,-2250.0,-1036.66666667,-1540.0,-1330.0,-713.333333334,-503.333333333,-1806.66666667,-1823.33333333,-2540.0,-1318.33333333,-1170.0
183.73,-486.666733333,-95.7143333332,-229.523666667,-206.6666,-49.5238666667,8.5714,-391.9048,-392.380866667,-587.619133333,-247.142833333,-125.714333333
184.11,-703.333333332,18.3333333334,-278.333333334,-241.666666667,23.3333333332,171.666666667,-530.833333333,-655.0,-915.000000001,-268.333333333,-56.6666666667
184.49,-46.9333333333,70.3999999999,4.00000000006,17.6,62.6666666666,94.9333333333,-14.2666666667,-52.2666666667,-91.7333333334,24.6666666667,49.5999999999
184.87,-1.75446666654,82.8069666667,33.6841333333,45.614,75.0877333334,93.6842,22.7193666667,-6.14033333326,-23.8595333333,46.0527000001,61.7544
185.25,36.1482,105.259166667,67.4074666667,74.0740000001,90.6666666667,104.888933333,49.2593,23.8519333334,16.7407333333,65.1852000001,87.1111333334
185.63,75.5554666667,138.8888,105.037,112.444533333,123.703733334,136.000133333,89.1109333333,51.1111333334,61.3333333333,101.037066667,123.7038
186.01,91.8181333333,157.727266667,119.242333333,128.939333333,141.515066667,150.909266667,110.606,65.6060666666,77.1211999999,113.863666667,145.605933333
186.39,109.032266667,201.935566667,135.699,152.9032,177.6344,184.516133333,131.612966667,63.4408666667,83.0107333334,135.376466667,181.720333333
186.77,101.379266667,204.827766667,130.344866667,151.034466667,173.103466667,181.839066667,127.586233333,53.793,86.6667333333,116.0919,189.655066667
187.15,104.301,201.5054,135.699066667,146.4516,174.193466667,173.548533333,128.2797,62.7956000001,96.1290666667,120.9678,198.494533333
187.53,85.3658666667,159.1058,106.3416,114.471533333,133.333333333,121.7886,112.1139,66.6666666665,79.6746666667,101.382133333,159.024266667
187.91,77.8431333333,164.705933333,96.2744,108.431333333,127.254933334,114.705933333,119.5099,60.9803333333,72.3529333334,99.8038666667,169.215666667
188.29,68.2456666667,141.491133333,84.3859333333,89.8246666667,107.017466667,89.2981999999,108.0701,53.5087333333,57.8946000001,83.3332333334,146.491266667
