wavelength,Back_DacVigm,Belly_DacVigm,Breast_DacVigm,Crissum_DacVigm,Crown_DacVigm,DorTail_DacVigm,Patch10_DacVigm,Rump_DacVigm,Throat_DacVigm,WingTip_DacVigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,121.333333333,194.666666667,176.0,226.666666667,214.666666667,193.333333333,121.333333333,160.0,172.0,190.666666667
179.16,846.666666667,926.666666668,1226.66666666,1306.66666667,986.666666665,1146.66666667,846.666666667,953.333333334,1226.66666666,1066.66666667
179.54,306.666666667,103.333333333,30.0000000001,-23.3333333334,106.666666667,163.333333333,236.666666667,106.666666667,123.333333333,103.333333333
179.93,84.6666666667,48.0,49.3333333333,36.6666666667,60.6666666667,77.3333333333,80.0,62.0,49.3333333334,20.6666666667
180.31,60.4877333334,9.10559999999,-0.325066666674,-31.3821333333,-2.76413333332,-1.30086666668,72.3577999999,2.43900000002,14.7967333334,-22.9268
180.69,79.7037333333,27.7037333333,23.7037333334,-9.18526666673,15.7037333333,24.4444,93.6295999999,21.6297333334,36.4444,-9.4814
181.07,96.6666666667,53.5999999999,40.7999999999,14.6666666666,40.0,47.8666666666,102.666666667,40.9333333333,51.1999999999,14.5333333333
181.45,106.666866667,71.2418,59.7384666667,29.2811333333,52.0262,69.0195999999,120.6536,51.6338666667,69.0196000001,28.7580666667
181.83,100.000066667,60.1281999999,57.5640666667,23.4615333333,45.8974,64.3589333333,112.179466667,43.4616,61.9231333333,21.5385333333
182.21,136.862733333,65.0979999999,59.6078000001,11.9608666667,44.7058666667,74.3136000001,149.607933333,36.8627333333,75.8823333333,17.8431999999
182.59,201.212066667,69.6970666666,82.1212666667,-12.4242666667,60.0001333333,96.3636,217.2726,46.9696666667,103.333333333,12.1212
182.97,259.583333333,81.2499999999,85.4166666668,-35.4166666666,83.7499999999,139.583333333,269.583333333,47.0833333334,128.75,-12.9166666668
183.35,354.8716,106.666666667,110.7692,-16.9231333334,139.4872,178.974466667,345.640866667,96.4102666666,176.410133333,-12.3076666665
183.73,279.166666667,92.4999999999,77.5,-22.4999999999,120.833333333,166.25,285.833333333,89.5833333334,137.916666667,-18.7499999999
184.11,931.111066666,-22.2222666667,-104.444466666,-711.111200001,131.111,348.8888,793.333333333,-135.555600001,55.5554666666,-784.444533333
184.49,181.176333333,25.8823333333,10.9803333332,-90.9803999999,49.8040000001,90.1960666667,147.451066667,-10.1960666669,16.0784666666,-120.0
184.87,116.333333333,-20.3333333333,-56.3333333333,-123.666666667,19.0,31.6666666667,81.3333333333,-56.0000000001,-26.3333333333,-134.666666667
185.25,68.3951999999,-26.4198666667,-44.1974666667,-105.1852,1.97513333335,6.66666666666,59.7531333333,-52.3456,-25.9258666668,-114.814866667
185.63,84.2666666665,-42.1333333333,-52.2666666666,-108.8,1.60000000002,-1.33333333336,56.5333333333,-50.9333333335,-32.8,-129.866666667
