wavelength,Back_TacRuvf,Belly_TacRuvf,Breast_TacRuvf,Crissum_TacRuvf,Crown_TacRuvf,DorTail_TacRuvf,Patch10_TacRuvf,Patch11_TacRuvf,Rump_TacRuvf,Throat_TacRuvf,WingTip_TacRuvf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,29.1666666667,28.6458333334,34.375,36.9791666667,34.375,9.375,17.96875,31.7708333333,22.5,6.77083333334,14.5833333333
179.16,55.6090208333,44.8719166667,60.8973333333,69.23075,78.2050833334,58.3335,46.4743333334,60.2564166666,50.6409583333,60.2563333333,60.8975
179.54,47.7083333333,32.5,15.8333333333,46.6666666667,61.6666666667,-22.5,1.25000000001,25.0,20.9166666667,35.0,50.0
179.93,47.27575,23.077,25.6408333333,37.8205833334,46.795,-4.48716666667,20.6731666667,25.0001666667,18.557625,17.3075833333,7.69241666665
180.31,34.4666666666,23.0666666667,26.4,25.2,39.2666666667,1.46666666665,19.8166666667,25.1333333333,17.1366666667,9.13333333333,31.4666666667
180.69,34.0908958333,24.5921666666,28.3799166667,24.359,38.2866666666,5.18641666668,20.4836875,24.2423333333,18.0360875,12.4125833333,30.0698333333
181.07,31.5754375,22.7865833333,24.6093333334,18.16425,37.63025,0.2605,18.1805208333,20.2473333333,12.6335541667,8.13800000001,28.1900833333
181.45,23.9025208333,16.1456666667,15.3274166667,5.43149999998,30.7291666667,-15.4763333333,8.83554166667,10.4168333333,1.82668333333,-4.53875,20.7588333333
181.83,21.1523958333,14.2641666667,13.5134166667,0.450499999982,27.1771666667,-17.2674166667,10.4730208333,8.70858333333,-0.135170833343,-10.0600833333,16.8919166667
182.21,24.4480416667,18.5895833333,18.3048333333,3.06275,28.6324166667,-9.90033333335,15.7585208333,11.82325,2.63169583333,-4.20224999998,22.792
182.59,31.0416666667,27.7083333333,22.4305,10.5555833333,31.59725,-5.41666666665,23.9062708333,17.0139166667,8.3159125,2.43066666666,30.13875
182.97,20.6166666667,22.8,12.9333333333,5.66666666666,22.1333333333,-11.0,13.7833333333,7.86666666665,0.103333333332,-3.26666666668,23.6
183.35,23.1730208333,28.2050833333,13.7819166667,8.01274999999,22.8205,-3.14091666667,14.2788958333,9.93583333333,2.10584583332,1.85908333334,27.37175
183.73,24.7119166667,31.0975,14.6340833333,8.8075,23.9159166667,-2.64225,13.4483958333,10.9756666666,0.0611708333333,3.38741666668,28.3198333333
184.11,28.2638333333,33.1944166667,20.1388333333,12.0139166667,29.7916666667,3.88875,17.4305833333,17.9169166667,3.70838333332,9.79174999998,32.77775
184.49,22.6983333333,31.3491666667,15.7140833333,4.60324999998,25.7143333333,1.11108333333,15.8730833333,13.6508333333,-7.00020833333,5.95249999999,28.65075
184.87,12.6488333333,26.1905833333,1.88491666667,-6.54766666665,19.6429166667,-19.7421666667,8.87895833332,6.84516666666,-27.0732333333,-5.35716666665,23.5118333333
