wavelength,Back_DigIndm,Belly_DigIndm,Breast_DigIndm,Crissum_DigIndm,Crown_DigIndm,DorTail_DigIndm,Patch10_DigIndm,Rump_DigIndm,Throat_DigIndm,WingTip_DigIndm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,105.555666667,130.555583334,96.2960000002,145.370333334,98.1481666666,168.6418,96.2963333335,75.926,99.9998333335,50.0
179.16,107.017666667,119.737,114.035166667,135.526333333,114.035,108.186844444,132.456333333,107.017666666,93.8596666667,92.1055
179.54,100.0,135.833333333,106.666666667,108.333333333,88.3333333335,131.222222222,136.666666667,53.3333333333,68.3333333333,55.0
179.93,2.0833333333,19.7916666667,12.5,7.29166666666,4.16666666665,38.6111111111,33.3333333333,14.5833333333,-18.75,100.0
180.31,111.93,119.912333333,97.5439999999,117.28075,94.3860000002,118.643477778,133.859833333,89.6491666667,98.0699999998,97.3685
180.69,120.155166667,128.004,101.744166667,129.16675,97.8683333335,126.886411111,144.767666667,94.5736666666,101.7445,95.349
181.07,112.209166667,118.0235,92.8296666666,122.6745,89.5348333335,115.607588889,136.8215,88.1785,91.2791666665,90.6975
181.45,110.0,132.361,88.8891666665,132.083416667,85.0,115.981588889,134.166333334,75.2778333334,88.3335000001,96.6665
181.83,141.25,161.875,95.8333333335,186.666666667,95.0,148.277777778,175.833333333,91.25,111.666666667,126.25
182.21,137.588333333,159.929083333,91.1348333334,181.73775,102.1275,140.023588889,166.311833334,87.9431666669,114.184333333,100.0
182.59,139.8145,151.389083333,75.4628333332,211.110833334,80.5555,142.407277778,164.351666667,59.7221666666,115.277666667,81.9445
182.97,161.904666667,180.158916667,50.0001666665,288.88875,72.2223333333,119.629744445,176.190166667,14.2856666666,113.492,28.5715
183.35,99.6030000001,114.682666666,42.0633333333,170.43675,64.2855,83.2541111111,99.206,23.8095,60.7143333333,48.8095
183.73,91.8518333334,117.222166667,42.9628333333,172.036833333,68.8888333333,86.8890444445,89.259,27.037,47.7778333334,43.3335
184.11,77.6516666667,99.24225,44.3183333333,166.477333333,42.4243333334,73.5101777778,63.6365,10.2271666666,35.6059999998,31.818
184.49,71.5278333335,135.4165,-11.8055,212.847083333,7.639,79.3518333334,34.0276666666,-45.1386666667,0.6945,-12.5
184.87,67.3911666668,158.69575,-13.7683333334,207.24625,17.3913333333,79.1303777779,17.391,-55.7971666666,2.898333333,19.565
185.25,-41.6666666665,-420.833333333,308.3335,-479.166583334,80.5555,-0.7408333335,105.555666667,541.666666666,161.111,75.0
185.63,-59.5236666665,-226.19075,335.714333333,-364.285583334,49.999833333,30.9524444445,-2.38083333335,442.857166667,173.8095,207.143
186.01,102.777833333,251.388916667,-322.222,354.166416667,91.666833333,-139.444622222,-52.7778333335,-505.555666667,-299.999833333,-233.3335
186.39,30.2083333332,27.0833333333,212.5,-1.0416666665,83.3333333333,191.597222222,119.791666667,271.875,227.083333333,156.25
186.77,19.5238333333,32.6190833333,96.1903333335,24.0475,40.4761666667,119.491922222,54.286,119.047666667,113.809333333,87.1425
187.15,8.1631666667,31.97275,72.7891666667,19.5580833334,28.5716666667,90.7257666667,35.034,81.2923333334,81.6326666668,65.306
187.53,20.8333333334,37.0833333333,65.4166666667,28.8541666667,31.875,76.7222222222,38.3333333333,68.3333333333,67.7083333333,59.375
187.91,32.2036666667,38.983,62.2881666667,36.0170833333,36.8645,69.6231888889,49.0113333333,68.644,61.5818333333,56.7795
188.29,35.2245,39.9526666667,62.5295,40.5439166666,35.4608333333,70.1024,45.6266666666,67.0211666667,61.584,52.4825
188.67,30.3921666666,41.05375,58.4558333334,41.6051666667,34.3138333333,69.9427222222,45.0978333333,66.7891666667,59.9265,51.8385
189.05,28.8358333333,44.8411666666,59.3915,39.8808333333,33.201,68.0774222222,44.7088333334,69.3121666667,62.1695,53.9685
189.43,22.3165,39.33625,50.2823333333,30.29675,29.2375,64.2655888889,38.9831666666,61.4406666667,60.4518333334,45.7625
189.81,16.6666666667,36.1343333333,43.2773333333,30.3923333333,29.9718333333,60.9806111111,42.017,59.3838333333,60.224,36.5545
