wavelength,Back_TacCrim,Belly_TacCrim,Breast_TacCrim,Crissum_TacCrim,Crown_TacCrim,DorTail_TacCrim,Patch10_TacCrim,Rump_TacCrim,Throat_TacCrim,WingTip_TacCrim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,655.694444445,706.666666666,786.666666666,873.333333333,522.5,880.000000001,64.5833333333,747.916666667,866.666666667,1053.33333333
179.16,-24.5238333332,-113.333333333,-96.6666666668,-176.666666667,-64.2856666668,-63.3333333333,52.3810000001,-200.4762,-236.666666667,-220.0
179.54,132.407422222,141.666666667,145.0,146.666666667,19.4444000001,190.0,-13.3333333333,176.111133333,176.666666667,263.333333333
179.93,177.248877778,145.714333333,165.7144,165.7142,138.539666667,176.190333333,56.8888,150.095266667,180.952266667,203.8096
180.31,208.422944444,203.4922,232.6982,276.8254,144.411666667,292.063333333,60.9622,248.646733333,292.698533334,384.126933333
180.69,221.901322222,215.362333333,245.797133333,297.971,162.403533333,313.6232,64.5910666667,279.409333333,305.796933334,393.3334
181.07,285.048311111,278.148066667,309.259266667,393.333333333,205.975066667,395.555466667,65.7832666667,356.8318,381.4814,481.851866667
181.45,923.650833333,885.555533333,952.222266667,1246.6668,706.666666668,1251.11126667,64.2064,1108.33326667,1141.111,1457.77773333
181.83,-2909.27946667,-2803.33333333,-2870.0,-3906.66666667,-2309.73606667,-3913.33333333,68.6468666667,-3323.53133333,-3483.33333334,-4396.66666667
182.21,516.153855555,518.974466667,494.871666666,675.384666667,419.6932,675.897333333,67.2275333333,574.421333333,591.794933333,717.436
182.59,476.679855556,477.333266667,446.222266667,593.7778,405.082533333,610.222266667,68.2622,516.0682,517.333266667,631.111066667
182.97,723.828577777,693.333333333,642.000000001,877.333333333,606.697733333,913.333333334,67.08,763.751933333,745.999999999,909.333333335
183.35,1572.5722,1504.0,1274.66666667,1732.0,1218.8452,1896.0,67.6641333333,1627.45406667,1557.33333333,1869.33333333
183.73,4031.78505556,3993.33333333,3156.66666667,4353.33333333,2942.459,4580.0,68.47,3944.3716,4016.66666667,4793.33333333
184.11,2791.42557778,2940.0,2335.55553333,3171.11113333,2210.04673333,3091.11106667,69.9159333333,2772.11953333,2880.0,3380.00006667
184.49,657.652544444,669.5238,564.762,717.618866667,543.559266667,703.809533334,71.9773333333,620.734466667,655.238133333,791.428533333
184.87,350.2843,357.931,294.023066667,356.7818,288.7998,354.712666667,73.9343333333,303.020466667,338.620666667,407.126466666
185.25,282.764988889,284.386066667,232.631466667,273.859466667,238.4238,286.666666667,73.9394,237.698133333,267.894733333,323.6842
185.63,210.899311111,207.999933333,175.636333333,197.090933333,175.9836,217.090866667,72.1303333333,172.480266667,198.666666667,237.4546
186.01,183.996377778,174.444533333,151.313133333,168.989866667,151.262533333,186.262666667,76.8517333333,142.895666667,169.696933333,202.929333333
186.39,219.688255556,200.0,177.6,197.333333333,178.685133333,224.0,94.2591999999,166.862933333,200.666666667,242.8
186.77,275.472222222,253.166666667,228.5,249.666666667,215.690533333,287.0,143.047666667,211.404733333,259.0,318.666666667
187.15,390.478833333,325.057533333,300.689666667,316.3218,226.934866667,379.310466667,646.666599999,260.459733333,334.252933333,427.5862
187.53,374.124033333,343.589866667,337.948666667,350.5128,389.615466667,422.8206,-255.555533333,294.401733333,366.4102,455.1282
187.91,475.972166666,416.8254,422.857133333,433.650866667,438.3234,543.809466667,-67.7083333334,364.8612,440.952466667,543.809533333
188.29,374.555533333,324.6666,329.3332,330.444333333,334.055533333,423.7778,-42.6388666664,290.500066667,341.999933334,403.555533333
188.67,522.267288889,436.508,441.587333333,448.571266667,448.677333333,584.4444,-6.25513333332,410.299733333,466.6666,548.2538
189.05,-1339.20345556,-1033.33333334,-1102.85713333,-1112.38086667,-1100.04326667,-1512.381,7.33333333334,-977.445799999,-1147.619,-1443.80946667
189.43,-343.428677778,-246.666666667,-287.5,-265.277733333,-270.947666667,-391.666666667,14.6568,-234.983533334,-287.500066667,-368.3334
189.81,-531.216844444,-370.833333333,-446.666666666,-396.666666667,-421.811866667,-582.916666667,20.0,-367.169333334,-444.166666667,-557.5
190.19,-288.641488889,-216.153866667,-262.820533334,-212.051266667,-237.806666667,-318.9744,25.1046666667,-209.2966,-246.923066667,-307.179666667
190.57,-383.5526,-319.0476,-372.3808,-282.857066667,-320.697133333,-400.317533333,26.1511333333,-291.479266667,-338.412733333,-408.2538
190.95,-522.748566667,-471.111133333,-541.7778,-410.2222,-458.013466667,-544.000066667,25.3199333333,-411.461266667,-486.222133333,-552.888866667
191.33,2838.2549,2824.44446667,3142.22226667,2344.44446667,2646.389,3031.11106666,25.5448666667,2384.829,2706.6666,3053.3332
