wavelength,Back_TiaFulf,Belly_TiaFulf,Breast_TiaFulf,Crissum_TiaFulf,Crown_TiaFulf,DorTail_TiaFulf,Rump_TiaFulf,Throat_TiaFulf,WingTip_TiaFulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,31.3132222222,9.09077777777,41.4141111111,64.6464444444,42.4243333333,39.3939444444,20.202,34.3432222222,17.1716666667
179.16,44.4444444444,73.6111111111,52.7777777779,73.6111111112,90.2777777779,127.083333333,66.6666666667,84.7222222222,22.2222222222
179.54,-155.555444444,-170.370444445,-55.5555555558,-125.926111111,-59.2594444442,-38.8889444444,-148.148111111,-211.111,-240.740666667
179.93,-113.991888889,-161.316888889,-148.148111111,-62.14,-43.2098888889,-65.4321111111,-104.938222222,-111.110888889,-168.313
180.31,-160.648111111,-222.685111111,-209.722222222,-97.6853333333,-84.7223333335,-97.6852222222,-153.240777778,-170.370444444,-235.648111111
180.69,-248.538,-316.959,-330.994222222,-171.929888889,-153.216333333,-174.268833333,-233.333333333,-261.403555555,-355.555555556
181.07,-297.531,-404.321111111,-408.642111111,-229.629444444,-220.987555555,-261.111055555,-299.382888889,-340.123444445,-432.716222222
181.45,-161.508,-246.031777778,-252.381,-119.047555556,-126.984111111,-147.023777778,-174.206111111,-192.460222222,-261.508
181.83,-123.958333333,-191.666666667,-212.5,-77.4305555556,-89.9305555558,-97.5694444444,-115.972222222,-144.791666667,-192.361111111
182.21,-136.015444444,-198.850777778,-230.268111111,-96.1685555557,-103.448222222,-100.383166667,-113.026777778,-160.536444445,-201.149444445
182.59,-540.0,-684.444444445,-770.0,-427.777777778,-408.888888889,-425.0,-494.444444444,-582.222222222,-761.111111111
182.97,-1120.0,-1348.88888889,-1528.88888889,-922.222222222,-846.666666666,-945.555555555,-1011.11111111,-1200.0,-1584.44444445
183.35,-1164.44444445,-1273.33333333,-1473.33333333,-944.444444444,-784.444444444,-973.333333333,-964.444444443,-1233.33333333,-1611.11111111
183.73,3322.22222222,3505.55555555,3972.22222222,2666.66666667,2205.55555555,2766.66666667,2711.11111111,3150.0,4372.22222222
184.11,592.592666667,624.074222223,693.518555556,512.962888889,412.037111111,483.333388889,482.407333333,551.851666666,761.111
184.49,440.972222222,436.111111111,495.833333333,383.333333333,279.861111111,351.388888889,338.888888889,396.527777778,556.25
184.87,272.759777778,262.365555555,295.698888889,239.784777778,173.118333333,233.512722222,203.942555555,237.275888889,326.881777778
185.25,287.5,265.972222222,295.833333333,249.305555555,174.305555556,254.6875,211.805555555,240.277777778,330.902777778
185.63,323.703888889,284.444444444,315.185,252.592555556,191.111222222,277.222222222,239.629555556,246.296333333,355.925888889
186.01,438.095222222,388.888777778,418.518555555,329.629666667,244.973666667,358.730166667,298.412666667,321.693111111,467.724888889
186.39,329.885,303.448111111,303.065222222,245.594,185.440666667,258.812388889,226.436666667,238.314333333,349.042222222
186.77,250.308666667,244.444444445,236.111111111,189.197444444,140.740777778,194.598833333,170.061777778,174.691222222,265.123333333
187.15,226.851777778,219.753,217.283888889,165.740666667,104.629777778,174.382777778,133.024777778,146.913666667,245.370444445
187.53,177.002555556,170.801,169.767444445,129.715777778,66.1498888888,134.496055556,94.5736666666,117.054222222,191.731222222
187.91,144.650222222,140.946444445,139.712111111,106.790222222,56.3786666666,117.901222222,79.8354444446,98.9712222222,153.909555556
188.29,113.204555555,107.246444444,112.560444445,82.9307777777,51.8518888889,96.3766666667,65.3784444444,80.6764444446,119.162777778
