wavelength,Back_SicFlam,Belly_SicFlam,Breast_SicFlam,Crissum_SicFlam,Crown_SicFlam,DorTail_SicFlam,Patch10_SicFlam,Patch11_SicFlam,Rump_SicFlam,Throat_SicFlam,WingTip_SicFlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,120.296296296,126.666666667,70.0,92.0000000001,57.3333333333,105.333333333,69.3333333333,138.666666667,93.3333333333,54.6666666667,133.333333333
179.16,27.1605407407,15.0000666667,34.7223333333,58.8888,57.2222,35.5556,53.3333333333,15.0,31.6666000001,49.9999999999,34.9999333333
179.54,45.5555259259,50.0,67.2221333333,25.5554000001,58.8890000001,52.2222666666,36.6665333334,46.6667333333,18.8888666667,114.4444,63.3332666667
179.93,14.5678222222,15.5556,52.2221,19.9999999999,48.8888666667,28.8888666667,38.8889333334,22.2222666667,-5.55546666667,37.7778,25.5556666667
180.31,34.9794518518,15.4073333333,81.5555999999,50.0740666667,56.8888666667,41.9257999999,45.7778666667,32.0000000001,21.9258666667,80.1481333333,23.9999333333
180.69,40.9347629628,14.1269333334,93.7301000001,50.635,60.1587333333,41.1110666667,54.9205333335,35.5554666667,19.6825333334,86.9841333333,23.4920666667
181.07,51.1243259259,30.9523333333,91.3095666666,52.8571333333,59.1665333334,45.3571333333,54.8809333335,50.4760666667,25.9524666666,85.1189333333,39.2856666667
181.45,47.7719407407,38.0951333333,87.3545000001,44.8677333333,55.0264666667,42.8570666667,51.0052666666,54.8148666667,21.7990666667,78.4126666667,38.6242666667
181.83,42.4509703704,31.3726,80.5391999999,44.0196,49.7058666667,36.0783333333,50.4901999999,51.2744,16.3724666667,68.8234666667,34.3138666667
182.21,44.8198444444,33.5160666667,83.1049666667,47.5798,52.5114666667,39.5434666667,50.5936,54.6119333333,22.3744000001,72.3288000001,41.9178
182.59,40.1804592593,29.8290666667,73.8034999999,39.8292,45.8974666666,33.2480666667,45.2991333333,54.6153333333,17.0938666666,64.7863999999,41.5384666667
182.97,30.3812888889,22.5489333333,72.0098666666,28.4314666667,37.7451333333,24.5098,39.2156666667,54.2157333333,4.31373333339,60.0978666667,39.9019333333
183.35,35.2552,32.1622,83.0630666668,31.9821333333,44.5044666667,31.7116666666,48.1081333334,62.9729333334,15.4054000001,67.6576666667,50.4505333333
183.73,40.1559555555,39.0352,89.6929333333,34.9124,50.614,33.8597333333,51.2279999999,62.6315333333,19.9999333334,71.4035333334,56.4036
