wavelength,Back_TanFucm,Belly_TanFucm,Breast_TanFucm,Crissum_TanFucm,Crown_TanFucm,DorTail_TanFucm,Patch10_TanFucm,Patch11_TanFucm,Patch12_TanFucm,Patch13_TanFucm,Rump_TanFucm,Throat_TanFucm,WingTip_TanFucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,54.762,62.6984444444,65.0793333333,82.5396666667,75.3967777778,62.5396622222,68.2542222222,91.269888889,79.3651111111,84.9206666664,55.5555555556,96.8253333332,85.7143333334
179.16,50.0,51.1111111111,32.2222222222,46.6666666667,67.7777777778,46.4,84.4444444446,72.2222222223,63.3333333333,68.8888888889,61.1111111111,77.7777777779,123.333333333
179.54,-36.214,7.40733333332,-8.6421111111,1.23455555557,7.40733333332,-10.2221844444,-14.8148888889,-1.23455555554,20.9875555556,23.4568888889,6.17277777777,4.93833333332,-13.5802222222
179.93,-3.7037037037,22.2222222222,22.2222222222,43.0555555556,29.1666666666,49.6111111111,38.8888888889,11.1111111111,59.722222222,19.4444444444,-1.3888888889,55.5555555556,55.5555555556
180.31,16.8483333333,51.8518888889,68.1916666667,72.3311111112,88.0173333332,54.2308177778,68.8452222221,89.5426666668,99.5642222221,72.3311111111,57.5163333333,88.888777778,52.9412222222
180.69,11.111,47.1194444446,66.6667777778,70.5761111112,77.1605555556,50.3045377778,61.7283333335,77.3663333332,97.9423333332,70.1645555556,50.2055555555,81.0698888889,41.1523333333
181.07,-0.385740740743,43.749888889,61.5741111111,60.6481111111,64.1204444445,47.84254,57.8704444444,64.1203333334,95.3704444444,67.1296666666,42.8240000001,67.824,24.3053333333
181.45,-6.41374074077,54.2006666668,73.1707777778,73.1706666668,75.3387777778,59.68556,65.5825555555,75.0677777777,115.447,77.5067777777,51.2194444446,72.6286666666,11.382
181.83,10.9108888889,80.4803333335,88.2883333333,90.9910000001,100.900888889,79.0750355557,87.087222222,101.801666667,150.450555555,100.300333333,75.6757777779,95.4955555558,19.2193333333
182.21,25.5461481481,78.062888889,92.3076666666,90.3132222223,102.848888889,75.3389844443,81.7663333332,109.401666667,145.299111111,100.285111111,78.6325555555,92.5925555556,9.11711111113
182.59,38.0555555555,85.2777777777,85.2777777778,88.3333333334,103.333333333,79.85,82.7777777778,109.722222222,135.833333333,110.833333333,90.0000000001,103.333333333,3.05555555557
182.97,38.5521481481,68.6867777779,60.8585555555,67.1717777777,89.899,65.1869088889,69.9495555557,99.4947777779,118.182,91.1614444443,71.9696666667,88.889,-15.6564444445
183.35,25.3857037037,56.250111111,43.0555555556,49.3056666668,61.3426666667,57.4259644444,52.3147777778,78.4722222221,104.166555556,83.7963333334,62.2684444446,73.6112222221,-16.2038888889
