wavelength,Back_DigGlof,Belly_DigGlof,Breast_DigGlof,Crissum_DigGlof,Crown_DigGlof,DorTail_DigGlof,Patch10_DigGlof,Rump_DigGlof,Throat_DigGlof,WingTip_DigGlof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-342.222222222,-172.222222222,-366.666666667,-194.444444444,-372.222222222,-150.0,-488.888888889,-216.666666667,-305.555555555,24.9999999999
179.16,-18.8888888889,-16.6666666667,-33.8888888889,9.99970476793e-12,-10.0,24.4444444445,-30.0,-13.3333333333,-31.6666666667,23.3333333333
179.54,35.8333333333,54.1666666667,39.5833333333,43.0555555556,16.6666666667,18.0555555556,38.8888888889,2.77777777777,13.8888888889,74.3055555556
179.93,330.0,333.333333333,308.333333333,416.666666667,327.777777778,244.444444445,205.555555556,150.0,122.222222222,352.777777778
180.31,-41.3333999999,-33.016,-79.2063333333,2.22211111112,-27.9365555555,-43.4917777778,-64.4445555556,-27.619,-76.8253333333,38.7303888889
180.69,-61.6091111112,-50.1916666667,-144.4445,-7.66277777778,-49.4253333333,-71.6475555556,-92.3369999999,-51.7242222221,-105.938611111,34.8660555556
181.07,-56.7999999999,-48.4444444444,-147.777777778,-20.4444444446,-36.0000000001,-82.6666666667,-75.111111111,-59.5555555556,-109.333333333,21.1111111111
181.45,-145.555488889,-124.603222222,-302.777777778,-103.968222222,-100.0,-206.349333333,-164.285555556,-136.508,-236.904666667,-21.4283333333
181.83,-471.481488889,-396.296444444,-877.777722223,-388.888888889,-262.962888889,-512.963111111,-492.592666667,-411.111222222,-710.185222222,-180.555444444
182.21,890.370244444,685.185333333,1306.48177778,755.555666667,616.666666667,850.0,757.407555554,681.481444444,1033.33327778,525.000055556
182.59,941.90471111,695.238222222,1249.20627778,769.841222223,665.079333333,942.857111111,768.253999999,709.523888889,1021.42872222,618.253888889
182.97,503.968266667,379.365,670.635,397.619111111,373.016,504.761888889,391.27,386.508,567.857055556,342.460555556
183.35,392.469022222,277.160555556,525.617444444,315.432111111,296.913666666,388.271555556,279.629444444,300.617222222,445.370444445,245.061944445
183.73,430.588088889,256.862555555,540.196111111,327.450888889,301.960666667,393.464,297.385666667,334.640555556,482.026111111,252.614333333
184.11,246.604777778,160.802222222,303.549388889,200.617222222,198.148,230.555555555,179.938111111,213.271555556,280.401111111,168.209944444
184.49,344.058,211.594111111,434.540777778,255.555444445,273.913111111,324.637777778,250.241444444,291.787333333,407.729166667,193.961277778
184.87,238.585866667,144.107777778,286.363666667,184.175,188.215444444,230.303111111,172.390555555,199.663333333,295.286222222,130.639833333
185.25,187.731422222,127.777888889,225.925777778,149.768444444,150.694333333,196.064666667,142.129555555,162.268444444,243.055555556,98.2637777779
185.63,196.111177778,127.777888889,230.208555556,153.240777778,161.574222222,209.259222222,146.296555556,168.287111111,250.463111111,106.250055555
186.01,218.5508,150.483,245.048388889,166.666555556,195.410555556,239.371888889,165.700666667,179.710222222,267.512166667,127.415277778
186.39,206.271622222,161.481444445,233.209944444,167.407444444,188.642111111,244.691444444,172.098777778,179.259333333,268.024777778,117.283888889
186.77,183.888777778,149.073888889,211.921555556,157.870333333,175.925888889,225.462777778,160.185222222,158.333333333,245.486111111,105.208333333
187.15,278.024777778,209.053444445,319.547611111,235.802444444,263.374666667,334.156444444,237.037222222,220.164444444,375.720222222,133.744888889
187.53,402.716088889,287.037,445.370333333,322.222555555,377.777777778,507.407444445,363.580111111,320.370222222,544.136,215.123333333
187.91,293.760711111,227.777888889,316.239444444,227.777777778,284.615444444,385.47,269.658333333,240.170888889,392.307611111,172.649611111
188.29,382.626133333,292.929222222,397.727111111,296.969777778,361.616111111,479.798222222,350.505111111,286.868666667,503.535222222,213.636277778
188.67,294.640555556,255.228888889,302.124055556,246.078333333,287.581777778,350.0,267.320222222,234.967333333,383.17,203.104555556
189.05,565.0,483.333333333,530.277777778,450.555555555,536.111111111,615.0,487.777777778,438.888888889,692.222222222,418.333333333
189.43,2856.11111111,2433.33333333,2555.55555556,2086.11111111,2691.66666667,3016.66666667,2500.0,1997.22222222,3330.55555556,2304.16666667
189.81,1725.71426667,1550.79377778,1599.20666667,1250.79366667,1612.69844444,1833.33311111,1533.33366667,1266.66666667,2015.873,1418.25383333
