wavelength,Back_DigGlof,Belly_DigGlof,Breast_DigGlof,Crissum_DigGlof,Crown_DigGlof,DorTail_DigGlof,Patch10_DigGlof,Rump_DigGlof,Throat_DigGlof,WingTip_DigGlof
190.19,818.666777778,756.296111111,774.814888889,594.074,737.037,882.222222222,710.370333333,613.333333334,960.740611111,675.925777778
190.57,3031.66666667,2700.0,2926.38888889,2152.77777778,2752.77777778,3183.33333333,2511.11111111,2166.66666667,3501.38888889,2484.72222222
190.95,742.614466667,669.281111111,722.875611111,557.516444444,701.960777778,790.196,605.882555556,562.091444444,847.385666667,610.4575
191.33,496.460866667,443.621444445,486.008055556,389.300333333,460.082333334,528.394888889,389.300333333,388.477333333,558.024833333,423.045222222
191.71,373.903088889,338.746777778,365.242055556,306.267666667,352.706666667,370.940222222,299.145111111,290.313333333,419.658166667,324.216777778
192.09,421.206377778,386.984111111,433.333277778,357.777777778,403.492,413.650777778,334.603111111,319.365222222,477.460222222,382.222222222
192.47,393.790977778,370.588222222,407.352944444,337.908555556,381.372444444,389.542555556,311.111111111,318.300666667,437.254944445,376.307
192.85,453.869711111,415.325888889,451.724166667,384.291222222,435.249,462.069111111,351.724111111,371.264444445,489.655111111,436.398388889
193.23,397.275977778,382.437222222,416.128944444,338.709555556,395.340444444,423.297444444,310.035888889,329.749111111,425.089722222,367.383444444
193.61,865.128177779,811.111111111,922.649722222,729.914333333,889.743555555,914.529666667,648.718,754.700888889,905.555666667,741.452833333
193.99,3174.074,2951.85188889,3405.55544444,2755.55555555,3481.48144445,3592.59266667,2244.44433333,2822.22222222,3361.11105556,2785.18533333
194.37,-784.848600001,-703.030333333,-825.252722222,-760.606111111,-900.000000001,-910.100888889,-552.52511111,-725.252555554,-812.121111111,-684.848388889
194.75,-2313.88888889,-2061.11111111,-2247.22222222,-2144.44444445,-2577.77777778,-2550.0,-1647.22222222,-2202.77777778,-2300.0,-2115.27777778
195.13,-849.091000001,-770.707111111,-821.717111111,-739.393777778,-937.373666669,-980.807888888,-615.151444444,-838.383888889,-818.181888889,-798.99
195.51,-1555.55564444,-1438.88888889,-1450.92616667,-1338.889,-1764.81488889,-1888.889,-1250.0,-1574.074,-1440.74055555,-1562.03711111
195.89,-904.0,-817.777777779,-782.222222222,-732.222222222,-1006.66666667,-1151.11111111,-685.555555554,-880.000000001,-778.888888889,-931.11111111
196.27,-221.818155556,-193.939444445,-174.747333333,-180.471222222,-250.168333333,-309.427555556,-156.902333333,-209.764444445,-174.915833333,-228.114388889
196.65,-201.169666667,-179.824666667,-157.017555556,-162.573,-221.637444444,-275.730888889,-137.719111111,-181.286444444,-163.742666667,-198.684222222
197.03,-233.464155555,-212.091555556,-195.261611111,-200.653888889,-271.568666667,-328.758333333,-171.241777778,-231.372555556,-194.117666667,-232.843388889
197.40,-241.604888889,-208.641777778,-189.351833333,-212.345444444,-273.148222222,-324.691444445,-187.037,-240.432222222,-211.419777778,-244.907333333
197.78,-383.333444444,-351.515222222,-293.434111111,-360.101,-443.939444444,-531.818111111,-298.99,-381.818222222,-362.121277778,-426.515277778
198.16,-404.242577778,-363.131111111,-302.525277778,-369.696888889,-445.454444445,-515.656444444,-317.171666667,-379.293,-374.242388889,-456.313166667
198.54,-742.222244444,-666.666666667,-585.897611111,-626.495888889,-847.008444443,-952.991555554,-610.25611111,-720.512777778,-711.111,-860.256444446
198.92,-641.538355556,-585.470111111,-485.8975,-571.794888889,-792.307555555,-871.794777778,-528.205111111,-632.478555556,-609.829,-783.760722223
199.30,-359.111111111,-346.111111111,-244.444444444,-363.888888889,-440.0,-477.222222222,-279.444444444,-343.333333333,-339.166666667,-466.111111111
199.68,-320.423355555,-355.555555555,-217.989333333,-353.439111111,-411.111222222,-397.354555556,-262.963222222,-336.508,-322.222055555,-417.460444444
200.06,-130.234022222,-153.216111111,-68.5674444443,-168.128666667,-182.456111111,-159.064222222,-97.0759999999,-160.233777778,-134.502833333,-190.058444444
200.44,-799.166666668,-930.555555555,-445.138888889,-962.499999999,-1059.72222222,-880.555555557,-630.555555557,-981.944444446,-816.666666667,-1072.22222222
200.82,-1212.0,-1444.44444445,-653.333333333,-1482.22222222,-1637.77777778,-1380.0,-1020.0,-1477.77777778,-1115.55555556,-1662.22222222
201.19,-856.825444446,-980.952555557,-415.873111111,-1026.98422222,-1044.44444444,-887.301555557,-706.349111111,-952.380999999,-757.936444445,-1121.42844444
201.57,-349.206311111,-415.873111111,-107.539722222,-415.079444445,-425.396888889,-343.650888889,-246.031888889,-397.619111111,-225.000055556,-486.904777778
201.95,-297.160555556,-320.370444444,-89.1976666667,-325.308666666,-321.604888889,-269.753111111,-188.888888889,-348.765444445,-136.7285,-386.728333333
202.33,-597.530866667,-725.925888889,-173.456833333,-730.864222222,-682.716000001,-564.197444446,-400.0,-800.0,-277.160666667,-789.506166668
202.71,-794.814733332,-1022.22222222,-113.889,-996.296333333,-820.370333334,-603.703666667,-487.037111111,-1038.889,-310.185277778,-1043.51866667
203.09,-1106.66666667,-1308.88888889,-303.333333333,-1377.77777778,-1106.66666667,-891.11111111,-760.0,-1440.0,-587.777777778,-1392.22222222
203.47,2756.66666667,3016.66666667,641.666666667,2833.33333333,2600.0,2222.22222222,1877.77777778,3416.66666667,1500.0,3227.77777778
203.85,2770.0,2600.0,427.777777777,2716.66666667,2388.88888889,2427.77777778,1594.44444445,3177.77777778,1252.77777778,3116.66666667
204.22,310.333333333,309.444444445,107.777777778,294.444444444,288.333333333,290.0,228.333333333,360.0,153.333333333,318.333333333
204.60,741.587244443,847.61911111,182.539722222,744.444444445,719.047777777,649.206222223,534.920555557,917.460222222,339.6825,807.936555556
204.98,608.61111111,691.666666667,65.9722222223,626.388888889,587.499999999,473.611111111,397.222222222,813.888888889,263.194444444,681.25
205.36,-1870.0,-2527.77777778,341.666666667,-2166.66666667,-1961.11111111,-1483.33333333,-1177.77777778,-3033.33333334,-616.666666667,-2497.22222222
205.74,543.174644445,860.317444444,-9.5235,763.492111111,655.555555557,547.618888887,487.301555556,934.920555556,365.079222222,720.63488889
206.12,952.222222222,1611.11111111,-75.0,1411.11111111,1200.0,969.444444443,969.444444444,1586.11111111,662.5,1275.0
206.50,-964.999999999,-1533.33333333,205.555555556,-1302.77777778,-1161.11111111,-866.666666667,-988.88888889,-1441.66666667,-587.5,-1225.0
206.87,-2276.66666667,-3155.55555556,233.333333333,-2827.77777778,-2744.44444444,-1961.11111111,-2577.77777778,-3194.44444445,-1288.88888889,-2841.66666667
207.25,-750.666666667,-1131.11111111,245.555555556,-915.555555554,-875.555555554,-604.444444443,-931.111111111,-1060.0,-335.555555556,-992.222222223
207.63,-272.148133333,-418.518555556,60.3702222223,-361.481555556,-334.074111111,-206.666777778,-359.259222222,-394.814777778,-107.037111111,-395.925944444
208.01,-128.0,-232.444444445,68.4444444444,-172.888888889,-163.555555556,-82.222222222,-196.444444444,-216.0,-32.8888888889,-212.222222222
208.39,-127.9692,-214.942666667,67.8161111111,-164.750888889,-144.827777778,-70.115,-171.264222222,-188.122777778,-53.4483333333,-223.180055555
208.77,-212.592488889,-291.203666666,7.63877777767,-271.759222222,-240.740555555,-150.0,-284.722111111,-302.777666667,-121.528,-327.314888889
209.14,-101.382755555,-141.234444445,13.3334444444,-133.333333333,-119.012555556,-71.6048888887,-146.913666667,-146.419888889,-53.2098333333,-162.963055556
209.52,-100.543133333,-130.864111111,9.87666666667,-124.938,-110.370111111,-63.4568888887,-144.691444444,-132.098666667,-47.7777222222,-161.604833333
209.90,-64.6266222223,-73.5882222222,25.1364444444,-70.8562222222,-63.0235555556,-24.772111111,-92.1673333332,-83.4242222222,-16.8488333333,-111.293333333
210.28,-56.2112,-62.6593333333,32.8781111111,-66.6667777778,-51.9125555556,-10.2003333333,-82.6957777779,-75.5918888888,-14.0256666667,-109.836055556
210.66,-38.5858444445,-36.8686666667,40.7407222222,-48.6532222222,-30.4713333333,-1.51522222233,-65.8247777778,-53.3668888889,-3.53533333332,-90.9932222221
211.03,-38.4945111111,-49.104,38.7096666667,-63.2615555555,-27.7777777778,-9.4982222221,-58.6022222222,-58.2437777778,-7.43733333333,-99.2830555556
211.41,-36.8148222222,-59.2592222222,48.8892222222,-70.7407777778,-32.0371111111,-15.5554444446,-57.9631111111,-70.1852222223,-6.29627777778,-102.407333333
211.79,-38.1347777778,-62.6983333333,51.3892222222,-83.135,-31.7459999999,-11.9046666668,-60.1188888889,-83.3333333333,-14.6825,-107.738277778
212.17,-40.4142222222,-61.582,43.1261111111,-93.2203333334,-37.2882222223,-17.514,-58.0036666667,-78.7193333332,-24.3877222222,-107.156222222
212.55,-30.5837111111,-61.3934444445,39.3597777778,-83.9924444444,-33.1450000001,-16.0073333332,-54.8023333334,-72.1281111112,-21.4689444444,-94.1619444446
212.92,-13.2381111111,-46.0316666667,54.2062777778,-54.4444444444,-7.4602222222,2.381,-29.2062222222,-44.1268888889,-5.47605555557,-65.8728333333
213.30,-45.2007777777,-100.945555555,63.3571111111,-105.437555555,-26.0047777779,-10.4017777777,-61.9383333332,-87.4703333333,-36.2885,-126.713888889
213.68,-94.9630666667,-177.407444444,88.8887222222,-194.444444444,-64.074111111,-30.7405555557,-122.222222222,-157.407555555,-91.6665555556,-209.629555556
214.06,-177.474777778,-292.929222222,75.7573888889,-325.252444445,-164.141444445,-108.080888889,-221.717222222,-272.222111111,-199.999833333,-337.121277778
214.44,-158.5186,-302.645666667,81.746111111,-321.693,-177.777888889,-85.714111111,-226.984111111,-282.010666667,-200.7935,-318.518555556
214.81,-184.093555555,-375.438444445,83.9179444443,-354.970777778,-228.070222222,-70.7602222223,-264.327555555,-327.485333333,-225.146111111,-334.210555556
215.19,-119.259288889,-243.209666667,87.8600555556,-201.646,-143.621333333,-18.107111111,-190.123666667,-200.823222222,-126.337222222,-206.995833333
215.57,-115.407333333,-230.740777778,58.7036666667,-188.518555556,-127.037,-15.1851111112,-177.037111111,-160.0,-118.148333333,-192.777722222
215.95,-108.724377778,-251.028666667,73.2510555556,-194.238555556,-141.563555555,-8.23055555533,-186.831222222,-141.975444445,-133.539166667,-208.230277778
216.32,-111.367466667,-261.110888889,86.5385555556,-173.931666667,-144.444333333,-8.97444444433,-192.307666667,-140.171,-145.726333333,-220.7265
216.70,-91.8772000001,-218.773777778,91.7624444444,-145.210666667,-124.137888889,11.1112222223,-159.003888889,-106.130333333,-113.984833333,-191.187833333
217.08,-92.7967999999,-180.843,87.1645,-127.586,-131.034444444,14.5593333332,-154.789222222,-92.3371111111,-105.938777778,-189.846666667
217.46,-66.9333333334,-184.888888889,113.555555556,-118.222222222,-141.777777778,46.6666666666,-163.555555556,-68.0,-116.444444444,-166.444444444
217.83,-34.5344222222,-115.014888889,78.9791111111,-72.3724444444,-99.9998888888,21.9220000001,-108.108,-38.4384444446,-74.3243888889,-107.207111111
218.21,-8.62746666667,-73.4205555557,57.2983888889,-42.2657777778,-49.0195555555,32.2438888889,-53.1591111111,5.92118946467e-16,-31.2635555555,-65.468388889
218.59,-19.4969555555,-83.6477777778,33.2283888889,-50.5241111111,-53.8785555557,11.7403333333,-56.8136666666,-0.419444444457,-42.977,-82.9141111111
218.97,-23.3549555556,-92.5925555557,16.6668888889,-56.2092222222,-53.5948888888,-4.3572222222,-62.5272222223,-2.39655555553,-49.3464444444,-99.2374444447
219.34,-5.87071111111,-63.3498888889,16.2519444444,-35.4893333333,-32.8357777778,5.80444444447,-32.5042222222,7.96,-33.5819444444,-66.5008888889
219.72,-0.933977777777,-49.1143333333,25.2012222222,-19.3235555556,-22.7052222222,17.5524444445,-18.6794444444,15.459,-27.4558888889,-55.3141111111
220.10,-2.31480000003,-48.9196666667,23.9967777778,-9.72211111111,-13.426,18.2097777778,-10.3394444444,17.747,-16.1266111111,-50.3858333333
220.47,-6.03606666667,-56.9068888889,6.4565,-21.3213333333,-18.6186666667,12.012,-17.8677777778,9.15922222222,-20.4955555556,-48.1229444444
220.85,-13.6351111111,-60.2194444444,-6.31005555556,-30.8642222222,-16.5982222222,2.74344444447,-24.417,-2.05744444444,-26.4745555555,-46.0218888889
221.23,-6.97315555557,-63.7292222222,-4.21433333333,-31.1623333334,-10.2172222222,3.32066666667,-22.0945555556,-3.32055555554,-19.7317222222,-37.9310555555
221.61,-6.31111111112,-51.0,-8.44444444443,-26.5555555556,-9.1111111111,-2.77777777777,-21.0,-5.11111111113,-16.7777777778,-40.1111111111
221.98,-20.5683333333,-73.6435555556,-21.3178333333,-36.6925555556,-18.863,-6.84755555553,-33.9792222222,-16.0205555556,-25.1293333333,-57.8811111111
222.36,-57.8531777778,-128.436666666,-34.4631666667,-76.083,-45.0094444445,-28.6252222222,-76.0830000001,-46.1393333333,-67.0433333334,-108.474444444
222.74,-76.2395333335,-155.769111111,-38.3548888889,-94.4446666667,-58.5471111111,-42.094111111,-98.2907777778,-65.1707777778,-90.4912777778,-125.320611111
223.11,-67.8570888889,-133.531777778,-28.5715,-88.492111111,-51.3887777778,-25.9923333333,-81.5474444444,-58.9285555555,-88.1943333334,-107.043444445
223.49,-50.9898444444,-123.232222222,-12.9293888889,-79.7981111111,-38.5857777778,-17.5757777778,-70.9091111111,-52.7273333334,-88.1818888888,-102.525388889
223.87,-63.0131555555,-130.131888889,-29.2844444444,-94.9152222223,-52.7306666667,-27.8718888889,-80.2261111112,-72.8813333332,-102.354055556,-113.371055556
224.24,-76.2499333333,-126.388777778,-34.722,-100.694444444,-66.145888889,-40.625,-94.7916666666,-83.1596666664,-111.111,-112.239555556
224.62,-90.1982888889,-142.262,-32.2421111111,-107.341222222,-78.5714444444,-43.0554444444,-107.936666667,-94.6427777779,-129.761833333,-133.928611111
225.00,-61.8753333333,-103.125111111,-3.1251111111,-68.5766666667,-53.125111111,-25.5208888889,-67.0141111111,-63.8891111111,-96.788388889,-107.291777778
225.38,-79.7619555556,-121.031444444,-14.8808333333,-75.7936666667,-62.8967777777,-32.7382222222,-73.2143333332,-74.9998888887,-120.535888889,-126.984166667
225.75,-74.6814222222,-121.675777778,-12.9323888889,-75.592,-54.2804444446,-28.4153333333,-63.2057777778,-71.0381111112,-111.293111111,-122.86
226.13,-27.4796,-70.5962222222,11.3822222222,-39.5665555556,-15.4471111111,0.8128888889,-20.8672222222,-28.3196666667,-63.7532777778,-67.1410000001
226.51,-11.8293111111,-50.7295555556,6.229,-21.2121111111,-1.79577777777,10.2134444445,-6.95855555557,-16.3861111111,-44.5007222222,-46.6892222222
226.88,-2.97028888889,-38.2836666666,11.0561111111,-9.46111111113,9.351,22.8822222222,0.5501111111,-5.83055555557,-29.2629444445,-34.3783888889
227.26,-7.81006666666,-42.3947777778,5.12411111111,-10.6796666667,6.47266666667,15.6416666667,-7.22766666668,-9.81666666667,-28.0477222222,-33.6569444444
227.64,-16.9100222222,-49.6296666667,-8.25411111111,-18.2012222222,0.5291111111,6.13766666667,-12.5925555556,-16.4021111111,-29.1535,-32.6985
228.01,-11.2462222222,-45.5073333334,-8.35738888889,-10.3382222222,2.12566666668,0.966222222233,-12.7535555556,-11.2077777778,-20.0483333333,-22.8504444444
228.39,-3.43917777778,-37.2134444444,-7.3633888889,-3.79199999999,10.0528888889,5.82000000001,-3.26300000001,-4.9381111111,-11.552,-15.6966666667
228.76,8.81524444443,-17.2185555556,5.04055555556,6.0337777778,20.6768888889,18.4695555556,9.27155555557,8.53577777777,2.20755555556,-2.17066666666
229.14,1.84933333333,-22.8186666666,-2.08805555556,-4.698,12.3786666667,11.9314444444,0.596666666657,3.65388888888,-5.03366666668,-7.3453888889
229.52,-0.515266666663,-22.4428888889,-2.35477777778,-8.46211111109,10.3017777778,9.34533333333,-0.88300000001,5.00366666665,-5.81327777779,-8.16783333333
229.89,-5.1064,-25.7684444444,-5.91016666667,-8.90466666663,6.38288888889,8.51077777779,-4.17655555557,2.75811111112,-7.36805555556,-6.14666666667
230.27,-8.56451111111,-29.6026666666,-9.2863888889,-12.571,-0.162333333343,1.78444444446,-7.46133333332,-2.35188888889,-11.1517777778,-9.28638888889
230.65,-3.63008888889,-25.4452222222,-6.40377777777,-10.5174444444,-0.763333333333,5.42833333333,-4.241,1.27233333333,-6.31894444444,-7.76088888888
231.02,-12.5021555556,-35.1398888889,-17.2537777778,-19.9637777778,-13.3693333333,-3.97466666667,-11.6532222222,-9.66566666667,-21.8156111111,-17.1181666667
231.40,-11.4986,-37.7165555556,-19.0112777778,-19.4698888889,-17.533,0.203888888878,-11.2128888889,-7.74722222221,-27.2681111111,-23.1394444444
231.78,-9.21206666664,-33.8382222222,-13.0806666667,-16.9696666667,-16.5654444445,4.34344444443,-10.5048888889,-1.51511111111,-30.8586111111,-22.6262222222
232.15,-2.14884444445,-17.5392222222,-5.5555556667e-05,-10.4684444444,-7.25444444446,12.764,1.10188888889,7.8971111111,-25.6658333333,-13.3608888889
232.53,-0.874311111113,-10.3824444444,9.65383333333,-5.82866666668,-5.92,18.3058888889,4.736,12.2041111111,-25.3187777778,-9.06183333333
232.90,-22.0334666667,-28.9307777778,-8.01883333333,-21.4883333334,-26.8344444444,2.51566666667,-9.64355555557,-3.24933333333,-48.0085,-26.3626666667
233.28,-30.5441777778,-39.456,-17.1768888889,-23.3561111111,-33.4466666667,0.226666666667,-13.2652222222,-7.25622222222,-57.1995555556,-31.0090555555
233.66,-18.9711111111,-28.1892222222,-8.4361111111,-11.0083333333,-23.4568888889,12.0372222222,-3.498,-2.77766666664,-49.9485,-21.2449444445
234.03,-20.0627333333,-24.7381111111,-1.67711111111,-12.1592222222,-21.6981111111,12.4738888889,-1.57222222221,-1.04811111109,-51.0481111111,-22.6937777778
234.41,-37.6189555555,-32.5397777778,-14.9659444444,-21.7686666667,-30.9523333333,8.3901111111,-10.5442222222,-10.6575555556,-66.6102222222,-35.3741666667
234.78,-41.1003777778,-34.9206666667,-15.1852222222,-21.1642222222,-32.5926666667,5.50255555557,-13.2274444444,-13.6507777778,-63.1217777778,-27.9365
235.16,-26.2964,-21.9444444445,-3.00905555556,-10.2778888889,-19.7222222222,11.4815555556,-3.33322222222,-2.59244444443,-43.2406666667,-16.1574444445
235.54,-23.1509111111,-18.6566666667,-1.53383333333,-9.03799999999,-15.4227777778,4.97522222223,1.9901111111,-4.80922222222,-36.2354444445,-12.0234444445
235.91,-32.8695333334,-25.8936666667,-10.5314444444,-17.8743333333,-25.0241111111,1.35277777778,-4.63777777778,-12.9468888889,-40.8695,-21.1595555556
236.29,-47.1708444444,-42.9553333333,-29.7823888889,-31.157,-40.0916666667,-5.72744444443,-17.6403333334,-24.6277777778,-54.4102222222,-39.2326111111
236.66,-51.2076888889,-53.3816666667,-40.1569444444,-36.4735555556,-48.3092222222,-16.7872222222,-25.1208888889,-31.1594444444,-59.5411111111,-41.8478888889
237.04,-47.1286,-51.8151111111,-37.7888888889,-35.5336666667,-45.5445555556,-20.9021111111,-24.6423333333,-29.9228888889,-57.2608333333,-35.2585
237.41,-42.3947333333,-45.0918888889,-32.4706111111,-32.9017777778,-43.9051111111,-18.7702222222,-24.0562222222,-28.0476666666,-56.5801666667,-32.2543888889
237.79,-46.2177555555,-49.8315555556,-38.4400555556,-39.8428888889,-51.1783333333,-27.9461111111,-30.6396666667,-30.3027777778,-63.6362777778,-36.5879444445
238.17,-31.3459555555,-33.6946666667,-29.0425,-28.5454444444,-40.6503333333,-22.6737777778,-19.8735555555,-18.7894444444,-45.0768333333,-24.842
238.54,-23.3089111111,-30.1704444444,-21.9789444444,-21.8978888889,-34.6311111111,-21.7356666667,-16.2205555556,-13.4631111111,-36.0907777778,-16.2610555555
238.92,-22.9784,-29.3981111111,-21.3731666667,-23.071,-36.0341111111,-27.3917777778,-15.8181111111,-12.5772222222,-38.1942777778,-17.4767777778
239.29,-34.3960888889,-41.3042222222,-30.3542222222,-34.7021111111,-46.9404444444,-37.0368888889,-23.1884444444,-19.7262222222,-49.1947222222,-23.4703333333
239.67,-39.2246222222,-49.5896666667,-33.4823888889,-41.0141111111,-51.0065555555,-38.6278888889,-34.1533333333,-24.1611111111,-54.6608888889,-30.0896111111
240.04,-29.5752888889,-41.5938888889,-24.9271666667,-30.1337777778,-39.3253333333,-29.3194444445,-23.6764444444,-20.7677777778,-44.6481666667,-20.0115555556
240.42,-20.6997111111,-31.4422222222,-14.7517777778,-20.4255555556,-29.1725555556,-19.0072222222,-15.4136666667,-14.8464444444,-34.1608333333,-9.74016666667
240.79,-11.3606444444,-21.5985555556,-9.12261111111,-14.659,-18.7914444444,-9.0448888889,-5.8091111111,-7.40733333332,-23.9376666667,-3.00211111111
241.17,-8.51853333333,-19.6364444444,-7.33727777778,-14.0112222222,-16.5618888889,-6.18433333333,-5.62555555554,-5.90477777778,-19.6365555556,-2.88233333333
241.54,-8.13133333335,-20.8016666667,-9.18572222222,-15.6881111111,-17.1716666666,-6.66011111111,-8.45966666668,-8.08077777777,-19.5075555555,-2.77777777778
241.92,-6.62882222222,-19.005,-7.01555555556,-12.4087777778,-13.5712222222,-4.73111111111,-6.73144444444,-7.16411111111,-15.6393333333,-0.229833333333
242.29,-7.00726666667,-19.5945555556,-8.63372222222,-13.939,-13.2632222222,-3.82888888889,-7.45755555557,-8.0831111111,-16.3287777778,0.412888888889
242.67,-5.42986666666,-16.199,-6.83338888889,-12.2974444444,-11.0426666667,-0.38788888889,-5.68100000001,-6.57088888889,-14.7273333333,1.09527777778
243.05,-4.01711111111,-14.5846666666,-5.58794444444,-10.8738888889,-9.1261111111,1.70455555556,-4.96211111111,-6.06266666667,-13.3981111111,0.399111111111
243.42,-2.23022222222,-11.7248888889,-3.51966666667,-8.08255555554,-6.42522222221,3.19211111111,-2.74188888889,-4.74733333333,-11.4998333333,1.15616666667
243.80,0.56808888889,-8.03855555557,-1.14988888889,-6.18366666667,-3.38177777778,5.50711111111,1.29455555555,-2.64744444444,-8.12555555556,4.12566666667
244.17,0.219955555557,-7.2241111111,-1.48844444444,-7.47055555556,-3.71633333335,5.23333333333,0.625666666677,-2.59777777778,-8.64611111111,3.07177777778
244.55,0.432533333333,-6.28599999999,-1.211,-6.95133333333,-2.82877777778,6.17488888889,1.29411111111,-2.01511111111,-7.57083333333,3.74388888889
244.92,-2.04933333333,-8.2658888889,-1.45866666667,-8.06766666667,-4.84411111112,4.75444444444,-1.89077777778,-3.54755555556,-9.12116666668,1.57583333333
245.30,-3.05631111111,-9.69211111112,-2.80338888889,-8.76911111111,-5.40166666666,3.33322222222,-2.752,-5.00844444444,-10.0428888889,0.760555555557
245.67,-1.9362,-7.97966666667,-1.61855555556,-7.24177777778,-3.64344444445,4.44177777778,-1.14433333333,-3.01133333334,-7.88177777778,1.54327777778
246.05,-1.63628888889,-6.53688888889,-1.18144444444,-6.88222222222,-3.45511111111,5.07188888889,-1.23011111111,-2.39066666666,-7.00677777778,1.40272222222
246.42,0.0544888888877,-4.69477777778,0.111277777777,-4.39733333333,-1.43688888889,6.47844444444,0.408777777779,-0.718555555554,-5.30777777778,2.40933333333
246.79,0.592777777778,-4.53133333333,0.00577777777667,-3.87911111111,-0.984222222222,6.40822222222,0.76677777778,-0.103111111112,-4.79472222222,3.43272222222
247.17,0.736333333333,-4.07188888889,-0.315666666667,-3.70388888889,-0.978444444443,6.38688888889,0.841666666664,0.042,-4.26672222222,4.59805555555
247.54,0.748666666667,-4.46233333333,-0.901222222223,-4.19622222222,-1.54644444444,5.99888888889,0.423444444447,-0.147888888887,-4.48688888889,4.42288888889
