wavelength,Back_PhrPunm,Belly_PhrPunm,Breast_PhrPunm,Crissum_PhrPunm,Crown_PhrPunm,DorTail_PhrPunm,Rump_PhrPunm,Throat_PhrPunm,WingTip_PhrPunm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-99.9999999998,-293.333333333,-146.666666667,93.3333333332,-40.0,-360.0,-60.0,39.9999999998,53.3333333334
179.16,53.3333333333,173.333333333,103.333333333,-50.0000000001,73.333333333,29.9999999999,116.666666667,66.6666666665,89.9999999999
179.54,24.4444,86.6668000002,5.99989391503e-11,-40.0000666668,19.9998666667,20.0000666667,102.222266667,-42.2219999999,26.6666000001
179.93,93.3333333334,58.6666666666,82.6666666666,116.0,53.3333333333,60.0000000001,-1.33333333334,93.3333333332,116.0
180.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.69,903.333333333,333.333333333,643.333333334,2176.66666667,1273.33333333,640.0,270.0,1423.33333333,1306.66666667
181.07,516.666666668,208.333333333,330.000000001,1083.33333333,639.999999998,355.0,133.333333333,733.333333334,630.000000001
181.45,993.333333334,553.333333334,726.666666667,1896.66666667,1220.0,606.666666667,299.999999999,1486.66666667,1196.66666667
181.83,279.999933333,197.777733333,196.296333333,462.963066667,318.518533333,176.296333333,176.296266667,371.851933333,295.5556
182.21,-481.666666665,-260.0,-295.0,-868.333333334,-633.333333335,-213.333333333,-350.0,-671.666666665,-430.0
182.59,-271.666666667,-158.333333334,-180.833333333,-477.5,-337.5,-104.166666667,-199.166666667,-320.833333333,-227.5
182.97,-118.666666667,-72.8888666667,-60.4444666665,-242.666733333,-171.5556,-24.8890000001,-113.777866667,-152.0,-92.4444666668
183.35,-101.538466666,-48.718,-41.5385333335,-232.820533333,-156.410266667,9.23073333334,-128.717933333,-164.102533333,-77.4358666668
183.73,-939.999999999,73.333333334,-306.666666666,-2540.0,-1706.66666667,766.666666666,-1300.0,-1820.0,-540.000000001
184.11,1613.33333333,553.333333332,780.0,3000.0,2386.66666667,46.666666666,1913.33333334,2600.0,1073.33333333
184.49,-101.960733333,-38.0391333333,-58.8235333333,-178.039133333,-124.705866667,7.45093333332,-105.098066667,-144.7058,-40.3921333333
184.87,-27.4508666665,15.4901333333,1.9609333334,-47.4509333333,-27.6470666667,29.0195333333,-25.2940666667,-47.0588,7.2548666666
185.25,-41.0526,-6.49119999999,-16.3158666667,-66.8420666665,-45.9649333334,0.877133333254,-44.2105333334,-64.0351333334,-17.3682666666
185.63,-36.3492666667,4.92053333335,-10.1586000001,-64.1270666667,-44.6032000001,3.49219999999,-37.3015333333,-50.7936000001,-16.1905333333
186.01,-13.7852,22.1469333333,6.44066666668,-28.1356,-20.113,14.2373333333,-9.49146666667,-21.8079333333,1.1298666666
186.39,-19.0644,11.462,-3.3918,-36.8421333333,-23.8594666667,5.38000000003,-21.0526666667,-29.8245333333,-8.42113333339
186.77,-13.4328,6.46759999998,-2.98519999998,-28.1592,-16.9154,1.39293333333,-27.5622,-27.5622,-7.36320000008
187.15,-3.61106666666,18.1480666667,4.44440000002,-15.0925333333,-3.79626666666,6.94440000001,-18.4259333333,-13.8887333333,2.12973333335
187.53,-16.3063333334,9.63953333332,-3.51353333334,-20.9908666666,-9.00913333333,-2.61260000001,-27.928,-18.1081333333,-5.85593333333
187.91,-31.5384,-4.10259999999,-16.2393333333,-29.3163333333,-18.8034666667,-15.7264666667,-41.8804,-25.1282,-18.0341333333
188.29,-30.3110666667,2.22206666666,-13.2444,-19.9111333333,-13.2443333333,-9.42219999999,-43.6444666667,-19.7333333333,-16.3555333333
188.67,-21.0255333333,17.0086,0.42733333332,-1.28220000002,-4.95726666667,0.769333333326,-30.8546666667,-6.15393333333,-6.41033333333
189.05,-29.8592,11.5492,-8.16900000002,-7.79333333334,-12.9577333333,-4.50699999999,-42.6291333333,-12.3003333333,-12.3003999999
