wavelength,Back_HemFrof,Belly_HemFrof,Breast_HemFrof,Crissum_HemFrof,Crown_HemFrof,DorTail_HemFrof,Patch10_HemFrof,Rump_HemFrof,Throat_HemFrof,WingTip_HemFrof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.9999666666,91.6239794872,76.6666666668,144.444466667,90.0000666666,87.3203215685,117.7778,64.4443333333,158.888933333,78.8888
179.16,77.0833333332,33.5256410256,60.0,95.0,54.1666666667,36.7647058824,63.3333333333,25.0,102.5,85.0
179.54,50.0000000001,69.7435897436,143.333333333,136.666666667,126.666666667,-15.4901960783,140.0,-36.6666666667,223.333333333,76.6666666666
179.93,89.5555555555,113.487179487,90.6666666667,99.3333333332,90.6666666665,91.5686274509,62.6666666667,65.3333333333,99.3333333334,84.6666666668
180.31,-6.25006666674,43.2691897435,46.6666666667,66.1110666667,38.3334000001,-4.70590980392,-23.6109333334,-24.1666,77.4999999998,-16.9444666668
180.69,-15.4167444446,31.6666871795,45.0001333333,57.5,36.6667333333,-14.3627176469,-23.3333333333,-30.8333333331,76.3888666666,-19.1665333333
181.07,-124.841211111,-24.7253948718,8.0951999998,9.04766666666,-8.0951999998,-106.330639216,-106.190533334,-115.238,29.9998666668,-122.857
181.45,-133.75,-18.5576923076,-2.0833333334,-33.7500000002,-22.0833333333,-99.3137254902,-113.333333334,-105.833333333,-2.9166666666,-146.666666667
181.83,-90.4762888887,-16.1903384615,7.61906666674,-32.0634000001,-16.8253333334,-68.7768392158,-96.8255333334,-66.6667333333,-11.7460666667,-113.3332
182.21,-166.842122222,-89.9055538462,-47.7193333333,-111.578866667,-92.9824666666,-149.659533333,-168.771933333,-141.4034,-88.0701333334,-209.824466667
182.59,-693.333355556,-483.931733333,-328.888933333,-564.444466667,-463.333266666,-724.967207842,-728.888866667,-682.222199999,-555.555533333,-829.999933333
182.97,-494.285633333,-327.765620513,-185.7142,-424.761866667,-289.523666666,-532.60517647,-517.143066666,-497.142800001,-375.238066668,-604.761866667
183.35,480.617355555,343.988579487,223.7038,416.2962,319.259266667,516.557666666,498.518533334,502.962933333,373.333333333,551.111
183.73,352.407522222,242.564153846,193.333266667,302.222266667,231.111066667,388.365921569,342.222333333,362.222333333,293.333333333,417.2222
184.11,-292.715988889,-148.262117949,-100.7408,-208.888733333,-130.370333333,-335.555482353,-253.333333333,-289.6296,-225.925933333,-373.333333333
184.49,-16.9166666666,21.7948717949,19.1666666667,-7.33333333326,20.1666666667,-27.3235294117,-9.00000000014,-21.6666666667,-2.66666666652,-35.3333333334
184.87,2.08888888896,41.1794871795,28.1333333333,11.7333333333,30.1333333333,-10.611764706,-0.26666666672,-3.86666666674,6.93333333326,-13.0666666667
185.25,19.4835777779,43.9507846154,34.8356666667,18.8732,37.277,6.5673137255,9.9530666666,10.0468,20.7511333333,10.6103333333
185.63,20.7457666666,46.6173948718,35.3426,17.5343333333,39.5434,7.60149411765,13.3333333333,13.6073333333,21.6438666667,18.4473333333
186.01,20.9505111111,46.7469333333,31.0844,19.1164666667,38.9558,14.1271019608,20.3213333333,15.9036,22.4898666667,17.751
186.39,23.3907222222,43.1561846154,30.5154666667,20.481,42.4054,19.0094078432,28.1786666667,23.5738666667,24.811,21.4432
186.77,25.4728333333,41.5595846154,30.6337333333,21.8182,37.5207333333,21.2510745098,30.7438666667,24.6832666667,29.9173333333,22.0936
187.15,22.8953333333,36.8368974359,27.1045333333,20.0484666667,33.0414,19.4133058824,30.3649333333,21.4112,26.6181333333,18.9780666667
