wavelength,Back_OryNutf,Belly_OryNutf,Breast_OryNutf,Crissum_OryNutf,Crown_OryNutf,DorTail_OryNutf,Rump_OryNutf,Throat_OryNutf,WingTip_OryNutf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,433.333333333,211.111111111,205.555555556,505.555555556,353.11965812,483.333333333,583.333333333,455.555555556,633.333333333
179.16,95.3703333332,77.7778888889,74.0742222223,128.703555555,88.6681726496,117.592666667,76.8517777777,50.0002222222,108.333333333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,355.555555556,119.444444445,144.444444444,180.555555556,233.782051282,241.666666667,244.444444445,194.444444445,288.888888889
180.31,169.791666667,32.9861111111,35.763888889,172.916666667,113.760683761,211.805555556,161.111111111,92.3611111113,205.208333333
180.69,179.111111111,-5.33333333333,19.111111111,209.333333333,117.162393162,267.555555556,172.444444444,73.3333333333,239.111111111
181.07,144.907333333,-30.0926666668,8.33333333333,218.981555556,105.391665812,264.815,143.518555556,30.0926666667,199.073888889
181.45,212.820444444,-88.0343333334,-35.0424444443,335.897333333,149.598947009,439.316111111,252.136777778,43.5896666667,310.256222222
181.83,150.370444444,-74.8146666665,-39.999888889,283.703888889,109.749276068,355.555444444,202.962777778,34.8146666667,268.148111111
182.21,41.9191111112,-76.2626666668,-29.293,188.383888889,36.1500401709,228.282888889,121.212222222,-9.59611111113,154.545444444
182.59,-5.05055555567,-230.303111111,-143.434444444,326.262666667,-7.49041709433,396.969888889,183.838333333,-133.333333333,203.030222222
182.97,777.777666667,1533.33333333,1203.70377778,-607.407444446,657.207929914,-940.740777778,-81.4815555567,1218.51833333,-40.7408888877
183.35,-114.285666667,-261.111,-146.031777778,215.079222222,-79.7253435898,292.063444445,53.9682222223,-210.317666667,44.4445555556
183.73,-223.456777778,-491.358222222,-223.456888889,358.024888889,-190.683642735,370.370222222,1.23455555577,-343.210111111,-29.6295555553
184.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.49,2333.33333333,3755.55555556,1933.33333333,-3355.55555556,1429.48717949,-1400.0,422.222222223,4744.44444444,411.11111111
184.87,-135.042555556,-232.478666667,-118.803444444,302.563888889,-69.7501128204,135.042666667,15.3846666666,-310.256444445,-22.222111111
185.25,-122.222111111,-204.761888889,-115.873,194.444444445,-94.8779324787,92.0634444443,-16.6667777778,-292.063444445,-23.8096666667
185.63,-285.714222222,-507.936444444,-187.301555556,363.492111111,-232.881564103,114.285666667,-85.7143333332,-671.428555556,-68.254
186.01,-358.333333336,-861.11111111,-158.333333333,688.88888889,-385.769230768,194.444444444,-175.0,-1219.44444444,-177.777777777
186.39,200.0,455.555555556,61.1111111111,-300.0,188.11965812,-87.4999999999,127.777777778,637.5,197.222222222
186.77,30.5555555553,686.11111111,-350.0,-755.555555555,49.8931623933,-375.0,-58.3333333333,847.222222221,-2.77777777767
187.15,58.9743333333,-127.350444444,162.393111111,296.581222222,55.4831581198,163.247777778,75.2137777778,-179.487444444,89.7434444446
187.53,107.407444444,466.666777778,-118.518444444,-385.185222223,9.54408632467,-35.1852222223,22.2221111113,553.703666667,-24.0741111113
187.91,65.6566666663,254.545555556,-167.676666667,-189.899,-23.8616367521,-60.606,-32.3232222221,327.272777778,-35.3534444443
188.29,116.666666667,207.222222222,-61.6666666667,-38.888888889,73.2649572649,7.77777777767,21.1111111111,246.666666667,65.5555555553
188.67,98.9897777777,279.797888889,-266.666777778,-171.717111111,30.1008923078,-144.444444445,-77.7776666667,218.181777778,54.545222222
189.05,11.1111111109,252.222222222,-410.0,-246.666666667,-60.7264957266,-207.777777778,-173.333333334,158.888888889,-38.888888889
189.43,66.6666666667,-192.222222222,576.666666667,366.666666666,160.837606837,312.222222222,268.888888889,-73.3333333333,104.444444444
189.81,46.1987777777,-66.6667777777,305.847777778,194.152,90.5083811964,169.590666667,128.655,-28.0703333333,64.3275555557
190.19,10.5819999998,-92.0634444444,266.137666667,150.793555556,83.7525948719,151.322888889,91.0053333335,-44.9734444447,32.275111111
190.57,21.9047777778,-43.4922222222,167.619111111,104.444555556,66.3906444444,89.8413333332,60.6348888889,3.17444444443,49.2062222221
190.95,-2.52522222223,-38.1314444445,118.434111111,64.6464444443,35.5652282051,64.8987777778,33.0807777778,-3.5527136788e-15,12.3737777778
191.33,12.9252222222,-21.3153333334,134.694,76.6441111111,47.660891453,77.5512222222,53.0613333333,18.8208888889,29.932
191.71,17.9486666667,-7.69222222223,101.196888889,63.7605555555,37.464857265,69.4017777778,49.4017777778,20.0001111111,25.1281111111
192.09,21.598,8.36455555554,80.0252222222,49.563,29.5113418803,54.9313333333,43.3208888889,20.2247777778,21.5978888889
192.47,23.3332222222,10.9875555555,79.3826666667,44.9382222222,29.7454888889,50.0,40.8642222222,23.21,23.7037777778
192.85,26.5231111111,18.0406666667,80.2868888889,48.1483333333,33.259791453,50.0598888889,40.3823333334,19.2353333333,26.0452222222
193.23,23.7374444445,13.973,94.1078888889,48.3164444445,24.4094794872,52.357,36.3635555555,18.3503333333,18.687
193.61,9.59600000002,2.27266666657,106.313222222,47.9797777778,13.9375871795,60.3535555556,37.6262222222,17.4243333333,-0.252666666667
193.99,-10.5691111111,-4.336,108.129888889,40.1084444443,6.65199658122,59.6206666667,31.9784444444,15.1761111111,-30.6235555556
194.37,-20.9876666666,-6.48155555557,121.604777778,43.21,-6.93006923077,51.2346666667,35.1851111111,34.259,-43.5185555555
194.75,-37.0371111111,-13.1685555554,165.020444444,43.6214444445,-19.6455547009,63.3745555555,32.5102222222,18.9301111111,-80.2471111111
195.13,-92.3611111111,-47.916666667,223.611111111,64.5833333334,-50.0480769231,54.1666666667,-19.4444444443,-50.6944444446,-152.083333333
195.51,-301.388888889,-155.555555556,402.777777778,68.0555555557,-178.653846154,38.8888888889,-119.444444445,-143.055555556,-447.222222222
195.89,-792.592555557,-285.185222221,1270.37033333,103.703888889,-491.595477778,-92.5926666668,-514.814777779,-222.222444443,-1266.66677778
196.27,309.259222222,124.074111111,-184.259222222,74.999888889,181.723693162,101.851888889,244.444444445,129.629666667,367.592555555
196.65,234.722222222,38.1944444443,-169.444444444,31.9444444442,100.560897436,15.2777777778,156.25,56.2499999999,266.666666667
197.03,187.407444444,73.3333333332,-42.963,92.9629999999,106.074042735,45.9258888889,130.0,78.1483333332,189.259222222
197.40,541.111111111,147.777777778,-193.333333333,245.555555555,239.752136752,100.0,333.333333333,222.222222222,501.111111111
197.78,213.043444444,53.1401111111,-76.3283333333,117.391333333,96.3471068377,70.0482222222,151.690777778,105.797,177.777666667
198.16,167.777888889,37.037,-62.2222222223,98.5185555556,66.8546641024,56.6666666667,115.555444445,82.5926666668,123.703666667
198.54,144.888888889,2.2222222222,-98.2222222223,100.888888889,31.8358974359,22.6666666667,111.555555556,96.4444444443,105.777777778
198.92,139.939888889,18.3184444444,-20.7203333333,110.210222222,55.7633529914,40.8408888889,112.011888889,85.5856666667,106.606666667
