wavelength,Back_ThlInof,Belly_ThlInof,Breast_ThlInof,Crissum_ThlInof,Crown_ThlInof,DorTail_ThlInof,Rump_ThlInof,Throat_ThlInof,WingTip_ThlInof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,55.3333333333,65.0,24.0,40.3333333333,30.0,34.0,67.6000000001,40.6666666667,28.6666666667
179.16,69.9999999999,70.0,64.1666666667,57.7083333333,69.1666666666,74.7916666666,76.7083333333,66.25,54.1666666667
179.54,27.5758666667,37.4242666667,34.5454,22.2726666666,30.6060666667,37.1211666667,27.8484733333,28.4848,34.8485333333
179.93,41.3333333333,50.8333333333,38.0,28.6666666667,35.6666666667,35.3333333333,51.7,43.6666666667,46.6666666667
180.31,58.9944666667,75.1584,59.8882666667,53.8547333333,57.9143333333,64.2086,71.4190066667,57.5047333333,64.6554666667
180.69,58.5858,72.4243333333,58.8552,53.5353333333,55.1852,62.6094,70.1953066667,56.6666,65.0506
181.07,59.7384666667,72.2875333333,59.6079333333,55.0163333333,56.0782666667,63.9543,70.62082,56.9281333333,66.6012666667
181.45,63.1578666667,79.6141,65.2982666667,61.4034333333,60.1403333333,68.5263,75.2315666667,61.4736666667,72.9825333333
181.83,70.6819333333,89.2235666667,74.2423999999,70.7007666667,67.5757333333,76.7614666667,86.5833,70.1514666666,82.8410666667
182.21,76.5591333333,96.7311333333,80.6022666667,77.0753333333,72.6022,84.8816333333,93.3677866667,73.4194666667,90.3225333333
182.59,71.9738666667,94.0571,77.8948000001,75.6798333333,69.1228666667,80.7895666667,88.78934,69.1666,87.3245333333
182.97,75.3646666667,102.5521,79.7395333334,82.1095333333,69.5312,84.9738666667,93.3073199999,72.4478666667,93.4374
183.35,77.4267333333,106.725233333,79.7077333333,83.9474000001,68.2455333333,86.7252333333,97.6314933333,71.7544,93.0994666667
183.73,83.0612666667,116.836633333,86.3266000001,91.5306666668,70.7483333333,92.6190666667,106.040913333,78.3673333334,100.9524
184.11,78.1176666667,110.4313,79.2941333333,86.3530666667,62.0391999999,87.2550666666,104.329353333,68.1568666667,93.8038
184.49,97.8141999999,137.923466667,91.2569333334,101.4755,73.3334000001,112.513733333,124.185786667,82.4044,107.213066667
184.87,100.283733333,163.971733333,92.0567333333,107.304966667,74.8936666667,125.1773,131.87234,84.3972666665,111.2056
185.25,125.098066667,219.0195,123.3334,133.627566667,94.7058666667,160.4901,167.23526,109.804,153.921666667
185.63,98.7718666665,163.421066667,84.0351333332,90.3508333333,60.0000666666,121.929833333,132.701773333,69.1228666667,116.491133333
186.01,92.6666666667,165.666666667,62.0000666667,70.5555333333,36.0000666667,109.999966667,118.866873333,35.5554666667,97.5556
186.39,61.8802666667,125.470033333,41.1964666666,47.1796,19.1454,74.4444000001,84.6324266667,24.2736666666,61.5385333333
186.77,92.3809333334,164.1666,44.5237333333,49.5237666667,14.9999999999,96.5476000001,108.976133333,21.1904666667,71.6666666667
187.15,83.9216000001,149.215733333,54.5098666667,35.9804333333,19.4118666667,98.0391000001,104.156933333,26.6666,57.4510666667
187.53,72.6985333334,123.888833333,46.1906,27.1428666667,16.0315999999,83.5713333333,79.3809666667,28.2538666667,54.9207333333
187.91,61.2501333333,102.0834,36.9444666667,13.5416,9.58346666665,71.1806666667,66.0415733333,24.1666,42.3611999999
188.29,65.8461333335,97.1795000001,48.2051333333,27.1282,21.7435333333,72.9231333333,61.4565266667,40.2050666667,53.8461333333
188.67,62.2938666667,83.5125666667,51.8996,36.8101333333,31.9713333333,70.8244333333,58.18636,45.0894666667,54.0501333334
189.05,67.5641333333,82.8846,58.3334,41.3141666667,40.5768666666,75.9937,63.9551333333,49.5512,55.9616
189.43,63.1683333333,79.1418333333,54.3235333333,37.5577666667,37.9538666667,76.0395999999,59.65678,44.3563333333,44.5544666667
189.81,63.4666666667,82.8333333333,55.6,36.9666666667,35.4666666667,77.2000000001,59.64,46.4,43.1333333334
190.19,62.2628666668,80.6116,53.6391333333,37.5840666667,33.7614666667,76.6360666667,57.8409333333,46.9725333333,43.7919333333
190.57,67.1305333333,81.5362666667,58.4928666667,44.0579333333,38.0869333333,79.7100333333,58.5506666667,48.5217333333,48.6376
190.95,64.7953999999,77.8070666667,56.842,43.9474666667,36.8422,78.7134666666,54.9648866667,48.8887333333,47.0762
191.33,63.5941333333,74.1448666667,55.0723333333,44.1159333333,36.058,75.2174333333,48.9971,44.2319333333,47.6522
191.71,65.6748666667,72.6169999999,57.7961333333,45.8952666667,39.2287333333,74.7934666666,50.1047,44.6832,47.8237999999
192.09,66.9894666667,75.5107333333,58.3333333333,47.9301333333,40.1613333334,76.3172333333,48.2150666667,46.1828,48.8708666666
192.47,66.0,73.6388666667,58.1667333333,47.8055333333,38.7222666667,74.8055666667,48.25556,43.7776666667,47.9999999999
192.85,66.9616666667,73.8348666667,58.9970666667,45.1623,38.643,71.2978333333,45.3923533333,40.0591333333,45.4277333333
193.23,70.4208666666,74.9838666667,57.0226,45.8252666667,34.7573333333,69.5793666666,41.0485866667,39.8058666667,47.3786666666
193.61,72.4666666668,76.7666666667,56.5333333333,45.5666666667,30.9333333333,69.8666666667,41.9399999999,39.8,53.4666666666
