wavelength,Back_PyrRufm,Belly_PyrRufm,Breast_PyrRufm,Crissum_PyrRufm,Crown_PyrRufm,DorTail_PyrRufm,Patch10_PyrRufm,Rump_PyrRufm,Throat_PyrRufm,WingTip_PyrRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-340.0,-350.0,-283.333333333,-260.0,-276.666666667,-320.0,-153.333333333,-290.0,-273.333333333,-260.0
179.16,8.71806666667,14.3589333333,25.6411333333,6.15379999999,2.05140000001,9.74360000001,23.5898,12.3076,36.923,28.2051333333
179.54,-23.8094666667,-37.1428666666,24.7618666667,-4.76186666666,26.6667333333,-15.238,-4.76193333334,5.71406666666,18.0950666667,21.9048
179.93,35.3333333333,62.6666666667,34.6666666666,36.0,63.3333333333,69.3333333334,28.6666666666,29.3333333333,48.6666666667,62.6666666667
180.31,24.8889333333,-3.33346666665,44.2221999999,34.4444666667,27.6666666667,17.4444666667,21.3333333333,19.5555333333,30.2221333333,33.0000666667
180.69,9.00900000001,-16.036,26.9368666667,14.7749333333,10.9009333333,-2.1622,2.43240000001,2.2522,11.4414666667,16.0361333333
181.07,23.6816666667,-11.3433333333,44.7762000001,25.5722,22.4877333333,6.86566666667,10.7463333333,17.3132666667,22.6865333333,26.9652
181.45,36.6198,-2.91086666667,57.4648666667,39.3428,35.0235333333,23.2863333333,20.6572666667,30.5164666667,26.3849333333,39.9059333333
181.83,49.7297333333,7.29733333335,61.9820666666,43.874,41.9819333333,31.1712,30.9009333333,37.2071333334,34.7748,42.9730666667
182.21,51.4057333333,8.11253333333,64.4177333333,42.3293333333,37.7510666667,31.1646,37.1886,38.0722666667,34.6988666667,43.0521333333
182.59,55.5556,-10.2468666667,84.1974666666,47.0371333333,39.9999999999,30.1234,51.7283333333,45.4320666666,39.6296,44.1975333333
182.97,63.5028666667,3.16399999998,82.0338666666,49.3786000001,48.2485333334,30.9603333333,59.2090666666,52.0903333334,44.9717333333,45.3107333333
183.35,70.7801333335,-7.51779999999,83.6879999999,41.5602000001,47.2340666666,36.8794,67.6595333333,50.9220000001,42.6950666667,43.2623333333
183.73,63.4999999999,-35.0,80.6666666665,21.8333333334,31.8333333334,20.5,60.5,37.3333333333,28.6666666667,32.5
184.11,61.6353333333,-7.42133333334,81.5094666667,33.4591333333,34.8428000001,30.8176666667,53.9623333332,49.3082000001,33.5849333333,49.5596666667
184.49,74.9999333332,16.8054666667,96.9444666667,53.3332666666,57.5000000001,56.8055333333,83.6111333333,61.5278,55.0,75.9722666667
184.87,116.3398,65.2288666666,135.817066667,95.1635333335,98.3005333332,109.150266667,132.0262,109.0196,93.5947333335,121.830066667
185.25,103.615733333,65.0847333334,119.322133333,84.4067333335,87.5706666667,100.452066667,114.802266667,89.7173999999,84.4067333333,110.169533333
185.63,95.3439333334,65.2909999999,107.195733333,76.7196,82.7513333332,89.4179333334,106.666866667,79.5766,80.5291333333,98.7301999999
186.01,87.5213333333,72.4786666666,102.478666667,82.3933333333,82.3932000001,91.3675333333,101.367466667,80.6838,74.9573333334,97.2649999999
186.39,91.2221333332,69.2222000001,108.111,84.3332666668,89.9999333335,99.2222,110.3334,83.7777333333,74.7777999999,104.0
186.77,70.0,58.2050666667,85.3846000001,58.4616666667,70.2564,76.0684666667,83.5897333332,62.3930666667,55.2136666667,80.3418666667
187.15,77.637,67.5105333333,95.6118000001,63.9663333333,74.6835333333,93.2489333333,91.5611999999,65.2320666667,63.6286666667,94.5991333333
187.53,62.5582,54.9611333333,79.1471333334,48.5272,62.2481333334,73.0233333333,72.4032000001,46.124,49.7675333333,78.7597333333
187.91,65.6462,66.7345999999,82.1087999999,56.0544666667,70.0680666666,81.4967333333,77.3468666666,53.6054,52.8571333333,78.5033333333
188.29,74.3434,73.0638666666,82.4916000001,59.1918000001,77.3737333333,87.0706,85.5891999999,54.4108,61.0100666667,81.4140666667
188.67,71.761,65.5973333334,75.4716666667,52.3269999999,69.3082666668,76.2264666667,78.3018666666,49.2452666667,57.044,69.434
189.05,71.409,63.2989999999,76.0824666665,49.4844666667,69.0721333333,76.0823333334,78.0068666667,44.4673333333,56.4261333333,67.4913333333
189.43,64.0000666667,57.0909333333,70.6061333333,45.2728,64.6059333334,71.0302,69.2727333334,40.7271333333,51.1514666667,61.1515333333
189.81,67.8962666667,61.4886666666,73.5923333333,46.2135333333,63.6245999999,74.2394,76.6342666667,42.4596,53.3334666667,62.3302
190.19,59.1024666667,51.6026000001,66.1538666667,36.8588666666,53.3333333334,65.1923333333,68.6538666666,34.8077333333,44.9359333333,53.8462666667
190.57,57.7369333333,53.578,64.0979333333,36.6361333333,52.8440666667,62.2018666667,65.6879333333,33.3334,45.1988666667,50.2140666667
190.95,55.1403333333,50.8412,61.0591333333,35.9502666667,51.1525333333,57.6325333333,59.8132,28.9718666667,45.5452,49.6575333333
