wavelength,Back_SicAurf,Belly_SicAurf,Breast_SicAurf,Crissum_SicAurf,Crown_SicAurf,DorTail_SicAurf,Rump_SicAurf,Throat_SicAurf,WingTip_SicAurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,43.0555555555,84.7222222221,44.4444444444,58.3333333333,54.1666666667,80.5555555556,40.0,27.7777777778,62.5000000001
179.16,294.444444444,516.666666667,433.333333333,288.888888889,322.222222222,416.666666667,483.333333333,494.444444444,261.111111111
179.54,4.7618888889,-38.0951111111,14.2856666667,-34.9206666667,-73.016,9.52366666666,11.2697777778,-5.92118946467e-16,-80.9524444444
179.93,-77.7777777777,244.444444446,-166.666666667,188.888888889,88.888888889,322.222222222,315.555555556,-88.888888889,100.0
180.31,-22.8394444444,79.0124444444,22.8396666667,-59.8765555556,-39.5062222222,3.7037777778,-1.23446666667,51.2345555556,-35.8025555554
180.69,34.7826666667,98.5508888887,48.3089999999,-8.21266666667,6.76322222213,43.4782222222,47.8261555556,78.7438888889,27.5363333333
181.07,1.70933333343,78.6323333332,43.589777778,-75.2135555557,-44.4446666667,-12.8204444444,29.5726444447,72.6495555556,-19.6581111112
181.45,211.110888889,133.333222222,209.876666667,309.876666666,262.963111111,276.543111111,235.802244445,108.641888889,202.469111111
181.83,129.629666667,30.5555555557,154.629666666,180.555444444,168.518555556,191.666777778,151.481377778,51.8518888889,74.0740000001
182.21,324.444444445,-2.22222222233,328.888888889,406.666666667,406.666666666,366.666666667,271.555555556,175.555555556,142.222222222
182.59,-25.6409999998,46.1537777779,-60.6836666665,-47.0086666668,-67.5213333333,-64.9573333334,11.0256777778,13.6751111111,66.6667777778
182.97,-58.8888888887,108.888888889,-38.8888888888,-20.0,-7.777777778,-47.7777777778,101.666666667,61.111111111,114.444444444
183.35,43.3333333333,170.0,-27.7777777776,36.6666666667,24.4444444447,22.2222222223,127.444444444,115.555555556,170.0
183.73,80.5555555558,94.9074444444,45.3704444443,59.2592222222,54.629888889,52.3146666666,92.870288889,96.7591111112,142.129555555
184.11,78.5907777777,87.2628888888,67.7505555556,72.8995555556,66.6666666667,73.9837777779,84.4985777778,92.1408888888,123.306111111
184.49,115.825,114.814888889,103.703666667,102.020333333,102.693666667,103.703555555,115.0843,120.202111111,145.118
184.87,93.9153333332,106.878333333,94.1799999999,88.6243333332,95.5027777778,93.3862222222,99.4975222223,102.91,123.809666667
185.25,101.133666666,129.024888889,103.174666667,97.9592222224,97.2790000001,104.535,111.405833333,116.780222222,129.931888889
185.63,92.6407777777,105.483333333,93.2178888888,85.1371111111,84.8486666666,94.3721111113,102.770666667,96.1037777777,102.020222222
186.01,83.9999999999,98.6666666665,83.1112222222,78.8148888889,83.5555555556,85.9258888889,99.0815222223,89.3334444445,92.1481111112
186.39,84.9674444446,106.372666667,77.6143333333,86.1111111111,94.7712222223,89.7058888888,102.908366667,101.960666667,103.594666667
186.77,72.3163333332,102.636444445,65.7249999999,73.4463333333,85.3106666667,74.9528888888,90.3201444445,93.9737777779,88.7003333334
187.15,81.5515555556,86.7925555557,58.2810000001,63.7316666667,70.0207777778,63.7317777777,78.4904777777,84.9056666666,77.3584444444
187.53,80.2721111111,99.7732222223,67.120111111,66.8934444446,75.737,72.7892222222,93.2652000001,100.226777778,76.4172222222
187.91,77.2030000001,103.256777778,64.368,75.4788888889,82.1838888889,78.3525555557,95.4214333334,104.022888889,77.0115555556
188.29,76.9696666667,107.272777778,71.1111111111,65.2524444444,87.4748888889,86.2626666667,110.929333333,100.202,81.2122222222
188.67,69.4991111111,98.9105555554,62.0915555556,64.9236666665,77.3421111111,84.5316666667,104.640622222,91.5033333332,86.0566666666
