wavelength,Back_AniNotf,Belly_AniNotf,Breast_AniNotf,Crissum_AniNotf,Crown_AniNotf,DorTail_AniNotf,Patch10_AniNotf,Patch11_AniNotf,Patch12_AniNotf,Rump_AniNotf,Throat_AniNotf,WingTip_AniNotf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,88.8888333333,61.1111666666,66.66675,19.4446666665,-79.1666250001,-77.7778333335,127.777833333,-88.8888333333,44.4445,50.0001666667,55.5554999998,-66.6665
179.16,180.555666667,138.889,175.0,138.88875,205.555583334,194.4445,172.222333333,202.778,152.777666667,163.888833333,197.222333333,152.778
179.54,-183.333166667,5.5555,-277.777833333,-105.555416667,-256.944291667,-327.777833333,-155.555666667,-222.222333333,-205.555333334,-283.333333333,-194.4445,-133.333166667
179.93,-27.0833333333,-20.8333333334,5.20833333335,4.16666666665,-74.4791666667,-39.5833333333,-18.75,-58.3333333333,-25.0,-37.5,-85.4166666668,-37.5
180.31,-9.33333333335,-1.5555,-30.889,7.77783333335,-64.333375,-61.5555,-16.4443333333,-54.6666666667,-26.6665,-22.2223333334,-55.7776666667,-36.0001666667
180.69,-11.7646666667,-1.1763333333,-26.9608333333,8.23525,-61.0295,-57.647,-19.2155,-53.1375,-29.0195,-19.6078333333,-55.2941666665,-31.9606666667
181.07,-25.502,-8.83566666665,-33.2329166667,0.70316666665,-70.6324583334,-67.8715000002,-35.9438333333,-65.8633333333,-38.3533333334,-30.9236666666,-76.3051666665,-35.542
181.45,-15.1851666666,-7.5923333333,-29.6295,2.03708333335,-61.1574166667,-61.2963333332,-36.1111666666,-59.4443333334,-32.5925,-24.0738333334,-69.4443333331,-30.0
181.83,-24.3136666667,-19.804,-36.9604166667,-5.098,-67.9902916666,-65.0981666668,-51.7646666667,-75.6863333334,-37.451,-27.8431666666,-88.6273333334,-40.392
182.21,-26.5351666667,-21.9298333333,-54.49575,-3.9475,-78.0151666667,-75.6578333333,-64.9123333333,-89.0348333335,-46.4913333333,-23.4648333334,-105.701833333,-44.0791666667
182.59,-24.8755,-27.8605,-64.92525,-15.5470833333,-92.3507083331,-90.5471666668,-81.8406666667,-115.422833333,-57.2138333333,-34.0796666666,-126.368166667,-61.6915
182.97,-38.7598333334,-60.8526666665,-107.364333333,-55.2321666667,-168.216916666,-151.162833334,-154.651166666,-189.534833333,-99.9998333335,-70.5426666667,-220.930333333,-101.550333333
183.35,-28.8618333333,-42.2761666667,-94.1059166667,-49.1869166667,-171.239875,-135.365833333,-146.747833333,-186.585333333,-85.7724999998,-63.4145,-219.105666666,-95.9350000002
183.73,-76.0416666665,-76.5625,-159.635416667,-94.2708333333,-239.84375,-188.020833333,-210.9375,-259.895833334,-132.8125,-108.854166666,-287.5,-120.3125
184.11,-172.727333333,-156.818166667,-295.07575,-189.394,-380.681958334,-317.424166667,-381.0605,-434.848666667,-246.212,-220.4545,-459.090666666,-213.636666667
184.49,-99.2423333332,-126.515166666,-278.030333333,-186.3635,-330.302875,-312.878833333,-365.909,-418.9395,-210.606166667,-193.181833333,-429.5455,-181.818
184.87,-30.9521666667,-73.8096666665,-195.535583333,-111.90475,-227.678708333,-216.071333334,-254.1665,-301.785666667,-125.0,-132.142666667,-313.095333333,-113.095166667
185.25,10.6838333333,-23.077,-132.4785,-55.98275,-145.619708334,-137.607,-155.5555,-198.717833333,-79.0598333333,-58.9745,-193.589666667,-70.0853333335
185.63,25.7311666667,20.1753333334,-61.8423333333,-16.8125833334,-75.438625,-66.6663333333,-75.4386666667,-106.725166667,-37.4268333333,-20.1755,-98.8306666666,-23.9766666667
186.01,43.0955,21.4285,-43.6905833333,-7.14275,-56.4880833333,-47.1428333332,-45.4761666667,-76.1903333333,-22.1428333333,-11.4285,-60.9526666667,-7.14283333335
186.39,34.4016666667,18.1625,-38.9958333333,-14.5298333334,-51.4954166667,-44.2308333335,-46.5813333334,-74.5726666667,-19.4443333333,-18.5898333333,-51.0685,-2.3503333333
186.77,19.1781666667,19.6348333333,-48.97275,-16.6665833334,-57.2488333334,-57.7625000002,-52.0546666667,-83.105,-28.767,-29.9086666667,-58.4473333334,1.36983333335
187.15,7.94583333333,16.0851666667,-45.5423333333,-13.3721666666,-45.6879166666,-51.5505,-44.5736666666,-78.6821666667,-35.8528333333,-23.4495,-44.38,-4.4575
187.53,4.386,10.7018333333,-51.31575,-9.64916666665,-42.5437916666,-47.8946666667,-47.3685,-72.105,-42.8071666667,-26.316,-39.6491666667,-2.6315
187.91,9.64933333334,15.6141666667,-42.105,0.08775,-30.3507916667,-39.8245,-36.4911666667,-60.7018333333,-35.6138333333,-14.5615,-34.9123333333,5.7895
188.29,30.9308333333,27.0271666667,-17.41725,17.49225,-6.34383333333,-17.4175,-11.111,-29.7298333333,-11.4115,3.4535,-12.9128333333,21.1711666667
188.67,32.8906666666,30.9735,-13.86425,15.9293333333,-4.12979166667,-13.1268333333,-5.1623333333,-24.6313333333,-16.5195,7.96466666666,-3.68750000002,19.4688333333
189.05,29.71,28.5508333333,-16.9568333333,10.7968333333,-10.6160833333,-15.7971666666,-4.203,-27.3913333333,-21.3045,4.63783333332,-8.8405,15.5073333333
189.43,23.2026666666,14.0521666667,-36.7646666667,-0.653583333335,-22.1405416667,-25.817,-13.562,-39.8693333333,-31.209,-7.51633333335,-16.6666666667,6.37266666665
189.81,16.5016666667,2.80516666665,-44.5545,-9.07575,-25.7012083333,-31.353,-18.1516666667,-47.3598333333,-34.1585,-14.1915,-26.8976666667,0.99
190.19,20.2748333333,10.481,-44.07225,-4.72508333335,-20.103,-30.4123333333,-13.9175,-42.2681666667,-38.1443333333,-9.62216666665,-27.3196666667,2.9211666667
190.57,28.5461666666,7.62416666665,-41.7554166666,-1.86175,-9.92891666665,-31.0285,-6.02833333335,-27.6596666667,-37.5886666666,-6.73766666668,-23.2271666667,-5.142
190.95,39.9691666667,8.17916666668,-27.0833333334,6.09558333333,0.77175,-16.9751666667,1.38883333335,-15.2778333333,-25.463,5.86416666669,-12.8085,1.2345
191.33,42.8788333334,6.51499999999,-25.2270833333,9.31825,0.909083333335,-14.5456666666,3.9395,-10.9093333333,-17.8786666667,4.84850000001,-13.485,3.63666666665
191.71,38.488,-4.98283333335,-31.9586666667,-2.835,-7.51720833333,-29.2096666666,-4.81116666665,-23.024,-27.663,-6.18583333335,-27.1476666667,-8.7628333333
192.09,20.5261666667,-25.9648333333,-49.4736666667,-23.2456666666,-33.5088333333,-47.1928333333,-31.93,-42.9823333333,-50.3506666667,-30.5263333333,-51.579,-35.614
192.47,9.69383333334,-30.6121666667,-54.4216666666,-35.8845,-45.1105833334,-51.1901666667,-35.5441666667,-52.0408333334,-60.0336666667,-33.6735,-58.8435,-42.347
192.85,4.0405,-35.017,-59.4274166667,-36.8688333334,-48.3164166667,-49.8316666667,-41.9191666666,-54.882,-57.0706666666,-39.5623333333,-67.5083333334,-41.4141666667
193.23,-10.6428333333,-66.2651666667,-86.6465833334,-63.0521666667,-66.114375,-78.1123333334,-74.6986666666,-79.7188333333,-91.1645,-64.4578333333,-91.5665000002,-73.0925
193.61,-6.39533333333,-56.9768333333,-75.7751666666,-60.8529166667,-55.6202083333,-72.0929999999,-72.6743333334,-64.5351666666,-87.9843333332,-63.372,-85.2713333333,-63.566
193.99,-8.43366666668,-60.0403333334,-84.93975,-69.0761666667,-64.9596666667,-85.1406666665,-83.3333333331,-70.6826666667,-102.008166667,-69.4779999998,-89.9598333335,-72.2890000001
194.37,-14.6048333333,-56.3573333333,-73.9690833333,-65.55,-58.6768333334,-77.3195000002,-75.6015,-61.3401666667,-87.9723333332,-62.0275,-79.897,-66.8385
194.75,-13.8333333333,-55.3333333333,-68.1666666667,-73.5,-63.25,-75.5,-71.6666666667,-67.8333333333,-87.8333333331,-59.5,-81.6666666669,-65.3333333333
195.13,-18.0685,-52.4921666667,-60.7476666666,-80.0624166666,-58.061,-73.6758333331,-67.757,-64.9531666666,-88.4733333334,-59.6573333333,-80.3738333334,-63.863
195.51,-35.2836666666,-68.7943333334,-81.3830833334,-100.266083334,-76.64,-95.7448333335,-87.0566666665,-82.2694999998,-115.248333333,-76.0638333334,-100.531833333,-82.9786666666
195.89,-52.4391666666,-89.8373333335,-108.84175,-132.114166667,-94.30875,-118.292666667,-114.024333333,-101.016333333,-141.463333334,-92.2764999999,-118.902666666,-103.861833333
196.27,-50.889,-94.6666666669,-119.5555,-149.5555,-95.111,-126.888833333,-121.3335,-106.888833333,-150.889,-92.4444999999,-123.555666667,-105.555666667
