wavelength,Back_LanVerf,Belly_LanVerf,Breast_LanVerf,Crissum_LanVerf,Crown_LanVerf,DorTail_LanVerf,Patch10_LanVerf,Patch11_LanVerf,Rump_LanVerf,Throat_LanVerf,WingTip_LanVerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-5.0,-118.333333333,-105.0,-51.6666666667,-81.6666666666,-20.0,-103.333333333,-110.833333333,-65.0,-81.6666666667,-118.333333333
179.16,43.9394166666,-8.33333500003e-05,18.9394166667,21.9695833333,17.4244166667,8.33333425002e-05,14.3939166667,-12.4999583333,-15.1514166667,25.0,-6.06058333332
179.54,10.1851666667,-39.8148333334,-12.037,-4.62958333332,-11.1111666667,-35.18525,-29.6295833334,-45.3702083333,-16.66675,-19.4444166666,-46.2962500001
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-19.697,-100.757666667,-69.1288333333,-25.7575833333,-49.62125,-42.2349166667,-81.25,-84.3749583332,-48.6744166668,-37.6893333334,-82.9546666668
180.69,-32.3333333333,-112.333333333,-78.1666666667,-37.5,-65.3333333333,-56.8333333333,-83.6666666668,-95.8333333334,-58.1666666666,-50.0000000001,-95.3333333334
181.07,-59.8289166667,-152.13675,-111.966,-56.1965833334,-90.8119166665,-83.5470000001,-111.965916667,-130.876083333,-80.1280833334,-76.7093333333,-129.48725
181.45,-96.5053333334,-208.333416666,-161.290333334,-94.8925833331,-134.139833334,-114.784833333,-155.1075,-184.0055,-102.150583333,-112.903166667,-173.387
181.83,-141.666666667,-278.985583333,-216.6665,-129.347833333,-185.869666667,-152.536166666,-206.521583333,-253.07975,-130.434666667,-168.47825,-228.260916667
182.21,-87.3656666666,-194.086,-140.3225,-72.5806666666,-122.849333333,-91.3979166667,-127.419416667,-170.29575,-77.1506666667,-117.741916667,-158.333333333
182.59,-48.0158333333,-118.055583333,-82.3413333335,-37.8967499999,-64.8810000002,-48.8094166666,-59.1269166667,-104.662625,-38.4919999999,-65.2778333334,-103.373083333
182.97,-27.52975,-72.7677499999,-46.7261666667,-15.6249166667,-31.9940833333,-19.1964166667,-23.0654166667,-64.8810833334,-18.0061666668,-34.0775,-65.47625
183.35,-16.6666666667,-56.1868333333,-33.9645833333,-3.15658333333,-19.192,-9.21733333334,-7.9545,-50.2525833333,-1.894,-21.5908333333,-51.8938333334
183.73,-22.3430833333,-51.57025,-40.0965833333,-5.91775,-20.65225,-9.90325,-5.19333333333,-52.2343750001,-0.724666666675,-25.8455,-51.0870833334
184.11,-33.48475,-71.5149166667,-49.8484166667,-16.6666666667,-29.0909166667,-21.0605833333,-10.3030833333,-78.3335,-7.4242499999,-45.4545833334,-69.6969166666
184.49,-47.8175,-89.0871666668,-62.4999166667,-25.3966666666,-33.9287500001,-33.9286666667,-3.57141666667,-105.952458333,-9.72225000009,-56.1507500001,-79.3650833333
184.87,-48.9315833333,-78.8461666666,-63.0341666666,-23.5042500002,-17.3076666667,-27.5640833333,-4.9145,-99.5727083334,-1.49566666657,-56.8377499999,-73.5043333333
185.25,-15.64325,-35.52625,-22.9533333333,-3.21633333325,3.80108333333,-2.77775,17.8363333333,-48.0994583332,15.2045833333,-22.22225,-33.1871666668
185.63,-7.80399999999,-20.8993333333,-14.02125,12.1694166667,11.2434166667,2.11658333332,24.6031666667,-30.1585416667,19.5766666667,-15.873,-25.39675
186.01,-10.0575,-26.5805,-18.8218333333,7.3275,14.5113333333,0.43108333335,23.13225,-30.0287083334,16.5229166667,-13.362,-28.5919166667
186.39,-7.99316666668,-22.7889166666,-20.9183333333,6.80291666657,15.47625,-0.3400833333,27.5510833333,-29.1665833333,20.0680833333,-10.7143333333,-25.85025
186.77,11.7423333333,-0.37891666665,-3.40908333333,25.5682500001,38.0680833333,18.1816666667,46.5910833332,-11.0797083333,48.2954166666,7.76516666668,-6.62899999983
187.15,28.0555833334,-0.555499999925,1.38891666675,36.6668333334,61.3890000001,20.8334999999,70.2777499999,-10.0,74.1665833333,5.83333333335,-2.5001666666
187.53,63.1578333332,29.386,43.8595833333,75.4387499999,113.157916667,78.0701666667,139.91225,12.2808333333,129.386,13.1579166666,17.544
187.91,175.980333333,112.745166667,143.627416667,152.94125,194.1175,190.686333333,240.68625,110.539208333,217.647083333,95.0979999999,78.9215833334
188.29,246.111083333,164.999916667,178.3335,172.777833333,235.555583333,254.4445,287.777833333,169.722083333,267.222166667,140.0,116.666833333
188.67,304.166583333,188.6905,214.285666667,192.261916667,262.5,315.47625,326.190583333,200.892791667,285.119,154.762,146.428666667
189.05,-641.666666667,-342.708333333,-448.958333333,-384.375000001,-479.166666667,-614.583333332,-677.083333333,-389.0625,-531.250000001,-315.625,-333.333333333
189.43,-205.95225,-106.547666667,-146.72625,-124.702333333,-151.1905,-191.96425,-197.321333333,-122.470291667,-163.988166667,-108.035666667,-114.58325
189.81,-139.682583333,-65.8729166666,-99.8014999999,-74.2063333333,-100.396833333,-131.547583333,-126.190416667,-79.4643750002,-104.166666667,-61.1110833333,-78.7699166667
190.19,-143.84925,-75.1984999999,-100.793583333,-71.8253333334,-97.8175000002,-134.325333333,-130.15875,-80.1587083334,-103.76975,-51.98425,-87.8969166666
190.57,-140.0795,-65.47625,-93.0555833335,-66.66675,-95.238,-129.365,-125.396833333,-60.615125,-95.0396666667,-40.07925,-83.9285000001
190.95,-75.6719999998,-15.5913333333,-36.5590833334,-19.6235833333,-30.2418333333,-60.2151666667,-63.3065833333,-8.26612500001,-34.0053333334,-1.74725000001,-33.7365833333
191.33,-59.6428333333,-5.71433333333,-16.5475833333,-7.14283333333,-7.61908333333,-48.33325,-44.40475,7.97616666668,-18.5714166667,3.57141666666,-15.4761666667
191.71,-43.6509166667,1.98416666668,-2.38116666667,5.95233333335,7.44041666665,-31.4483333333,-24.7024166667,16.3192916667,-3.96824999997,9.02775000001,-5.65474999999
192.09,-39.78175,0.892916666675,-2.28175000001,4.96041666667,7.14283333332,-29.1666666667,-21.0318333333,17.16275,-6.44849999999,8.53183333334,-9.92058333333
192.47,-45.6395,-3.97275000003,-9.39916666668,-6.68600000001,-5.03891666666,-33.0426666667,-32.6550833333,8.47866666666,-12.1125,0.0969166666743,-18.6045
192.85,-43.5764166667,-8.42008333333,-8.68041666665,-12.2395833333,-7.72566666668,-31.1631666667,-33.59375,1.82291666667,-16.7535,-0.868083333318,-16.57975
193.23,-53.73575,-19.8275,-20.4023333333,-23.37175,-16.9540833333,-44.4443333333,-46.9348333333,-9.57854166665,-30.2683333333,-13.6015,-24.61675
193.61,-65.6666666667,-34.3331666667,-26.6666666668,-32.0000833333,-24.33325,-52.55575,-65.111,-18.222125,-38.22225,-21.1110833333,-29.22225
193.99,-81.3725833334,-48.7744166667,-42.5243333333,-47.4264166668,-40.44125,-70.9558333335,-90.0736666668,-35.8455416667,-58.4559166667,-41.2990833333,-43.1374166666
194.37,-76.4444166666,-44.1110833333,-41.2222500001,-48.1111666667,-38.3334166667,-67.6666666666,-87.1110833333,-34.5000833333,-49.889,-43.5555833333,-35.66675
194.75,-62.0689166666,-35.9195,-37.1646666666,-38.8889166667,-26.7241666667,-58.0461666667,-74.7126666667,-30.986625,-39.6550833333,-33.2375,-29.7893333334
195.13,-68.6553333333,-46.30675,-48.1061666666,-51.3257499999,-40.7195,-68.3711666666,-81.0606666668,-44.79175,-50.09475,-38.6363333333,-39.3939166667
195.51,-77.6216666667,-58.1460833333,-64.0448333333,-64.4195000001,-53.558,-77.7154166668,-91.3857499999,-62.219,-62.17225,-48.221,-55.4306666667
195.89,-72.3149166667,-55.8334166667,-60.9259166666,-64.8147499999,-50.1851666667,-68.9815000001,-89.72225,-59.5370833333,-56.1110833334,-43.9815833333,-53.8889166667
196.27,-57.1304166666,-40.7215833333,-46.9930833333,-50.3436666667,-36.2543333333,-51.804,-74.1409166667,-46.0480833333,-41.0651666667,-30.0686666667,-40.72175
196.65,-59.7220833333,-51.5873333333,-52.6784166668,-55.5555833334,-33.33325,-59.4245,-80.0596666668,-55.1091666667,-48.0158333334,-34.0278333333,-47.51975
197.03,-59.632,-57.684,-62.2293333333,-56.2771666668,-34.19925,-64.3937499998,-87.1211666666,-59.03675,-54.3289166666,-40.04325,-55.9525
197.40,-53.6795833333,-50.54125,-52.1644166667,-47.9439166667,-23.9176666667,-54.65375,-76.7315,-47.943625,-44.9135000001,-29.9784166667,-49.89175
197.78,-40.7736666667,-39.1865,-39.6825,-35.2183333334,-10.6151666667,-43.65075,-61.1110833333,-33.382875,-31.746,-17.758,-39.3848333334
198.16,-38.73625,-39.4689166667,-36.99625,-31.3186666667,-5.58616666667,-42.39925,-55.4029166667,-30.90675,-24.63375,-18.0403333333,-37.54575
198.54,-35.3968333334,-41.58725,-36.34925,-30.873,-5.0795,-43.3334166666,-50.71425,-32.4205,-27.5396666667,-19.1269166667,-41.5873333334
198.92,-45.0336666666,-54.293,-45.8755,-45.202,-17.4244166667,-54.7980833333,-57.744,-44.6550416666,-37.963,-34.5118333333,-55.8923333333
199.30,-39.5833333333,-47.9166666667,-39.5833333333,-36.8333333333,-9.25,-50.8333333333,-50.9166666667,-38.6666666667,-30.0833333333,-32.0833333333,-52.4166666667
199.68,-39.2731666667,-51.6844166667,-38.0319166667,-34.9290833333,-10.195,-53.4573333333,-57.44675,-38.297875,-27.6596666667,-34.1310833333,-53.6348333334
200.06,-41.5825,-51.6835833333,-39.9830833333,-34.0909166667,-14.3938333333,-58.5857500001,-59.76425,-42.8030833333,-29.5455,-35.522,-56.3131666667
200.44,-50.89,-61.89325,-49.9999999999,-41.1811666667,-29.288,-73.3010000001,-67.5566666667,-50.9709166667,-38.10675,-46.1974166666,-65.12925
200.82,-55.9413333334,-66.20375,-56.3271666668,-45.0616666667,-39.4290833333,-78.7809166667,-73.37975,-52.7775,-40.3549166666,-51.8520833334,-71.2190833333
201.19,-63.5313333333,-75.5775,-61.7985833334,-52.55775,-45.0495,-88.6962500001,-81.27075,-58.374625,-41.99675,-58.8285000001,-78.0528333333
201.57,-62.0,-76.8333333332,-59.9166666667,-53.8333333333,-44.4166666667,-94.3333333333,-80.4999999999,-57.5416666667,-37.5,-59.1666666666,-76.5
201.95,-61.3035,-73.2673333333,-59.9835833333,-53.7954166667,-41.7491666667,-93.152,-75.33,-56.3944166667,-35.64375,-60.396,-76.3200833333
202.33,-53.33325,-63.712,-51.9698333333,-46.1363333334,-35.6060833333,-79.6970833334,-64.3938333333,-47.8030416667,-28.2575833333,-50.2271666666,-66.06075
202.71,-48.2415,-56.5746666667,-49.2354166666,-44.0368333333,-33.1039166667,-73.08875,-58.7918333333,-44.7630416667,-24.3118333333,-48.9295,-59.86225
203.09,-54.8165,-62.0795,-54.3577499999,-47.85925,-35.8563333333,-75.7644166668,-65.82575,-48.7002916667,-30.1223333333,-52.2170833333,-59.4036666666
203.47,-69.6896666667,-82.4346666667,-69.3627500001,-67.0751666667,-50.8986666667,-91.7482500001,-83.3334166666,-67.60625,-44.6894166667,-67.1569166667,-70.5065
203.85,-63.2133333333,-76.051,-64.4894166666,-64.71475,-48.19825,-85.6605833335,-75.6006666666,-63.3634583333,-44.66975,-60.2853333333,-63.7385833334
204.22,-69.1418333333,-83.6634166666,-73.0198333332,-73.1023333333,-58.9934166666,-93.8945000002,-80.9405833334,-69.0594166667,-53.1353333333,-68.3993333334,-67.5741666666
204.60,-70.656,-89.3618333334,-80.14175,-81.7375,-57.181,-94.9469999999,-85.7270000001,-76.0637916668,-55.5850833333,-71.0105833333,-71.8972499999
204.98,-57.29175,-71.3140833333,-65.3045000001,-69.7114166667,-41.266,-76.8429166666,-69.8716666668,-63.181125,-45.9134166668,-56.0096666666,-52.8044166667
205.36,-43.8346666667,-53.5909166667,-50.7451666667,-55.75875,-25.88075,-58.33325,-53.9296666667,-49.0175416667,-31.9106666667,-39.43075,-40.3793333333
205.74,-43.4139166667,-53.4945,-52.6881666667,-54.36825,-24.7984166667,-55.9139166667,-53.293,-51.6465833333,-32.9973333333,-38.4409166667,-41.73375
206.12,-35.5838333333,-45.4379166667,-45.3770833333,-48.17525,-21.1070833333,-51.70325,-48.7225833334,-46.4415416666,-26.09475,-31.5085833333,-35.46225
206.50,-26.8320833333,-36.9975,-37.2930833333,-40.54375,-12.7069166666,-43.1443333333,-43.5578333334,-38.5342916666,-21.33575,-23.64075,-27.6595
206.87,-40.8855,-49.8048333333,-49.4140833333,-53.9064166667,-22.7866666667,-56.8360833333,-59.961,-49.251375,-32.29175,-32.7475833333,-36.0026666667
207.25,-40.2666666667,-48.0666666667,-48.2,-52.7333333333,-19.4666666666,-55.6666666667,-59.0,-49.5666666667,-29.8666666667,-33.0,-36.8
207.63,-36.2043333333,-40.4060833333,-43.9075833333,-49.0195833333,-12.395,-51.4705833333,-54.6918333333,-42.2269166667,-23.9495,-28.6415833333,-33.1933333333
208.01,-46.6360833333,-47.477,-54.2813333333,-58.257,-17.0489166667,-62.1559166667,-64.6024166667,-53.2874583333,-30.96325,-38.30275,-44.6484166667
208.39,-56.8629166667,-57.51625,-62.9901666667,-66.0948333333,-17.56525,-72.0588333333,-74.5913333333,-59.0685833333,-37.255,-42.8920833333,-56.2909166667
208.77,-56.1855,-55.6701666666,-59.79375,-63.6598333333,-17.268,-73.1958333334,-76.5463333333,-56.056625,-35.8246666667,-42.7835,-56.87275
