wavelength,Back_RamPasm,Belly_RamPasm,Breast_RamPasm,Crissum_RamPasm,Crown_RamPasm,DorTail_RamPasm,Rump_RamPasm,Throat_RamPasm,WingTip_RamPasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-66.6666666667,-20.0,-6.66666666658,9.99999999999,9.99999999999,-8.33333333342,-6.66666666682,53.3333333334,-76.6666666667
179.16,-24.9999999998,-91.6666666667,-83.3333333332,8.3333333335,-145.833333333,37.4999999998,-25.0000000002,-12.5,-8.33333333332
179.54,96.2121666665,114.394,131.818166667,87.12125,97.7273333333,103.030333333,103.78775,93.1818333333,74.9999999999
179.93,183.333333334,230.5555,208.33325,113.88875,166.66675,188.888916667,158.333333333,111.111083333,63.8888333333
180.31,21.5909166667,80.87125,89.3939166667,46.78025,49.6212499999,21.5908333332,49.0527499999,58.1439166667,-7.19683333333
180.69,29.8483333333,84.5454166668,96.9696666668,51.2121666667,56.3636666666,28.1817499999,52.5756666667,65.9089999999,8.0303333333
181.07,38.0769166667,82.5640833334,94.8717500001,53.9743333333,60.1281666667,31.79475,58.5896666667,65.8975,24.87175
181.45,40.8536666667,77.8455833333,89.7358333332,53.5570833334,60.1626666667,39.3293333334,55.4879166666,66.5650833333,29.5731666666
181.83,31.0501666667,72.9450833333,82.6483333333,50.3425,55.0228333333,27.39725,45.7763333334,61.644,20.5478333333
182.21,25.2191666667,64.4736666667,80.2632500001,50.7675833333,46.92975,19.4079166667,41.9954166666,59.8686666667,18.75
182.59,30.9178333333,68.7198333333,86.35275,54.3478333333,47.1014166667,17.14975,46.4976666667,68.9613333333,22.8261666667
182.97,51.7708333333,82.8125,96.875,65.0,62.1875,36.6666666667,59.4791666667,82.6041666666,38.9583333333
183.35,53.05175,88.4976666667,109.155,64.4366666667,63.6150833333,31.3379999999,58.3332500001,90.6103333333,42.6055833333
183.73,54.9730833333,85.7526666667,110.887083333,58.0645,58.1990833333,23.7903333334,52.1504999999,87.6344999999,43.2794166667
184.11,57.5000833333,74.52375,106.1905,57.2619166667,53.4523333333,33.5713333334,50.8332499999,87.1429166666,45.8334166667
184.49,44.62025,60.2320833333,89.0296666668,46.8355833334,43.0380833333,27.00425,41.9831666666,78.5865833333,35.7594166667
184.87,46.4911666667,57.56575,86.5131666667,49.7808333333,41.6665833334,29.4955833334,44.5176666666,81.68875,29.7149166667
185.25,52.8539166667,60.6165,90.0684166668,48.9725833333,40.525,35.3880833334,44.8629166667,84.8173333333,28.1965
185.63,49.487,58.2053333333,91.5385833334,46.4104166667,28.5895833333,27.4358333333,42.4359166666,86.4103333332,23.58975
186.01,49.6875,59.4791666667,86.3541666666,47.5,32.0833333333,32.7083333333,46.5624999999,84.5833333333,27.8125
