wavelength,Back_IriReif,Belly_IriReif,Breast_IriReif,Crissum_IriReif,Crown_IriReif,DorTail_IriReif,Patch10_IriReif,Patch11_IriReif,Patch12_IriReif,Rump_IriReif,Throat_IriReif,WingTip_IriReif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-68.0,-50.0,-63.3333333333,-48.0,-31.3333333334,-36.0,-55.3333333333,-80.0,-42.6666666667,-65.3333333333,-44.0,-47.3333333333
179.16,-117.333333333,-129.333333333,-144.0,-138.666666667,-130.666666667,-128.0,-170.666666667,-148.0,-134.666666667,-137.333333333,-98.6666666668,-157.333333333
179.54,-19.1666666667,1.66666666667,-70.0,-30.8333333333,-7.49999999999,-24.1666666666,-48.3333333333,-12.5,-65.0,-28.3333333333,-5.83333333334,-28.3333333333
179.93,-186.666666667,193.333333334,-133.333333333,20.0000000001,80.0000000002,-26.6666666667,426.666666667,126.666666667,-46.6666666668,33.3333333334,0.0,359.999999999
180.31,-24.8717333333,5.64099999999,-24.359,-9.1026,11.5384,13.2051333333,12.0512666667,9.2308,-34.2308,-11.4101333333,6.28213333335,-0.897466666661
180.69,-44.9673333333,-7.58160000001,-43.6601333333,-33.8562666667,-6.40513333335,-3.1372,-3.39866666668,-7.45106666668,-53.2025333333,-34.5098,-10.3268666667,-16.8626666667
181.07,-46.4999999999,5.49999999999,-51.5000000001,-43.3333333334,0.33333333334,6.66666666666,6.16666666668,4.66666666669,-56.5,-42.1666666667,-7.66666666667,-13.1666666667
181.45,-30.6060666667,26.2120666667,-32.7274,-24.394,15.0,17.1212,27.8787333334,17.5757333333,-41.0604666667,-29.3939333333,5.90919999999,8.18173333333
181.83,-29.6124666666,28.6821333333,-23.4108666667,-20.4651333333,17.6744,23.1008,39.3798666667,20.3102,-33.7985333333,-27.5969333333,4.03100000002,20.6200666667
182.21,-27.9674666666,26.504,-27.4797333333,-21.3008,13.0082,16.748,32.0325333333,15.1219333333,-36.7480666667,-34.9594666667,3.73993333332,16.2600666666
182.59,-80.8890666666,1.5556,-75.3333333333,-67.7779333333,-29.3332666667,-23.5555333333,2.66666666667,-15.1110666666,-87.5555999999,-83.1111333333,-34.6667333333,-17.5556000001
182.97,-278.3334,-116.6666,-313.333333333,-288.8888,-202.7778,-177.777666667,-137.222333333,-164.444466667,-350.000066667,-298.333266667,-213.333333333,-156.111266667
183.35,-256.666666667,-114.444333333,-315.5556,-322.222266667,-227.222133333,-193.888933333,-157.2222,-171.666666667,-353.889,-279.4444,-227.777733333,-140.5556
183.73,-264.242466667,-123.636266667,-358.787933333,-337.575733333,-243.636333333,-212.727266667,-167.8788,-197.5758,-381.212133333,-299.999933333,-244.242466666,-110.302866667
184.11,-600.000000001,-341.333333333,-906.666666667,-820.0,-551.999999999,-477.333333334,-413.333333334,-461.333333333,-825.333333331,-753.333333334,-541.333333333,-261.333333333
184.49,2953.33333333,2153.33333333,5013.33333333,4306.66666667,2906.66666667,2993.33333333,2526.66666667,2740.0,4406.66666667,3986.66666667,2873.33333333,1786.66666667
184.87,-285.333333333,-185.333333334,-744.000000001,-548.0,-309.333333333,-359.999999999,-282.666666667,-273.333333333,-634.666666667,-474.666666667,-353.333333333,-58.6666666668
185.25,-46.2962666667,-30.7407333333,-161.111066667,-110.740733333,-57.7778666665,-75.9260666667,-44.0742666667,-38.8889333332,-152.592666667,-83.3333333334,-63.7037333332,18.5186
185.63,496.666666667,426.666666667,1326.66666667,1166.66666667,610.000000001,626.666666667,383.333333333,200.000000001,1283.33333333,626.666666666,663.333333333,-130.000000001
186.01,131.6666,122.7778,261.666866667,255.000066667,156.666666667,145.5554,115.0,57.7778000001,269.999933333,127.222333333,144.444466667,10.5555333332
186.39,186.6666,208.2052,306.6666,327.6924,224.102533333,176.9232,190.2564,102.564066667,344.615333333,184.1026,205.1282,62.5642
186.77,2913.33333333,3233.33333333,4746.66666667,4826.66666667,3393.33333334,2606.66666667,3240.0,1673.33333333,4846.66666667,3160.0,3280.0,960.000000001
187.15,2.27312367556e+15,2.30297708218e+15,3.39049403765e+15,3.37769972053e+15,2.41812593629e+15,1.89782370661e+15,2.25606458606e+15,1.06192832123e+15,3.30093381779e+15,2.46077366003e+15,2.17076913857e+15,5.45890863925e+14
187.53,754.444599999,775.555666667,1044.44446667,1023.33333333,765.555466667,615.555600001,697.7778,394.444533333,991.111066667,887.777733333,731.111066666,230.0
187.91,-1060.0,-1048.0,-1364.0,-1400.0,-1070.66666667,-835.999999999,-900.0,-562.666666667,-1241.33333333,-1206.66666667,-1018.66666667,-422.666666667
188.29,-192.098733333,-178.271666667,-230.8642,-240.987733333,-193.580133333,-149.876533333,-151.604933333,-86.4197333332,-217.283933333,-218.5186,-192.345666666,-62.2221333333
188.67,-100.1418,-89.7871333332,-116.879266667,-125.389933333,-95.4610000001,-62.8366666667,-72.6241333333,-35.1773333333,-104.3972,-119.7162,-100.7092,-15.6028666666
189.05,-63.8648000001,-56.3285333333,-76.8115999999,-80.6764,-54.6860666667,-34.2028,-41.9324,-19.9033333333,-61.5457333333,-79.1305333333,-59.6136,-3.67153333333
189.43,-83.7949333334,-76.8204666667,-99.9999333334,-97.0257333333,-72.9231333334,-52.7177999999,-60.0000666666,-36.5128,-76.5128666666,-99.8974,-76.6153999999,-16.4102
189.81,-65.0573333333,-61.5325333333,-81.6092666668,-73.4866666667,-53.9462666667,-41.2260000001,-47.9694,-28.4290666667,-60.4597333333,-77.4713333333,-58.4674666667,-15.249
190.19,-55.0515333334,-54.0205333333,-73.5396000001,-61.7868666667,-45.6357333333,-34.2267333334,-41.0996666667,-22.8177333333,-50.5842000001,-69.3470666667,-53.2646666667,-15.6701333333
190.57,-39.8259333333,-36.7535333334,-54.8985333334,-42.7826,-28.0580666667,-20.6956666667,-24.6375333333,-8.57980000001,-32.6956666667,-50.7825333334,-38.029,-8.05793333334
190.95,-74.5788666667,-66.5200666667,-88.2784666665,-75.0182666667,-57.6556,-49.0842666667,-51.7948666667,-31.282,-61.4651999999,-84.8351333333,-69.8168,-32.8204666667
191.33,-57.1333333333,-45.8666666667,-63.1333333333,-51.1333333333,-36.8,-27.8,-34.2,-13.5333333334,-36.4,-60.7999999999,-53.5333333333,-16.4666666667
191.71,-38.4873333333,-28.6835333333,-44.2016,-32.5490666667,-20.3922,-12.6610666667,-19.4396666667,-1.96086666666,-22.0728,-38.2632,-35.4622,-8.23526666668
192.09,-33.1578666667,-27.4853333333,-40.7018,-28.3627333333,-15.1462,-10.5847333333,-19.0643333333,1.98820000001,-20.7018,-36.6082,-33.6257333333,-4.44453333333
192.47,-28.1609333333,-29.5976666667,-41.7241333333,-29.8851333333,-15.5747333333,-11.4367333333,-20.9770666667,4.08059999999,-21.7240666667,-33.6781333333,-32.9885333334,-3.10353333334
192.85,-47.1333333333,-50.3333333334,-62.5333333333,-50.5333333334,-37.2,-30.9333333333,-42.0,-9.93333333335,-44.8666666666,-50.2,-51.7333333333,-20.0666666667
193.23,-99.8121333335,-102.722933333,-118.2158,-100.093866667,-89.2017333334,-76.8075333333,-92.8637999999,-42.2534666666,-99.7184666667,-101.4084,-107.793333333,-60.9389333333
193.61,-111.111133333,-117.036933333,-130.793733333,-115.873066667,-101.9048,-85.6085999999,-106.455133333,-48.5714666667,-117.037066667,-113.439066667,-128.359733333,-72.2750666666
193.99,-140.969733333,-154.0606,-168.363666667,-152.727266667,-140.121133333,-120.969666667,-148.363733333,-78.6665999999,-152.605933333,-147.999933333,-165.575733333,-97.2121333333
194.37,-157.3856,-189.1504,-183.9216,-169.281,-164.8366,-146.405133333,-173.202733333,-98.1699999999,-173.986866667,-172.8104,-185.7516,-111.895333333
194.75,-209.122866667,-268.9474,-244.9122,-230.7018,-230.175466667,-199.9998,-240.3508,-148.421,-237.3684,-235.438666667,-258.9474,-154.386066667
195.13,-97.4075333334,-152.716,-130.6172,-120.864266667,-117.7778,-95.6790666667,-131.604933333,-70.247,-129.259266667,-122.345733334,-145.678933333,-68.6420666667
195.51,-103.8416,-167.6836,-141.920866667,-132.2034,-128.1354,-114.237333333,-137.627133333,-91.7513333333,-141.468933334,-139.435,-154.350333333,-93.8983333333
195.89,-104.408466667,-164.9462,-140.215066667,-132.3656,-128.387133333,-118.387066667,-140.43,-97.2043999999,-137.311933333,-142.043,-152.3656,-96.9892666666
196.27,-108.4656,-164.5504,-140.528933333,-136.508,-126.243333334,-120.211533333,-141.269733333,-99.6824666665,-134.920733333,-140.317333333,-155.449666667,-103.068733333
196.65,-141.818133333,-202.060666667,-166.6668,-163.7576,-148.848466667,-146.7878,-171.757666667,-126.4242,-162.666666667,-167.757666667,-191.636333334,-135.636333333
197.03,-139.8788,-201.697066667,-166.787866667,-160.727266667,-145.5758,-143.151533333,-167.394066667,-129.212133333,-156.606066667,-168.848533333,-197.818266667,-139.8786
197.40,-173.953533333,-250.077466667,-202.945666667,-197.674466667,-178.604533333,-180.465066667,-202.4806,-162.0156,-191.1628,-211.162733333,-246.5116,-188.5272
197.78,-261.5054,-367.956933333,-296.989133333,-288.387133333,-266.2366,-281.505266666,-301.9354,-240.430066667,-285.1614,-306.021466667,-353.978533333,-286.881733333
198.16,-253.793133333,-347.356133334,-274.2528,-264.137933333,-245.287266667,-268.735666667,-274.942666667,-223.908066666,-263.4482,-299.999933333,-352.643733333,-277.0116
198.54,-272.5926,-342.963,-297.037066667,-293.3334,-245.432,-283.703733333,-283.950533333,-236.049466667,-267.160533333,-319.259266667,-372.592666667,-302.469133333
198.92,-326.666666667,-393.333533333,-362.5002,-353.055533333,-285.555666667,-344.999933333,-343.0556,-292.7778,-314.166666667,-386.666533333,-444.444333333,-368.055533333
199.30,-345.6,-399.733333333,-355.466666667,-355.466666667,-286.933333333,-359.2,-345.866666667,-297.6,-318.133333333,-388.266666666,-440.533333333,-385.866666667
199.68,-346.363733333,-384.545466667,-333.6364,-349.697066667,-267.2728,-349.393933333,-337.575733334,-291.818133333,-315.151666667,-371.515133333,-439.394,-375.1516
200.06,-213.333333333,-248.125,-193.75,-210.208333333,-158.75,-216.458333333,-200.625,-178.333333333,-194.583333333,-231.875,-287.916666667,-237.291666667
200.44,-259.2308,-303.0768,-227.1794,-253.5898,-202.8206,-264.871733333,-239.487133333,-222.307733333,-241.025666667,-288.7178,-349.999933333,-286.153933333
200.82,-244.102533333,-282.820466667,-198.205,-226.1538,-186.923133333,-242.0512,-214.8718,-209.4872,-219.2308,-274.359066667,-323.333133333,-266.410466667
201.19,-259.012333333,-289.1358,-193.3334,-225.679,-187.9012,-243.209866667,-226.666666667,-216.296266667,-217.530866667,-275.555533333,-304.197333333,-274.814933333
201.57,-157.094,-190.427333333,-111.282,-135.3846,-112.1368,-144.9572,-147.1796,-133.504266667,-130.427266667,-162.564066666,-185.299133333,-166.495666667
201.95,-92.4529333332,-119.622666667,-61.3834666667,-77.8616666665,-59.7484000001,-82.2642000001,-90.6918,-80.1258000001,-74.7168666668,-95.3458666665,-122.264266667,-106.540933333
