wavelength,Back_RamCosm,Belly_RamCosm,Breast_RamCosm,Crissum_RamCosm,Crown_RamCosm,DorTail_RamCosm,Rump_RamCosm,Throat_RamCosm,WingTip_RamCosm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,67.6470666666,69.8039333333,65.6864666667,57.2549333333,58.4314,77.6470666667,59.2157333333,61.5688,85.8824000001
179.16,44.6666666667,46.6666666667,37.6666666667,24.0,50.0,66.0,22.6666666667,30.6666666667,80.6666666667
179.54,-103.333333333,80.0,180.0,-106.666666667,86.6666666673,206.666666667,-213.333333333,-19.9999999999,-6.66666666674
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,43.9303666667,29.7512666667,48.209,32.8358,41.99,62.2885333333,9.35326666666,42.5870666667,53.8308
180.69,42.4690666667,31.358,43.5803333333,34.5679333333,41.3990666667,59.753,13.9094,42.3868666667,53.1686666666
181.07,36.6198333333,26.1033999999,36.6197666667,31.0798,34.7416666667,57.5586,8.9202,38.3098666667,44.8826
181.45,35.9112666667,27.1111333333,36.3111,34.8444666667,34.7556,55.9111333333,12.9777333333,40.3555333333,35.3778666667
181.83,36.2771333333,27.1861333333,31.0821333333,36.1038666667,33.6794666667,55.844,14.8918,42.078,33.1602
182.21,46.3051333333,40.6424666667,38.7951333333,46.1848,45.9437333333,65.2208666667,26.7471333333,52.4498666667,46.0240666667
182.59,43.3333666667,40.0000000001,36.7054333333,44.8836666666,47.597,61.2402,25.7364,51.4728666667,44.6512
182.97,46.9306333333,47.1946,41.0560333333,48.9767333333,53.8614,59.5379333333,32.7392666666,56.5017333333,47.7888
183.35,48.3476666667,51.2821333333,42.2507,48.49,55.0996666667,60.1709333334,36.6951333333,57.4930666667,49.7436
183.73,53.3922666667,55.3392666667,46.4011333333,54.9262666667,58.9380666667,63.8938666667,45.7226,63.8348666667,56.873
184.11,53.5398666667,56.1651333333,44.8673333333,55.8111333333,61.1209333333,61.6518666667,50.2655333333,65.8407333333,57.8172
184.49,60.9333333333,64.4666666667,50.3666666667,64.9333333333,69.8,67.8666666667,60.3333333333,74.2666666667,66.1333333333
184.87,66.0763666667,68.3333333334,56.0069,66.1112,73.4723333333,69.5139333333,61.9444,79.4444666667,66.5277333333
185.25,74.8386000001,73.6200666667,62.5806333333,70.5376,81.1468666667,71.8279333333,64.0144666667,85.3763333334,72.1147333333
185.63,75.5926333333,77.0370666666,64.9999,71.8518666667,81.4073333333,72.0740666667,66.5926,87.9259333333,78.0001333333
186.01,67.9393333333,70.6059999999,63.6970333333,66.1210666667,73.0908666667,66.0,64.0,79.3334000001,72.0606000001
186.39,63.5876,68.3050666667,62.2033333333,61.8642666667,67.627,59.4348666667,62.7117333333,74.6326666666,64.4068
186.77,59.4294666667,68.8888666666,61.7718,59.2192,62.7028,55.8558666667,61.3814666667,72.3723333333,61.2012
187.15,58.2678666667,73.2026666666,63.9541666666,63.3333333334,60.1960666667,59.2156666667,63.5294666666,75.8171333334,62.0913333333
187.53,56.4912333333,73.3334000001,66.2457333333,66.9475333334,57.2632666667,57.8947333334,61.0526666667,75.2981999999,58.1754
187.91,42.7883333333,64.4871999999,54.7115333333,54.0385333333,43.7819333333,47.9488,48.0769333333,60.5768666667,44.6794666667
188.29,32.7906,58.0619999999,48.4495,47.9071333334,30.1550666667,41.3952666667,38.7597333333,51.1628666667,35.5038666667
188.67,18.4587,47.0251333333,37.9211333333,35.9138666668,17.1325333333,28.9604666667,25.3045333333,39.2832,20.6451333333
189.05,11.3044,43.3333333334,33.5146333333,35.5796666667,12.5362666667,24.7826666667,23.4057333333,33.4782666667,16.087
189.43,5.72806666666,39.9999333333,31.9417,34.5631333334,10.356,23.4305333333,24.8543999999,29.7732666667,13.2038666667
189.81,3.23533333336,39.6732,32.0916333333,34.8364666667,9.80399999997,24.5098666667,23.3987999999,27.6471333333,8.82353333332
190.19,-16.3964333333,34.3242,25.7657999999,29.0990666666,-7.11720000001,15.6756666668,12.7928666667,19.0991333333,-8.64873333334
190.57,-52.6189666667,13.0951999999,8.51173333333,8.09526666672,-40.8332666668,-6.07146666667,-15.5952666666,-3.21433333346,-36.4286666667
190.95,-18.6419333333,23.8684666667,23.9917333333,25.1029333334,-9.71193333333,16.79,9.46506666673,18.0248,-6.50220000002
191.33,-16.3955,20.6201333334,27.1318333333,20.6200666667,-8.6822,20.3100666666,11.0077333333,19.0697333333,-4.5738
191.71,-9.10900000002,25.2145999999,28.9107666667,23.1683333334,-3.69640000001,20.6600666667,14.4553333333,20.4622,3.23433333334
192.09,-7.23333333332,26.8666666667,30.3999999999,22.8,-2.20000000001,21.4666666667,14.4,20.7333333333,4.00000000002
192.47,-8.33326666668,29.4557333333,30.5103000001,21.6326666666,-1.49660000001,20.1361333333,13.8094666668,20.2040666666,3.74146666668
192.85,-12.0371,26.5184666667,27.1852000001,18.8889333333,-7.62973333335,18.3702666667,11.8517333333,17.6295333333,0.14833333332
193.23,-17.5457666667,22.6374666667,25.0915333333,13.1868666667,-14.945,12.8205333333,9.15753333334,13.9193333333,-2.41759999998
193.61,-25.4446,18.9629333334,21.5925999999,9.2592,-21.7778,4.66666666665,3.1852,8.88893333332,-7.55546666666
193.99,-43.6177666667,3.74,11.3415,-2.43893333332,-38.7805333333,-11.2195333334,-13.1706,-3.1707333334,-21.8698666667
194.37,-38.5228333333,3.86366666668,9.16656666665,-0.98486666668,-36.5152,-14.4697333333,-13.7878666666,-2.34860000002,-22.5758
194.75,-16.6365666667,19.5796,19.2792333333,15.4955333333,-11.4114,5.34520000002,4.50446666666,12.6727333333,-6.54646666668
195.13,-27.7564333333,13.7819333333,14.6474666667,7.11546666668,-21.5384666667,-6.60246666666,-1.73079999998,2.75639999998,-16.9231333334
195.51,-37.6240666666,10.9220666667,10.7091,2.19846666666,-29.7874,-16.4539333333,-7.0922,-5.24813333332,-29.7164000001
195.89,-67.0886666668,-7.84819999998,-10.5064000001,-21.1815333333,-59.0718,-42.7004,-27.8481333333,-27.0042,-60.3375999999
196.27,-88.8710000001,-12.6881333333,-13.3872,-27.9568666667,-73.6559333333,-58.2796000001,-33.2258666667,-34.0861333334,-80.2151333333
196.65,-79.9516666668,-6.7633333332,-2.75363333326,-23.3816,-60.6764666667,-52.6569333334,-22.1257333334,-23.0918666667,-71.2077333332
