wavelength,Back_PinInom,Belly_PinInom,Breast_PinInom,Crissum_PinInom,Crown_PinInom,DorTail_PinInom,Patch10_PinInom,Rump_PinInom,Throat_PinInom,WingTip_PinInom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,49.6295999999,51.8519333333,71.8518666666,64.4444666667,29.6296,30.3704,48.8888666667,76.4446133334,67.4074666667,106.6668
179.16,220.0,158.333333334,73.3333333333,148.333333333,221.666666667,207.5,185.0,168.166666667,140.0,171.666666666
179.54,-28.8889333334,-31.1111333333,88.8887333334,44.4444666667,-102.2222,40.0001333333,-28.8889333334,-12.2222666667,-6.66680000002,44.4444666665
179.93,-6.66653333335,31.5556,0.44446666668,34.2221333333,-18.2221333333,11.1111666667,-16.8888,18.04462,25.7777333333,20.0
180.31,61.5299333333,85.5737333334,103.388,101.8578,50.4918666667,47.3224333333,62.1856666667,96.1639333335,81.7486666666,103.278733333
180.69,64.6560666666,86.2434666667,97.9893333334,99.6826000001,49.6295333333,43.5981333333,61.4813999999,100.32796,80.8466,105.3968
181.07,69.7699333333,94.0229999999,107.011466667,111.724066667,56.2068666667,49.7126,68.0458,106.448273333,86.2068,105.2872
181.45,80.7526666666,103.010666666,103.3334,120.537866667,65.8063999999,63.3871000001,78.2795999999,110.516206667,93.5483999999,112.365533333
181.83,92.0568000001,122.695066667,114.751733333,149.645466667,75.461,71.2768333334,87.2342000001,130.383006667,105.9574,136.879466667
182.21,150.9676,185.8064,195.053533333,208.602133333,126.451533333,112.473133333,156.989,201.741886667,157.204333333,209.892533333
182.59,266.666666667,312.083333333,338.75,367.083333333,195.416666667,136.25,277.5,331.791666667,254.166666667,355.833333333
182.97,810.666666668,922.666666667,1057.33333333,1093.33333333,533.333333333,430.666666667,842.666666668,961.199999999,725.333333333,1133.33333333
183.35,1440.00013333,1455.55546667,1777.7778,1802.2224,886.666600001,928.888833334,1464.44466667,1588.00012,1146.6666,1882.2222
183.73,-884.999999999,-914.999999999,-1100.0,-1053.33333333,-483.333333334,-547.5,-926.666666667,-927.166666667,-700.0,-1171.66666667
184.11,-90.4,-96.5333333332,-96.5333333334,-101.866666667,-25.5999999999,-34.4,-101.333333333,-77.3333333333,-57.8666666667,-125.333333333
184.49,-68.4058666665,-104.637666667,-59.1302,-75.0723333336,-24.6377999999,-33.1885,-85.2173999998,-46.6086333333,-40.2899333333,-105.797066667
184.87,-212.777866667,-297.222266667,-215.555466667,-262.7778,-174.4444,-183.333333333,-256.111133333,-184.500006667,-178.888933333,-308.3334
185.25,-170.833333333,-235.0,-172.5,-182.5,-135.416666667,-128.333333333,-217.083333333,-128.583333333,-147.5,-228.75
185.63,-162.666666667,-205.666666667,-189.333333333,-144.333333334,-137.0,-107.833333333,-209.666666667,-134.766666667,-139.0,-202.333333334
186.01,-338.333266667,-411.666666667,-400.000066667,-281.111,-321.6666,-192.777866667,-432.2222,-281.944353333,-302.222266667,-380.555466667
186.39,-215.438533333,-254.386,-238.947266667,-182.105333333,-227.017533333,-112.455966667,-271.228,-160.07016,-184.5614,-240.701733333
186.77,-108.468466667,-122.702733333,-117.838,-79.6396666668,-121.2612,-51.2610666666,-142.882933333,-75.3333466666,-91.5315333332,-123.963933333
187.15,-186.4,-200.8,-176.8,-125.866666666,-209.333333333,-93.0666666666,-239.466666667,-134.613333333,-165.866666667,-199.733333333
187.53,-60.9333333334,-72.1333333334,-64.7999999999,-29.7333333333,-80.8000000001,-17.8666666666,-89.2000000001,-37.3866666667,-54.8,-68.9333333333
187.91,-29.5524,-36.4179333333,-30.1492666667,-1.19393333333,-46.7661333334,0.74606666666,-51.9403333333,-7.41287999998,-20.9950666667,-38.6069333333
188.29,-51.3333333333,-62.6666666667,-57.3333333333,-10.0000000001,-80.9333333333,-16.2,-80.5333333333,-19.3733333333,-45.8666666667,-67.7333333333
188.67,-32.1838666667,-36.5517333333,-45.8620666667,1.2644666666,-52.5287999999,5.6320333334,-61.2643333334,-8.66666,-32.6436,-49.6551333333
189.05,-8.94973333332,-10.411,-25.2969333333,24.8403333333,-23.9270666667,22.8312,-36.1644666667,14.2098866667,-13.1506666667,-21.6436666667
189.43,9.17646666668,4.70586666666,-4.47046666667,35.6079333333,-12.1568,28.8627333333,-13.4902,24.97252,2.8236,-6.43120000002
189.81,16.7360666667,11.8749333333,8.125,38.5415333334,-8.19453333334,29.7916333333,-0.90286666666,29.9027066667,12.6388,-0.69459999998
190.19,17.823,13.1973333333,5.30613333333,44.6258,-7.00673333333,25.3060666667,-3.74153333334,30.4762933333,11.2245333333,2.17693333333
190.57,25.912,24.9685333333,18.3018,52.7672666667,3.83646666665,36.1950333333,8.05039999999,38.11318,22.7673333333,12.9560666667
190.95,39.9371333333,38.6163333333,31.6982,68.9307333333,19.4338666667,45.5661333333,22.8931333333,49.8930866666,36.6667333333,24.4026
191.33,35.5932,36.6100666667,30.5650666667,63.6723333333,20.3955333333,40.5366333333,20.7344,46.1921533333,34.6892666667,23.5028
191.71,36.9695333333,38.5185333333,35.4882,71.5824666667,20.4712,45.2526333333,19.6632666667,50.7810733333,38.788,23.7038
192.09,43.4042,41.9148666667,40.1417333333,77.0212666667,25.3192,48.7945,25.9574666667,56.0710666667,43.7587333333,30.7802666667
192.47,42.0649333333,40.5898,36.0470666667,67.3747333333,26.7846,47.2565666667,25.8996,49.7344066667,39.5280666667,30.9146
192.85,41.3436,37.3642666667,38.2429333333,63.5142666667,27.0284,44.3927333333,27.5968666667,49.6331933333,38.6046666667,30.2326666667
193.23,41.8096666667,39.4762,41.1904666667,62.4287333333,29.9522666667,47.3809333333,28.3810666667,50.3238066667,41.9048,34.4762
193.61,40.2282,39.0867333333,36.621,60.2739333333,30.0912666667,48.9497333333,26.3926,49.6529466667,41.6894666667,32.0090666666
193.99,43.7559333333,43.7558,39.0140666667,66.6196666667,36.432,54.1783333333,28.4037333333,54.28624,42.5820666667,37.23
194.37,38.3099333333,39.108,36.0094,60.7043333333,31.7840666667,52.4413666667,25.8217333333,48.18312,39.3896666667,30.2816666667
194.75,37.0588,36.2744666667,31.3726666667,57.0588666667,29.1666,49.8283666667,21.2745333333,46.11772,34.1176,28.7746
195.13,28.4314666667,30.4412,24.2647333333,49.5098,20.3922666667,43.3087,13.0884,40.7499733333,24.7549333333,23.0882666667
195.51,38.2254666667,38.0813333333,30.6474666667,55.8751333334,27.1463333333,52.1102333333,21.1511333333,48.80592,32.9496,31.9424666667
195.89,39.4910666667,38.1678666667,28.0916666667,56.8448,27.2773333333,54.3255666667,18.626,51.7149733333,30.1272,32.2138
196.27,32.8752666667,29.3638666667,22.2391333333,50.2291333333,19.4404,51.2977,11.8065333333,41.5114466667,22.9516666667,28.3968666667
196.65,35.1604666667,34.0741333333,26.2715333333,53.3828666667,20.6420666667,50.3950333333,15.8024666667,43.51122,28.6914666667,33.4815333333
197.03,30.9566,30.4348666667,19.5942,53.5072666667,13.1594,48.2028,8.46380000001,41.3275466667,26.3766666667,28.5796666667
197.40,33.1531333333,27.3273333333,17.4774666667,53.8137333333,11.6517333333,46.0060333333,9.48946666667,39.3693666667,26.5465333333,24.8648666667
197.78,33.9285333333,29.3451333333,22.4999333333,57.4404666667,14.9403333333,48.0058666667,12.381,41.81556,30.0593333333,24.8214
198.16,35.5116666667,30.6931333333,25.2145333333,61.7162,13.3992666667,54.2575,13.3994,49.5841266667,36.1716,23.2343333333
198.54,45.3742,41.3605333333,40.0680666667,71.7007333334,23.4014,62.7890666667,23.1972666667,62.17004,47.6870666667,34.0816
198.92,50.1616666667,46.7960666667,46.0193999999,77.7346666667,30.3559333333,66.0843666667,30.5500666667,66.3882533333,56.0518666667,41.2298666667
199.30,57.0834666667,47.2222,46.0416666667,78.7500666667,31.2498666667,71.3887666667,35.9028666667,67.2083333333,62.1526,44.0973333334
199.68,49.8,38.8666666667,35.2000000001,74.0000000001,20.2666666667,63.2666666667,33.7333333334,57.4466666667,54.9333333333,31.0
200.06,42.5925333333,34.4443333333,33.9504666667,66.4198,16.5432666667,56.2961666667,30.1234666667,50.28394,51.2346666667,27.2222
200.44,42.893,36.6036666667,35.4087999999,66.9182666667,17.2326,57.2641,30.4401333333,52.81776,50.5030666667,25.0313333333
200.82,38.1082,28.1982666667,28.8288666666,76.3965333334,1.08106666667,64.4143666667,19.9098666667,50.1442866667,48.1081333333,9.81986666667
201.19,48.4921333333,40.873,38.9683999999,82.2221333332,17.1428666667,73.4127,31.0318666667,58.90482,59.0476,30.0795333333
201.57,51.4893333333,53.1206,47.0922666667,82.6240666665,27.0213333333,76.915,40.1418666667,69.06382,65.2481999999,40.4256
201.95,56.3490666667,62.3809333334,57.9364000001,89.2063333333,33.0158666666,81.5079,45.3172666666,74.3570733333,74.1269333333,50.9523333333
202.33,61.0605999999,65.9848666667,58.1818666667,88.1817333333,37.4242666667,77.6894666667,48.8635999999,73.1741666667,73.9394000001,55.3787999999
202.71,76.4836,80.4396666666,67.1794000001,96.6298666667,49.7436666667,87.3259,61.6849333333,84.95252,86.6666666666,72.3808666667
203.09,91.6665333333,92.4603333332,81.4286666667,109.2858,62.619,100.158733333,79.1269333333,96.4048400001,101.6668,83.5713333333
203.47,99.8501333334,104.045,95.2808666668,121.7228,75.3558,110.262233333,89.0637333334,105.363246667,108.9888,93.7079333331
