wavelength,Back_DiuDiuf,Belly_DiuDiuf,Breast_DiuDiuf,Crissum_DiuDiuf,Crown_DiuDiuf,DorTail_DiuDiuf,Patch10_DiuDiuf,Rump_DiuDiuf,Throat_DiuDiuf,WingTip_DiuDiuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.3333333333,83.3333333332,65.0000000001,96.6666666666,90.0000000001,80.8333333333,35.0,58.3333333333,136.666666667,103.333333333
179.16,-196.666666667,-99.9999999992,-300.0,-591.666666666,-41.6666666666,-604.166666667,-216.666666667,-408.333333333,-691.666666667,-375.0
179.54,-8.33333333325,183.333333333,-12.4999999999,145.833333333,241.666666667,-81.25,-37.5,150.0,91.6666666666,-45.8333333335
179.93,72.1666666667,72.0833333333,24.1666666667,75.8333333334,15.0,69.1666666667,26.6666666667,52.5,75.0000000001,73.3333333333
180.31,101.03825,107.718625,78.9618333332,138.9345,96.0381666668,133.538333333,78.9619166666,102.18575,129.371666667,110.519
180.69,101.12815,115.064083333,84.8717499999,142.820583333,104.102583333,136.538583333,87.3077499999,110.769166667,134.102666667,116.795
181.07,99.1270000001,118.055791667,82.1427500002,144.973583333,106.084666667,146.891541666,86.90475,111.111083333,130.820083333,118.5185
181.45,102.659566667,136.258875,82.0921666667,170.7445,118.262416667,169.237416667,85.9929999999,125.177333333,136.702333333,129.255333334
181.83,112.962933333,146.990791667,89.3519166667,199.074083333,122.222333333,216.087875,92.1298333333,141.43525,156.944416667,151.620416667
182.21,96.2916666667,128.958333333,93.3333333333,182.083333333,120.416666667,203.541666666,91.6666666667,128.333333333,131.041666667,132.916666667
182.59,90.8094166666,111.666541667,100.238083333,183.333333333,124.047583333,223.5715,92.6190833333,120.238,132.142916667,127.142916667
182.97,48.4333333333,76.0,72.8333333333,132.666666667,88.8333333334,149.333333333,66.6666666668,76.8333333333,83.4999999999,87.1666666668
183.35,-2.72729999982,54.1667083332,45.0757499999,169.697166667,85.22725,201.704458333,62.8787499999,56.4393333334,36.7424166668,51.5153333333
183.73,170.0,-2.08333333325,97.5,-214.166666667,-2.49999999992,-280.416666667,0.0,8.33333333325,109.166666667,79.1666666665
184.11,-1069.16666667,-175.0,-529.166666667,945.833333332,-175.000000001,1468.75,-116.666666665,-125.0,-762.5,-454.166666667
184.49,576.666666667,143.333333333,258.333333332,-278.333333333,131.666666667,-364.166666667,120.0,170.0,325.0,205.0
184.87,200.588266667,103.18625,156.372666667,-36.2745833333,100.490083333,-74.2647083332,89.7058333336,120.098,127.94125,111.764666667
185.25,232.121216667,107.954625,161.3635,-156.818083333,93.1818333332,-184.469625,15.9090833335,86.3636666667,103.788,127.272833333
185.63,106.811566667,66.6666250001,75.7246666668,-59.7825000001,46.3769166667,-80.4347083334,-8.33334249997e-05,59.058,57.9711666667,67.3911666666
186.01,161.11115,52.314875,152.777833333,-262.962833333,37.9628333333,-302.777708333,-101.851833333,74.0740000001,69.4444166667,64.8149166665
186.39,61.1710666666,29.7296666667,68.919,-39.1892499999,33.7839166668,-41.6667916667,-1.5766666666,39.18925,29.2791666668,32.8829999999
186.77,56.7045333333,19.4129166667,67.4243333333,-34.2801666666,23.8637500001,-37.405375,4.54541666665,27.6515,25.3786666666,22.1590833334
187.15,27.7082666667,4.09216666668,40.9225833333,-32.73825,9.52375,-40.178625,-6.69633333334,13.5415,-0.743999999975,8.48191666665
187.53,-33.68415,-57.89475,-1.31558333325,-109.42975,-39.0351666666,-124.232291667,-55.2630833334,-41.00875,-87.0614166667,-63.5966666666
187.91,-93.8888333333,-102.777666667,-34.72225,-204.861083333,-77.4304166668,-200.694458333,-115.625,-61.4583333333,-168.055583333,-138.194416666
188.29,-11.5873833333,-20.138875,22.0238333334,-75.5951666665,-8.33333333334,-58.1349166667,-28.96825,4.56358333336,-51.1906666668,-32.1430833333
188.67,-70.83335,-81.5973333334,-31.713,-139.814833333,-58.7964166667,-126.851833333,-91.6665833334,-50.9258333333,-118.749833333,-86.1111666666
189.05,-112.241466667,-133.620708333,-92.5287499999,-201.724083333,-117.815916667,-190.948333333,-148.8505,-94.2529166667,-165.23,-144.827666667
189.43,-63.5184833334,-89.5830833333,-54.6296666666,-143.518583333,-85.8797500001,-121.1805,-97.22225,-47.4538333333,-112.731333333,-107.175833333
189.81,-2631.66666667,-3377.08333333,-2283.33333333,-4187.5,-3125.0,-3520.83333334,-3220.83333334,-2362.5,-3575.0,-3458.33333334
190.19,-563.125,-794.270833333,-596.875,-987.5,-743.750000001,-776.041666668,-798.958333333,-534.375,-882.291666666,-780.208333333
190.57,407.435833333,554.166708333,469.230833333,679.48725,536.538333333,560.576916667,574.359,419.871666667,618.589833333,566.025666667
190.95,376.071516667,495.8335,464.880833333,619.047583334,481.547666667,502.08325,555.95225,379.166583333,588.095,523.214333334
191.33,487.42415,648.106041667,613.636416667,797.727166668,637.12125,625.0,743.939416667,491.666583333,746.212083333,684.091
191.71,1087.5,1564.58333333,1485.41666667,1960.41666667,1581.25,1372.91666667,1885.41666667,1154.16666667,1797.91666667,1675.0
192.09,1264.44461667,1986.11120833,1880.5555,2430.5555,2008.33341667,1475.0,2277.77775,1461.11125,2236.111,2022.22216667
192.47,225.0,372.916666667,359.895833333,463.541666667,375.0,271.09375,451.041666667,283.333333333,410.416666667,388.020833334
192.85,191.25,513.020833333,489.583333333,666.666666667,543.75,271.354166667,678.124999999,340.625,613.541666667,533.333333333
193.23,51.3194666667,159.895833333,161.458416667,221.874916666,169.444583333,76.21525,226.041666667,101.388916667,217.708333333,162.152666667
193.61,54.6666333334,206.111,186.666583333,277.222166667,210.5555,51.6665833333,313.333333333,114.444333333,270.555416667,182.22225
193.99,344.666666667,-158.333333333,-159.999999999,-323.333333333,-228.333333333,274.166666667,-535.0,96.6666666669,-408.333333333,-110.0
194.37,9.2425833334,220.833375,193.93925,290.151416667,245.454416667,15.5303333332,399.242416666,147.727166667,319.697083333,206.818083333
194.75,37.4306833334,121.18075,96.1805833335,150.6945,138.541583333,21.3541250001,221.527833333,61.8055833335,175.347166667,98.95825
195.13,27.1621,92.0045416667,63.2882499999,108.108083333,94.3694999999,-0.900875,146.396416667,47.5225833333,129.053916667,65.3153333335
195.51,-71.6667166668,54.166625,-7.0176666665,93.4210833333,50.8770833333,-121.929833333,165.7895,-7.0175,139.473583333,-4.82458333335
195.89,-47.7537333333,38.4058333335,18.4783333335,88.40575,72.4638333333,-78.8043749999,142.391416667,9.78258333335,125.0,5.79700000008
196.27,-4.01041666665,53.6458333335,41.4062500001,76.8229166665,85.1562500002,-10.6770833334,147.65625,25.0,123.958333333,30.2083333333
196.65,33.3332333333,77.3284999999,62.7451666667,90.68625,99.2647500001,29.0441249999,170.588166667,42.6470833334,147.794333333,46.56875
197.03,47.4073833333,63.6575833333,56.7901666666,83.4876666668,82.0988333334,40.663625,134.259333333,48.3024166666,111.88275,54.7840833332
197.40,56.3265166666,66.2416666666,61.3947500001,82.6529166666,77.0406666666,30.44225,132.99325,50.5101666667,113.9455,55.1021666667
197.78,58.28425,69.6691250002,74.0196666666,85.6618333334,73.1616666667,46.9976666666,119.36275,55.7599166667,114.093166667,63.3578333333
