wavelength,Back_ThlPecf,Belly_ThlPecf,Breast_ThlPecf,Crissum_ThlPecf,Crown_ThlPecf,DorTail_ThlPecf,Patch10_ThlPecf,Rump_ThlPecf,Throat_ThlPecf,WingTip_ThlPecf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,33.3331666667,211.111,188.888833333,147.2225,16.6665,69.4443333334,55.5555,116.666666667,144.4445,-88.8888333331
179.16,103.333333333,140.0,103.333333333,150.0,89.9999999999,173.333333333,56.6666666665,126.666666667,180.0,50.0
179.54,211.111333333,344.444333334,155.555666667,191.666833333,233.3335,249.999916666,216.666833333,305.5555,327.778,227.777833333
179.93,41.6665,-63.8886666665,16.6666666666,-18.0555833333,0.0,-18.0555833334,5.5555,38.8888333334,13.8888333334,130.5555
180.31,79.4116666667,270.588333333,117.647166666,211.764833334,173.529333333,256.862583334,83.3333333333,254.902,162.744833333,-124.509833333
180.69,154.761833333,374.999833333,197.619166667,330.357,254.761833334,347.618833333,123.8095,354.762,276.190666667,-129.762
181.07,177.380833333,401.1905,211.904833333,369.642833333,329.762,364.881,170.238166667,423.8095,330.9525,-33.3336666667
181.45,-236.666666666,-886.666666669,-400.0,-740.0,-743.333333331,-740.0,-243.333333333,-960.000000001,-710.000000002,330.0
181.83,-280.0,-850.0,-433.333333333,-755.0,-869.999999999,-756.666666667,-223.333333333,-923.333333333,-770.0,420.0
182.21,855.555833334,1533.33366667,838.889,1549.99991667,1761.111,1530.5555,533.333333333,1872.22216667,1727.77766667,-249.999833333
182.59,331.818166667,550.000166667,293.939333333,531.818166667,569.697166667,484.090833333,260.605833333,584.848333334,562.121333333,80.3031666665
182.97,289.285666666,490.476166667,240.476,447.02375,447.619166666,363.6905,264.285833334,479.762,432.142833333,66.6665
183.35,1825.0,3275.0,1625.0,3387.5,2975.0,2195.83333334,2041.66666667,3125.0,2841.66666667,374.999999998
183.73,-4833.33333334,-8399.99999999,-5183.33333333,-8341.66666666,-7600.00000002,-5466.66666666,-5800.0,-7533.33333333,-6800.0,-2466.66666667
184.11,-243.333333333,-387.5,-235.0,-405.0,-347.5,-235.416666667,-265.0,-363.333333334,-333.333333334,-130.833333333
184.49,-454.761833333,-615.476333333,-407.142666667,-613.095333333,-573.8095,-377.380916666,-430.952333333,-595.238,-545.238166666,-276.1905
184.87,-236.9565,-336.231833333,-176.811666667,-326.811666667,-311.594166667,-196.739083333,-239.855166666,-325.3625,-257.246333333,-109.420333333
185.25,-252.777833333,-338.194333334,-188.194333333,-325.694416666,-317.361166666,-237.847333333,-234.722333333,-322.222333334,-238.888833333,-104.861166667
185.63,838.333333333,1033.33333333,613.333333333,990.833333335,986.666666667,821.666666667,823.333333333,1015.0,783.333333333,476.666666667
186.01,492.157,588.235333333,360.784333334,583.823666667,550.0,479.902,456.862833334,583.333333333,440.196333333,307.843166667
186.39,386.363833333,468.9395,302.272833333,432.954333334,440.909,342.045666666,364.393666666,445.454666666,327.272666666,238.636166667
186.77,250.900833334,280.180333333,186.036166666,261.261166667,272.973,206.531666667,227.927833333,284.234,218.919,141.441666666
187.15,187.037,200.617166667,141.358,186.11125,198.456666666,150.000083334,158.950666667,216.358,169.753,122.222
187.53,161.017,177.401166667,115.254166667,142.937833334,179.378666667,120.056416667,128.531,195.480166666,155.367166666,104.2375
187.91,141.791166667,158.457666667,89.0546666665,115.049583334,149.005,105.970166667,107.214,170.646833333,132.0895,92.0396666666
188.29,110.351,128.421333333,77.895,89.29825,119.123,95.3509166665,89.8245,129.824666667,102.807,86.3155
188.67,108.148166667,133.5185,77.4075,91.29625,120.925833333,98.0555,94.9998333333,127.222166667,106.666666666,91.6666666667
189.05,101.543,127.314833333,74.8456666667,82.02175,109.876666667,92.5153333335,85.9568333333,117.747,96.6048333331,91.8208333334
189.43,91.0376666666,120.597333333,56.9185,67.7673333335,96.6981666666,76.1790833333,76.5723333334,108.962333333,90.8803333331,85.2203333333
189.81,93.976,131.927666666,48.9961666666,63.2529166665,102.409666667,69.8795,71.6866666666,116.265,88.3533333335,94.7790000002
190.19,98.3936666665,144.578166667,49.9998333333,62.2491666665,104.216833334,70.58225,82.731,128.514,92.9718333335,103.012
190.57,82.8071666665,130.877166667,41.9298333333,57.8946666666,88.7718333335,69.035,74.386,117.192833333,85.6140000001,95.9648333334
190.95,82.5581666668,142.442,45.349,57.4613333335,94.7673333333,70.4458333335,73.4495,125.969,83.7208333335,106.589
191.33,87.4430000001,149.7715,37.2146666667,48.7441666666,103.653,75.2280833335,78.5386666667,129.680333333,84.9318333335,117.3515
191.71,71.1765,121.764666667,25.8821666667,32.4508333334,82.7451666666,65.1961666665,65.8821666666,104.705833333,70.392,103.9215
192.09,60.2715,104.07,12.0155,19.1860833334,77.1316666665,52.1319166666,59.1086666667,90.1161666665,66.8605,98.2558333335
192.47,61.644,104.109833333,-8.219,11.4155833333,82.1918333332,37.2146666666,55.023,91.3243333333,60.7306666667,99.0868333334
192.85,57.488,96.1351666668,-19.5653333334,9.42033333335,82.8501666666,30.4348333334,45.8936666666,84.2994999998,55.797,99.2753333332
193.23,48.942,97.3546666668,-27.7778333333,11.3759166667,91.2698333332,22.6191666667,47.09,77.7778333335,56.0848333333,110.582
193.61,55.4725,88.3086666666,-18.9055,14.9254166666,88.3086666669,25.62175,44.5273333334,61.6915,46.7661666666,119.900333334
193.99,61.7648333333,87.0098333335,-11.0295,25.9803333333,86.2746666666,31.0049166666,51.4708333334,58.8235,49.0195,127.695833334
194.37,62.1693333333,80.6878333333,-17.1958333333,25.7936666666,87.8308333331,31.6135833333,45.7673333333,55.0266666667,45.238,133.8625
194.75,75.7246666667,77.1739999998,-48.1885,11.4130833333,102.174,21.7390833334,43.478,56.8838333332,26.8116666667,164.492833333
195.13,55.5555,41.27,-80.5556666669,-16.4683333333,85.7143333335,-6.15083333335,34.5238333333,35.3173333333,-2.381,161.507666667
195.51,62.5,55.7291666668,-109.895833333,-34.6354166667,106.770833333,-25.0,31.25,42.1875,-14.0625,206.770833333
195.89,104.487,95.5128333335,-119.871833334,-1.60258333335,145.512833333,-28.20525,56.4103333335,68.5898333334,-11.5386666667,269.230833334
196.27,146.666666667,135.833333333,-125.833333333,33.3333333335,194.166666667,-47.0833333333,63.3333333332,95.8333333335,-25.8333333332,354.166666666
196.65,89.1024999999,96.1538333332,-76.923,36.5385833335,148.718,-41.98725,42.9486666665,73.0768333332,-6.4101666667,289.102333334
197.03,64.855,69.9273333335,-34.4203333333,37.5003333333,104.71,-8.152,30.4346666666,57.2461666666,17.0288333334,185.869333333
197.40,57.5268333333,40.5913333333,-24.4623333333,31.4515,73.3871666667,-11.1556666666,14.5161666667,50.8066666667,8.33333333335,141.6665
197.78,45.6285,33.8796666667,-35.519,25.13675,68.3058333333,-23.0875833333,11.7485,53.0053333333,4.3716666667,126.502666667
198.16,33.5856666666,27.5251666666,-46.717,8.08075,58.8381666666,-42.17175,-1.51516666666,42.6766666667,-9.09083333335,107.828166667
198.54,17.1363333334,15.4931666667,-49.7651666667,5.63383333335,49.7653333333,-53.8734166667,-0.938833333331,24.1783333333,-20.4225,96.0093333332
198.92,11.4945,11.6858333333,-34.0998333333,14.84675,42.1456666667,-40.9961666667,1.341,20.115,-9.5783333333,88.3143333333
199.30,12.4113333333,10.6383333333,-32.624,15.4254166667,36.7021666667,-31.64875,-4.25516666666,14.1843333333,-10.8156666667,79.9645
199.68,8.08583333335,1.815,-32.8383333334,17.24425,25.0825,-23.26725,-6.76566666667,8.08566666667,-11.2211666666,72.2775
200.06,-1.94183333333,-4.6925,-36.5696666667,6.63416666665,17.9613333333,-27.26525,-17.314,-1.61816666665,-18.6083333334,62.2975
200.44,-14.4688333333,-21.2453333334,-60.8058333334,-10.2566666667,3.11366666667,-41.4835,-38.8278333334,-17.5825,-35.8976666667,53.4796666667
200.82,-11.3475,-23.0495,-65.071,-22.6951666667,-1.24116666667,-42.1100833333,-45.5673333333,-21.9858333333,-41.3121666667,43.0853333334
201.19,-1.72416666665,-16.6666666667,-57.471,-25.8621666667,4.2145,-40.5175,-41.1876666667,-19.1571666667,-45.594,51.7243333333
201.57,-9.237,-21.2853333334,-62.0483333333,-37.6505,1.80733333333,-39.05625,-37.3495,-29.1163333333,-39.9598333333,52.4096666666
201.95,-14.9571666667,-33.1196666667,-67.5213333334,-43.1623333333,-1.06833333333,-40.70525,-47.2221666666,-43.8033333333,-46.3675,48.2905
202.33,-10.2878333333,-36.214,-55.7615,-38.4775,1.2345,-26.9545,-43.6213333334,-40.7406666667,-34.9791666667,49.3826666666
202.71,-23.3335,-54.0476666665,-73.5715,-57.1428333333,-4.28566666667,-37.9764166666,-68.0953333333,-59.5238333333,-51.4285,45.0001666667
203.09,-84.1270000001,-134.523666666,-162.301666667,-158.730083334,-48.8096666667,-117.0635,-150.396833333,-142.857333333,-140.476166666,19.0476666667
203.47,-90.9909999999,-151.3515,-168.4685,-169.144333334,-45.045,-133.333333333,-157.207333333,-152.702666666,-150.0,20.2705
203.85,-128.125,-192.708333334,-201.041666667,-230.46875,-63.0208333333,-193.229166666,-209.375,-193.229166667,-198.958333333,7.2916666667
204.22,-179.333333334,-274.0,-259.333333334,-318.666666666,-99.3333333333,-250.666666667,-275.333333334,-278.0,-285.333333333,2.0
204.60,-51.1905,-88.0951666665,-81.5475000001,-104.166916667,-7.14283333334,-73.5118333333,-80.6548333333,-91.6666666667,-101.487833333,38.9881666667
204.98,-43.503,-76.8363333333,-63.2766666667,-76.41225,-1.97733333332,-54.8021666667,-63.2770000001,-85.5933333333,-92.6555000001,51.6948333333
205.36,-44.4441666667,-71.2963333332,-51.6203333333,-64.4675833334,-5.32416666665,-55.3239166666,-53.4721666667,-79.3981666667,-83.3333333331,45.3705
205.74,-62.2223333333,-101.388833334,-61.1111666666,-80.41675,-16.9443333333,-84.7224166666,-72.2221666669,-104.722,-112.499833333,45.2778333334
206.12,-36.4103333333,-76.154,-41.0256666667,-56.0256666666,-3.58966666665,-72.0514166666,-45.3845,-79.4871666667,-95.1281666669,51.2821666666
206.50,-45.4801666666,-81.3558333334,-49.1523333334,-66.5255,-8.19183333335,-77.8250833333,-44.6326666667,-93.2203333333,-113.842,46.6101666667
206.87,-48.3333333333,-91.3333333333,-64.9999999999,-86.3333333335,-21.3333333333,-96.0,-56.0,-115.666666667,-149.666666667,39.0
207.25,-13.8418333333,-50.2825000002,-31.6383333334,-53.3898333333,-0.8475,-56.6385,-33.0508333333,-87.8531666666,-102.542333333,57.9095
207.63,-32.4241666667,-73.3333333332,-59.0908333335,-75.0,-20.909,-74.3940833333,-57.2726666666,-117.575666666,-118.484833334,53.6363333333
208.01,1.68783333335,-24.4725,-21.5191666667,-24.578,14.768,-25.6329166667,-14.1351666667,-64.1351666667,-58.0168333332,58.0168333334
208.39,14.4841666666,-16.2698333334,-14.8811666666,-9.82133333335,29.3651666667,-12.2023333334,-3.3728333333,-48.016,-40.476,67.0635
208.77,21.4013333333,-20.4545,-4.1665,-9.94325,26.515,-7.29191666665,-1.7043333333,-48.8636666667,-32.7651666667,67.4243333334
209.14,19.5035,-24.8226666667,-5.6736666667,-15.071,23.0496666667,-10.8158333333,-1.4183333333,-42.7305,-26.4186666667,54.9645
209.52,19.1288333334,-29.7348333333,-14.3941666667,-19.31825,11.9318333333,-12.3104166666,-3.03033333335,-45.0758333333,-23.2953333333,47.1591666667
209.90,23.062,-19.9611666667,-9.3025,-21.5116666667,17.0541666666,-4.55425,-4.6511666667,-42.2481666667,-26.3563333333,48.062
210.28,15.2778333333,-22.4206666667,-7.93633333335,-28.9681666666,18.6508333333,-2.6785,-12.8968333333,-43.651,-30.754,46.8255
210.66,22.939,-15.054,10.0358333334,-10.3045833333,23.656,5.37633333335,-7.3475,-29.2115,-18.4588333334,46.4156666666
211.03,30.2181666667,-7.4766666667,22.7415,0.779,29.2835,14.8755,1.40183333335,-13.5513333334,-4.2055,49.8443333334
211.41,21.739,-9.85516666665,15.5073333333,1.01475,26.9565,12.536,-0.43466666665,-12.7535,-6.5215,42.0291666666
211.79,28.3331666667,-0.2778333333,25.4166666667,7.29166666665,32.5,18.6806666667,5.13883333335,-7.639,-6.52766666665,44.8611666666
212.17,15.1815,-22.6071666667,17.6566666667,-11.1385833333,13.5315,4.45541666665,-14.5213333333,-24.7525,-28.3828333333,34.9836666667
212.55,8.88883333332,-25.926,20.926,-10.2776666666,4.07416666668,-0.64825,-19.6298333333,-31.852,-38.8886666667,39.074
212.92,-15.2583333333,-42.7231666667,5.16450000001,-29.2251666667,-14.5536666667,-23.3569166667,-43.6621666666,-53.7558333333,-68.3098333333,29.3425
213.30,-50.0,-80.4963333335,-15.6026666667,-71.98575,-51.0636666667,-63.47525,-87.9433333332,-110.992833333,-134.751666667,29.0778333334
213.68,-95.8333333335,-136.111166666,-36.111,-123.61125,-90.741,-96.528,-153.240666667,-172.222333333,-219.4445,6.01833333332
214.06,-47.2728333334,-87.8788333335,-15.1515,-63.48475,-47.273,-48.4846666666,-81.8183333335,-103.636333333,-111.818333333,12.7273333333
214.44,-33.611,-70.2776666665,-2.50000000001,-47.7779166667,-40.2776666667,-30.2776666666,-58.3333333333,-86.6668333333,-87.7776666665,29.9998333333
214.81,-48.305,-75.9886666667,-17.7965,-68.079,-53.1075,-47.1749166667,-70.0565,-100.565166667,-100.565,22.8813333333
215.19,-63.6365,-85.4546666666,-24.8483333333,-87.2726666665,-62.4241666667,-54.5455,-78.4848333333,-120.606,-109.394,26.3638333333
