wavelength,Back_CypHirf,Belly_CypHirf,Breast_CypHirf,Crissum_CypHirf,Crown_CypHirf,DorTail_CypHirf,Patch10_CypHirf,Rump_CypHirf,Throat_CypHirf,WingTip_CypHirf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,74.0741666667,133.333333334,157.4075,88.8890000001,90.7409999999,81.4815,125.926166667,150.000166667,98.1480000002,179.629666666
179.16,50.0,41.6666666667,33.3333333333,18.75,75.0000000001,50.0,64.5833333333,97.9166666667,43.75,95.8333333333
179.54,96.154,75.641,74.359,25.6411666667,98.7176666666,49.9998333333,89.7436666669,98.7179999999,87.1793333334,100.0
179.93,55.0,60.0,52.5,36.6666666667,69.1666666667,36.6666666667,61.6666666667,67.5,55.0,65.8333333333
180.31,68.8095,70.7143333335,63.0951666667,5.7145,103.809333333,44.0475,80.7141666667,75.9523333333,45.9523333333,125.9525
180.69,74.297,77.7108333333,71.2851666666,15.06,105.02,48.9963333333,85.5421666667,82.932,51.2048333333,122.8915
181.07,88.3563333335,80.1370000001,75.5708333333,8.44766666665,118.7215,53.881,94.7490000002,88.8128333333,48.4018333333,129.223666667
181.45,100.264666667,93.9155000002,90.741,11.1111666666,139.1535,62.963,105.0265,98.9416666665,56.3491666666,146.8255
181.83,109.356833333,105.5555,98.8303333331,21.0525,153.2165,77.193,108.187166667,102.6315,50.0,157.8945
182.21,102.222333333,96.9443333335,87.4998333335,17.2221666667,136.388833333,78.8888333333,103.0555,87.4998333334,31.1111666666,146.111
182.59,94.1665000001,82.2221666665,86.1111666667,5.00016666666,127.222166667,78.6110000001,90.8331666667,82.7776666667,15.5556666667,130.8335
182.97,93.4424999998,83.8796666667,87.1585,8.74316666665,127.5955,85.2460000001,87.9781666667,85.519,21.3115,134.153166666
183.35,86.7116666667,75.9008333331,82.207,11.4866666667,100.901,72.7478333334,72.9731666667,76.3515,19.5948333333,110.810666667
183.73,90.3844999998,80.1281666665,78.8463333333,22.2225,97.8629999999,70.2993333334,73.9313333333,77.9913333333,20.299,104.9145
184.11,85.4496666666,76.9841666669,79.6296666667,10.582,106.613666666,73.0158333334,78.8358333333,87.8306666667,-0.2645,112.963
184.49,109.722333333,93.7498333335,108.680666667,26.736,131.9445,101.736,112.847166667,113.888833334,0.34733333335,139.236
184.87,139.655,113.2185,135.632333334,14.9423333333,167.816,148.275833334,155.172333333,132.758333333,-38.5058333333,198.275833334
185.25,90.3508333333,96.4910000002,96.4913333332,-85.0880000002,164.035166666,151.7545,124.561166667,87.7193333333,-154.386,216.666666667
185.63,57.6923333334,60.2563333335,67.9488333333,-82.6923333333,110.2565,115.384666667,83.3335,48.077,-130.769333334,155.769166666
186.01,1.5151666667,27.2726666665,45.4546666667,-148.485,80.3030000001,99.9998333335,62.1213333331,21.2123333335,-179.5455,146.969833333
186.39,-85.4166666665,-20.8333333335,122.916666666,-458.333333333,177.083333334,179.166666667,35.4166666668,37.5,-512.5,337.5
186.77,-6.6666666665,113.333333333,350.0,-520.0,433.333333333,410.0,140.0,180.0,-600.0,673.333333331
187.15,183.333333333,22.2223333335,-638.888833333,883.333166665,-649.999999998,-461.111166667,11.111,-127.777666666,988.888833335,-861.111166666
187.53,63.7678333331,55.0724999998,-40.5798333333,154.347833333,-73.1881666666,-23.1883333333,38.4058333333,36.9566666669,166.666833333,-69.5651666669
187.91,55.8821666665,39.2155,-129.411833333,164.705666667,-121.5685,-72.5488333333,15.6863333334,19.6078333333,169.607833333,-130.392333333
188.29,-13.8888333335,-47.2223333335,-569.4445,291.6665,-436.111166667,-377.777666667,-111.111333333,-52.778,319.4445,-447.222333333
188.67,67.857,61.904666667,285.714333334,-84.5236666667,229.761666666,230.9525,76.1903333335,63.0951666668,-86.9048333331,222.619166667
189.05,21.9296666667,22.807,206.1405,-62.2806666667,174.5615,154.386,21.0526666667,51.7543333333,-77.193,142.105166667
189.43,61.382,45.1219999999,130.081333333,21.5445,112.195,102.845666667,48.374,52.0325,6.504,98.7804999999
189.81,64.7058333335,35.7843333335,130.882333334,-1.4705,88.7253333335,82.3529999998,46.5685,28.4311666667,-13.2353333334,84.804
190.19,86.9918333331,43.9025,119.918666667,12.195,88.6178333331,76.4226666669,59.3495,26.4226666666,8.943,81.7073333333
190.57,90.5228333331,56.536,110.130666667,22.876,90.5228333332,82.353,64.3791666667,27.124,33.0065,82.026
190.95,70.6791666666,43.2098333334,91.0495,6.79016666669,68.21,61.4198333333,46.2961666667,-1.5431666667,20.9876666667,57.4076666667
191.33,68.3673333334,30.2718333333,72.449,-11.9046666666,50.6803333333,50.6801666666,37.7551666666,-21.0881666667,-3.74133333335,44.5578333333
191.71,55.7693333332,35.2563333333,71.7948333333,-7.69233333333,42.6283333333,45.8331666667,33.9743333333,-25.0,-0.96166666665,36.859
192.09,49.6123333332,32.9458333333,58.1395,-33.7208333334,25.5811666666,44.186,24.8061666667,-57.3643333334,-11.2401666666,26.3565
192.47,37.0968333333,19.6236666667,39.5158333333,-18.5485,18.8171666666,36.0213333334,16.1291666667,-37.3656666667,2.41933333332,21.5055
192.85,19.8718333333,1.28183333335,28.2051666667,-44.2308333333,-6.08949999998,22.7565,-4.16666666665,-65.3846666667,-9.93583333335,12.1795
193.23,22.1211666667,-0.909,22.7273333333,-40.303,-10.0,18.4848333333,-7.87883333335,-79.394,-15.4545,-0.3031666667
193.61,0.30883333335,-17.5926666667,11.4196666667,-51.8516666667,-20.3703333334,1.54316666668,-25.9258333333,-93.827,-25.926,-24.6913333333
193.99,16.6666666666,4.16683333335,26.9736666667,-4.38583333335,15.351,27.4123333333,-2.851,-43.8596666667,12.2805,3.07
194.37,-1.6908333333,-9.66166666665,20.2898333333,-11.5941666667,-0.966166666665,27.7778333333,-18.8406666667,-57.971,4.58933333335,-14.9758333333
194.75,-2.29866666665,-15.23,25.0,-13.2185,-12.6436666667,35.6321666667,-17.2413333333,-67.2413333333,-0.2873333333,-24.7128333333
195.13,7.62716666665,3.39,33.8983333333,9.887,-3.67249999998,54.2371666666,1.97733333335,-46.0451666666,11.0171666666,-16.9491666667
195.51,26.3285,32.1256666666,57.7293333333,29.7101666667,15.4591666667,78.7438333333,21.4975,-23.6715,35.5071666667,4.58916666665
195.89,40.6103333333,36.1503333333,56.338,41.7838333334,19.7183333333,90.3756666667,33.8026666667,-6.80733333334,45.0703333333,7.0423333333
196.27,33.5748333333,16.6666666667,42.5121666667,38.6475,11.3528333334,82.1258333331,25.3623333333,-15.9421666666,31.401,-11.3525
196.65,32.5138333333,28.6885,39.3443333334,42.6228333333,8.197,75.9564999998,15.847,-28.6885,31.9671666667,-19.6721666667
197.03,36.8545,37.7935,32.1595,49.0611666666,15.7275,65.7278333333,18.3096666666,-19.0143333333,36.1503333333,-17.1361666666
197.40,42.1456666667,43.6781666667,28.3523333333,46.9348333333,20.3063333334,62.069,23.1798333333,-4.023,45.0193333333,-4.78900000002
197.78,58.4415,56.4935,33.7661666667,66.017,28.5713333333,72.7273333333,35.2815,5.84416666668,57.576,2.81383333332
198.16,62.8205,61.2178333333,18.9101666667,74.6795,14.1023333333,78.8461666667,21.7948333333,-17.9486666667,54.8078333333,-23.3973333333
198.54,65.9088333334,72.3483333333,7.5756666667,83.712,20.4545,71.5908333333,16.6666666666,-29.1668333333,61.3636666665,-26.1363333334
198.92,41.3978333333,58.602,-54.8386666667,88.1721666666,-4.83883333335,42.473,-31.1826666667,-94.6236666666,54.3011666667,-88.7098333332
199.30,25.3086666667,28.395,-112.963,71.6051666667,-25.9258333333,-4.93816666665,-77.7778333334,-148.148166667,43.2098333335,-140.1235
199.68,13.7683333333,-6.52199999999,-192.753666667,60.8695,-66.6664999998,-78.9856666668,-138.405833333,-193.478166667,43.4785000002,-195.652166667
200.06,-17.2221666667,-12.7776666666,-160.5555,35.0,-62.2221666668,-110.5555,-146.111166667,-182.777833333,1.6665,-157.777833334
200.44,-9.0476666667,11.9046666667,-120.000166667,41.905,-33.8095,-91.4286666665,-131.428666667,-152.380833333,6.1903333333,-114.285833333
200.82,-206.060666667,-136.3635,-562.121166667,16.6668333332,-253.03,-381.818166667,-534.8485,-590.908833333,-119.696833333,-531.818166667
201.19,-995.833333335,-779.166666667,-1858.33333333,-291.666666667,-966.666666669,-1395.83333334,-1712.5,-1920.83333333,-762.5,-1833.33333333
201.57,875.0,680.5555,1294.4445,258.333333334,774.999999999,1133.33316667,1188.88883333,1380.5555,663.888666667,1344.44433333
201.95,373.148166667,290.741,476.851666667,145.370333333,330.555666666,410.185166666,458.333333333,545.370333333,283.333333334,520.370333333
202.33,608.333333333,459.722333333,752.777666666,266.6665,569.444333334,669.4445,687.5,848.611,468.055833334,829.166666669
202.71,1350.0,1046.66666667,1766.66666666,553.333333334,1290.0,1540.0,1516.66666667,1940.0,1010.0,2013.33333333
203.09,-6683.33333334,-5100.0,-8600.0,-2050.0,-6050.0,-7583.33333334,-7150.0,-9266.66666667,-4750.0,-9866.66666665
203.47,3358.33333334,2558.33333334,4258.33333334,1225.0,3050.0,3816.66666667,3616.66666667,4533.33333333,2316.66666666,4841.66666666
203.85,689.394,509.091,812.121,198.485,537.878666667,725.757666666,695.454666667,880.303166666,528.787833333,900.000166667
204.22,571.794833333,353.846,647.436,116.666833333,424.359,541.025833334,523.077166667,691.0255,421.794833334,735.897333334
204.60,1155.5555,669.444499998,1244.44433333,105.5555,816.666666667,1061.111,927.777666666,1261.11133333,697.222166667,1497.22216667
204.98,-735.714333332,-371.4285,-759.523833333,92.857,-507.142833333,-769.0475,-542.857,-861.904833333,-390.476166666,-1080.95266667
205.36,-723.333333333,-346.666666667,-793.333333335,246.666666667,-656.666666667,-826.666666667,-760.000000001,-1046.66666667,-320.0,-1290.0
205.74,284.524,184.523666666,334.523666666,-71.4286666665,316.666666666,323.8095,364.285833333,378.5715,155.9525,501.190666666
206.12,887.499999998,679.166666666,1091.66666666,-250.0,1112.5,1158.33333334,1287.5,1162.5,516.666666667,1808.33333334
206.50,187.963166667,187.962833333,236.111166667,-26.8518333335,262.037166667,265.740666667,311.111166667,242.592666667,135.185166667,418.518333333
206.87,212.963,224.074,226.851666666,-8.3331666665,312.962833333,281.4815,351.851666667,262.963,187.037,468.518833333
207.25,209.375,259.375,238.541666667,22.9166666665,396.875,334.375,453.125,323.958333333,242.708333334,545.833333333
207.63,709.999999998,803.333333334,646.666666666,60.0,1266.66666667,1116.66666667,1446.66666666,1013.33333333,866.666666666,1703.33333333
208.01,-238.888833333,-268.0555,-198.611166667,-0.000166667000002,-509.722166667,-405.5555,-469.444333334,-337.5,-308.333333334,-669.444333335
208.39,-350.000166667,-583.333333335,-355.555666666,-16.6668333335,-983.333333335,-761.111,-819.4445,-555.555666668,-486.111166667,-1236.111
