wavelength,Back_TiaFulm,Belly_TiaFulm,Breast_TiaFulm,Crissum_TiaFulm,Crown_TiaFulm,DorTail_TiaFulm,Rump_TiaFulm,Throat_TiaFulm,WingTip_TiaFulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.6061333333,36.3636666666,50.303,38.7878666667,41.8181333333,40.909,5.45460000001,16.9695333333,46.6665333333
179.16,50.8333333333,67.5,60.8333333334,71.6666666667,100.0,82.0833333333,30.0,24.1666666667,93.3333333335
179.54,-186.666666667,-122.222133333,-97.7778666667,-148.8888,-124.4444,-155.555366667,-213.3334,-280.0,-68.8887999999
179.93,-132.345866667,-112.0986,-47.1605333333,-112.098733333,-82.7160666667,-96.2962666667,-161.2344,-205.925866667,-107.4074
180.31,-191.944466667,-174.722266667,-80.8333333333,-151.944466667,-124.7222,-144.999933333,-224.999933333,-287.222133333,-165.2778
180.69,-285.613933333,-278.947333333,-140.3508,-228.069933333,-207.368466667,-225.263166667,-314.035,-401.754466667,-251.929666667
181.07,-350.000066667,-357.777733333,-188.889,-298.148066667,-281.8518,-314.074,-374.4444,-462.222133333,-330.740733333
181.45,-196.666733333,-212.619,-97.6190666666,-166.904733333,-161.1904,-184.642733333,-215.000133333,-267.380866667,-196.666666667
181.83,-140.0,-164.375,-62.7083333334,-117.5,-117.5,-129.166666667,-158.333333333,-199.583333333,-143.75
182.21,-138.850533333,-171.954066667,-68.0460666667,-125.976866667,-131.724266667,-137.356333333,-169.195333333,-216.321933333,-146.8964
182.59,-511.333333333,-630.666666667,-354.666666667,-514.0,-500.666666667,-566.333333333,-616.0,-754.666666667,-538.666666667
182.97,-1108.0,-1293.33333333,-845.333333333,-1026.66666667,-1013.33333333,-1142.66666667,-1353.33333333,-1508.0,-1104.0
183.35,-1066.66666667,-1268.0,-906.666666667,-985.333333335,-940.0,-1090.0,-1301.33333333,-1425.33333333,-1026.66666667
183.73,2956.66666666,3313.33333333,2620.0,2923.33333333,2636.66666667,2996.66666667,3493.33333333,3620.0,2743.33333333
184.11,553.333266667,569.999933333,507.777666667,551.666733333,472.7778,557.499966667,625.0,638.3334,529.999933333
184.49,401.25,400.416666667,359.583333333,394.166666667,335.833333333,382.708333333,461.666666667,466.25,375.416666667
184.87,250.9678,241.720266667,221.290333333,241.0752,207.311733333,224.086066667,270.752733333,279.139733333,230.9678
185.25,270.208333333,248.75,228.125,247.083333334,213.125,226.354166667,277.708333333,283.333333333,241.458333333
185.63,304.2222,271.777733333,247.111066667,271.333266667,223.5556,238.111133333,303.111066667,288.6668,259.999866667
186.01,414.2856,357.460266667,327.3016,367.936533333,283.174666667,292.222233333,396.1904,382.222266667,354.920666667
186.39,303.908,271.034533333,249.885,277.471266667,218.8506,211.3794,297.471266667,288.5056,272.8736
186.77,242.777866667,212.962866667,190.925866667,208.148133333,177.592466666,167.499933333,236.8518,228.888933333,223.8888
187.15,221.481466667,192.592533333,167.407466667,175.740733333,147.777666667,143.333333333,211.481466667,205.7406,194.259066667
187.53,181.085266667,154.108666667,127.286666667,133.798533333,108.217,105.4263,168.372066667,163.876133333,147.131733333
187.91,156.419733333,129.135733333,110.9876,110.4938,93.7037333334,90.0617333333,137.530933333,140.246933333,125.061733333
188.29,125.314133333,108.502333333,96.0388000001,88.8891333333,75.6520666667,79.6617666667,113.816266667,112.850133333,105.797133333
188.67,104.773733333,92.1811333333,79.9176666668,73.8272000001,62.2222,68.6008,94.3208666665,92.8396666666,88.3127333334
189.05,100.666666667,86.4166666666,72.9166666668,64.3333333334,56.6666666667,63.6250000001,86.1666666667,84.25,83.0
189.43,88.8123999999,74.3294666666,61.7624,51.1111333333,46.6667333333,54.1761333333,75.7855333333,69.8085333333,71.7241333334
189.81,89.7872,74.8227333333,61.7730666667,51.8439333333,45.461,57.5886666667,73.3333333333,69.5036,72.7660666666
190.19,102.8454,80.9756666667,70.9756666667,57.9675333334,48.2113333333,64.0651666666,82.5205333333,77.561,79.7560666667
190.57,105.714333333,82.8571333334,72.1211333333,59.9134000001,52.1212666667,64.0260999999,87.8787999999,80.9525333334,86.3204
190.95,106.1538,85.0427333334,77.9488,60.9401333333,56.0684,62.9058333333,88.0341333332,83.5042000001,92.9060000001
191.33,113.9556,98.2223333335,87.2889999999,74.2221333334,61.0666666666,70.3109666667,96.4444666667,92.9777333333,103.7334
191.71,148.427666667,109.559733333,100.251533333,80.7546666666,65.0315999999,75.5344,114.968533333,107.672866667,125.408866667
192.09,196.068466667,134.359,128.375933333,94.5298666665,78.6325333333,93.6752333334,154.53,146.6666,158.8034
192.47,229.892533333,154.408666667,151.613,109.4624,90.7527999999,103.440633333,178.9246,188.6022,189.247333333
