wavelength,Back_CerOlif,Belly_CerOlif,Breast_CerOlif,Crissum_CerOlif,Crown_CerOlif,DorTail_CerOlif,Rump_CerOlif,Throat_CerOlif,WingTip_CerOlif
219.72,281.944444445,195.833333333,137.5,281.944444445,265.277777778,447.222222222,379.166666666,430.555555555,166.666666667
220.10,-414.81488889,-133.333333332,37.037000001,-318.518444444,-222.222333333,-640.740555554,-437.036888889,-596.296277777,-55.5556666667
220.47,-37.037111111,59.2593333333,81.4815555557,53.7036666667,30.5555555557,-43.5185555553,-20.3705555554,-96.7591666668,68.5185555555
220.85,21.8518888888,72.5926666666,72.5927777778,70.3704444445,68.1482222223,31.1109999999,38.1481111111,3.1481111111,71.4814444444
221.23,43.0894444443,80.2168888889,80.2167777779,70.7317777777,70.7317777778,57.1816666665,57.4525555555,26.8293888889,62.6016666667
221.61,52.0697777778,68.8453333334,71.4596666668,61.6557777778,74.0741111111,52.2875555554,57.7342222222,26.3617777778,45.5337777778
221.98,49.0078888889,72.619,78.3728888889,64.4841111111,76.1904444445,58.9285555557,51.1906666667,37.3016111111,49.0078888889
222.36,49.1318888889,68.7497777778,56.2498888889,55.9025555555,69.617888889,51.736,42.7083333333,41.2323888889,35.9375555555
222.74,40.351,52.8265555555,41.7155555557,31.9687777778,57.8945555557,33.918,27.2903333333,32.8460555556,15.0096666667
223.11,43.6782222222,56.1303333333,37.931,37.548,51.7242222222,41.1877777778,20.3066666667,42.1456666667,21.6477777778
223.49,49.8038888889,52.9412222222,43.268,38.4313333333,50.5882222222,49.5423333333,29.6732222222,53.3332777778,30.3267777778
223.87,71.9637777778,73.385111111,59.9481111111,58.0102222222,64.9872222222,68.0876666666,44.3151111111,72.9328333333,43.2817777778
224.24,70.707,69.5526666668,48.1963333333,56.2771111111,53.391,59.4515555556,29.293,68.7590555556,33.3334444445
224.62,71.4975555556,67.6327777779,52.6567777778,56.2803333333,51.9323333333,57.4877777778,31.1593333334,66.9080555556,37.1981111111
225.00,70.6447777778,64.6089999999,47.1878888889,54.5954444444,41.2895555556,57.8875555556,23.0453333333,63.5116666667,24.9656666667
225.38,72.0721111111,57.5075555556,42.6426666667,55.7057777778,40.6906666667,55.5555555556,15.7656666667,61.111,28.078
225.75,72.9883333333,72.7970000001,43.1034444444,63.0266666666,31.0343333333,66.2834444443,13.4101111111,69.8275,32.7585555555
226.13,67.1053333333,69.0056666668,40.2046666667,64.766,34.503,64.9123333333,27.6315555556,60.9648333333,38.8888888889
226.51,57.1256666667,61.3524444443,41.6666666667,54.8308888889,30.9177777778,57.9708888889,26.9325555555,53.3817777778,41.7873333333
226.88,49.4775555556,56.5051111111,35.2325555556,48.4331111111,28.8698888889,56.5052222222,28.2051111111,46.3436111111,41.7854444444
227.26,44.3704444444,48.0001111111,30.8887777778,40.5185555556,25.037,50.5927777778,27.9998888889,40.4444444444,36.8147777778
227.64,45.0368888889,51.7036666667,29.4074444445,39.7776666667,23.037,51.6294444444,29.4816666666,40.5556111111,39.1853333334
228.01,35.2381111111,38.0318888889,19.9997777778,30.9206666667,15.492,40.0634444444,24.2538888889,31.9683333333,33.4603333333
228.39,34.2503333333,38.5114444445,22.0605555556,30.2051111111,20.0105555556,40.8307777778,27.8857777778,30.5556111111,35.2212222222
228.76,30.3865555556,34.396,18.8405555555,26.715,19.4201111111,36.0868888889,26.3284444444,27.8986111111,31.546
229.14,29.0597777778,31.3866666667,14.7673333333,25.0713333333,19.1833333333,31.909,24.6437777778,26.2344444445,32.1462222222
229.52,29.0924444444,30.1527777778,15.0552222222,23.5793333333,19.4657777778,29.8135555556,23.1551111111,27.5232777778,29.3042222222
229.89,32.3472222222,31.096,18.6195555556,24.8011111111,23.2081111111,32.7267777778,24.763,30.3564444444,30.5273333333
230.27,32.9618888889,32.553,19.6578888889,24.4518888889,23.9687777778,34.2995555556,25.3437777778,32.3856666667,30.9177777778
230.65,33.0193333333,31.4486666667,18.767,23.1251111111,21.8688888889,35.1002222222,24.8921111111,32.3321666667,29.4071111111
231.02,35.067,30.4571111111,18.1637777778,25.0593333333,22.6951111111,35.973,24.9411111111,32.821,29.4721111111
231.40,35.1721111111,30.986,19.64,25.978,25.1174444445,35.7198888889,26.252,33.0789444444,30.8687777778
231.78,35.1791111111,30.9807777778,22.8737777778,28.2665555556,26.4568888889,35.5771111111,26.6738888889,33.6772222222,30.7636666667
232.15,37.7562222222,33.9805555555,27.4361111111,31.3915555556,28.0834444444,40.3091111111,28.8385555555,36.9112777778,32.9377777778
232.53,36.2963333333,31.7036666667,24.5927777778,32.111,26.4814444445,39.5557777778,27.9628888889,37.2222777778,32.4444444444
232.90,39.3938888889,33.3333333333,26.3748888889,34.8297777778,27.7215555556,41.0025555555,30.3403333333,40.7781666667,35.7274444444
233.28,38.7183333333,33.7764444444,28.4254444445,35.4465555556,27.028,41.2064444444,29.7206666667,40.7292222222,35.6167777778
233.66,39.8852222222,36.9807777778,30.4964444444,38.129,27.896,42.2828888889,32.9281111111,42.0802777778,37.5547777778
234.03,38.7174444445,37.1397777778,28.4294444444,37.4485555556,25.9602222222,39.7462222222,32.4074444444,40.8265,36.8654444445
234.41,35.5692222222,34.7436666667,26.2815555555,34.7438888889,24.2861111111,37.1174444444,30.6157777778,38.7512222222,36.6357777778
234.78,36.4032222222,35.669,27.7611111111,38.1383333333,28.4953333333,38.5718888889,33.0997777778,40.941,38.8722222222
235.16,34.944,36.1275555556,29.1584444444,37.574,29.1585555556,37.9357777778,33.9908888889,40.6969444444,38.7901111111
235.54,33.4912222222,36.1742222222,28.2512222222,37.0263333333,27.8723333333,36.8686666667,32.0076666666,38.8572777778,37.6895555555
235.91,31.552,33.8467777778,25.1206666667,35.5072222222,27.7474444444,36.9564444445,30.9481111111,36.1262222222,36.2922222222
236.29,31.6905555556,35.2746666667,24.1337777778,35.0357777778,28.2257777778,34.8866666667,30.4957777778,35.7528333333,35.8422222222
236.66,33.1048888889,36.1038888889,24.8501111111,32.7906666667,29.2772222222,35.1613333333,29.5344444445,35.8325555555,36.1038888889
237.04,30.4258888889,32.9303333333,22.1358888889,30.6275555556,28.008,33.4772222222,28.1231111111,31.9660555555,32.3546666667
237.41,30.2533333333,33.1894444444,22.5387777778,31.0881111111,29.5911111111,33.6786666667,29.1305555556,32.2970555556,32.9591111111
237.79,30.1985555556,32.9695555556,22.1102222222,31.2342222222,30.7584444444,34.4528888889,29.583,32.7594444445,33.1655555555
238.17,27.1186666667,28.3831111111,20.1774444445,28.4906666667,27.3605555556,31.6382222222,27.1725555556,30.2932222222,30.2931111111
238.54,25.7421111111,25.9257777778,18.9913333333,28.1586666667,26.2672222222,29.6296666667,26.215,28.2768888889,27.7121111111
238.92,22.5535555556,21.2283333333,15.1375555556,24.2353333333,21.3304444444,25.1785555555,22.3242222222,23.9169444444,23.5221111111
239.29,21.3468888889,20.0338888889,14.4176666667,23.7783333333,20.1068888889,24.532,20.8606666666,22.6113333333,22.5141111111
239.67,20.6315555555,17.7002222222,13.4512222222,22.6764444444,18.9273333333,23.381,20.1316666667,20.9042222222,21.0405555556
240.04,19.3062222222,15.6661111111,12.9631111111,20.7747777778,16.7304444445,19.9234444444,18.6036666667,18.5609444444,19.4977777778
240.42,17.2485555556,13.3257777778,11.2802222222,18.168,15.0151111111,17.7741111111,17.0044444444,16.3286111111,18.1494444445
240.79,15.9181111111,12.0924444445,11.3772222222,17.6814444444,13.5063333333,16.9494444444,16.4004444445,15.153,16.9327777778
241.17,15.7108888889,12.6635555556,12.189,16.832,13.3391111111,17.0762222222,15.4231111111,15.2867777778,16.8175555555
241.54,13.9595555556,11.0725555556,10.9955555556,14.9218888889,11.6498888889,15.6018888889,14.0235555556,13.7091111111,15.1141111111
241.92,12.1611111111,8.98788888889,9.67211111111,12.6445555556,9.6248888889,14.0126666667,12.1608888889,11.5297777778,13.9418888889
242.29,11.97,9.57822222222,9.66522222222,12.6764444444,9.89344444445,13.8507777778,12.0354444444,11.7362222222,13.9487777778
242.67,11.8746666667,9.5118888889,9.06844444444,12.2045555556,9.53266666665,13.711,11.4205555556,11.0441666667,13.6903333333
243.05,12.6997777778,10.118,9.48266666667,12.1637777778,10.1381111111,14.5168888889,11.9946666667,11.5876111111,14.2785555556
243.42,12.0186666667,9.4988888889,8.746,11.5263333333,9.49888888889,13.8526666667,11.034,10.8985555556,13.6307777778
243.80,11.8403333333,9.432,9.00955555556,11.3894444444,9.50866666668,13.9897777778,11.2743333333,11.0534444445,13.7785555556
244.17,11.5128888889,9.44766666666,8.46633333333,11.0363333334,9.23266666667,14.251,11.167,10.9708888889,13.6341111111
244.55,11.6852222222,9.67077777779,8.90533333334,11.3753333333,9.47955555557,14.5565555555,11.4666666667,11.0973888889,13.8364444445
244.92,9.82633333333,8.073,7.42188888889,9.53133333335,8.29866666667,13.4634444445,10.3731111111,9.35333333332,12.5607777778
245.30,8.10988888889,6.23177777778,5.70722222222,7.80644444444,6.50244444444,12.2426666667,8.938,7.26522222222,11.0865555556
245.67,7.55122222222,5.37755555555,5.01411111111,6.98322222222,5.70333333333,11.8077777778,8.15722222222,6.17644444444,10.6262222222
246.05,6.83544444444,4.63833333333,4.30344444444,6.34722222222,5.11277777778,11.1461111111,7.53277777778,5.41605555555,9.93933333331
246.42,6.28511111111,3.69722222222,3.58033333333,5.669,4.35866666667,10.8581111111,6.88844444445,4.40088888889,9.45722222223
246.79,6.19677777778,3.54255555556,3.68577777778,5.37966666666,3.99,10.6935555556,6.93622222222,4.48805555556,9.3098888889
247.17,6.02388888889,3.81533333333,3.96033333333,5.79533333334,4.06633333333,10.7207777778,7.07833333333,4.59066666667,9.42122222222
247.54,6.05533333333,3.629,4.16344444444,5.48344444445,4.08322222222,10.5072222222,7.15077777778,4.66322222222,9.31522222222
247.92,5.52155555556,3.27011111111,3.79788888889,4.94166666667,3.64611111111,9.98277777778,6.54555555555,4.18438888889,9.032
248.29,4.60844444444,2.48922222222,3.25644444445,4.217,2.85488888889,8.95055555556,5.85044444445,3.31144444444,8.51744444444
248.67,3.38222222222,1.35166666667,2.25822222222,3.24966666667,1.76,8.06288888889,4.80822222222,2.14416666667,7.57
249.04,3.40844444445,1.07344444445,2.35722222222,3.23144444444,1.61577777778,7.48133333333,4.61477777778,1.81783333333,7.46455555555
249.42,3.68988888889,1.15111111111,2.94022222222,3.46566666667,1.81833333334,7.41533333333,4.95322222222,2.0695,7.864
249.79,2.89555555556,0.439888888888,2.55133333333,2.80633333333,1.12911111111,6.506,4.27988888889,1.57233333333,7.41166666666
250.17,2.773,0.688000000001,2.77266666667,2.77944444444,1.34933333333,5.88955555556,3.80488888889,1.54844444444,7.15111111111
250.54,2.63533333333,0.375444444445,2.90955555556,2.60611111111,1.28511111111,5.06811111111,3.20555555556,0.797777777779,6.68555555556
250.92,2.06988888889,0.115555555556,2.70077777778,2.50077777778,1.21577777778,4.20133333333,2.71611111111,0.284666666666,6.15566666667
251.29,1.76977777778,0.143000000001,2.80155555556,2.26988888889,0.896777777779,3.23011111111,2.30944444445,-0.266055555554,5.34922222222
251.66,2.18044444444,0.667666666668,2.961,2.73566666667,1.09422222222,3.24255555556,2.42966666667,-0.342055555554,5.36644444444
252.04,3.60422222222,1.86244444445,4.29777777778,3.87044444445,2.169,4.51555555555,4.07188888889,0.911277777779,6.378
252.41,4.50455555556,2.38611111111,5.38111111111,4.31788888889,2.98677777778,5.08888888889,4.83722222222,1.50972222222,6.53366666667
252.79,4.31833333333,2.31077777778,5.654,4.14622222222,3.06466666667,4.60511111111,4.30166666666,1.18405555556,5.875
253.16,4.87044444444,3.046,6.10866666667,4.54022222222,3.30188888889,5.26677777778,4.79622222222,1.65105555555,6.43044444445
253.54,4.12788888889,3.00722222222,5.65244444445,4.372,3.06633333333,4.85211111111,4.20355555556,1.27205555556,5.78722222222
253.91,4.27477777778,3.39222222222,5.39977777778,4.25755555555,3.03744444445,4.74211111111,4.18844444445,0.92588888889,5.348
254.28,4.38388888889,2.83988888889,5.43144444444,4.04388888889,2.11366666667,4.68733333333,4.338,0.551444444443,5.14666666667
254.66,4.31622222222,3.19644444444,5.48366666667,3.91411111111,2.38311111111,4.75644444445,4.85222222222,1.23466666667,5.36888888889
255.03,4.35788888889,3.00933333333,5.46511111111,3.43188888889,2.14355555556,4.93166666667,4.71011111111,0.825166666667,5.53555555555
255.41,3.42211111111,1.81811111111,5.00466666667,2.41677777778,1.251,4.44877777778,3.946,-0.310166666667,5.75322222222
255.78,2.04922222222,0.631444444443,4.22066666667,1.77222222222,-0.16611111111,3.79966666667,2.97977777778,-1.53433333333,5.22877777778
256.15,0.101666666667,-1.68088888889,1.98555555555,0.180555555557,-1.90622222222,1.34222222222,0.236999999999,-3.32227777778,2.80877777778
256.53,-0.021666666669,-1.09588888889,1.82277777778,0.911444444443,-2.08344444445,1.96411111111,0.184444444444,-2.76705555556,2.94066666667
256.90,1.49088888889,0.38277777778,2.50811111111,1.83333333333,-0.90666666667,3.38488888889,1.72266666667,-1.13316666667,4.35166666667
