wavelength,Back_HemTrim,Belly_HemTrim,Breast_HemTrim,Crissum_HemTrim,Crown_HemTrim,DorTail_HemTrim,Patch10_HemTrim,Patch11_HemTrim,Rump_HemTrim,Throat_HemTrim,WingTip_HemTrim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,104.0,134.666666667,125.333333333,83.9999999999,67.9999999999,110.666666667,114.666666667,157.333333333,150.666666667,94.6666666667,93.3333333332
179.16,14.074,22.2222,37.0368666667,1.48153333334,-31.8518666667,40.0,5.926,33.3334,50.3703333333,16.2961333333,9.62973333334
179.54,100.0,6.66666666666,413.333333333,-193.333333333,-106.666666667,220.0,-33.3333333333,60.0000000002,413.333333333,260.0,-5.68434188608e-15
179.93,61.6666666666,86.6666666667,6.66666666666,120.0,143.333333333,39.9999999999,71.6666666667,43.3333333333,-10.0000000001,94.9999999999,73.3333333333
180.31,32.2807333333,-55.0878,99.2982666667,-100.7018,-94.7365999999,0.7016,-85.6140666667,14.7367333333,172.6316,-20.7017333333,-16.4912000001
180.69,32.1739333333,-49.5652000001,99.7102666667,-87.2462,-69.8549333333,11.5942,-71.0144666667,20.8695333333,155.362333333,-11.5942666667,-3.1884
181.07,5.3846,-85.8975333333,64.3590666668,-107.179466667,-84.359,-20.7692666667,-100.256333333,-15.1281333332,104.6154,-45.6409333333,-19.2308000001
181.45,0.66666666652,-131.333333333,68.9999999998,-152.666666667,-99.3333333334,-38.3333333332,-142.666666667,-29.6666666666,107.333333333,-69.0000000001,-32.6666666667
181.83,-102.222133333,-410.370533333,32.5925333333,-425.925866667,-288.148266667,-208.888866667,-440.7406,-174.8148,101.481333333,-285.185266667,-177.036933333
182.21,-15.0878666667,-159.649,48.7718666668,-170.8772,-82.1053333333,-69.4737333333,-188.07,-44.9123333333,73.3333999999,-98.5966000001,-42.8069333333
182.59,30.5127333334,-63.8461333333,86.9231333333,-80.2564666667,3.33319999994,7.4359999998,-83.5897333332,26.4102666667,100.769266667,-20.0001333333,38.4615333334
182.97,34.9999333333,-41.9047333333,103.809533333,-65.9524000002,28.8096,22.3809999999,-60.4762666666,45.0,101.9048,-13.0953333334,58.8094666665
183.35,23.3333333333,-57.2725999999,102.121133333,-93.6362666667,29.3940666667,20.0000666666,-77.5758,58.4849999999,113.6364,-32.7273333333,69.9999999999
183.73,38.7038,-6.6666,91.4814666665,-23.7036666666,51.4816000001,45.1852666666,-15.5555333333,69.0741333333,97.9630666667,4.07413333334,67.4073999999
184.11,22.4073333334,-6.48146666668,78.7037333335,-29.6295999999,55.0000000001,45.3703999999,-29.6294666667,68.5186000001,84.4445333333,-5.18526666668,63.7037999999
184.49,24.7619333333,4.35366666668,67.8912666667,-9.65986666668,58.0952666666,40.2721333332,-18.2313333333,64.2175999999,72.2449333333,6.25853333334,53.3333333333
184.87,17.8788,-0.75760000002,61.0607333333,-17.1212666667,56.2120666667,30.6059333335,-36.2122,64.2423333333,67.7272666667,-3.03026666668,46.3636666667
185.25,14.5454000001,-12.1212000001,68.0808666666,-32.9291333334,69.2928,37.5759333332,-58.3838666667,72.3231333333,83.8383999999,-3.23226666668,49.4949333333
185.63,-20.2666666666,-63.4666666666,54.9333333334,-77.5999999999,57.0666666665,10.1333333332,-113.6,57.3333333333,79.2000000001,-49.6,19.2000000001
186.01,0.26666666674,-32.2666666667,82.1333333333,-44.5333333333,79.7333333333,43.9999999999,-84.2666666666,89.0666666666,113.6,-20.2666666665,49.6000000001
186.39,-5.3968666668,-40.6348666667,83.4920666665,-36.5079333334,96.5080666667,55.2381333335,-96.8253333333,97.1428000001,135.555533333,-29.8412666667,56.5080000001
186.77,-82.2222666667,-120.7408,21.8520000001,-117.4074,28.5184666668,-27.4074,-192.592466666,46.6666666666,71.8518666665,-121.481533333,-12.2222666667
187.15,-137.254933333,-178.0392,-34.5097999999,-163.921733333,-14.1176,-78.8236000001,-265.8824,-3.92153333334,10.5881999999,-177.2548,-71.7646666667
187.53,-159.6078,-214.902,-49.8038666668,-204.7058,-38.0391999999,-107.8432,-289.803933333,-35.2940666665,-9.8038666666,-197.647133333,-94.1176666667
187.91,-231.428466667,-293.809466667,-75.2382,-271.904733333,-67.1430666667,-165.238066667,-388.095133334,-119.0476,-64.762,-264.285733333,-144.7618
188.29,-108.518466667,-180.3704,13.3333999999,-152.963,-4.44433333327,-72.9629333333,-238.888866667,-54.8147333333,-0.7408,-143.703666666,-59.6296666667
188.67,-249.697,-402.424133333,-66.0606,-338.181866667,-108.484733333,-198.181733333,-461.8182,-209.090933333,-95.7574666667,-376.363666667,-183.0302
189.05,-193.333466667,-332.2222,-12.2223333333,-273.3334,-71.6666666667,-123.888866667,-375.000066667,-174.4444,-58.3332666668,-317.777933333,-125.5556
189.43,-34.8388,-75.4837333333,38.9246666667,-66.8816666666,12.9033333333,-4.51606666666,-109.247333333,-31.6128666666,12.4731333333,-92.9031999999,1.72033333331
189.81,-8.13,-30.2439333333,43.2520666667,-29.1056666667,26.9918666667,13.3332666666,-68.4553333333,-10.5689333333,27.9674666667,-56.2601333333,26.6666
190.19,-1.08546666667,-31.9380666667,41.3953333332,-28.0619999999,32.248,15.5038666666,-65.2712666667,-13.4884,25.2712000001,-56.2791333333,31.3178
190.57,-22.5642,-59.3162666667,24.2734666665,-55.0427333334,9.05979999998,-8.37613333334,-95.5556,-45.1282666667,4.44446666658,-85.9828666668,12.6496666667
190.95,-5.33339999998,-33.0371333333,36.7406666665,-24.5926,22.3704,10.8148666667,-60.5925333333,-27.9999333333,25.1852000001,-56.1481333334,25.3333333333
191.33,19.8581999999,-13.6171333333,52.0568,-2.41133333339,37.4467333333,29.9290666667,-38.7234,-4.82273333332,44.8226666667,-31.6311333333,47.5178
191.71,25.8666666667,2.53333333334,63.0666666666,20.9333333332,46.6666666667,37.4666666667,-26.4,6.93333333332,48.2666666666,-16.1333333333,50.1333333333
192.09,7.59253333326,-24.0742666666,54.4445333334,-4.07393333332,23.5185333333,16.4814666666,-72.7776000001,-12.4073333333,36.1110666667,-53.7038000001,34.4444
192.47,-53.8461999999,-88.9743999999,20.5128666665,-54.8718666668,-18.7178666667,-31.5384666666,-158.461466667,-71.0256666668,-13.5898,-124.871866667,-5.64093333328
192.85,-17.8495333333,-34.6236,46.8815333334,-22.5805999999,7.09666666666,1.50533333333,-101.505466667,-38.4946666669,16.5591333332,-70.1076,23.2256666667
193.23,-17.1929333333,-18.7718666667,41.5790666667,-9.12266666666,16.1404,4.38600000008,-66.8420666666,-19.2982666666,26.3158,-46.6666666667,27.1930666667
193.61,-58.8096000002,-54.7619333333,26.6667333334,-25.9523333334,6.6666,-29.7618,-103.571466667,-51.9047999999,12.1428666667,-85.9524666666,1.90473333342
193.99,-71.3580666667,-56.2963333333,35.0618666667,-25.4321333333,13.8270666667,-37.5308666667,-101.234666667,-55.3086666664,5.67906666667,-82.9628666666,7.40740000006
194.37,-73.1577999999,-49.4738,8.77199999986,-33.6842666667,-10.1753333333,-43.5089333334,-80.0000666668,-52.4562000001,-14.7368666667,-74.3859333333,-15.9648666667
194.75,-57.7235333333,-24.3902666667,17.5609333334,-21.4634666667,9.91873333334,-18.6993333333,-57.0731999999,-27.1545333333,0.48773333332,-65.3658666665,0.48786666666
195.13,-140.8,-74.4000000001,-29.0666666667,-82.1333333332,-19.7333333333,-68.5333333333,-151.2,-99.4666666667,-58.1333333332,-164.266666667,-53.3333333334
195.51,-589.166666666,-285.833333333,-245.0,-356.666666667,-161.666666667,-325.833333333,-535.833333333,-464.166666667,-319.166666667,-646.666666666,-300.0
195.89,-398.0,-166.666666667,-180.666666667,-225.333333333,-77.3333333333,-198.666666667,-401.333333333,-353.333333333,-216.666666667,-476.666666667,-184.666666667
196.27,-1128.88893333,-268.888866666,-495.555466667,-373.333333333,-42.2222666666,-486.666733333,-1117.7776,-1048.8888,-646.666666666,-1462.22226667,-475.555533333
196.65,376.0,106.666666667,216.666666667,150.0,69.3333333333,204.666666667,368.666666667,368.666666667,266.666666667,497.333333333,184.666666667
197.03,340.000133333,107.1796,214.871866667,128.205133333,79.4871333334,210.256466667,306.666733333,316.923,256.410333334,405.128133333,181.5384
197.40,300.888866667,119.111133333,210.222333333,108.0,96.0000000002,213.3334,299.555666667,319.555533333,264.444466667,390.6666,176.8888
197.78,187.083333333,49.9999999999,125.833333333,20.4166666669,41.6666666668,133.333333333,228.75,231.666666667,200.416666667,302.083333333,109.583333333
198.16,95.1514666666,6.36379999994,78.1818666666,-28.1817999999,15.1515333333,76.3636666667,136.666733333,151.818133333,134.848533333,192.121333333,59.9998666666
198.54,88.2051999999,10.2564,95.3846,-22.3077333333,46.1539333333,91.0256666665,130.512866667,155.8974,140.512866667,171.025666667,70.513
198.92,86.9841999999,-7.61906666646,93.6508666667,-50.7935999999,49.2064666667,106.349266667,148.571533333,172.380933333,178.0954,172.698466667,73.9682666667
199.30,85.3333333332,-34.2221333334,100.444533333,-108.000066667,54.2222666667,131.111066667,177.333333333,220.444533333,228.0,200.444533333,54.2222666667
199.68,51.8518000001,226.666533333,31.8517999999,368.148,107.407266667,-29.6295333332,-142.9628,-197.036933333,-208.148066666,-121.4816,96.2964000002
200.06,21.25,135.833333333,23.3333333332,200.0,57.4999999999,-15.0000000001,-73.7500000002,-103.333333333,-125.0,-51.2499999999,62.5
200.44,42.0203333333,82.6262666667,24.8485333333,112.121266667,52.7272666666,30.1009333333,-15.9595333335,-30.7070666667,-36.5655333333,3.63633333334,62.6262000001
200.82,47.0,84.4999999999,30.3333333333,104.166666667,61.5000000001,43.6666666667,8.33333333334,-11.1666666667,-13.0000000001,24.3333333333,68.0000000001
201.19,61.2245333334,87.6189333333,48.9794666666,113.605466667,73.6055333334,64.7618,34.4217333333,14.6939333333,10.8844,44.3538666667,75.7824666666
201.57,65.697,86.9091333334,54.5454666667,107.878733333,72.3636,66.3029333333,41.6969333333,25.8181333333,19.5152000001,52.7272,68.1212666667
201.95,54.3169333333,82.8418000001,44.0437333334,94.5354666668,65.2458666667,56.2841333333,39.7815333333,21.53,14.6448666667,43.6066,59.9999333334
202.33,44.4790666667,74.1668000001,31.1457333334,77.7083999999,57.1874,46.4582666667,33.2290666667,14.7916666667,6.7706,28.3334,42.2916666667
202.71,51.5253333333,84.1808666667,39.2089999999,89.3784666667,79.7739333333,54.4630666667,43.6158,25.1978,14.8023333333,33.8982666667,54.0113333333
203.09,48.2485333333,82.9377333333,34.4633333334,88.2484666667,78.9831333334,49.1525333333,45.8757333334,16.3843333333,14.6892666667,34.4631333333,51.2994
