wavelength,Back_EmbDuim,Belly_EmbDuim,Breast_EmbDuim,Crissum_EmbDuim,Crown_EmbDuim,DorTail_EmbDuim,Patch10_EmbDuim,Patch11_EmbDuim,Rump_EmbDuim,Throat_EmbDuim,WingTip_EmbDuim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-51.852,70.3703333333,51.852,14.8146666667,-59.2593333333,81.4813333333,-7.40733333333,-48.148,-94.8148666667,-51.852,18.5183333333
179.16,35.8973333333,51.282,38.4616666667,64.1026666667,58.9743333333,7.69233333333,2.56433333333,-2.36847578587e-15,-26.154,-20.513,33.3333333333
179.54,-3.70333333333,-74.0743333333,-11.1113333333,18.5186666667,29.6296666667,29.6296666667,0.0,-33.3333333333,-46.6668666667,-88.8886666667,-11.1113333333
179.93,105.555666667,161.111,66.6666666667,144.444333333,138.888666667,122.222,116.666666667,22.2223333333,-23.3333333333,44.4446666667,138.888666667
180.31,47.222,48.148,126.852,105.555666667,50.9256666667,107.407333333,67.5926666667,-53.7036666667,-88.8888,-135.185333333,73.1483333333
180.69,50.4063333333,39.8373333333,120.325333333,94.309,56.9103333333,107.317,89.4306666667,-42.2763333333,-77.8859333333,-123.577333333,78.0486666667
181.07,71.2643333333,24.1376666667,158.620666667,74.7126666667,91.954,116.092,104.598,-64.3676666667,-114.9424,-205.747333333,104.598
181.45,117.391333333,57.971,233.333666667,118.840666667,149.275,201.449333333,189.854666667,-13.0433333333,-85.2174666667,-202.898666667,182.608333333
181.83,297.222333333,225.0,544.444666667,302.777666667,311.111,355.555333333,372.222333333,-33.3336666667,-169.999933333,-308.333333333,400.0
182.21,-383.333333333,-100.0,-927.777666667,-338.889,-327.777666667,-427.777666667,-422.222333333,233.333333333,461.111333333,833.333333333,-550.0
182.59,-2666.66666667,-633.333333333,-6600.0,-2133.33333333,-2633.33333333,-3200.0,-2066.66666667,933.333333333,2260.0,3766.66666667,-4300.0
182.97,228.07,89.4736666667,421.052666667,154.386,217.543666667,173.684333333,128.07,1.75433333333,-91.2282,-136.842,294.737
