wavelength,Back_SalMulf,Belly_SalMulf,Breast_SalMulf,Crissum_SalMulf,Crown_SalMulf,DorTail_SalMulf,Patch10_SalMulf,Patch11_SalMulf,Patch12_SalMulf,Patch13_SalMulf,Rump_SalMulf,Throat_SalMulf,WingTip_SalMulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,132.469222222,114.074066667,108.889,111.1112,122.963,105.5557,102.222133333,134.814733333,144.444466667,91.1110666665,135.555666667,82.2222,108.889
179.16,119.246161111,119.523933333,112.857066667,99.0476000001,116.666666667,105.2381,90.4761333334,131.428533333,119.999866667,78.5713999999,135.238133333,110.000066667,108.571533333
179.54,325.92605,306.666733333,348.888933333,211.111133333,302.222266667,317.777766667,213.333266667,331.111066667,346.666666667,313.3334,404.444466667,275.555666667,262.222333333
179.93,156.543111111,162.963066667,146.6668,143.7038,140.000066667,179.259166667,165.925933333,162.9632,152.5926,131.8518,182.963,131.111133333,171.1112
180.31,106.104722222,103.4882,101.472933333,92.2480666667,110.0776,94.0310333333,107.286866667,110.0,116.589066667,92.3254666667,115.581333334,86.4339333333,93.4109333333
180.69,101.691338889,99.3333333333,97.9260666667,92.2222,108.7408,90.7408000001,107.7038,111.629533333,112.370333333,92.3704666667,110.592533333,83.0371999999,88.5926666668
181.07,90.1696333333,89.9647333333,89.1227333333,86.5262000001,98.8072000001,84.0701333333,98.5964666667,101.473466667,99.2282666667,90.9472666667,102.2456,75.9298666667,81.8948000001
181.45,83.8143888888,80.8942,80.3252666667,84.7155333334,95.0406000001,79.5121333333,97.4795999999,92.6018000001,91.2194666668,92.2764666667,93.1707333334,67.2358666667,77.4797333334
181.83,73.4472055555,69.4779333334,67.7109333334,81.8473333333,88.1926666667,68.4737999999,96.4658666666,82.6504666667,80.8836666667,82.3294666666,78.3131333333,60.5621333334,68.8354
182.21,64.1875000001,60.5,54.5,72.6666666667,84.75,56.7916666667,88.1666666667,79.0833333333,71.5833333333,75.1666666667,69.6666666666,55.25,60.3333333333
182.59,58.8617777778,52.6016666667,49.8371333333,67.6423333334,75.2032666667,52.2765,81.1382,73.0082000001,62.0326666666,67.4797333333,64.0650666667,50.3253333333,56.5854
182.97,55.8066944444,52.2375333334,51.1416666667,70.0457333334,75.0685333333,56.8035333333,83.6532666666,73.1508,57.4428666667,67.6713333333,62.9223333334,50.1370666667,63.7443333333
183.35,49.4633111111,51.8644000001,48.2486,73.4463333334,76.8361333334,51.9773333333,82.7119333333,69.9435999999,53.8983333333,56.6101333333,65.0847333334,46.1018666667,62.9379333333
183.73,50.4987833333,46.5306666667,47.8912,87.0748000001,81.9047333333,38.8437333333,86.1224666667,75.6464,56.8707333333,62.585,73.7414666667,52.381,63.8094666666
