wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
190.19,29.8040666667,36.0131333333,46.6666666667,24.3789333333,41.3726,48.3333333333,62.8756666667,32.6796666667,35.6862,35.6862666667
190.57,24.5976666667,35.0192,41.0728,19.3870666667,36.6284666667,41.6474333333,62.6054666667,28.4291333333,29.5786666667,30.4982
190.95,26.1904,35.7144,43.2380666667,17.7144,37.9046666666,42.1427666666,67.2380666667,29.8094666667,28.4762,31.1428
191.33,26.5555333334,40.8890666667,43.4444666667,20.3334,34.6666,39.4999333333,69.4444666667,29.9999333333,30.5556666667,29.6666
191.71,29.5402,41.7240666667,46.8966,22.0689333333,29.3103333333,32.2988333334,70.6897333333,25.977,31.1494,28.5058
192.09,31.0000666667,51.2222666667,50.2222,24.9999333333,30.4444666667,36.7222666667,73.8889333333,30.7777333333,42.3332666667,31.8888
192.47,36.9698,54.6465333333,49.2929333333,34.2424666667,33.2322,34.0908666667,72.0201999999,33.6361999999,47.8787333333,35.0505333333
192.85,42.4762,59.7143333333,51.619,45.7143333333,35.1428666667,40.7619666667,78.4761333334,36.0001333333,52.8570666667,42.4762666667
193.23,29.9124,48.8597333333,41.5788666667,38.5964,19.6492,30.3947666667,64.1227333333,24.8246,41.6666,32.6316
193.61,29.4016666667,46.3246666667,39.3163333333,38.1196,17.3504,23.5896,60.4274,20.8547333333,35.641,30.5982
193.99,30.5777333333,40.3556,30.2222,33.3332,12.2666666667,19.8221,54.8444666667,13.2444666667,31.7333333333,27.0221333333
194.37,40.0877333333,51.3158,35.0,43.8596666667,23.3332666667,34.4297666667,65.9649333333,24.3858666667,37.6316,37.1052666667
194.75,40.5302666667,52.1212666667,36.5152,47.1968666667,25.9847333333,41.7424,68.788,29.2425333334,40.9848666667,38.0304
195.13,47.6923333333,57.5642,40.641,50.064,31.9872,49.1347,73.6539333333,34.6153333333,46.2819333333,41.218
195.51,47.5706666667,52.7119333333,39.2089333333,46.3276,32.9942,49.2936,69.0395333333,35.9322666667,42.5422666667,38.7005333333
195.89,44.4086,47.9570666667,36.8816666667,38.8171333333,31.3978,48.4946666667,63.4946,34.2472666667,37.258,37.2042666667
196.27,48.0314666667,52.5460666667,40.3674,40.2099333333,33.2283333333,51.9947,68.0840666667,38.0052666667,39.1078,41.6273333333
196.65,52.8456,56.9106,41.8969333333,40.7588,35.8806666667,54.9051666667,74.038,40.5962,41.9512666667,43.6313333333
