wavelength,Back_TanRuef,Belly_TanRuef,Breast_TanRuef,Crissum_TanRuef,Crown_TanRuef,DorTail_TanRuef,Patch10_TanRuef,Patch11_TanRuef,Patch12_TanRuef,Rump_TanRuef,Throat_TanRuef,WingTip_TanRuef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,73.3333333333,-216.078431373,26.6666666667,6.66666666667,-53.3333333333,-120.0,-106.666666667,-53.3333333333,-86.6666666667,86.6666666667,-60.0,72.1212121212
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,-300.0,425.490196078,100.0,233.333333333,233.333333333,133.333333333,533.333333333,-300.0,-466.666666667,-100.0,-300.0,-603.03030303
179.93,33.3333333333,3.1671372549,23.0766666667,33.3333333333,43.5893333333,15.3846666667,12.8206666667,43.5896666667,61.5383333333,58.9743333333,84.6153333333,47.0862424242
180.31,71.9696666667,-45.2763137255,57.576,83.3336666667,31.061,24.2423333333,-3.03033333333,76.515,64.3936666667,86.3633333333,108.333333333,144.765666667
180.69,58.1816666667,-38.074627451,45.4546666667,61.212,21.212,30.303,-10.9093333333,67.879,57.5756666667,75.7576666667,92.7273333333,118.842666667
181.07,51.9773333333,-14.5560784314,55.932,55.932,29.3783333333,50.2823333333,10.7346666667,71.1866666667,71.1863333333,74.5763333333,109.604333333,100.205424242
181.45,66.6666666667,11.3381764706,67.15,65.7006666667,49.2753333333,62.802,35.7486666667,86.9566666667,78.744,83.092,107.729333333,94.203030303
181.83,64.3833333333,8.6489607843,67.123,59.8176666667,49.315,59.3606666667,35.1596666667,76.2556666667,71.233,73.0593333333,96.347,76.380030303
182.21,75.7576666667,11.4675098039,73.2323333333,68.6866666667,62.1213333333,79.798,46.4646666667,89.394,74.2426666667,81.818,98.4846666667,80.8081212121
182.59,68.075,5.7164509804,65.7276666667,49.7653333333,50.2346666667,83.0986666667,46.4786666667,70.892,60.0936666667,75.1173333333,82.6286666667,66.8374848485
182.97,66.6666666667,19.9868039216,56.4393333333,45.4543333333,47.7273333333,77.2726666667,44.3183333333,64.7726666667,51.515,73.106,87.879,58.402
183.35,75.0,38.0721176471,61.8056666667,43.4026666667,51.042,83.6806666667,52.7776666667,69.4443333333,56.9443333333,82.2916666667,99.653,60.606030303
183.73,70.8333333333,43.4479215686,58.333,48.611,52.5,81.6666666667,58.3336666667,68.333,58.889,84.7223333333,88.0553333333,61.4141515152
184.11,68.0273333333,50.6604705882,60.5443333333,50.567,56.0093333333,79.8186666667,63.719,67.12,61.9046666667,83.22,82.5393333333,61.0596060606
184.49,70.8333333333,60.9906470588,70.6136666667,54.6053333333,68.8596666667,89.035,71.272,72.149,73.9036666667,89.912,83.7716666667,67.3644242424
184.87,70.1753333333,61.5842941176,70.3946666667,55.263,70.8333333333,80.921,72.5876666667,69.737,71.4913333333,88.158,76.0966666667,62.2607272727
185.25,67.3033333333,57.1248627451,61.9953333333,53.291,69.002,75.796,66.667,68.365,65.605,81.741,68.365,62.2466363636
185.63,61.0753333333,55.509,58.0643333333,48.8173333333,64.5163333333,71.828,56.989,68.172,61.7203333333,78.2796666667,63.656,61.095030303
186.01,57.451,61.3958431373,57.2546666667,51.3726666667,61.9606666667,70.3923333333,56.0786666667,70.3923333333,58.6276666667,79.6076666667,58.2353333333,63.2442424242
186.39,57.0856666667,69.1910196078,57.086,49.501,58.084,64.6706666667,55.8883333333,72.4553333333,60.679,77.645,59.8803333333,66.8300606061
186.77,58.046,73.0449215686,53.4483333333,52.682,59.1953333333,62.452,52.6823333333,75.2873333333,62.0686666667,73.18,62.4523333333,66.1791212121
187.15,55.1516666667,74.0344313725,54.5453333333,52.9293333333,58.788,61.212,52.9293333333,72.929,63.0303333333,74.5453333333,55.3533333333,64.5546060606
187.53,48.366,78.3034313725,52.2876666667,49.0196666667,59.0413333333,55.3376666667,47.7123333333,71.8953333333,61.22,72.549,46.1876666667,62.3094242424
187.91,42.7896666667,77.7084901961,48.7,36.643,57.4466666667,46.572,38.771,68.3216666667,53.901,65.2483333333,43.4986666667,54.093969697
188.29,33.908,79.429,44.5403333333,26.1493333333,59.1953333333,45.69,29.885,66.092,53.161,62.069,37.931,48.354
188.67,36.198,75.9805490196,44.531,22.1356666667,47.3956666667,46.6146666667,28.646,63.8023333333,54.1663333333,57.0313333333,28.3856666667,45.7147878788
189.05,35.2306666667,74.4620980392,47.4256666667,17.0733333333,46.8836666667,51.7616666667,30.3523333333,66.6666666667,55.8266666667,59.0786666667,34.1463333333,50.2586969697
189.43,37.8786666667,85.4544313725,49.697,8.788,43.03,57.2726666667,27.879,70.303,58.1816666667,61.8183333333,32.424,47.9341515152
189.81,38.889,94.3096470588,46.7316666667,4.575,43.1373333333,57.5163333333,37.9083333333,59.477,57.1896666667,58.17,30.7186666667,39.7206363636
190.19,40.4763333333,115.592803922,52.7776666667,-6.349,56.746,67.857,53.9683333333,59.5236666667,69.8413333333,59.127,44.4446666667,42.2077575758
190.57,13.6983333333,105.720862745,44.7486666667,-31.9636666667,49.3153333333,65.7533333333,39.726,38.8126666667,56.1643333333,45.662,25.5706666667,19.7177272727
190.95,-29.697,115.686431373,43.6366666667,-78.788,33.3333333333,43.6363333333,23.6363333333,11.5153333333,41.212,20.606,1.21233333333,-11.5702121212
191.33,-33.333,112.62054902,38.182,-82.4243333333,19.3936666667,26.0606666667,22.424,10.909,40.606,6.66666666667,-15.7576666667,-24.3528181818
191.71,-68.217,101.504529412,24.806,-144.186,1.55033333333,-6.20133333333,7.752,-17.8293333333,1.55033333333,-42.6356666667,-60.4653333333,-66.737
192.09,-113.580333333,141.394392157,17.284,-235.802666667,-28.395,-24.6913333333,-8.642,-70.3703333333,-6.173,-123.457,-144.444666667,-112.79430303
192.47,-95.238,101.961098039,9.52366666667,-209.523666667,-20.238,-48.8093333333,-30.9523333333,-64.2856666667,-26.1903333333,-141.666666667,-134.523666667,-118.830939394
192.85,-720.0,529.411764706,-200.0,-1226.66666667,-93.3333333333,-506.666666667,-326.666666667,-680.0,-493.333333333,-1020.0,-686.666666667,-892.727272727
193.23,1450.0,-2216.66666667,233.333333333,2566.66666667,-316.666666667,966.666666667,833.333333333,1533.33333333,833.333333333,2416.66666667,1233.33333333,2090.90909091
193.61,466.666666667,-845.751627451,-50.0,716.666666667,-277.778,327.777666667,155.555666667,505.555666667,211.111,755.555666667,377.778,545.959484848
193.99,-383.333333333,1469.11764706,400.0,-908.333333333,700.0,-250.0,-283.333333333,-466.666666667,-108.333333333,-850.0,-241.666666667,-659.848484848
194.37,-275.0,672.058823529,112.5,-579.166666667,200.0,-245.833333333,-375.0,-341.666666667,-170.833333333,-562.5,-279.166666667,-480.681818182
194.75,2.89866666667,299.999941176,107.246666667,-156.522,140.579666667,-21.7393333333,-56.522,-76.8116666667,4.348,-130.434666667,-63.7683333333,-103.425606061
195.13,30.392,230.911352941,107.843333333,-91.1766666667,125.490333333,30.392,7.843,-32.353,50.0,-35.294,-44.1173333333,-37.2550909091
195.51,4.762,316.43345098,139.682333333,-223.809333333,128.571333333,17.4603333333,-22.2223333333,-98.4126666667,66.6666666667,-90.476,-126.984,-103.607666667
195.89,2.77766666667,500.653588235,208.333,-397.222,169.444333333,36.111,-61.111,-208.333333333,152.777666667,-172.222333333,-227.777666667,-253.030060606
196.27,2.381,424.509607843,207.142666667,-330.952333333,138.095333333,26.1903333333,11.9046666667,-183.333333333,100.0,-130.952333333,-230.952333333,-250.649151515
196.65,-616.666666667,3050.0,850.0,-3216.66666667,-150.0,-233.333333333,-600.0,-1950.0,-133.333333333,-1500.0,-2283.33333333,-2680.3030303
197.03,-1533.33333333,6260.78431373,1333.33333333,-7400.0,-1000.0,-966.666666667,-866.666666667,-3600.0,100.0,-3866.66666667,-4866.66666667,-5451.51515152
197.40,-166.666666667,498.574117647,118.181666667,-736.363666667,-181.818333333,-154.545333333,-33.333,-351.515,-51.515,-469.697,-563.636666667,-512.396636364
197.78,-295.833333333,560.294117647,116.666666667,-1070.83333333,-350.0,-304.166666667,-91.6666666667,-533.333333333,-150.0,-754.166666667,-862.5,-797.727272727
198.16,308.888666667,-166.797156863,51.111,717.778,353.333333333,268.888666667,100.0,371.111,182.222333333,542.222,631.111333333,517.575757576
198.54,213.636333333,-64.171392157,45.4546666667,504.545666667,245.454333333,201.515333333,50.0,262.121333333,156.060333333,375.757666667,448.484666667,361.569969697
198.92,158.823666667,-52.883745098,30.3923333333,328.431333333,176.471,145.098,64.7056666667,191.176333333,108.823666667,263.725666667,302.941,248.128515152
199.30,130.769333333,-31.8247254903,37.607,280.342,150.427666667,123.076666667,78.6326666667,166.666666667,119.658333333,255.555666667,254.701,234.576515152
199.68,157.657666667,-38.1557843137,36.937,290.09,145.045333333,121.621666667,101.801666667,183.783666667,164.864666667,273.874,257.658,244.39
200.06,190.804333333,-88.9113529413,33.3333333333,342.529,182.758666667,135.632333333,116.091666667,243.678333333,190.804666667,344.827666667,310.345,277.011515152
200.44,211.904666667,-106.862784314,58.3333333333,360.714333333,186.905,136.904666667,151.190333333,267.857,203.571333333,366.666666667,316.666666667,298.159878788
200.82,160.416666667,-131.556372549,15.625,309.375,133.333333333,106.25,85.4166666667,227.083333333,145.833333333,313.541666667,238.541666667,221.212121212
201.19,168.571666667,-74.8458431373,30.476,275.238,155.238333333,129.523666667,106.666666667,242.857333333,166.666666667,305.714666667,227.619,228.744606061
201.57,136.054666667,-44.457490196,36.0543333333,197.959333333,124.489666667,105.442333333,104.761666667,193.197333333,155.102,211.564666667,175.510666667,198.515727273
201.95,158.17,-16.9546862747,49.0196666667,202.614333333,156.209,122.222,138.562,211.765,167.320333333,222.222333333,183.006666667,214.617030303
202.33,183.688,-23.946607843,45.39,204.964666667,160.283666667,135.461,159.574666667,242.553333333,190.780333333,234.752,178.014,231.076757576
202.71,165.476333333,-24.860137255,35.7143333333,157.143,134.523666667,116.666333333,139.285666667,213.690333333,155.357333333,203.571333333,135.714333333,198.809575758
203.09,194.203,-31.2870784313,35.507,184.058,158.695666667,129.71,142.029333333,234.782666667,185.507333333,238.405666667,124.637666667,232.938121212
203.47,172.222333333,-30.637235294,22.9166666667,166.666666667,149.305666667,135.416666667,120.833666667,207.638666667,160.416666667,225.694333333,98.6113333333,207.323363636
203.85,135.087666667,-3.887392157,19.883,141.520333333,125.731,110.526666667,95.906,174.853666667,129.824333333,195.321666667,90.0586666667,181.871272727
204.22,132.183666667,16.1597843137,11.494,137.356,115.517333333,116.666666667,102.299,166.666666667,137.931,190.804333333,87.356,195.611333333
204.60,124.378,28.6506078431,4.975,121.890666667,115.920333333,111.442666667,88.5573333333,144.776,121.393333333,171.641666667,83.5823333333,173.903151515
204.98,123.423333333,57.7898039217,18.919,114.414333333,108.558333333,113.513333333,87.8376666667,141.441333333,129.729666667,168.018,91.4416666667,168.26369697
205.36,118.981333333,56.1273921569,8.33366666667,117.129666667,100.0,93.0556666667,85.185,136.574333333,121.296333333,156.481333333,93.5183333333,167.550515152
205.74,112.719,55.8047843137,2.193,111.403666667,94.737,83.3333333333,68.4213333333,126.754333333,99.5613333333,158.771666667,82.4563333333,146.889909091
206.12,96.8753333333,30.0555294118,-18.75,103.125333333,66.667,79.1666666667,44.7916666667,113.542,92.7083333333,152.604333333,68.75,144.413272727
206.50,68.8173333333,13.061627451,-28.4946666667,93.0106666667,52.6883333333,72.0426666667,34.9463333333,94.086,76.8816666667,147.311666667,76.344,143.059454545
206.87,51.282,15.2339411765,-38.4613333333,101.923,48.718,70.5126666667,31.41,83.3336666667,82.0513333333,160.256333333,80.128,152.855181818
207.25,53.4313333333,39.7057254902,-14.216,98.039,51.4703333333,70.098,40.196,78.4313333333,90.196,139.706,89.706,130.213757576
207.63,59.091,49.6436078431,-5.05066666667,111.616,64.1416666667,68.182,41.919,83.333,111.111,148.484666667,103.535666667,141.046818182
208.01,68.5186666667,21.4236862745,-7.40733333333,127.778,72.222,78.395,39.5063333333,99.3826666667,124.691333333,179.012,112.963,166.722939394
208.39,78.7876666667,12.5221176471,-2.27266666667,163.636333333,100.757333333,81.0603333333,37.1213333333,116.666666667,137.121333333,219.697,152.273,195.041212121
