wavelength,Back_RhoCruf,Belly_RhoCruf,Breast_RhoCruf,Crissum_RhoCruf,Crown_RhoCruf,DorTail_RhoCruf,Rump_RhoCruf,Throat_RhoCruf,WingTip_RhoCruf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,466.666666667,277.777777778,511.111111111,222.222222222,444.444444444,555.555555555,688.888888889,455.555555556,88.8888888889
179.16,16.6666666667,100.0,3.70366666667,96.296222222,11.1112222222,61.1112222222,46.2962222222,61.1112222222,96.2962222221
179.54,-68.2540000001,-9.5238888889,-9.52377777777,1.58744444443,-38.0954444446,-26.9842222222,15.873,0.0,-3.17455555558
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-35.0425555557,35.0427777777,-85.0426666667,61.9657777779,-60.683888889,-58.5470000001,10.6837777779,40.171,26.4957777779
180.69,-59.2592222222,36.5741111111,-118.981555556,43.0554444446,-81.4816666666,-93.0554444444,4.62966666657,21.2964444445,11.1112222224
181.07,-30.2222222222,60.4444444444,-100.0,58.6666666667,-53.7777777779,-60.888888889,59.1111111112,51.1111111111,30.6666666666
181.45,-151.388888889,-1.38888888867,-461.111111111,52.7777777778,-302.777777778,-363.888888889,91.6666666664,18.0555555556,-76.3888888887
181.83,877.777777779,66.6666666633,3944.44444444,-444.444444443,2277.77777778,3155.55555556,-433.333333336,344.444444444,633.333333333
182.21,88.888888889,-36.1111111123,1030.55555556,-152.777777778,547.222222221,769.444444443,-33.3333333333,163.888888889,236.111111111
182.59,75.5555555556,-6.66666666667,414.444444445,-20.0000000001,282.222222222,317.777777778,21.1111111113,123.333333333,135.555555555
182.97,50.7246666668,28.0192222223,197.101333334,18.8404444444,158.454111111,160.386222222,26.5699999999,94.6859999998,69.5652222222
183.35,52.0202222222,27.2726666667,189.899,52.0201111111,172.222222222,161.616111111,12.1212222223,101.515333333,68.1818888889
183.73,-23.9764444446,-36.842111111,143.274666667,25.731,150.292444444,117.543777778,-60.8186666667,52.0466666667,31.5788888889
184.11,-100.0,-89.6295555556,149.629777778,-6.66666666667,119.259111111,87.4074444446,-151.111,29.6296666665,-25.9258888889
184.49,-319.444444444,-270.833333333,172.222222222,-105.555555556,108.333333334,36.111111111,-480.555555555,16.6666666667,-209.722222222
184.87,-192.592555556,-112.592444445,83.7037777778,-86.6667777779,62.2222222221,-3.70366666643,-272.592555556,-2.96299999999,-127.407333333
185.25,-103.381666667,-41.5461111111,82.6085555556,-32.367,77.7777777777,35.2656666668,-142.028888889,33.3333333333,-34.7827777777
185.63,-331.111111111,-223.333333333,78.8888888887,-157.777777778,51.1111111112,-46.6666666664,-431.111111111,-30.0,-168.888888889
186.01,-236.805555555,-174.305555556,24.3055555555,-129.861111111,25.0000000001,-83.3333333332,-317.361111111,-75.6944444444,-132.638888889
186.39,-324.786444445,-239.316222222,-31.6237777778,-208.546777778,-21.3676666664,-188.034111111,-482.051111111,-171.794888889,-244.444444444
186.77,-186.956333333,-113.043444444,3.86455555556,-94.2027777778,1.93244444422,-108.212777778,-263.285111111,-96.1352222223,-131.884111111
187.15,-247.368222222,-176.608222222,-16.3743333333,-119.883222222,-21.0526666668,-176.608333333,-338.011555555,-154.970777778,-176.608222222
187.53,-207.777777778,-132.222222222,46.1111111111,-98.888888889,2.77777777757,-148.333333333,-260.555555555,-113.888888889,-129.444444444
187.91,-140.873111111,-73.4127777778,44.4445555554,-69.4442222221,-4.76199999989,-92.0636666666,-168.253888889,-66.6667777777,-103.968222222
188.29,-91.7310000002,-49.3539999999,25.0646666666,-36.434,-1.8088888889,-68.9923333333,-105.167888889,-41.3434444445,-73.6434444447
188.67,-42.4408888889,-18.397111111,31.3296666667,-7.10388888887,11.4754444445,-36.7942222222,-52.8233333333,-11.6575555555,-32.969
189.05,-52.459,-34.6084444443,20.9472222222,-15.4827777778,1.82133333333,-55.3733333333,-59.1986666667,-21.6756666667,-41.1656666666
