wavelength,Back_PooHisf,Belly_PooHisf,Breast_PooHisf,Crissum_PooHisf,Crown_PooHisf,DorTail_PooHisf,Patch10_PooHisf,Patch11_PooHisf,Patch12_PooHisf,Rump_PooHisf,Throat_PooHisf,WingTip_PooHisf
187.15,35.1254444445,70.1314444444,60.932,79.2114444444,37.0368888889,34.6475555555,16.8457777778,44.9223333333,62.963,48.5066666667,65.710888889,25.6868888889
187.53,34.1085555555,72.9974444445,61.6278888889,83.9794444444,41.7315555556,40.4392222222,22.7388888889,49.2248888889,73.1267777778,50.3875555555,71.9636666668,30.1033333333
187.91,26.8767777778,73.4234444444,60.5104444444,87.5375555557,37.8376666666,41.4414444445,10.9607777778,44.7448888889,74.925,47.1471111111,72.6726666666,24.4745555556
188.29,22.7777777778,65.1388888889,52.3611111111,74.1666666668,28.75,37.3611111111,1.94444444443,32.3611111111,65.4166666667,38.8888888889,63.7499999999,22.0833333333
188.67,16.1616666667,61.7846666667,52.8618888889,72.3905555557,18.0134444444,32.6598888889,-11.9528888889,25.0842222222,65.1516666667,31.9864444445,59.2592222221,13.8046666667
189.05,25.2818888889,63.7681111111,61.1915555555,77.1336666667,26.087,38.8083333333,-2.57644444443,30.1127777778,63.1241111111,33.9775555555,56.6827777778,16.103
189.43,49.1038888889,90.8604444444,86.5593333335,106.093333333,50.0,59.8565555554,13.7992222222,52.1505555556,80.2867777779,63.0824444445,81.1827777779,30.2868888889
189.81,70.0209999999,115.304111111,107.756666666,126.624777778,68.3437777778,78.1971111111,25.1571111111,68.9727777779,98.7421111111,89.3081111111,97.0649999999,40.8805555557
190.19,73.6842222222,136.257222222,134.502888889,147.661,76.3156666668,91.2281111111,16.0818888889,68.7135555557,114.035,107.017555556,98.2456666668,19.8828888889
190.57,86.0214444443,179.569777778,157.347666666,159.498333333,88.5304444443,106.451666667,15.0536666666,73.1183333335,131.899666667,128.315333333,108.960666667,14.3368888888
190.95,50.5051111111,150.168444444,117.171888889,110.101,49.1583333332,87.8787777778,-9.76422222223,39.3938888889,101.346777778,96.2963333335,57.9124444443,5.387
191.33,11.1111111111,202.222222222,125.185111111,127.407444445,-33.3333333336,85.1852222223,-153.333444444,-39.9999999999,83.7037777779,76.2962222223,-25.9258888889,-60.0001111112
191.71,61.5741111112,133.333333333,112.963111111,92.5925555554,3.240888889,89.814777778,-65.2777777778,-6.94455555557,73.6111111112,81.0185555556,-17.5926666664,3.70377777789
192.09,79.5795555555,118.318444444,106.606555555,88.5887777779,33.6335555554,87.0871111113,-6.30633333333,24.9248888889,86.4864444444,81.3814444443,9.60966666667,35.4354444444
192.47,99.0124444444,125.432111111,115.555555556,102.469222222,44.1973333335,104.197555555,22.7161111111,54.5676666666,99.2593333333,92.5926666665,28.1483333332,45.4323333333
192.85,109.560777778,139.018,123.514222222,111.369777778,54.7803333332,124.806222222,31.0076666666,63.3073333335,99.2247777777,84.7545555557,26.6148888889,47.0285555555
193.23,115.954555556,139.601111111,118.803555556,104.843222222,51.5668888888,129.629666667,17.094,58.9744444445,100.569777778,87.1794444443,15.3845555556,42.1654444446
193.61,100.241444444,106.521666667,99.0338888888,76.8116666668,39.8551111111,113.526666667,9.90344444444,42.5122222222,95.4107777778,73.1885555556,-2.8986666667,36.9565555556
193.99,82.2916666667,85.5904444446,85.5902222221,70.4858888889,39.236,98.0905555553,13.889,41.493,77.9514444443,61.4583333334,8.1597777778,40.7985555556
194.37,85.9567777779,81.7901111111,81.6357777777,71.4506666668,37.5,93.3641111111,14.5062222222,47.0678888889,77.6234444445,61.5741111111,13.4257777778,44.753
194.75,81.2582222223,75.9036666666,74.8327777777,76.305111111,36.4122222222,82.3293333333,17.1351111111,48.3266666667,70.0133333333,57.6975555555,14.7255555556,44.4444444445
195.13,97.8903333332,89.5919999999,97.890111111,93.9523333332,49.7888888889,96.6245555558,29.8171111111,57.806,86.6385555556,73.8396666667,30.8016666667,54.8522222222
195.51,97.8776666668,96.2546666667,103.995,95.5057777778,56.6792222222,100.998666667,40.1997777778,63.6703333333,89.1385555555,78.7763333333,43.8201111111,56.929
195.89,106.961222222,116.064111111,115.528555555,113.520777778,70.1473333333,116.867555556,47.2557777778,73.0924444443,105.220888889,93.1726666666,57.2958888889,61.0442222222
196.27,105.687777778,113.756555556,111.508,115.211666667,68.7831111111,118.650777778,46.9575555556,74.3387777778,104.761888889,98.8095555558,59.6561111111,58.9945555555
196.65,101.190555556,107.539666667,107.936555555,111.508,72.2223333333,114.550111111,43.783,67.8570000001,99.3386666667,98.6771111112,54.7618888889,60.7143333334
197.03,95.2545555556,99.5372222222,99.5370000002,107.291666667,69.2128888889,109.375,45.8334444444,64.2362222222,95.139,100.694444445,56.8287777778,64.2362222222
197.40,94.8718888887,96.0927777777,100.244222222,112.454111111,67.3993333333,111.355333333,42.6131111111,62.7594444444,94.0170000001,98.2904444443,53.8462222222,64.2246666667
197.78,89.3882222224,96.3795555555,95.8799999998,116.354666667,68.0398888889,109.737777778,40.6992222222,59.3007777778,89.2634444446,95.5056666667,49.4381111111,61.0486666666
198.16,82.1254444445,90.7005555554,91.3043333333,112.560555556,64.3721111111,102.294777778,39.6135555555,56.5216666667,86.111,90.2174444445,49.2754444445,59.4203333333
198.54,72.4692222223,85.1852222222,91.6051111113,111.111,67.4074444445,105.185111111,40.3703333333,50.9876666667,84.567888889,85.4322222223,48.0247777778,60.3702222222
198.92,74.320888889,83.3334444444,96.6667777777,111.604777778,70.2471111111,109.382777778,42.963,52.0987777778,91.358,89.8763333334,54.9383333333,66.5432222221
199.30,69.8411111111,77.0975555555,87.9816666666,101.927333333,68.0272222222,101.473777778,40.9295555556,50.907,83.7867777779,84.5804444443,54.0816666667,64.1723333333
199.68,69.4724444444,73.513,87.0931111112,97.8675555554,70.9316666667,95.6228888889,39.9552222222,49.3828888889,83.1648888888,85.5217777778,51.2907777778,66.2177777777
200.06,66.7677777778,66.5655555556,82.020111111,86.7676666667,67.2727777778,86.6665555556,37.1716666667,48.8887777778,74.0403333333,80.909,44.0404444444,65.5556666667
200.44,75.9451111111,71.8212222222,94.1582222222,98.0526666666,82.5886666665,98.0526666669,47.7663333333,56.4718888889,81.6722222222,90.0344444444,52.6917777778,77.3196666668
200.82,85.0981111111,77.9084444444,103.921444444,110.065333333,93.9868888888,107.581777778,56.9935555554,64.9674444445,91.3726666666,98.0393333333,60.3923333334,85.4901111112
201.19,81.2259999999,70.4981111111,99.3614444445,101.149555555,89.5272222222,95.53,50.5747777778,55.9387777778,82.7586666666,89.9104444444,53.8951111111,75.9897777777
201.57,78.9116666667,72.6758888889,95.0115555556,91.4966666668,87.5283333334,92.5171111112,52.1541111111,54.9886666667,78.6846666667,90.0226666667,50.7937777778,72.1087777778
201.95,88.8887777779,77.5487777778,99.4271111112,94.7308888889,92.0963333334,101.832777778,60.5957777779,63.3446666667,83.2760000001,96.3343333333,59.9082222222,80.6414444443
202.33,132.539666667,106.666666667,137.460222222,128.412555556,130.793666667,145.079222222,82.3808888889,86.8254444446,114.920555556,138.888888889,85.7143333332,110.317444444
202.71,142.105222222,114.766333333,133.918111111,131.725111111,130.409222222,141.959222222,92.5437777779,94.4445555556,117.397555556,147.368444444,89.9124444444,118.420888889
203.09,170.017777778,138.624333333,150.970111111,153.615444444,154.673777778,165.961222222,108.289222222,116.931222222,131.216888889,175.485222222,99.1182222223,138.448
203.47,176.836111111,135.781666667,147.834222222,160.451777778,155.555555556,171.186444444,104.519888889,114.500888889,123.163888889,180.037777778,87.9473333333,136.346666667
203.85,170.940222222,130.940222222,140.683777778,158.290555555,157.436,173.333222222,106.495777778,116.752222222,124.273444445,178.632444445,87.6922222221,134.359111111
204.22,211.805444444,156.018444444,169.675888889,195.833333333,193.055666667,215.509333333,124.768555555,136.805444445,136.111111111,212.731444444,103.472333333,161.574
204.60,213.086444444,154.321,171.111111111,183.209888889,189.382777778,212.839555556,109.629444444,126.419777778,126.172888889,212.345777778,88.1482222223,156.790111111
204.98,226.023222222,156.725,180.409333334,192.69,195.614222222,234.210555556,102.924,123.099444444,127.193,232.748666667,76.9005555556,169.298222222
205.36,220.420555556,151.051111111,169.669444445,185.285444444,193.393444444,227.027,99.3995555557,126.426444444,130.630444444,229.129111111,65.4653333333,177.778
205.74,254.603333333,171.746111111,185.714222222,199.365111111,217.460444445,249.523777778,117.460333333,148.888888889,146.984222222,241.269777778,103.809777778,214.285666667
206.12,218.686888889,145.707222222,158.838444444,163.131222222,183.586,203.535333333,96.2122222221,133.838333333,135.606111111,200.505,96.9695555557,183.081
206.50,151.184111111,100.546444444,109.289555555,112.932666667,129.325888889,141.894222222,67.0309999999,90.5283333332,96.7213333331,139.708333333,69.7633333333,126.776
206.87,159.844111111,98.2456666667,117.543777778,118.323555556,130.214444444,150.877,60.2338888889,89.8635555554,99.2203333333,142.495222222,73.2944444444,124.366555556
207.25,172.633666667,95.6788888889,133.744777778,120.576222222,133.127555556,165.020444444,61.9341111112,89.9176666667,104.526888889,149.382666667,71.8106666666,135.185111111
207.63,254.678444444,147.076,203.216333333,168.128555556,201.461888889,244.736888889,90.9357777778,136.257222222,169.298333333,215.204777778,113.450333333,200.292444444
208.01,313.333333333,183.333333333,238.518555556,185.925666667,235.185333333,287.777777778,107.037111111,155.555555556,186.666666667,251.481444444,135.555555555,250.740777778
208.39,290.235777778,171.043777778,216.498333333,175.757555555,219.528666667,273.064,108.080666667,145.118,184.511888889,244.444444445,134.343444444,240.067222222
208.77,211.342666667,129.166666667,156.018444445,134.490666667,152.314777778,202.314777778,90.2776666668,110.185222222,136.574111111,173.610888889,99.3055555556,176.620555555
209.14,200.546444444,121.858111111,142.258666666,127.504555555,142.076444444,185.792444444,94.3533333332,111.293111111,131.694111111,159.016444444,100.728666667,159.744888889
209.52,235.391,144.444444444,171.193333333,156.584444444,166.460777778,225.308777778,108.436222222,133.744777778,152.469222222,187.654333333,122.839444444,182.921666667
209.90,223.412888889,130.555444444,170.039666667,156.746,154.563444445,223.214333334,106.349222222,129.563444444,148.611111111,188.889,117.063555556,175.396888889
210.28,211.515111111,115.353333333,159.394,151.111222222,144.444444444,214.343444444,96.1616666665,107.272777778,124.848444444,182.424333334,103.636444444,162.020333333
210.66,201.754333333,111.890888889,148.343222222,143.274888889,140.156,204.873333333,92.5925555554,104.093555555,112.085777778,170.760111111,93.5672222222,163.353
211.03,187.739555556,117.816111111,142.911888889,139.655222222,141.187777778,201.915666667,90.9962222222,102.298777778,106.705,169.731888889,88.6973333334,161.877333333
211.41,179.835222222,113.786,142.181,143.827222222,146.090444445,199.794111111,87.6543333333,100.411555556,106.996,173.662555556,87.4484444443,159.670777778
211.79,139.967,88.8888888888,112.769444445,114.925333333,114.759444444,156.550555556,80.4312222221,86.733,80.0995555555,144.112666667,74.7926666667,129.684888889
212.17,133.185111111,81.4814444444,106.963,111.999888889,108.740777778,143.407333333,76.888888889,85.4814444444,74.3705555554,137.629777778,74.2222222222,113.481333333
212.55,142.097,85.2895555556,116.901444444,119.405222222,117.527222222,147.261444445,82.7857777777,96.5572222223,82.9421111112,147.261333333,82.9421111111,115.962444445
212.92,131.504888889,81.8564444444,113.502111111,115.611777778,118.143555556,134.599111111,79.0436666667,96.9056666664,81.2941111111,140.084333334,85.5135555556,109.564222222
213.30,133.333222222,88.0837777777,126.731,122.866444445,128.180222222,145.732666667,88.4058888888,103.381666667,83.4136666668,158.132111111,91.9485555557,115.619888889
213.68,128.395,90.7406666666,127.469222222,120.987666667,133.796333333,145.833333333,97.3765555556,106.327111111,89.0431111111,162.5,99.6913333333,119.753111111
214.06,146.139222222,107.156444445,140.489555556,140.113111111,157.438777778,161.958555555,107.156222222,123.728777778,103.766555556,187.570666666,116.195888889,132.203333333
214.44,150.793444445,114.484111111,143.650666667,147.420777778,167.460555556,167.857111111,113.095111111,139.881,118.650555555,194.245777778,120.238222222,142.460333333
214.81,147.173444444,115.984444444,145.419222222,148.343111111,166.081777778,166.861666667,115.399666667,143.469777778,119.298333333,197.855666667,114.814777778,136.452222222
215.19,184.540888889,134.782666667,172.946666667,174.637666667,202.898555556,199.033888889,146.135333333,182.125555556,148.309222222,241.304222222,139.855,170.531444444
215.57,186.167888889,133.106555555,153.288,157.369777778,192.970222222,197.505777778,140.136,178.684666667,139.909333333,223.582888889,135.600888889,163.265444444
215.95,226.666666667,165.0,183.333333333,194.722222222,231.666666667,243.333333334,163.333333334,208.611111111,179.166666667,265.833333333,157.222222222,197.5
216.32,280.740666667,208.888777778,234.815,241.851666667,285.926,312.962888889,191.851888889,257.777777778,238.148111111,321.851777778,179.629666667,255.185333333
216.70,249.382555555,196.296222222,216.666666667,214.506111111,245.370333334,276.852,175.617222222,229.321,214.506111111,279.012444444,162.037111111,233.333444444
217.08,583.760666667,450.427555555,471.794888889,476.922888889,548.717888889,641.025444444,371.794888889,514.53,476.068333333,658.119777778,322.222333333,529.059888889
217.46,787.654111112,598.765555556,597.531,645.678888889,728.395111111,834.568,471.604888889,683.950666667,638.271666667,841.975444444,385.185222222,732.098777778
217.83,895.833333332,630.555555555,623.611111111,686.11111111,759.722222223,895.833333333,454.166666667,722.222222222,648.61111111,886.111111111,386.111111111,777.777777777
218.21,1296.29622222,888.888888888,979.629555556,1024.074,1111.11111111,1287.03688889,731.481666667,1020.37044444,968.518555558,1257.40744445,535.185111111,1146.29633333
218.59,-843.333333334,-612.222222222,-706.666666667,-675.555555556,-710.0,-857.777777778,-544.444444445,-716.666666667,-675.555555556,-848.888888889,-405.555555556,-780.000000001
218.97,-314.403111111,-216.049444444,-253.497888889,-239.917888889,-256.79,-309.053444445,-191.769444444,-258.847777778,-256.378777778,-304.938333333,-164.609111111,-294.650222222
219.34,-360.648111111,-250.463,-297.222111111,-292.129555556,-289.351777778,-358.796333334,-212.037,-281.018666667,-293.518555556,-352.314888889,-204.629666667,-341.203555556
219.72,-408.465666667,-287.301444444,-368.783111111,-353.968222222,-328.571555556,-407.936444444,-244.444444444,-301.058222222,-336.508,-416.402222222,-261.904777778,-407.407444444
220.10,-471.345111111,-311.695777778,-424.561444444,-402.339222222,-371.929888889,-460.234,-273.684111111,-347.368333333,-356.725111111,-468.421,-312.280777778,-464.912333333
220.47,-890.0,-594.444444444,-824.444444443,-778.888888889,-733.333333333,-852.222222222,-524.444444445,-656.666666667,-676.666666666,-911.111111112,-652.222222222,-894.444444445
220.85,-583.333333333,-365.079333333,-514.285555555,-494.444555556,-485.714333333,-553.174666667,-315.079444445,-380.952222222,-413.491888889,-578.571333333,-409.523777778,-588.095
221.23,-757.575777778,-468.687,-651.515111111,-654.545222222,-640.404111111,-714.141222222,-408.080666667,-485.858666666,-564.646444444,-763.636444444,-555.555444445,-774.747444444
221.61,-468.627333333,-283.006555556,-414.379111111,-410.457333333,-392.157,-450.980333333,-249.673111111,-291.503222222,-367.320222222,-468.627444444,-359.477111111,-464.052333333
221.98,-215.277777778,-118.75,-190.625,-189.930555556,-178.125,-201.041666667,-112.847222222,-122.916666667,-170.138888889,-209.027777778,-159.722222222,-208.333333333
222.36,-268.981555555,-157.870333333,-234.259111111,-228.240666666,-231.481444444,-243.518555556,-133.796111111,-156.944444444,-193.055666666,-252.777777778,-197.685222222,-256.944333333
222.74,-244.927555556,-128.019333333,-195.652222222,-205.797,-210.144888889,-204.347777778,-98.0676666668,-108.695555555,-139.130555556,-219.806666667,-162.801888889,-217.391444444
223.11,-444.444555556,-262.393222222,-386.324777778,-401.709333333,-413.675222222,-405.128333333,-220.512666667,-218.803333333,-274.358888889,-411.111222222,-309.401666667,-408.547
223.49,-366.666666667,-181.746,-326.984111111,-323.015888889,-369.841333333,-339.682555556,-186.507888889,-180.952333333,-191.269777778,-327.777888889,-221.428555556,-337.301555556
223.87,-368.148111111,-162.962888889,-309.629333333,-320.000222222,-364.444333333,-317.037,-199.259333333,-227.407333333,-199.259222222,-314.074222222,-174.814777778,-300.740777778
224.24,-812.698333333,-412.698333334,-690.476222222,-728.571333333,-866.666555556,-723.809555555,-480.952444445,-538.095222222,-504.762,-714.285666667,-423.809666667,-676.190555556
224.62,-455.555666667,-225.641111111,-366.666888889,-392.307777778,-468.376111111,-413.675333333,-295.726444444,-301.709444445,-278.632444445,-389.743444445,-241.880333333,-364.957222222
225.00,-327.485222222,-184.210444444,-282.456222222,-290.643222222,-331.579111111,-290.058444445,-235.672444445,-232.748444444,-207.602222222,-304.093666667,-180.116888889,-258.479555555
225.38,-150.0,-86.8422222222,-146.783555556,-132.748555556,-152.046777778,-141.520555556,-115.204666667,-114.619888889,-85.9649999999,-145.321777778,-75.4386666666,-118.713555556
225.75,-109.368222222,-57.5163333333,-108.496777778,-87.146,-116.557777778,-103.267888889,-78.8671111112,-88.888888889,-54.0305555555,-115.032666667,-45.5337777778,-87.3637777777
226.13,-108.974555555,-53.6324444445,-110.897444444,-77.5641111111,-118.162444444,-104.487111111,-80.1281111111,-88.4614444443,-52.1369999999,-116.666777778,-42.7351111111,-86.3247777778
226.51,-64.8147777778,-24.537,-74.8455555557,-47.0676666667,-74.5371111111,-66.821,-52.7776666667,-54.3208888889,-29.6295555555,-81.6357777778,-20.2161111111,-55.7097777778
226.88,-55.2812222222,-22.6336666666,-69.2728888888,-38.4087777778,-70.2331111111,-63.2373333333,-49.1083333333,-49.1083333333,-24.2797777778,-72.0164444445,-19.8901111111,-47.3252222222
227.26,-41.5596666667,-13.0343333333,-47.2222222222,-25.8546666667,-49.5725555556,-42.5214444444,-35.47,-30.1282222222,-8.97444444444,-49.6796666667,-9.2948888889,-29.594
227.64,-29.0476666667,-9.92055555557,-31.0316666667,-16.2696666667,-33.1744444444,-26.5873333333,-23.4128888889,-18.4921111111,-5.55544444443,-34.6031111111,-4.20644444445,-17.8572222222
228.01,-24.6487777778,-13.1543333333,-26.6283333333,-15.0063333333,-29.1187777778,-24.0738888889,-19.7956666667,-15.1977777778,-5.17233333333,-28.9271111111,-5.87488888888,-17.6245555556
228.39,-20.1325555555,-9.42911111109,-19.9284444444,-10.1937777778,-21.3558888889,-16.6156666667,-14.7297777778,-11.5188888889,-2.34444444445,-22.2222222222,-3.415,-12.8948888889
228.76,-14.7745555555,-4.54922222222,-13.6876666667,-5.67633333334,-14.8551111111,-10.5474444445,-9.33977777779,-6.88422222222,-0.000111111112333,-14.8953333333,-0.402444444443,-7.76966666667
229.14,-9.24766666666,0.773444444443,-7.73555555554,-1.96911111111,-9.7398888889,-6.04777777779,-4.04355555555,-3.76211111111,3.62177777778,-9.38822222222,3.65677777778,-3.23477777777
229.52,-10.4124444444,0.00011111111,-6.58655555555,-2.02922222222,-10.2794444444,-6.45355555557,-4.125,-4.32477777778,2.52822222222,-8.28355555555,2.66133333333,-3.32655555556
229.89,-9.7301111111,-0.219666666667,-5.86944444444,-1.88333333333,-8.88266666665,-4.457,-3.86055555556,-3.38966666667,3.42133333333,-6.77966666667,2.29133333333,-3.01333333332
230.27,-10.3025555556,-1.52744444445,-6.70866666665,-3.26433333333,-9.37422222222,-4.79177777778,-3.98344444444,-4.103,2.66544444445,-7.15766666667,1.10822222222,-4.49244444443
230.65,-10.3258888889,-1.338,-6.54444444444,-2.73411111111,-8.58055555556,-4.072,-3.60677777778,-3.17055555556,2.76311111111,-6.34088888889,0.814333333333,-4.50844444445
231.02,-9.00811111111,0.483111111112,-5.08677777778,-1.59133333333,-7.55911111112,-2.245,-2.10277777778,-1.87544444444,2.72811111111,-5.65511111111,1.30722222222,-3.55222222221
231.40,-8.50511111111,1.20266666667,-6.12833333333,-0.773222222223,-8.33322222223,-2.54888888889,-2.63455555556,-2.97833333333,1.26,-6.386,1.23144444445,-4.06655555555
231.78,-8.764,1.24777777778,-8.37800000001,-1.72322222222,-10.0416666667,-4.45633333333,-3.83244444445,-3.98111111111,0.475444444447,-7.75388888889,-1.06944444444,-5.40699999999
232.15,-4.43844444444,4.79588888889,-4.52766666667,2.05544444444,-7.83444444444,-1.48933333333,-0.774555555557,0.26811111111,3.87255555555,-4.64711111111,1.04255555555,-1.19155555556
232.53,-0.578444444443,7.42777777778,-2.61788888888,3.50077777779,-6.758,0.182555555558,1.46133333333,2.73966666667,6.60566666667,-1.67433333333,3.22677777778,0.821888888888
232.90,0.980555555554,7.90844444443,-3.62755555557,2.67966666667,-7.90833333333,-0.130888888887,2.15677777778,3.10455555556,8.20266666667,-1.79733333333,3.4968888889,1.47044444444
233.28,-1.77211111111,4.90788888889,-8.38444444444,-0.886222222223,-11.3154444444,-3.44244444444,-1.46566666667,1.29522222222,6.10077777778,-4.08988888889,-0.545222222223,-1.602
233.66,-2.20188888889,4.81011111111,-9.58666666667,-2.10022222223,-12.8047777778,-3.82811111111,-2.71,1.084,5.48777777778,-5.3521111111,-1.79544444445,-2.60855555555
234.03,-0.363777777779,5.58866666667,-8.20111111111,-0.760555555553,-12.037,-2.41411111111,-1.25666666666,2.67855555556,5.82011111111,-3.93511111111,-1.05822222222,-1.28966666667
234.41,0.891333333332,5.92177777778,-6.71744444443,-0.413888888887,-10.2196666667,-1.33722222222,-0.159222222223,3.62944444444,6.62211111111,-3.40655555556,0.09577777778,0.0317777777767
234.78,0.603777777779,5.465,-4.68000000001,-0.483222222223,-9.6618888889,-1.87188888889,1.08677777778,3.98544444445,7.03488888889,-2.44577777778,0.664222222223,1.66066666667
235.16,-0.261,4.52577777778,-3.191,-0.66711111111,-9.05133333335,-1.50855555556,0.899444444447,4.14844444446,6.93344444444,-1.88566666667,1.04444444444,1.71166666667
235.54,0.219444444444,5.45955555555,-1.50877777778,0.439,-7.18788888889,-0.74088888889,2.85311111111,4.44444444444,7.54444444445,-0.191999999998,1.70111111111,2.93555555556
235.91,1.321,6.216,0.647555555558,2.20144444445,-5.80166666667,1.036,3.80744444444,5.10233333334,8.65044444444,1.39855555556,3.54833333333,4.79155555556
236.29,0.678777777777,6.38522222222,0.32677777778,2.96622222222,-4.82655555556,2.01111111111,3.92166666667,4.62544444445,8.44655555555,0.829444444443,3.92166666667,4.22322222222
236.66,0.73588888889,7.40744444443,0.147222222221,4.43966666667,-3.36033333333,2.79611111111,3.36033333333,4.61133333333,7.60377777778,0.564111111113,4.51322222222,4.85666666667
237.04,1.65122222222,8.58677777778,2.40622222222,6.55822222223,-1.65133333333,4.435,3.72711111111,5.237,8.30377777778,1.274,6.08611111111,5.66177777778
237.41,3.09666666666,9.6538888889,5.19133333333,9.15288888889,0.318666666667,6.48911111111,5.46455555556,6.83055555554,9.65377777778,3.11933333333,8.31033333333,7.17211111112
237.79,3.87344444445,10.8454444444,6.48511111111,10.4693333333,2.25766666667,7.72477777778,7.08277777778,8.43300000001,10.7127777778,4.84722222222,9.58388888887,8.69855555557
238.17,2.28311111111,10.1977777778,5.41433333333,9.54533333334,1.957,6.21877777778,6.13177777778,7.545,10.0237777778,4.52277777778,8.52355555557,8.24100000001
238.54,-0.106555555557,8.50922222222,3.73211111111,7.40022222222,0.0426666666667,3.62544444445,3.60422222222,5.609,7.80544444444,2.98566666667,5.95,6.29111111111
238.92,-0.883666666667,7.21822222222,1.915,6.35522222223,-1.11522222222,2.48322222222,2.04133333333,4.35622222222,6.54455555555,1.70444444444,4.54544444445,4.22977777777
239.29,-0.239666666667,7.35411111111,1.43877777778,6.67466666667,-0.959333333334,2.53788888889,2.23822222222,3.89688888889,7.07433333334,1.87844444444,5.53544444445,4.21677777779
239.67,1.05911111111,6.76722222222,1.75911111111,6.58777777778,-0.215333333331,3.64366666667,2.67466666667,4.18222222222,7.79033333333,2.26155555555,6.15688888889,4.73877777778
