wavelength,Back_PooHisf,Belly_PooHisf,Breast_PooHisf,Crissum_PooHisf,Crown_PooHisf,DorTail_PooHisf,Patch10_PooHisf,Patch11_PooHisf,Patch12_PooHisf,Rump_PooHisf,Throat_PooHisf,WingTip_PooHisf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,8.88888888889,40.0,44.4444444444,82.2222222222,33.3333333333,-13.3333333333,-8.8888888889,55.5555555554,-11.1111111111,22.2222222222,100.0,8.88888888889
179.16,-125.925777778,-29.6296666667,-40.7407777779,85.185111111,-40.7406666666,-59.2592222222,29.6296666668,-25.926111111,-122.222333333,-51.852,-7.40744444423,-25.9257777778
179.54,-333.333333333,-96.2963333332,-137.036888889,-107.407444444,-214.814888889,-174.074111111,-111.111111111,-255.555666666,-148.148,-181.481444445,-70.3703333333,-218.518333333
179.93,477.777777778,229.629666667,318.518555556,240.740666667,318.518555556,281.481555556,199.999888889,333.333333333,281.481555555,296.296333333,196.296333333,325.925666667
180.31,7644.44444444,3077.77777778,4322.22222222,4066.66666667,6588.88888889,6077.77777778,4200.0,5088.88888889,5411.11111111,6055.55555556,3988.88888889,6255.55555556
180.69,-1279.62977778,-479.629666667,-664.814777778,-640.740444444,-1062.96277778,-1027.77788889,-664.814888888,-833.333444443,-883.333444443,-970.370333333,-611.111222221,-1103.70366667
181.07,-4166.66666666,-1566.66666666,-2250.0,-2377.77777778,-3488.88888889,-3433.33333334,-2172.22222222,-2988.88888889,-2755.55555556,-3111.11111111,-2283.33333333,-3777.77777778
181.45,4072.22222222,1494.44444444,1983.33333333,2450.0,3588.88888889,3588.88888889,2344.44444445,3011.11111111,2616.66666667,3061.11111111,2311.11111111,3822.22222222
181.83,2548.14822222,948.148000001,1266.66666667,1544.44433333,2455.55555556,2459.25922222,1540.74066667,1896.29622222,1700.0,1970.37033333,1588.88888889,2511.111
182.21,-920.635000001,-314.285555555,-423.809444444,-587.301555556,-990.476111112,-1046.03177778,-628.571555555,-749.206444443,-612.698444446,-696.825333335,-601.587333333,-1044.44444444
182.59,-812.500000001,-347.222222222,-413.888888889,-530.555555556,-884.722222222,-937.499999999,-638.888888889,-681.944444445,-543.055555555,-620.833333335,-540.277777778,-965.277777779
182.97,-466.666555556,-180.341777778,-219.658111111,-260.683777778,-490.598222222,-528.205222222,-367.521222222,-376.923111111,-292.307555556,-332.478666667,-275.213555556,-565.811888889
183.35,-265.555555555,-81.1111111111,-111.111111111,-116.666666667,-289.444444444,-320.555555556,-247.777777778,-232.777777778,-184.444444445,-177.222222222,-158.888888889,-369.444444444
183.73,-109.008888889,-9.90988888889,-25.2253333333,-20.7206666667,-120.420444445,-141.741888889,-113.813888889,-94.5946666666,-73.8737777778,-61.5615555557,-53.4532222223,-164.864888889
184.11,-63.2097777778,21.9752222222,6.17288888887,19.0122222222,-67.9012222222,-90.3704444446,-66.9136666667,-48.3951111111,-31.358,-11.852,-8.395,-101.728333333
184.49,-24.4855555556,41.9753333333,29.8352222222,41.5637777779,-33.745,-51.8518888889,-35.1852222222,-16.8725555555,8.84755555557,19.7532222222,20.7818888889,-55.144
184.87,-18.7135555556,51.6566666667,31.3838888889,50.6823333334,-29.6295555556,-40.7406666667,-30.994,-8.7718888889,23.7816666667,28.46,29.2397777778,-36.647
185.25,-18.1003333333,44.9818888889,31.0036666666,51.0752222221,-30.645,-32.9748888889,-33.3332222222,-4.65944444443,22.043,18.8172222222,29.5701111111,-25.448
185.63,-18.35,42.0875555556,23.2322222222,49.8316666668,-28.9563333333,-27.4411111111,-31.313,-6.73388888887,22.8955555555,14.6464444444,26.2627777778,-24.9157777778
186.01,3.03022222223,50.7934444444,34.4876666667,56.277,-4.18477777777,-5.05055555558,-17.0272222222,11.2553333333,35.2092222222,25.2525555556,41.7027777778,-2.0201111111
186.39,7.45433333333,50.3517777778,39.2404444445,61.1814444444,4.36,9.28277777779,-11.1112222222,17.5808888889,39.6624444445,24.332,44.4444444444,6.4698888889
186.77,21.8254444444,62.5661111111,52.2486666666,73.6773333333,23.1482222222,21.4285555555,2.24866666668,32.5396666666,49.2064444444,36.7724444444,55.8201111111,17.5926666667
