wavelength,Back_ChaEucm,Belly_ChaEucm,Breast_ChaEucm,Crissum_ChaEucm,Crown_ChaEucm,DorTail_ChaEucm,Patch10_ChaEucm,Patch11_ChaEucm,Patch12_ChaEucm,Rump_ChaEucm,Throat_ChaEucm,WingTip_ChaEucm
191.33,107.575916667,84.4696666667,181.439333333,170.4545,128.03025,123.48475,147.3485,109.848444445,114.393916667,132.9545,132.954583333,118.18175
191.71,146.52775,110.416666667,294.4445,264.58325,195.83325,178.47225,220.833333333,158.333444445,160.416416667,190.972166667,197.91675,167.36125
192.09,295.0,193.333333333,633.333333334,571.666666666,420.0,341.666666667,475.0,322.222222222,300.0,391.666666667,426.666666667,331.666666667
192.47,1125.0,691.666666667,2866.66666667,2641.66666667,1825.0,1425.0,2116.66666667,1250.0,1300.0,1608.33333333,1933.33333333,1325.0
192.85,-1258.33333333,-525.0,-2758.33333333,-2291.66666666,-1458.33333333,-1208.33333333,-1783.33333333,-983.333333333,-1016.66666667,-1375.0,-1691.66666667,-1025.0
193.23,-283.333333333,-141.666666667,-571.666666667,-486.666666667,-315.0,-240.0,-376.666666667,-240.0,-241.666666667,-306.666666667,-406.666666667,-220.0
193.61,-115.833333333,-50.8333333333,-239.166666667,-200.833333333,-121.666666667,-95.0000000001,-155.833333334,-107.222222222,-99.9999999999,-129.166666667,-164.166666667,-66.6666666667
193.99,-60.7141666666,-7.73808333335,-150.595333333,-121.428666667,-60.1191666667,-45.8333333334,-98.2142500001,-69.0476111111,-64.8809166667,-66.6665833335,-99.4047499999,-20.8333333333
194.37,-32.14275,20.83325,-123.809583333,-71.4286666666,-19.0475833333,-10.71425,-74.40475,-60.7140555557,-46.4284166666,-35.7143333332,-66.6666666667,5.35725000001
194.75,-66.6666666667,-13.5416666667,-232.291666667,-160.416666667,-81.25,-57.2916666666,-153.125,-168.75,-113.541666667,-98.9583333332,-183.333333334,-19.7916666667
195.13,-95.8334166667,-55.5555000001,-330.5555,-226.38875,-155.555583333,-95.8332500002,-237.499916667,-250.000111111,-154.166666667,-151.388833334,-256.944333333,-13.8888333333
195.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.89,259.52375,184.52375,366.666583334,304.761833333,244.0475,229.761833333,353.571416667,386.507944445,242.857083333,284.52375,361.90475,146.428583333
196.27,152.22225,112.777666667,194.999916666,162.777666667,129.444333333,122.222166667,183.888916667,220.0,125.5555,157.222333333,201.111083333,94.4443333333
196.65,120.175583333,83.7719999999,150.4385,112.280583333,96.9297500001,87.2806666666,133.772083333,176.315722222,87.28075,114.91225,156.140333333,65.3509166667
197.03,143.75,95.8333333332,179.166666667,133.333333333,124.479166667,110.9375,167.708333333,213.541666667,115.625,139.583333333,194.270833333,90.625
197.40,151.041666666,107.291666667,175.520833333,123.4375,120.3125,116.666666667,177.083333334,223.958333333,122.395833333,135.9375,190.104166667,95.3124999999
197.78,151.25,115.416666667,173.333333333,123.333333333,122.916666667,116.666666667,164.583333334,204.166666667,117.5,134.583333333,184.166666666,102.916666667
198.16,165.68625,140.196083333,197.05875,139.215583333,132.843083333,132.352833333,177.451,229.411777778,133.823416667,168.137333333,218.137333334,118.627416667
198.54,162.916666667,150.0,192.916666666,156.25,147.083333333,145.833333333,180.0,222.222222222,146.666666667,169.583333333,224.583333333,130.0
198.92,195.000083333,162.777833334,236.666666667,162.222166667,173.888833333,157.77775,217.222166666,258.148166667,157.222166667,198.888916667,248.888916667,149.444416667
199.30,228.205166667,178.205166667,262.1795,183.974416666,193.589833333,183.333333333,248.076916667,290.170777778,183.97425,234.615416667,293.58975,180.12825
199.68,260.0,199.166666667,299.166666667,185.833333334,216.666666667,198.333333333,282.5,330.0,195.833333333,268.333333333,355.0,198.333333333
200.06,516.666666668,439.583333333,683.333333333,400.0,443.75,408.333333333,633.333333333,687.5,416.666666667,579.166666666,774.999999999,420.833333333
200.44,-970.833333333,-795.833333333,-1283.33333333,-695.833333333,-862.500000001,-833.333333334,-1233.33333333,-1233.33333333,-870.833333334,-1091.66666667,-1404.16666667,-691.666666667
200.82,-741.666583333,-672.222249999,-941.666666666,-627.777750001,-708.333416667,-691.666666667,-894.444416668,-920.37038889,-711.111166666,-852.777833333,-994.444416665,-558.333416668
201.19,763.888916666,763.88875,969.444416667,719.444499999,827.777749998,794.444499999,933.333166668,1024.07411111,738.888916666,899.999916666,1027.77775,624.999916667
201.57,-700.000166666,-702.777666666,-936.111083332,-697.222250001,-772.222166668,-733.333416666,-811.111000001,-914.81488889,-650.000166667,-808.333333333,-927.777833332,-569.444583334
201.95,-983.333333333,-974.999999999,-1212.5,-920.833333334,-1083.33333333,-1016.66666667,-1058.33333333,-1308.33333333,-924.999999999,-1108.33333334,-1191.66666667,-758.333333333
202.33,1175.0,1079.16666667,1287.5,1016.66666667,1250.0,1104.16666667,1279.16666667,1463.88888889,954.166666665,1066.66666667,1187.5,841.666666666
202.71,-1129.16666667,-1095.83333333,-1275.0,-916.666666666,-1233.33333333,-1062.5,-1200.0,-1391.66666667,-808.333333334,-945.833333332,-1095.83333333,-845.833333334
203.09,-298.611083333,-305.5555,-348.611166667,-281.944333334,-356.944333333,-323.611083334,-345.833416666,-405.555388889,-256.944416667,-254.16675,-351.388916667,-243.055583333
203.47,-325.0,-366.666666667,-381.666666666,-308.333333333,-401.666666667,-385.0,-388.333333333,-477.777777778,-300.0,-255.0,-368.333333333,-255.0
203.85,-338.888916667,-354.16675,-347.22225,-331.944416667,-397.222333333,-387.5,-368.055583334,-441.666611111,-313.888916667,-251.388916667,-347.222166667,-259.722166667
204.22,-2441.66666667,-2266.66666667,-2158.33333333,-2075.0,-2608.33333333,-2650.0,-2416.66666667,-3116.66666667,-2200.0,-1725.0,-2250.0,-1575.0
204.60,2408.33333334,2350.0,1991.66666666,2216.66666667,2583.33333333,2650.0,2533.33333333,3155.55555555,2133.33333334,1591.66666667,2241.66666667,1633.33333333
204.98,-214.583333334,-196.875,-155.208333333,-182.291666667,-231.25,-242.708333333,-253.125,-308.333333333,-193.75,-103.125,-205.208333333,-131.25
205.36,-128.571583333,-110.714166667,-87.5000833333,-91.6665833333,-101.78575,-123.8095,-131.5475,-167.063611111,-107.14275,-45.238,-116.66675,-64.2857499999
205.74,-78.125,-67.1875,-41.1458333334,-43.7500000001,-64.0624999999,-72.9166666668,-91.1458333334,-132.291666667,-58.8541666668,-10.9375,-78.125,-28.6458333334
206.12,-35.145,-28.9853333333,-7.6085,-12.681,-22.8260833333,-34.7825833333,-46.0144999999,-71.9804999999,-22.4638333333,9.78258333335,-38.0435833332,-3.9855833335
206.50,-33.6418333334,-31.173,-12.037,-12.3456666667,-27.46925,-36.7283333334,-38.2715833334,-70.9875555554,-27.1604166667,2.77766666668,-38.58025,-10.8024166667
206.87,-17.5286666667,-13.7931666667,10.3448333333,6.32175,-6.32191666667,-14.6550833333,-19.2529166666,-48.2757777777,-6.89658333333,15.2299166667,-12.6436666667,8.04608333333
207.25,-30.90275,-25.0,1.38883333335,6.94441666668,-11.45825,-21.1805,-28.8193333333,-79.8611666668,-13.889,6.59733333334,-23.9582499999,-1.38874999998
207.63,-66.2280833333,-50.8771666666,-21.9298333333,-14.035,-34.6490833332,-37.28075,-55.70175,-123.391777778,-47.3685,-15.7893333334,-59.6490833334,-23.6843333334
208.01,-55.8823333333,-51.9607499999,-9.80375,-3.43149999992,-20.0980833332,-23.0394166667,-48.5294166668,-128.104611111,-35.2941666666,-14.2155833333,-52.9413333334,-5.88241666658
208.39,3.44816666667,4.31041666667,33.3334166667,30.1724166667,23.8506666667,22.1264166667,13.2184166667,-38.3142222222,12.35625,25.2873333333,-8.33333499983e-05,27.2986666666
208.77,19.1919166667,16.9191666667,43.9395,49.7475,36.3635833333,38.3839166667,35.3534166667,-14.983,27.5254166667,36.8686666667,16.6665833333,39.3938333334
209.14,-10.1450833333,-22.46375,19.56525,37.3188333333,8.69558333332,7.97108333332,11.2320000001,-63.0435,6.52166666668,14.4926666667,-19.2029166667,14.8549999999
209.52,6.33333333334,-13.6666666667,35.3333333333,50.3333333333,9.33333333333,16.3333333333,17.3333333333,-50.6666666667,12.0,19.3333333333,-10.0,22.6666666668
209.90,-5.55549999998,-32.4073333333,34.2593333332,56.9444166666,1.85183333334,10.6481666667,18.9814166667,-69.1357222223,5.55558333335,13.8889166667,-21.2963333332,23.14825
210.28,3.94741666667,-23.6842499999,32.4560833334,63.1579166667,5.26324999998,23.2455,16.6666666666,-69.2982222223,19.2981666667,23.2455833333,-24.1227499999,28.9473333335
210.66,-23.8095833332,-58.3333333333,23.8096666667,60.7142500001,-17.2619166666,10.1190833334,-7.14275000007,-110.714388889,13.0951666668,7.49995621163e-11,-61.3095000001,20.8333333334
211.03,-29.9019166666,-50.9805833333,14.2157500001,37.255,-24.5098333334,11.2745833333,-11.2745833332,-101.960833333,3.92158333327,-7.84308333342,-61.7645833334,4.41183333332
211.41,-32.5,-49.5833333334,22.9166666666,31.25,-25.0000000001,6.66666666667,-1.24999999993,-77.4999999999,14.5833333333,-0.41666666675,-49.1666666667,7.08333333335
211.79,-19.5511666667,-40.3846666668,32.3718333333,27.2436666667,-15.3845,8.01266666667,3.52566666666,-52.9916111111,19.87175,4.80766666668,-33.0128333333,6.73075
212.17,-0.714333333342,-14.9999166667,38.8096666667,37.3808333333,-0.71416666665,14.52375,18.3333333333,-23.3332777778,22.6190833333,20.71425,-9.28574999999,11.4285
212.55,-22.1354166667,-41.1458333333,17.1875,17.4479166667,-24.21875,-6.77083333333,-3.90625,-49.4791666667,8.07291666667,2.34374999999,-23.1770833332,-11.9791666667
212.92,-24.2645,-38.7254166667,10.049,12.4999166667,-27.6960833333,-8.57849999999,-10.5391666667,-52.2876111111,6.86274999997,0.980416666682,-24.5098333333,-17.8921666667
213.30,-0.543666666665,-10.6884166667,26.2680833333,25.7245833333,-2.71741666667,10.6885,10.32625,-23.6715555556,18.2971666667,15.2173333334,-0.36225,5.43466666667
213.68,-1.66658333333,-8.70366666665,30.7408333333,22.5926666667,-2.03708333333,11.2964166667,10.1851666667,-27.4073888889,19.4443333333,16.8518333333,2.59249999999,4.62966666665
214.06,1.6975,-2.31466666667,32.09875,22.99375,4.321,12.8085833333,12.0370833333,-17.3869444444,16.0494166667,19.1356666666,7.56158333334,7.87041666668
214.44,-3.30183333334,-8.176,30.346,16.98125,-1.57233333335,8.64775000001,9.59116666666,-19.1824444445,7.7043333333,15.5661666667,7.39000000001,4.24541666667
214.81,12.705,3.96166666666,39.0711666667,29.64475,11.7486666667,19.8086666666,20.2186666667,-4.91794444443,17.4864166667,27.8689166667,19.26225,16.8033333333
215.19,12.2310833333,1.20966666666,37.5000833333,28.3601666667,8.60208333336,13.9785,16.2634166667,-5.7348888889,13.8441666667,28.0913333333,16.2634166667,17.20425
215.57,16.0053333333,1.984,35.7143333333,29.7618333333,12.8306666667,15.0793333333,16.1375833333,-0.08822222221,14.28575,28.7036666667,19.4446666667,19.9735833333
215.95,13.9785833333,2.82250000001,31.7205,31.1828333333,11.6935833333,14.9194166667,17.20425,-0.537666666667,15.7258333333,30.6450833333,21.3709166667,20.0269166667
216.32,7.12116666667,-1.81808333331,29.6969166667,26.0605833333,6.96966666668,11.2121666667,11.6668333333,-7.77777777777,12.5756666667,30.1515,16.2121666667,17.1211666667
216.70,10.1851666667,2.16058333333,33.3333333333,30.2468333334,9.25933333333,14.1974166667,13.1171666667,-2.26338888888,13.4259166667,34.2593333333,14.9691666667,22.3765
217.08,8.85416666668,-4.16666666666,35.9374166667,30.0346666667,8.85416666665,11.4584166667,10.5903333334,-1.85166666666,10.5901666666,33.15975,12.3263333333,21.007
217.46,0.416666666675,-14.7916666667,35.0,25.8333333333,4.79166666669,5.41666666668,6.04166666666,-10.4166666667,7.70833333332,33.9583333333,3.95833333333,12.7083333334
217.83,-7.85725,-24.7618333333,24.0475833333,20.4763333333,-3.09516666667,-0.238166666675,-0.714333333325,-12.2222777778,2.85716666667,30.7145,-2.61891666668,8.09525
218.21,-5.91400000002,-27.1505833333,27.9570833333,26.0753333333,-1.88158333332,3.49475,8.87091666667,-15.4121666667,9.67749999992,36.828,-1.613,8.33325
218.59,-35.3333333334,-48.0,6.66666666668,14.0,-19.0,-17.6666666667,-8.99999999993,-31.7777777778,-7.9999999999,20.3333333333,-29.0,-17.0
218.97,-59.1666666667,-72.0833333333,-5.41666666667,-2.91666666667,-27.5,-37.0833333333,-20.4166666666,-46.9444444444,-28.7500000002,7.91666666657,-52.0833333333,-35.8333333333
219.34,-67.1875000001,-71.3541666667,2.60416666668,10.9375,-11.4583333334,-29.6875000001,-14.5833333334,-33.3333333333,-21.3541666666,16.1458333333,-46.3541666667,-26.5624999999
219.72,-75.0001666667,-63.2353333333,5.39216666668,-3.43133333334,-20.5881666666,-33.8234999999,-19.6079166666,-53.9213333333,-27.4509999999,14.7058333333,-50.4901666666,-36.2745833334
220.10,-94.0475833333,-87.4999166667,-8.33333500001e-05,-19.0475833334,-31.5476666667,-50.5952500002,-41.6666666667,-76.5873333333,-41.0714166668,8.92858333342,-69.0475833333,-51.7857500002
220.47,-78.3333333334,-71.1111666667,-0.55558333335,-9.44450000009,-9.44441666665,-22.77775,-28.8888333333,-78.8888888889,-23.8889999998,13.3333333333,-49.4444166668,-39.4444166668
220.85,-124.242333333,-106.81825,-25.7574166667,-14.3939166667,-20.4545000001,-26.5152499999,-49.2424166666,-141.414222222,-54.5454166666,-8.33334249988e-05,-65.1516666666,-63.6364166667
221.23,-159.166666667,-125.0,-30.0000000001,-31.6666666667,-35.8333333334,-69.1666666666,-69.1666666666,-176.111111111,-73.3333333333,-7.5,-84.1666666667,-75.8333333333
221.61,-154.629583333,-103.70375,-25.0000833332,-12.0370833334,-33.3332500001,-53.7036666667,-65.7407500001,-162.963,-62.0369999999,10.1852500001,-54.6294999999,-38.8888333333
221.98,-107.57575,-69.697,-31.0604166668,9.09099999992,-21.2122500001,-56.0604999999,-47.7273333334,-135.3535,-51.5151666667,6.06058333333,-40.9091666667,-29.5454166667
222.36,-139.81475,-93.5185000002,-62.0370833333,-8.33316666675,-62.9630000001,-112.963,-92.5925833332,-174.074,-74.0740000001,-10.1852500001,-58.3333333333,-49.9999999999
222.74,-10.7143333332,-2.97608333333,17.2618333334,52.9762500001,11.3095833332,-13.09525,-7.14308333333,-81.7460555556,14.28575,51.7855833333,33.9285,30.35725
223.11,-22.2221666667,8.3335,9.02791666665,45.8333333333,-13.8888333333,-17.3611666666,-21.5278333333,-111.111111111,16.6666666667,45.1388333333,36.8055833333,18.7499166666
223.49,-30.5555833332,-8.33341666665,-3.70375000007,36.1110833333,-42.5926666666,-41.6665833333,-23.1482500001,-188.888944445,13.8888333332,37.037,35.1849999999,0.92583333325
223.87,-3.12500000017,12.5,21.875,64.5833333334,-10.4166666665,-7.2916666666,-11.4583333333,-181.944444445,32.2916666666,53.1250000001,83.3333333333,20.8333333333
224.24,35.7142500001,51.1903333333,44.0476666668,73.8095000001,32.1429166667,25.5951666665,26.7856666666,-69.4446666667,47.6190000001,60.7143333333,77.3809166666,45.83325
224.62,55.2083333332,63.5416666668,67.7083333334,97.9166666667,32.2916666667,0.0,20.8333333335,-111.805555556,54.1666666665,86.4583333333,129.166666667,43.7500000002
225.00,81.2500000002,70.8333333333,85.4166666666,95.8333333333,36.4583333333,-5.20833333308,35.4166666667,-72.2222222222,67.7083333334,107.291666667,132.291666667,59.3749999999
225.38,84.8485000001,57.5757500001,47.7273333333,71.2120833333,29.5455,25.7574999999,44.6969166668,-50.0000555556,39.3939166668,96.2121666666,113.636416667,47.72725
225.75,55.1280833332,36.5385833333,36.5384166668,46.15375,12.1794166667,10.2563333333,29.4872499999,-56.4102222222,21.7948333333,65.3846666667,92.3075833332,24.3589999999
226.13,58.3333333335,0.0,56.6666666666,29.9999999999,-49.9999999999,-28.3333333333,-9.99999999992,-223.333333333,-20.0,130.0,173.333333333,-56.6666666668
226.51,58.3333333327,270.833333334,83.3333333332,129.166666667,266.666666667,216.666666668,275.0,802.777777778,233.333333332,-141.666666667,-220.833333333,358.333333334
226.88,51.6666666666,81.6666666666,47.4999999999,53.3333333333,75.8333333334,86.6666666668,80.0,180.0,64.1666666667,-8.33333333332,-4.16666666675,90.8333333332
227.26,25.4901666667,49.5098333334,21.56875,20.0980833333,30.8823333333,44.1177499999,36.2744166666,106.536,37.7450833334,-18.6274166667,-7.84308333332,54.9019166667
227.64,34.5833333334,41.6666666667,29.5833333333,21.6666666666,27.9166666667,43.75,43.75,99.7222222222,38.75,-15.0,-3.33333333332,57.9166666668
228.01,43.0556666667,45.5555833333,41.6666666667,34.7220833333,38.33325,55.2778333334,41.9444166666,84.2593888889,44.7221666667,2.22225,15.8333333333,55.8332499999
228.39,31.6289166666,36.3635833333,35.038,28.409,30.68175,46.4015,32.1969166666,65.9090555556,37.1211666666,7.95458333333,16.0985833333,40.53025
228.76,25.5319166667,32.9789166667,34.3970833333,21.8085,29.43275,40.9574166667,29.0778333333,63.3567222222,36.1701666667,8.15616666667,14.7163333333,36.8795
229.14,29.9434166667,33.1920833333,34.74575,25.4236666667,29.9433333333,42.0904166667,30.6496666666,62.4293888889,35.5931666667,14.97175,21.0451666667,38.8419166667
229.52,34.19125,34.8039166667,34.6814166667,28.3089166667,32.1078333334,45.3430833334,34.43625,64.5423888889,36.0293333333,21.0784166667,27.0835,39.4606666666
229.89,31.75125,34.1773333333,34.8101666667,28.7973333333,31.7510833333,44.3036666667,33.8609166667,57.3136666667,33.96625,23.41775,30.0633333333,38.9239166667
230.27,31.3541666667,31.3541666667,34.2708333333,29.1666666667,30.3125,44.8958333333,32.6041666667,57.3611111111,31.875,24.1666666667,30.8333333333,35.5208333333
230.65,29.878,27.64225,32.0121666666,30.0815,29.4715833333,40.95525,30.7926666667,57.1815,33.23175,23.2725,29.4715833333,33.63825
231.02,30.3029166667,29.97825,34.4155,31.8181666667,33.0086666667,41.7749166667,32.4675833333,57.5032777778,37.6623333333,24.7835833333,29.5455,35.3896666667
231.40,32.367,29.8309166667,35.1449166667,32.8503333334,37.5605,44.8065833333,33.45425,59.3397222222,40.2173333333,27.29475,28.9855833333,34.058
231.78,27.1796666667,27.6923333333,32.4359166667,30.8975,37.9486666667,43.205,29.8718333334,58.4615555555,40.641,25.12825,27.436,30.1283333333
232.15,23.8095,26.1904166667,33.5978333333,30.42325,41.5344166667,41.6665833333,33.4655,58.5538888889,39.4179166667,27.1165,30.6878333333,30.4234166667
232.53,24.6091666667,28.2550833334,34.7653333334,33.0728333333,44.66125,42.578,33.8539166667,58.7671666667,38.15075,26.3019166667,29.427,32.9425
232.90,29.6155,34.1026666666,38.9745,37.9486666667,48.8460833334,48.5896666667,37.43575,63.1623888889,40.7694166667,27.0513333334,33.3335,35.0000833333
233.28,24.0436666666,30.1911666667,37.295,37.29525,47.9509166667,48.224,36.3389166667,60.2006111111,38.3879166667,24.8634166667,31.0108333333,34.836
233.66,16.5300833333,20.7650833333,32.9234166667,30.8744166667,41.6668333333,40.0274166667,29.918,49.4534444445,29.0984166666,17.89625,21.03825,26.7758333333
234.03,6.80549999999,9.99999999999,25.6943333333,21.9445,30.6945,27.2221666667,19.4444166667,41.7592222222,21.5276666666,3.75008333332,7.50008333332,17.0834166667
234.41,0.282416666675,4.51983333332,17.7965,15.2544166667,25.0000833333,18.2204166666,13.1356666667,34.3693333333,16.3843333333,-4.37850000001,7.50000062055e-12,9.88708333332
234.78,10.9848333333,16.1615833333,28.28275,21.33825,32.32325,29.1666666667,22.0959166667,38.6364444445,21.8433333333,7.19699999999,10.6061666667,19.06575
235.16,9.55874999999,16.4215833333,23.0391666667,21.2011666667,31.0048333333,28.9215,23.03925,39.0523888889,20.9559166667,7.10783333333,9.804,18.0146666667
235.54,10.66175,20.7108333333,26.1029166667,25.6129166667,32.2303333334,32.4755833334,26.3479166667,40.768,20.7108333333,6.37250000002,10.78425,21.4460833333
235.91,19.5554166667,27.66675,31.3333333333,32.7778333334,39.2223333333,38.0,33.889,45.926,26.0,13.3334166667,19.5555,31.22225
236.29,19.91875,27.4390833333,28.86175,30.7926666666,35.4675,35.0609166667,31.504,42.8862222222,25.305,13.0081666667,16.9715,29.878
236.66,19.81975,25.7884166667,28.491,28.6035833333,34.5721666666,33.5585833333,31.41875,41.0661111111,24.77475,11.3738333333,15.3153333333,30.18025
237.04,20.8875,23.7013333333,26.83975,26.6235,33.0086666667,30.84425,31.1689166666,38.0229444445,24.2424166667,13.8528333333,15.9090833333,31.0605833333
237.41,25.7479166667,27.5640833333,30.7691666666,30.5555833334,34.40175,30.876,33.3333333333,41.9514444445,29.3803333333,16.4530833333,18.4829166666,33.3333333333
237.79,29.016,32.9315833333,33.5340833333,34.3374166667,37.1485833333,34.9396666666,35.1405,44.7792222222,35.8433333333,20.2810833333,23.8955833333,37.1485833333
238.17,35.5159166666,39.0873333333,38.59125,40.57525,43.1549166666,43.15475,40.5755,51.5873333333,42.16275,27.0833333333,32.242,41.9643333333
238.54,33.53175,37.2024166667,39.2859166666,39.8808333333,41.96425,40.873,39.4840833334,49.7355,41.27,28.5714166667,31.2500833333,39.1865833333
238.92,26.72775,30.691,31.8088333333,32.0123333333,36.6869166667,35.6706666666,33.5365833333,43.0213888889,36.17875,21.7479166666,25.2033333333,32.2154166667
239.29,26.1774166667,28.3514166666,32.8805,30.7970833333,33.0614166667,33.0615833334,31.4311666667,39.2511666667,34.69225,20.4709166667,24.8189166667,31.7934166667
239.67,22.975,24.6106666667,30.68525,26.86925,28.3489166667,29.98425,27.7258333333,36.9157222222,32.2429166666,20.0155,24.1434166667,28.4268333333
240.04,14.9274166667,15.7971666667,22.6086666667,18.0435,19.203,22.6811666667,17.9710833333,27.7777777778,24.49275,12.8986666667,15.7245,18.5508333333
240.42,11.6666666667,12.2666666667,17.4666666666,13.4,14.6,19.5333333333,12.6666666667,21.6888888889,20.4666666667,10.6,13.0,13.7333333333
240.79,11.4583333333,12.4999166666,15.0768333333,12.4999166666,14.5834166667,18.53075,12.1710833333,20.3217222222,19.2983333334,10.85525,12.7193333333,12.3355833333
