wavelength,Back_ChaEucm,Belly_ChaEucm,Breast_ChaEucm,Crissum_ChaEucm,Crown_ChaEucm,DorTail_ChaEucm,Patch10_ChaEucm,Patch11_ChaEucm,Patch12_ChaEucm,Rump_ChaEucm,Throat_ChaEucm,WingTip_ChaEucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-16.6666666667,-29.1666666667,-24.9999999999,-112.5,-25.0000000001,4.1666666667,8.33333333335,-8.33333333333,91.6666666666,0.0,-70.8333333333,4.16666666658
179.16,-91.6666666667,-216.666666667,-191.666666667,-200.0,-183.333333333,-116.666666667,-91.6666666667,-261.111111111,8.33333333342,-208.333333333,-266.666666667,-16.6666666667
179.54,50.0000000001,-108.333333333,-8.3333333335,-125.0,-58.3333333333,-91.6666666667,-83.3333333332,-166.666666667,16.6666666666,-100.0,-91.6666666667,-49.9999999999
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,124.999916667,23.6110000002,70.8331666667,23.6110833333,38.8889166666,120.833333333,12.5001666667,-119.444444444,144.4445,-6.9445,37.5001666665,145.83325
180.69,141.666666666,-26.6666666667,71.6666666666,25.0,51.6666666667,116.666666667,-11.6666666668,-186.666666667,153.333333333,-10.0,18.3333333333,148.333333333
181.07,136.458333334,34.3750000001,106.25,96.8749999998,97.9166666665,99.9999999999,33.3333333334,-76.3888888888,128.125,34.375,82.2916666669,131.25
181.45,120.83325,64.5833333334,109.027833333,104.861083333,96.5278333334,81.9444999998,45.8333333335,-33.3333333333,110.416666667,64.5834166667,93.0555,106.249833333
181.83,145.512916667,99.3589999999,155.128083333,149.999916667,138.461416667,129.487166667,86.5385,17.9490000001,146.153833333,99.3589166666,121.794916667,135.256416667
182.21,132.407416667,101.388916667,149.074,145.833166667,137.036833333,118.5185,93.5185833334,52.469,141.666583333,108.333166667,125.462833333,126.388833334
182.59,106.666666667,80.0,124.166666667,125.0,110.833333333,99.5833333335,72.0833333333,41.1111111112,105.833333333,90.4166666666,97.0833333334,98.3333333333
182.97,104.166666667,74.1666666667,116.666666667,132.916666667,113.75,94.5833333333,75.8333333335,30.0,101.666666667,93.7500000001,90.4166666668,103.333333334
183.35,103.50875,76.7543333333,115.7895,136.403583333,114.473666666,92.9824166666,74.1230000002,19.2982222222,100.000083334,92.9824999999,89.0349999998,108.33325
183.73,117.647166667,96.5686666667,138.7255,167.647,140.196083333,107.843,100.490083333,17.647,125.980333333,114.705833333,98.5293333334,125.980333333
184.11,110.71425,104.761833333,148.809583333,189.880916667,155.952416667,113.095166667,107.73825,14.2857222223,144.642916667,128.571416667,91.6665833332,133.928583334
184.49,96.5686666667,95.0981666667,142.156916667,162.254916666,137.255,93.1372500001,103.921666667,21.5684444444,130.392166667,113.235333333,77.941,119.117583333
184.87,83.3334166667,96.59075,125.757583333,143.939333333,114.772833333,89.3940000001,85.9849166667,35.8586111111,112.5,93.1816666666,74.2424166668,105.303
185.25,74.2424999999,77.6515,110.984833333,126.893916667,98.1060833333,78.4091666666,73.10625,21.212,96.5909166665,80.6818333332,53.7878333332,89.3939166667
185.63,82.1428333334,80.15875,125.000083334,141.666666667,112.301583333,90.0794166666,83.3333333331,39.4180000001,105.5555,86.508,66.6668333334,103.174666667
186.01,57.4999999999,60.8333333334,98.3333333335,119.166666667,88.3333333334,62.9166666667,59.9999999999,16.1111111111,77.4999999999,70.8333333333,44.1666666666,83.75
186.39,53.6666666666,49.3333333333,86.3333333334,99.0000000001,74.3333333332,60.3333333334,53.3333333333,9.55555555553,63.3333333334,62.6666666667,41.0,68.9999999999
186.77,67.2839166667,62.6541666666,99.3828333333,108.642,84.5680000001,68.5185833333,67.5925,26.9547222222,79.6296666667,74.69125,54.9381666667,80.8641666667
187.15,56.90475,55.0,83.3333333334,86.4285833333,69.28575,56.1905,56.1905833333,27.3015555556,66.6665833334,62.8570833333,47.6190833333,63.09525
187.53,57.5,53.3333333333,83.5416666666,83.3333333332,69.7916666667,56.25,61.6666666667,35.1388888889,66.875,66.0416666667,52.2916666667,62.7083333333
187.91,53.97725,50.0,79.9243333334,76.5150833333,62.12125,54.356,56.4395,41.2877222222,63.2575833333,64.2045000001,50.56825,57.3863333334
188.29,65.8163333334,56.1225833333,84.5238333334,81.97275,69.38775,60.71425,65.8161666667,53.4013333334,67.5169999999,72.9591666666,60.0340833333,65.98625
188.67,56.8628333333,52.2875833333,78.9215833333,78.59475,66.9935833333,56.5359166667,64.2159166667,52.5056111112,63.39875,68.3005833333,57.67975,60.6209166667
189.05,54.7170833334,46.0691666666,75.6289166666,73.89925,64.7799166667,55.8176666667,68.08175,49.1613333332,59.9054999999,69.0250833333,55.975,58.4905833334
189.43,56.5704166667,51.6026666667,83.6539999999,83.1730833333,69.8719166667,63.6216666667,76.9231666667,53.9528888888,64.2628333334,74.1987500001,65.7051666667,67.62825
189.81,55.1885000001,51.2579166667,80.3460000001,79.55975,68.0815,64.4654166667,74.6855,51.5722222221,58.8049166666,71.3835833333,63.0500833333,65.09425
190.19,63.1815833332,56.3636666666,85.6060833333,87.57575,74.2424166667,71.5150833333,79.6968333333,56.3636666668,64.5453333333,77.2726666666,71.3636666667,69.697
190.57,77.6514999999,68.9395,103.787833333,106.060666667,87.3105833333,82.7650000001,96.2121666667,68.0555000001,78.5983333334,90.3409166667,82.3864999999,79.7348333333
190.95,79.6054166666,65.7895833333,111.4035,112.0615,87.4998333333,85.5263333333,101.754416667,71.4911666667,79.8245833333,92.9824999999,86.1841666668,81.35975
