wavelength,Back_SerAlbf,Belly_SerAlbf,Breast_SerAlbf,Crissum_SerAlbf,Crown_SerAlbf,DorTail_SerAlbf,Patch10_SerAlbf,Rump_SerAlbf,Throat_SerAlbf,WingTip_SerAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,41.3334,12.4445,49.7778666667,32.4444,52.8888666667,33.1111666667,24.8888,38.2222666667,46.2222,26.2222
179.16,102.424266667,65.1515,106.060533333,75.7577333333,107.878733333,88.7878,73.9393333333,96.3636666665,105.4546,65.4545333333
179.54,69.9999333334,39.4445333333,84.4444000001,58.8888,75.5554666667,52.2221333333,55.5556000001,71.1112,60.0,52.2222666667
179.93,53.75,20.625,57.9166666667,26.25,44.1666666667,40.2083333333,28.3333333333,33.3333333333,35.8333333333,27.9166666667
180.31,100.8602,56.2366,109.9642,81.2187333333,95.6989333333,83.1901333333,78.0645333333,86.0213999999,100.071666667,70.9678666667
180.69,108.797333333,60.1029666667,115.6014,88.7972,103.024133333,88.1787,85.7731333334,93.5393999999,109.140933333,73.1958666666
181.07,109.5918,62.8570666667,114.965933333,92.0408666667,103.6734,90.4081,88.1631999999,95.102,109.387733333,74.4217333334
181.45,103.828466667,56.4025333333,105.940533333,88.8448,96.9637333333,85.3465666667,84.8185333335,88.6469333333,103.8284,76.5678
181.83,95.1514666667,50.8181,93.1516,80.5454666667,86.6061333333,78.5454,77.2122666667,79.4545333333,96.1212000001,73.3940666667
182.21,93.0435333333,53.7680666667,88.8695999999,80.0580666667,83.5941999999,77.2173666667,78.7246,81.4492666667,96.5217333333,75.4781999999
182.59,96.7877333332,54.7576,89.5152666667,82.4848,85.0302666667,80.2120666667,81.2727333333,86.4241999999,101.515133333,79.0302666667
182.97,90.0934,50.3116,83.489,78.0062,82.7414,77.4143,76.6354,84.4236666667,98.0687333334,74.2679999999
183.35,90.6171999999,51.0184333333,83.5802666667,79.5680666667,85.0615999999,78.7654666667,80.9876666666,89.4444000001,101.481466667,76.4815333333
