wavelength,Back_HemMelm,Belly_HemMelm,Breast_HemMelm,Crissum_HemMelm,Crown_HemMelm,DorTail_HemMelm,Patch10_HemMelm,Patch11_HemMelm,Rump_HemMelm,Throat_HemMelm,WingTip_HemMelm
210.28,-801.728311111,-944.444333334,-862.222133333,-1099.99993333,-118.888866667,-1071.03034879,-1114.44446666,-1192.22233333,-1256.66666667,-925.555533333,-1153.33333333
210.66,-296.444444444,-377.777733333,-291.555599999,-414.2222,-44.0000000001,-400.81222394,-409.777866667,-456.000133333,-472.4444,-336.888866667,-408.444466667
211.03,-125.185133333,-158.666666667,-111.7778,-173.555533333,4.8888666666,-165.079747576,-174.666666667,-191.777666667,-215.3334,-135.1112,-157.5556
211.41,-180.676303704,-215.6522,-155.652133333,-228.116,-14.2029333334,-235.127757576,-235.942,-255.0724,-286.666533333,-186.956533333,-199.1304
211.79,-640.833333333,-705.833333334,-535.833333334,-753.333333333,-145.0,-816.946969696,-808.333333333,-868.333333335,-941.666666667,-624.166666666,-665.833333333
212.17,877.883511112,967.618866667,682.857133333,943.809533333,324.761999999,1090.80519576,1053.3334,1146.6668,1190.47626667,858.095133333,863.809666666
212.55,526.111118519,597.222333333,401.110999999,573.333266667,227.7778,635.052966971,626.111199999,678.889000001,721.111066667,510.555466666,515.000133333
212.92,300.952311111,348.888866667,228.254,327.619066667,151.111066667,355.972650303,357.142933333,394.285733333,406.666533334,295.238133333,313.0158
213.30,887.530770371,1054.4444,663.333466666,1016.6666,433.333266667,1058.94941273,1150.0,1182.2222,1271.11106667,911.111066666,943.333199999
213.68,-750.264533333,-905.714266667,-619.999933333,-873.333399999,-417.142866667,-887.575747272,-920.000066667,-1020.95226667,-1065.71426667,-836.190533334,-848.571333333
214.06,-470.707118519,-588.484733334,-412.1212,-540.606066666,-273.9394,-595.575711819,-578.7878,-669.090866667,-663.030399999,-520.605933334,-540.606199999
214.44,-571.851851852,-774.166666667,-539.166666667,-697.499999999,-355.0,-780.079545455,-739.166666666,-895.000000001,-833.333333334,-664.999999999,-661.666666666
214.81,-317.566170371,-460.952333333,-334.285666667,-407.619000001,-188.571466667,-461.121296971,-425.238066667,-502.857133333,-483.333466667,-389.047533333,-370.476266667
215.19,-772.275266667,-1081.90473333,-868.571466667,-994.285733333,-534.285866667,-1107.46325242,-1047.61906667,-1197.143,-1107.61906667,-959.0476,-930.4762
215.57,-361.283888889,-515.111200001,-419.999866667,-467.555533334,-227.1112,-496.80009394,-500.444466667,-574.222200001,-530.2222,-462.2222,-446.666666667
215.95,-319.738518519,-457.647133334,-385.882333333,-402.353,-191.764733333,-434.28519909,-447.058866667,-489.4118,-466.274533333,-405.0982,-383.137199999
216.32,-405.416666667,-557.499999999,-489.583333333,-518.333333333,-257.5,-533.500000001,-557.916666667,-589.583333333,-567.500000001,-487.916666666,-487.916666667
216.70,-447.222222222,-592.916666667,-547.083333333,-557.916666666,-273.333333333,-573.215909091,-617.499999999,-632.5,-592.083333333,-513.333333333,-528.333333334
217.08,-428.627429629,-567.843266667,-530.980333333,-535.294133334,-256.862733333,-543.497389395,-589.803933334,-593.725533333,-567.451,-490.196066666,-498.039133332
217.46,1539.25925926,2081.33333333,1893.33333333,1846.66666666,870.666666667,1939.96363636,2102.66666667,2078.66666667,1997.33333333,1732.0,1825.33333333
217.83,484.212962963,657.5,577.083333334,556.666666667,250.0,601.40719697,670.000000001,638.333333334,616.666666667,526.666666666,567.916666667
218.21,346.067022222,470.476266667,424.761933333,407.619066667,159.6826,423.28861697,482.857133334,460.317533333,444.444466667,370.1588,420.634933333
218.59,234.388355555,295.1514,280.0,265.4546,106.464466667,270.942116364,308.484733333,302.2222,284.040466667,239.393933333,288.888666667
218.97,180.310074074,212.8682,211.782933333,187.907,78.7596666666,197.978027273,226.9768,231.6278,209.4574,177.209333333,221.860466667
219.34,142.047962963,173.856133333,165.228733333,146.536066667,54.3790666667,149.131312424,173.856066667,179.6078,171.634066667,135.163533333,172.418333333
219.72,132.606037037,158.9092,152.727266667,134.181733333,54.1818666667,137.652855152,157.454533333,163.515,156.242333333,123.636333333,156.9698
220.10,114.052274074,132.647066667,128.333333333,113.529466667,48.1372,114.352738788,129.803933333,136.568666667,128.9216,104.411666667,131.078533333
220.47,105.464548148,122.841533333,126.120066667,105.027333333,35.1911333333,104.707509697,123.606733333,130.382533333,121.6394,94.3168666666,124.043866667
220.85,94.4699851851,109.195266667,109.5402,93.1034,21.3793333333,92.2320309091,105.517133333,115.057466667,110.689466667,83.2184666666,114.942466667
221.23,95.2,118.933333333,117.066666667,96.9333333333,17.0666666667,96.3430303029,108.933333333,123.066666667,119.733333333,83.4666666667,125.866666667
221.61,98.2773777779,124.3412,124.031066667,98.2946666666,8.99220000001,96.4135951515,107.131733333,133.0232,131.627733333,77.0541999999,136.434
221.98,122.581422222,149.494933333,154.141333333,121.6162,5.65660000001,120.039388788,126.262733333,165.050533333,174.949466667,90.7071333333,161.414
222.36,202.666666667,253.333333333,236.0,201.333333333,19.0000000002,188.21060606,216.666666667,253.0,296.333333333,159.333333333,263.0
222.74,853.925925927,1128.0,981.333333333,928.0,142.666666667,830.315151516,961.333333334,1037.33333333,1334.66666667,674.666666667,1084.0
223.11,517.366192592,723.703533333,571.111133333,625.1852,142.963,555.245876969,613.3334,634.074133333,834.074,428.888866667,646.666733333
223.49,329.542437037,437.254733333,343.137399999,376.470533333,136.862866667,362.568663029,376.862666667,401.568600001,480.784333333,280.7842,410.588266667
223.87,237.561651852,324.7222,257.2222,285.555466667,110.000066667,274.688058485,286.388933333,301.111133333,357.499933333,221.388866667,299.1666
224.24,580.634948148,885.714266666,687.619066667,764.761733333,189.5238,720.476213636,788.571333333,849.523933334,1020.00013333,607.619066666,803.809666667
224.62,-983.456822221,-1837.77773333,-1242.22226667,-1453.33333333,-204.444466667,-1406.92936151,-1502.2222,-1635.5556,-2066.66666667,-1146.66673333,-1560.00013333
225.00,-988.888940741,-1886.66673333,-1311.11113333,-1464.44446667,-315.555533333,-1445.65646152,-1673.33333333,-1737.7778,-2144.4444,-1206.66666667,-1551.1112
225.38,3157.77777778,5619.99999999,3813.33333333,4573.33333333,1086.66666667,4119.96969697,5286.66666666,5133.33333334,6200.00000001,4093.33333333,4253.33333333
225.75,-119.435629629,-225.079466667,-142.222133333,-187.936533333,-44.7618666666,-178.460192121,-217.7778,-205.396933333,-245.7142,-174.920666667,-158.095266667
226.13,-83.9753481481,-164.444333333,-95.7777333333,-143.555666667,-41.5555333333,-133.341468788,-161.111133333,-145.333466667,-161.777733333,-126.444466667,-120.4444
226.51,-38.8336666666,-95.8864666666,-59.1489333334,-80.1418,-16.312,-75.8375845455,-93.9007333333,-89.9290000001,-91.9150666665,-69.3617333333,-71.6312666666
226.88,-16.6668222222,-58.8543333333,-39.7916666667,-44.1668666666,-1.87513333333,-41.9391836363,-55.3126666667,-56.9794666666,-55.3128000001,-41.8752666667,-42.5001333333
227.26,-5.49071851855,-30.2407333334,-21.0996666666,-21.9244666666,5.1548,-16.3511815151,-27.2165333333,-27.9723999999,-26.4605333333,-19.6562666666,-22.8867333333
227.64,1.45237777781,-15.9579333333,-11.3912666667,-12.0734666667,8.87140000001,-5.98741878787,-16.2204666667,-14.1732666667,-15.118,-11.8635999999,-13.3333333333
228.01,-3.0832222222,-15.8558,-9.91,-13.7387333333,4.77486666667,-7.7707769697,-15.7207333333,-13.9639333333,-13.8289333333,-11.7116666667,-16.3964666666
228.39,-6.11414074074,-17.7401333333,-11.2618,-16.0075333333,1.80793333335,-9.51912878789,-14.9906,-14.1996,-15.4425333333,-12.1280666667,-18.0037333333
228.76,-7.57303703705,-18.0634,-10.9206666667,-14.7938,0.222200000001,-8.52609636364,-13.3016666667,-14.3174,-15.3967333333,-12.2221333333,-17.6507333333
229.14,-5.00391851853,-14.8241333333,-8.12933333334,-11.8705333333,1.46279999999,-5.68209484849,-10.2108666667,-11.1110666667,-12.7426666667,-9.00146666667,-14.4865333333
229.52,-4.51228888888,-13.1042666667,-8.88046666666,-12.5953333333,1.60306666667,-6.18099181819,-10.4071333333,-12.2393333333,-13.0281333333,-8.62600000001,-14.9618666667
229.89,-5.2783925926,-13.8024,-10.3212666667,-13.9506,1.67906666666,-5.52403999999,-10.9382,-13.7776666667,-13.3086,-9.13579999999,-14.2961333333
230.27,-1.34494074071,-9.00700000001,-7.68326666667,-8.84173333333,6.02826666667,-0.482106060594,-6.80846666666,-10.1892666667,-8.67613333334,-5.62646666667,-9.40906666666
230.65,-4.17491111111,-9.94113333335,-8.99880000001,-10.6713333333,4.33446666668,-2.16781515152,-8.71613333334,-11.3075333333,-9.35226666666,-6.97280000001,-9.42273333332
231.02,-7.48591851853,-11.3310666667,-11.0955333333,-14.7702,0.918733333333,-5.83026848485,-11.9436,-13.7809333333,-11.6136666667,-9.75253333333,-11.6842666667
231.40,-8.89408888888,-11.8040666667,-11.9475333333,-15.4599333333,-0.668866666667,-7.67370000001,-13.5482666667,-15.0776666667,-13.3572,-11.3261333333,-11.9235333333
231.78,-10.133962963,-11.7325333333,-11.6846666667,-15.7228,-0.0954666666674,-7.47866787879,-12.9272,-14.1936,-12.3774666667,-10.6094,-10.0598
232.15,-5.00316296297,-6.94726666668,-7.48533333334,-9.77766666667,4.67826666666,-2.30628969697,-8.46786666667,-8.65506666665,-7.5088,-5.47360000001,-4.88879999999
232.53,-6.19351851851,-7.66433333334,-8.73480000001,-12.0680666667,2.87106666666,-4.40395181818,-10.8271333333,-10.2919333333,-7.59133333333,-6.93433333333,-6.253
232.90,-6.61602962962,-6.10453333333,-10.0401333333,-13.4136666667,3.72160000001,-5.22829393938,-12.5034,-10.9772666667,-7.06826666665,-8.67473333334,-5.38153333335
233.28,-7.64728148149,-4.93919999998,-11.3359333333,-13.9272666667,4.77733333334,-5.00087969697,-11.1739333333,-10.9581333333,-6.39666666666,-9.79753333333,-4.83126666667
233.66,-5.58174814815,-0.97113333334,-4.51433333333,-8.00513333333,7.24400000001,-1.12068939396,-5.69559999999,-5.53793333334,-1.46986666665,-4.61940000001,0.13119999998
234.03,-5.22871851852,-0.706066666666,-3.24193333333,-6.77133333334,6.6666,-2.11508636361,-6.03926666666,-4.36599999999,-2.66679999999,-5.62099999999,0.182933333326
234.41,-9.02117037037,-3.91540000001,-5.66133333332,-11.1376666667,3.04239999999,-6.32066787879,-10.2116666667,-7.48666666667,-7.40746666667,-9.2858,-3.01573333334
234.78,-8.04020740741,-3.64833333334,-4.67200000003,-10.8922,3.5958,-6.0583830303,-8.29399999999,-6.45666666666,-7.50673333334,-9.39633333334,-2.231
235.16,-7.02849629629,-3.10253333334,-3.84620000001,-9.61526666666,4.12813333333,-5.39870181817,-6.87186666666,-6.23086666665,-6.66653333333,-8.15393333333,-0.743400000014
235.54,-3.33737777778,0.478000000006,-1.81606666667,-6.59493333332,6.33219999999,-3.48720454547,-3.34526666666,-3.79939999998,-2.41346666665,-5.47179999999,0.76479999998
235.91,-1.42769629631,1.36100000001,-1.75313333333,-5.99773333333,6.32073333333,-2.57546272728,-2.676,-2.90646666666,-1.79933333333,-4.40599999999,0.41513333332
236.29,-0.456348148133,2.07653333332,-1.31146666667,-6.27326666667,6.68866666667,-1.94020545454,-1.15860000001,-2.57920000001,-1.13646666667,-3.10366666668,1.552
236.66,0.0024370370406,1.89246666665,-1.84953333332,-5.16126666667,5.89246666667,-2.39434424243,-0.860133333334,-2.83880000001,-2.12900000001,-3.11833333332,0.279466666674
237.04,-1.04619259259,-0.249866666674,-2.99993333333,-7.0416,2.58353333333,-4.57795666666,-2.229,-4.35399999999,-4.41653333334,-4.58326666667,-1.85406666665
237.41,-0.647800000007,-1.53386666667,-2.18813333333,-6.60533333334,1.28853333333,-5.13408303029,-3.06746666667,-5.03060000001,-4.82633333333,-4.88760000001,-2.22913333334
237.79,0.154859259254,-2.32833333333,-2.88566666667,-6.42786666667,1.393,-4.1522809091,-3.64186666666,-4.91540000001,-5.99006666666,-5.23393333334,-2.28860000001
238.17,1.38834814814,-1.65713333333,-1.981,-4.97146666667,2.781,-1.73943393939,-2.03813333333,-3.18099999999,-4.41906666667,-3.31426666667,-2.03806666667
238.54,2.33188148148,-0.914133333326,-1.11113333333,-3.33326666666,3.38706666666,-0.570375757572,-0.824399999986,-1.64886666666,-3.38713333333,-1.95346666667,-1.61293333333
238.92,1.41185925927,-0.412533333334,-2.35960000001,-3.11880000001,2.52473333333,-0.127021818166,-2.04613333333,-1.81513333334,-3.74593333333,-2.31013333335,-1.51820000001
239.29,2.63972592593,0.708133333334,-0.939200000008,-1.35499999999,3.5412,1.46513515152,-1.20086666667,0.261866666668,-2.66346666667,-1.63200000001,-0.246399999994
239.67,1.59482962963,-0.68,-1.6556,-2.02506666667,2.94153333333,1.64504939393,-2.02513333333,-0.576533333346,-3.78426666667,-2.52759999999,-0.05913333334
240.04,1.74007407407,-0.666733333326,-1.25166666667,-1.22453333333,3.3334,1.98655333335,-2.10886666666,-1.04753333333,-3.66000000001,-2.02713333334,0.816333333346
240.42,0.447288888886,-2.23040000001,-2.7538,-1.94393333334,1.5826,0.78877060606,-3.37700000001,-2.06839999999,-5.12146666667,-3.4518,-0.12453333334
240.79,0.269599999998,-2.30593333333,-2.612,-1.83613333333,1.388,0.992773333328,-3.40993333333,-2.01080000001,-4.6558,-3.55186666666,0.666666666668
241.17,-0.504162962962,-2.80086666667,-2.74346666667,-2.06233333334,1.28533333333,0.932639696972,-3.80806666666,-2.39813333333,-4.24926666666,-4.03833333334,0.78673333332
241.54,-0.474770370372,-2.55073333334,-2.61120000001,-2.29146666667,1.54766666667,1.66269636363,-3.38086666667,-2.11846666666,-3.60566666667,-3.70093333334,1.62553333333
241.92,-0.151814814814,-2.01026666666,-2.28513333333,-2.39493333333,1.72753333333,1.43258606061,-2.89746666667,-1.60966666667,-2.85046666667,-3.21159999999,1.84526666667
242.29,-0.507822222218,-2.20746666667,-2.24420000001,-2.83833333334,1.2174,1.05344454545,-3.23426666666,-2.01706666666,-2.83099999999,-3.57166666667,1.42273333334
242.67,-1.15056296296,-2.85913333333,-3.06286666667,-3.7864,0.288200000002,0.62960060606,-3.68800000001,-2.81706666667,-3.42120000001,-4.48906666667,0.864066666666
243.05,-1.03448888889,-3.38166666667,-2.94000000001,-4.09259999999,0.510666666665,0.48694242424,-3.72666666667,-3.04353333333,-3.54726666667,-4.3546,0.710799999994
