wavelength,Back_SicLucf,Belly_SicLucf,Breast_SicLucf,Crissum_SicLucf,Crown_SicLucf,DorTail_SicLucf,Patch10_SicLucf,Patch11_SicLucf,Rump_SicLucf,Throat_SicLucf,WingTip_SicLucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,138.333333333,196.666666667,85.0,123.095238095,135.0,146.666666667,123.333333333,121.666666667,123.055555556,208.333333333,170.0
179.16,110.833333334,118.333333334,78.3333333333,77.8571428571,101.666666667,117.5,97.5,113.333333334,102.361111111,91.25,143.333333333
179.54,146.296166666,222.222333333,116.666833333,110.185190476,137.037,168.518666666,137.037166667,166.666666666,158.642,149.074083333,233.333333334
179.93,77.7778333334,-238.889,177.7775,-46.03175,-38.8889999999,-55.5555,-33.3333333333,-161.111166666,-31.4813333331,-169.444416666,-194.4445
180.31,179.700833333,234.615166667,155.555666667,163.369904762,164.1025,220.726666667,168.162166667,198.718,183.190805555,187.07275,234.828833334
180.69,193.201666666,250.0,160.307166666,169.313928572,174.5615,241.666666667,174.342166667,210.526333334,195.723833333,200.65775,250.4385
181.07,219.8925,285.483833333,170.698833334,189.362464285,200.269,279.57,199.731166667,242.472833333,220.699083333,217.8765,292.473
181.45,274.468166666,356.0285,210.992833334,241.438809523,248.936166667,347.872333334,243.617166667,299.290666666,276.418583334,284.219916667,358.510833333
181.83,427.011333334,560.344666666,320.689666666,374.261130953,389.0805,545.977166666,375.287333333,451.724166667,434.961666667,449.425166667,533.908166666
182.21,352.083333334,447.5,284.166666666,296.160714286,310.833333333,440.416666666,303.333333333,348.333333333,355.138888889,350.833333334,428.75
182.59,397.2975,485.5855,334.684666666,311.904785715,340.090166667,463.063166667,331.081166667,364.414333333,381.306277778,377.927916666,460.360333333
182.97,368.650833334,444.0475,323.413,286.167821429,313.095333333,416.269833333,307.142833333,334.9205,365.01325,354.563333333,417.857333334
183.35,447.474833333,514.141333333,378.787833334,335.822571429,367.676833333,483.333166667,373.2325,391.919333333,422.727361111,435.101166667,504.040333333
183.73,927.381,1051.19033333,691.6665,630.356964285,700.000166667,997.619000002,754.762,763.095166667,875.595111114,866.666833335,1066.6665
