wavelength,Back_PooBolf,Belly_PooBolf,Breast_PooBolf,Crissum_PooBolf,Crown_PooBolf,DorTail_PooBolf,Patch10_PooBolf,Patch11_PooBolf,Rump_PooBolf,Throat_PooBolf,WingTip_PooBolf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,22.9166666667,25.0,37.5,72.9166666667,53.125,64.5833333333,52.0833333333,34.375,91.6666666667,22.9166666667,18.75
179.16,-4.16666666667,-75.0,43.75,70.8333333333,47.9166666667,-12.5,66.6666666667,43.75,95.8333333333,25.0,93.75
179.54,-12.5,-56.25,0.0,39.5833333333,-9.375,-4.16666666667,-12.5,-21.875,10.4166666667,-8.33333333333,25.0
179.93,-166.666666667,-166.667,-125.0,33.3333333333,-83.3333333333,-72.222,-88.889,-100.0,83.3333333333,-11.111,-91.667
180.31,7.30166666667,-20.476,28.5715,60.9523333333,30.9525,11.746,31.111,33.8095,68.254,24.4446666667,0.9525
180.69,10.8336666667,-16.6665,40.8335,61.111,32.5003333333,18.889,36.667,36.667,69.722,30.278,3.3335
181.07,18.6543333333,-22.0185,47.7065,57.492,37.9206666667,17.4313333333,43.1193333333,53.211,69.113,38.532,2.2935
181.45,23.077,-22.5275,45.6045,58.6083333333,43.2235,21.612,41.7583333333,63.7365,68.4983333333,47.253,-14.835
181.83,36.287,-3.165,63.924,58.228,64.5571666667,32.0676666667,65.823,83.5445,85.232,72.9956666667,-17.089
182.21,56.0,18.0,84.6665,59.1113333333,83.5556666667,43.1113333333,86.2223333333,104.0,86.6666666667,81.7776666667,-12.0
182.59,62.5573333333,23.2875,89.041,54.7946666667,92.0095,58.4473333333,96.3466666667,107.5345,91.781,103.653333333,-6.1645
182.97,52.6313333333,15.1315,74.342,45.1753333333,82.0173333333,50.8773333333,91.6666666667,93.421,83.3333333333,97.3686666667,-9.8685
183.35,54.762,30.0,83.5715,45.238,93.095,60.9523333333,114.761666667,97.857,89.5236666667,112.857333333,-2.1425
183.73,70.3703333333,19.4445,101.852,46.2963333333,105.246666667,64.8146666667,137.654,110.185,98.7653333333,140.740666667,-22.222
184.11,68.0556666667,10.417,119.7915,45.833,110.763833333,62.4996666667,143.055666667,107.2915,100.0,145.833333333,-17.7085
184.49,86.4863333333,-21.6215,135.135,50.4503333333,132.882833333,92.7926666667,160.360666667,106.7565,117.117,171.171333333,-13.5135
184.87,121.794666667,-48.077,126.923,41.0256666667,171.794833333,85.8976666667,210.256333333,142.3075,155.128333333,216.666333333,-25.0
185.25,95.0616666667,-27.778,112.963,45.679,151.851666667,60.4936666667,193.827333333,74.074,145.679333333,185.185,-48.148
185.63,67.5676666667,-6.757,120.27,36.036,113.5135,36.036,154.054,51.3515,122.522333333,133.333,-12.162
186.01,70.1753333333,-27.632,101.316,57.0173333333,101.316,31.579,129.824666667,59.211,105.263,109.649,-32.895
186.39,68.6866666667,-80.303,86.3635,62.6263333333,98.4848333333,16.1616666667,130.303,59.0905,112.121333333,135.353333333,-71.212
186.77,60.0,-118.0,100.0,76.0,110.666666667,4.0,142.666666667,68.0,117.333333333,168.0,-114.0
187.15,-866.666666667,2450.0,-2450.0,-1333.33333333,-3000.0,233.333333333,-3100.0,-1900.0,-2366.66666667,-3966.66666667,3700.0
187.53,-900.0,1850.0,-2650.0,-1866.66666667,-3200.0,800.0,-2366.66666667,-2500.0,-2200.0,-4000.0,4000.0
187.91,-466.666666667,-1375.0,600.0,166.666666667,916.666666667,-1100.0,66.6666666667,550.0,550.0,1066.66666667,-2675.0
188.29,-204.762,-300.0,14.286,-33.333,278.571166667,-376.190333333,90.476,207.1425,33.3333333333,38.0953333333,-778.5715
188.67,-1533.33333333,-1500.0,-250.0,-800.0,1833.33333333,-3533.33333333,433.333333333,1900.0,-433.333333333,-66.6666666667,-6000.0
189.05,348.148333333,277.7775,177.778,174.074,-94.4445,518.518666667,92.5926666667,-16.6665,225.926,177.778,766.6665
189.43,278.571333333,246.4285,192.857,154.762,-1.19083333333,411.904666667,121.428333333,32.1425,209.524,135.714333333,503.5715
189.81,348.485,336.3635,340.909,133.333333333,54.5453333333,484.848666667,90.909,109.091,278.788,160.606,659.0905
190.19,243.59,234.6155,280.7695,84.6153333333,-8.97433333333,366.666666667,-48.718,65.385,187.179333333,38.4616666667,465.3845
190.57,-2400.0,-700.0,-2650.0,-733.333333333,650.0,-3533.33333333,2233.33333333,-50.0,-1833.33333333,-500.0,-3650.0
190.95,190.196,129.4115,285.2945,174.509666667,60.7843333333,360.784333333,-45.0983333333,82.353,184.313666667,119.608,329.412
191.33,215.384666667,350.0,492.308,323.077,162.820666667,528.205,0.0,173.077,305.128,169.231,434.6155
191.71,104.040333333,186.364,250.0,186.868666667,107.070666667,240.404,32.323,118.182,147.474666667,103.030333333,200.0
192.09,48.3333333333,131.25,180.0,143.333333333,59.5833333333,189.166666667,-12.5,83.75,96.6666666667,46.6666666667,150.0
192.47,29.5456666667,117.045,165.909,123.485,58.7123333333,166.667,-28.788,80.682,81.818,15.9093333333,131.818
192.85,50.34,112.245,155.102,125.850666667,64.2856666667,158.503666667,-17.6873333333,90.816,70.068,20.4083333333,120.408
193.23,31.783,103.4885,140.698,126.356666667,53.8761666667,165.116333333,-22.4803333333,75.5815,70.5426666667,-1.55033333333,98.8375
193.61,31.624,97.436,144.872,140.171,57.6923333333,158.119666667,-41.88,67.949,66.6666666667,-14.5296666667,79.4875
193.99,43.75,102.083,129.1665,154.861,60.4166666667,149.305666667,-4.861,81.25,77.0833333333,4.861,78.125
194.37,67.7966666667,106.78,126.271,168.926666667,87.5705,161.016666667,38.9833333333,103.3895,93.7853333333,54.2373333333,94.068
194.75,72.222,103.788,108.3335,172.222333333,83.5858333333,162.121333333,58.081,103.7875,91.414,68.1816666667,105.303
195.13,87.1796666667,102.8845,122.1155,199.358666667,105.4485,183.974333333,56.4106666667,124.0385,111.538333333,75.0003333333,99.0385
195.51,96.4536666667,87.234,90.4255,192.198333333,112.411166667,182.269333333,49.645,139.3615,114.893666667,79.4323333333,87.234
195.89,121.951,90.244,97.561,212.195,146.3415,207.317,67.4796666667,185.3655,127.642333333,87.8046666667,95.122
196.27,147.287,88.372,125.5815,229.457333333,162.790666667,201.550333333,75.194,204.651,150.387333333,97.6743333333,80.2325
196.65,122.885666667,76.1195,108.955,175.622,132.0895,155.721333333,88.0593333333,161.9405,118.408,89.0546666667,76.8655
197.03,119.577,72.2225,115.0795,183.068666667,135.978833333,159.788333333,83.0686666667,169.8415,140.740666667,92.0633333333,100.7935
197.40,125.352333333,76.0565,123.2395,190.141,143.192666667,157.746333333,77.4646666667,171.831,143.192333333,95.7746666667,113.3805
197.78,118.604666667,76.163,113.9535,167.829,129.651,148.449666667,81.7826666667,157.558,126.744,99.2246666667,122.093
198.16,116.466,64.4575,111.4455,166.667,125.1005,146.988,82.731,148.7955,123.293333333,99.9996666667,125.3015
198.54,121.111333333,63.3335,110.0,153.704,120.5555,144.444333333,90.0,139.4445,117.407666667,99.2593333333,126.667
198.92,116.935666667,77.0165,119.758,121.236666667,115.188333333,123.387333333,83.0643333333,130.242,108.602333333,91.9356666667,115.7255
199.30,108.809666667,75.7145,118.214,111.428666667,100.475833333,109.047666667,79.0476666667,119.2855,100.952333333,93.5713333333,117.143
199.68,110.067,74.497,123.49,110.738666667,99.217,105.369333333,81.2076666667,116.443,104.921666667,100.0,117.7855
200.06,116.997666667,83.1125,127.1525,115.232,100.662333333,109.271666667,85.4306666667,115.232,113.907,111.258666667,122.5165
200.44,122.449,88.0955,131.973,110.884,100.226666667,113.832333333,90.7026666667,112.925,115.873,119.727666667,128.9115
200.82,126.950666667,92.908,131.5605,108.747,106.619333333,117.021333333,93.8536666667,116.312,122.931,123.404666667,134.0425
201.19,137.158333333,94.2625,138.115,110.382666667,116.6665,118.852666667,100.0,120.4915,127.322333333,129.235,129.508
201.57,133.630666667,86.607,141.9645,100.297666667,113.690333333,113.988333333,99.7023333333,124.107,124.404666667,130.952666667,136.6075
201.95,146.808333333,87.7655,162.766,108.156,123.935833333,115.248,98.227,138.8295,146.454,139.361333333,142.0215
202.33,136.825666667,85.7145,160.9525,101.27,123.1745,108.889,87.3016666667,128.5715,140.000333333,126.349333333,133.3335
202.71,147.407333333,93.3335,174.4445,103.703666667,137.222166667,105.185,91.4813333333,136.1115,157.037,133.333,145.0
203.09,169.355,92.742,194.3545,124.731333333,159.677333333,118.817,108.065,151.613,189.247333333,156.451666667,157.258
203.47,216.666333333,102.174,219.5655,144.203,196.739166667,149.999666667,138.405666667,188.0435,242.753333333,178.985333333,185.8695
203.85,219.858,89.3615,225.5315,152.482333333,203.1915,163.829666667,147.517333333,196.8085,231.915,174.468333333,178.7235
204.22,215.504,59.302,225.5815,145.736666667,194.573666667,151.162666667,117.054333333,176.744,232.558,164.341,187.209
204.60,191.836666667,65.306,214.2855,161.904666667,197.619166667,154.422,108.163666667,164.2855,240.136,165.306,176.5305
204.98,188.194333333,56.25,212.5,176.389,186.8055,133.333333333,97.2223333333,154.1665,236.805666667,157.639,172.9165
205.36,144.737,52.632,161.1845,130.263333333,141.666833333,99.123,78.5086666667,117.1055,173.684333333,120.614,133.5525
205.74,142.353,50.588,138.8235,122.745,132.549166667,98.0393333333,81.1766666667,101.1765,161.176666667,116.078666667,117.647
206.12,131.417666667,39.0805,127.586,112.260666667,127.011333333,90.4216666667,86.973,93.678,152.490666667,113.027,108.621
206.50,148.148333333,43.8275,128.395,113.580333333,129.424,102.881,104.115,101.852,162.963,129.629666667,109.259
206.87,156.504,37.1955,136.585,116.666666667,129.471333333,114.634,102.439333333,111.585,163.821333333,137.398,101.8295
207.25,150.793666667,31.548,147.0235,114.682666667,132.142833333,115.476333333,105.952,110.7145,176.587333333,136.111,102.381
207.63,144.927666667,36.413,144.0215,106.884,130.9785,106.159333333,100.724333333,107.0655,163.043666667,135.145,95.6525
208.01,165.700333333,23.1885,165.217,118.357333333,140.579666667,114.493,108.696,107.246,182.125666667,155.072666667,108.6955
208.39,160.648,29.861,175.6945,115.740666667,144.676166667,121.296333333,129.63,115.9725,178.240666667,157.407666667,107.6385
208.77,187.005666667,16.1015,191.5255,114.689333333,162.712,124.293666667,143.503,138.983,179.096,176.836,116.949
209.14,262.601333333,-14.634,259.7565,139.024666667,217.073333333,165.854,198.373666667,182.927,239.837333333,255.284333333,152.439
209.52,641.666666667,3.125,618.75,331.25,507.291666667,406.25,477.083333333,471.875,622.916666667,614.583333333,359.375
209.90,527.272666667,90.909,550.0,315.151333333,447.727333333,325.757666667,368.181666667,434.091,546.969666667,478.788,343.182
210.28,500.0,98.077,490.3845,269.231,403.846166667,319.230666667,342.307666667,411.5385,492.307666667,402.564,311.5385
210.66,636.508,80.9525,583.333,326.984,513.492166667,395.238,387.301333333,516.6665,615.873,488.889,407.1425
211.03,477.011666667,81.034,432.7585,272.414,383.333333333,296.551666667,286.206666667,384.483,463.218333333,336.781666667,334.483
211.41,345.528333333,79.268,300.0,202.439,262.195166667,220.325333333,186.179,279.2685,308.943333333,237.398333333,248.7805
211.79,336.752333333,66.6665,294.872,212.820666667,267.948666667,222.222333333,158.119333333,296.154,323.077,222.222,238.4615
212.17,253.107333333,81.356,230.5085,163.841666667,213.277,169.491333333,118.078666667,233.051,261.016666667,178.531333333,179.661
212.55,316.666666667,95.8335,279.1665,204.166666667,270.8335,194.444333333,120.138666667,289.5835,322.916666667,217.361333333,215.625
212.92,328.787666667,100.0,289.773,216.666666667,264.015333333,187.879,112.121333333,287.5,359.091,214.394333333,223.864
213.30,390.350666667,147.3685,356.579,268.421,323.684,246.491,137.719666667,363.158,430.701666667,243.859333333,282.8945
213.68,358.536666667,126.8295,351.2195,256.910333333,299.186666667,245.528333333,142.276333333,317.073,382.927,226.829333333,260.9755
214.06,321.986,109.5745,312.766,215.602666667,249.999833333,207.801333333,124.823,273.4045,324.822666667,203.546,221.2765
214.44,275.287333333,120.69,275.862,202.873333333,225.862,178.735666667,117.816,232.759,272.988333333,216.666333333,206.897
214.81,284.276666667,147.17,306.604,222.012666667,240.565833333,181.132,140.251333333,255.6605,287.421333333,255.345666667,216.981
215.19,243.888666667,140.0,269.1665,198.333333333,221.944666667,150.555666667,143.333666667,242.5,253.889,242.222,185.0
215.57,304.761666667,161.2245,342.857,244.217666667,270.068166667,171.428333333,214.285666667,304.0815,302.721,304.762,235.7145
215.95,436.274666667,201.4705,498.5295,336.274666667,356.372333333,240.196333333,322.549333333,425.0,403.921333333,421.569,327.941
216.32,525.0,214.2855,591.0715,411.904666667,411.3095,284.523666667,396.428333333,491.0715,469.047666667,480.952666667,378.5715
216.70,588.888666667,233.3335,639.5835,468.055666667,431.944333333,325.0,454.166333333,545.833,531.944333333,556.944333333,422.917
217.08,880.0,316.6665,990.0,742.222333333,672.222333333,513.333333333,762.222333333,790.0,784.444666667,846.667,653.3335
217.46,539.130666667,165.2175,626.0865,478.261,407.971,284.058,452.174,454.348,475.362333333,540.579666667,408.6955
217.83,546.377,171.7395,604.3475,501.449333333,397.101333333,294.203,462.318666667,473.913,484.058,573.913,445.652
218.21,-4916.66666667,-1025.0,-6225.0,-5050.0,-3533.33333333,-3133.33333333,-4866.66666667,-4350.0,-4416.66666667,-6033.33333333,-4475.0
218.59,-341.333333333,-46.0,-442.0,-350.666666667,-231.333333333,-236.0,-346.666666667,-306.0,-300.0,-394.666666667,-308.0
218.97,-244.444666667,-22.7275,-283.3335,-253.535333333,-146.969833333,-159.596,-208.080666667,-183.3335,-198.99,-264.646333333,-221.212
