wavelength,Back_TacCrif,Belly_TacCrif,Breast_TacCrif,Crissum_TacCrif,Crown_TacCrif,DorTail_TacCrif,Patch10_TacCrif,Rump_TacCrif,Throat_TacCrif,WingTip_TacCrif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,1600.0,1306.66666667,1053.33333333,1413.33333333,1346.66666667,1503.33333333,52.9166666667,1283.33333333,1620.0,1393.33333333
179.16,-503.333333333,-373.333333333,-487.142866667,-430.0,-256.666666667,-491.666666667,19.9999333333,-500.4762,-490.0,-436.666666667
179.54,333.333333333,271.666666667,317.7778,308.333333333,230.0,336.666666667,-75.5555333333,326.111133333,376.666666666,250.0
179.93,262.857133333,226.6666,236.381,261.904666667,224.762,260.952233333,36.8889333333,224.952466667,266.666666667,238.0952
180.31,590.1588,466.6668,456.903933333,539.365066667,456.507866667,493.650733333,41.9244666667,529.6252,549.841333333,549.841333333
180.69,605.796933333,489.2754,461.359133333,564.3478,475.941933333,518.6958,46.6038,552.477266667,579.1304,566.956466667
181.07,760.740866667,612.222333333,593.574133333,719.629733334,602.592666667,641.111133333,43.9358,713.315466667,728.8888,709.999933333
181.45,2286.66673333,1838.88886667,1733.88886667,2206.6666,1921.11113333,1893.3334,41.8253333333,2101.66673333,2227.77766667,2178.88893333
181.83,-6920.0,-5610.0,-5075.47853333,-6743.33333333,-5993.33333333,-5791.66666667,54.6535333333,-6263.13533333,-6526.66666667,-6823.33333333
182.21,1132.30786667,937.948866667,827.974933334,1103.07706667,999.487133335,944.102433333,57.6946,1015.7104,1069.23073333,1120.513
182.59,1008.44453333,820.4444,734.552733333,966.222133333,898.666733333,817.999966667,60.9116666667,883.988666667,956.444400001,977.777733332
182.97,1486.66666667,1174.66666667,1073.30233333,1416.66666667,1332.0,1201.66666667,57.2094666667,1283.73646667,1398.66666667,1419.33333333
183.35,3009.33333333,2364.0,2198.88713333,2834.66666667,2706.66666667,2480.0,55.0656,2610.84513333,2829.33333333,2833.33333333
183.73,7453.33333333,5836.66666667,5655.95626667,7036.66666667,6710.0,6393.33333333,53.9890666667,6508.57926666,7183.33333333,7040.0
184.11,5171.1112,4135.55566667,3846.68533333,4873.33346667,4728.8888,4363.33333333,56.3585333333,4405.2662,4962.222,4937.7778
184.49,1150.47626667,952.856999999,870.831266667,1081.4286,1071.9048,993.333266666,58.983,977.6594,1124.2856,1070.95226667
184.87,572.413866667,472.643733333,446.749666667,528.735733333,534.2528,493.2184,60.6558666667,483.178733333,548.5058,534.9424
185.25,454.7368,381.9298,350.7762,408.596533333,420.350933333,399.035133333,61.8687333333,375.940933333,424.736866667,424.912266667
185.63,329.2122,284.484733333,258.5938,296.000066667,304.2424,294.181866667,61.0024666667,275.558866667,307.515133333,306.4242
186.01,276.3638,241.8182,221.122266667,246.565666667,256.7676,242.272833333,60.0,234.696866667,267.272733333,257.878733333
186.39,336.266666667,296.266666667,269.974066667,300.933333334,312.533333333,291.4,67.4074666667,292.311133333,330.8,317.866666667
186.77,420.166666667,376.5,334.095266666,382.833333333,393.0,370.916666667,96.7620666666,376.857133333,411.666666667,403.5
187.15,547.816133334,521.609266667,428.620533333,505.517266667,513.3334,497.701133333,445.555466667,516.321866667,550.574733333,537.241533333
187.53,597.692266667,586.6666,500.256266667,566.410333333,565.641,542.948866667,-222.222266667,530.940066667,620.2564,598.717866667
187.91,734.6032,713.968333333,605.7044,703.8094,703.1746,680.635033333,-69.7916666667,664.067466667,772.698333333,740.634866666
188.29,536.888933333,528.000066667,457.416666667,523.333266667,520.444466667,516.999866667,-46.1111333333,495.9722,575.333266667,542.889
188.67,744.7618,729.8412,637.836533333,734.6032,721.269866667,723.333333333,-13.9093333333,689.382866667,788.5714,777.1428
189.05,-2006.66673333,-1955.23813333,-1673.4458,-2003.80953333,-1971.42846667,-1938.5714,-3.09093333333,-1870.97833333,-2136.1904,-2110.4762
189.43,-518.888933333,-509.1666,-445.277733333,-544.444466667,-511.111133333,-518.055566667,2.15693333333,-507.058733333,-577.2222,-569.444533333
189.81,-789.583333333,-759.583333333,-679.763466667,-832.5,-743.75,-782.708333334,5.37633333333,-758.690866667,-857.083333332,-866.666666666
190.19,-458.974266667,-445.384533333,-391.945733333,-489.999933333,-425.897466667,-456.7949,10.6286666667,-429.344933334,-495.384733333,-498.974266667
190.57,-601.9048,-581.587333333,-500.965333333,-629.841266667,-559.047733333,-602.698366667,12.3023333333,-552.587133333,-620.0,-639.364933333
190.95,-862.666666667,-827.111200001,-699.292933333,-891.111133333,-787.555466667,-874.888999999,10.9091333333,-781.158333333,-868.444466667,-895.111133333
191.33,4700.0,4400.00006667,3725.0106,4851.1112,4391.11106667,4762.22223333,10.3846666667,4272.98086667,4693.33326667,4860.00006666
191.71,1682.22226667,1619.25913333,1317.03346667,1728.88893333,1591.11106667,1737.7778,10.5366,1527.66026667,1665.926,1715.5556
