wavelength,Back_SicAurm,Belly_SicAurm,Breast_SicAurm,Crissum_SicAurm,Crown_SicAurm,DorTail_SicAurm,Rump_SicAurm,Throat_SicAurm,WingTip_SicAurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,21.6666666667,60.8333333333,75.0000000001,90.0,103.333333333,45.8333333333,77.5000000001,79.1666666667,66.6666666668
179.16,420.0,513.333333333,423.333333333,576.666666667,433.333333333,283.333333334,430.0,500.0,616.666666667
179.54,21.9047999999,-5.71426666666,-13.3332666667,-23.8094666667,-42.8571333333,-41.9048,-14.2856,17.1427333333,2.85713333333
179.93,133.333333333,-6.66666666654,146.666666667,26.6666666667,193.333333333,-86.6666666666,-226.666666667,120.0,106.666666667
180.31,54.4443999999,57.0370666667,44.4444,92.2222666667,39.2591999999,-38.8889333333,84.0741333334,107.407466667,95.9258666669
180.69,86.6667333333,106.9564,84.9274666667,133.0434,76.8116666668,15.0724666666,99.9998666667,131.014533333,122.608666667
181.07,127.179466667,104.102466667,80.5127999999,168.717933334,34.8718000001,-46.1538000001,95.8974000001,141.538466667,154.359
181.45,97.7778666667,75.5555333334,111.1112,25.1851333333,174.814733333,267.407466667,77.0370000001,14.0741333333,52.5926666667
181.83,43.3333999998,17.7776666667,29.4445333335,-32.7776666666,74.4442666666,136.666733333,2.77773333334,-27.2221333333,1.6668
182.21,91.9999999998,30.6666666666,-14.6666666666,-93.3333333333,118.666666667,368.0,-25.3333333334,-130.666666667,-99.9999999999
182.59,31.7947999999,95.3845999999,122.564,146.1538,29.2307999999,-46.6667333333,100.513,147.1796,131.795
182.97,93.3333333334,184.666666667,219.333333334,234.666666667,75.3333333333,-29.9999999999,190.666666667,225.333333333,188.0
183.35,130.666666667,222.666666667,256.0,267.333333333,96.6666666667,65.3333333333,227.333333333,288.0,197.333333333
183.73,99.1666666667,137.777733333,148.0556,174.722133333,85.8332666668,71.9443333334,147.222266667,160.277866667,140.277733333
184.11,101.626066667,116.5854,123.089466667,132.845533333,92.1949999999,86.6665333332,120.650533333,126.829333333,113.3334
184.49,125.6566,164.646466667,159.596,178.585866667,130.505,126.262666667,152.727266667,153.9394,139.595866667
184.87,111.9048,135.555666667,130.0,154.920733333,113.809533333,106.1904,140.793666667,136.190466667,117.460333333
185.25,111.836733333,146.3946,134.2858,151.5646,124.217733333,114.4218,147.483066667,135.646333333,125.578266667
185.63,105.974,116.3636,110.909066667,125.368066667,103.203533333,97.5756666667,118.528266667,109.783666667,108.225
186.01,95.9110666667,111.111133333,99.8220666667,120.355533333,97.8666666667,89.2445333333,109.244533333,99.6444666665,99.4666666669
186.39,106.372533333,122.353066667,109.2156,134.706,109.117666667,97.2549333333,114.3138,99.5098000001,102.1568
186.77,97.4012666667,108.926466667,92.6553333333,123.2768,105.649666667,80.5650000001,104.632733334,81.1299333334,88.2486666667
187.15,92.0754,106.666666667,78.7421333333,124.654066667,108.427666667,77.3585333332,101.761066667,70.0629333333,95.7232666666
187.53,104.761933333,119.3198,96.0543999999,135.6462,123.401333333,84.3538,118.7756,66.8027999999,114.149666667
187.91,90.4597333334,116.207,92.0689333334,123.333266667,120.919533333,91.4942666667,113.1036,65.6322000001,113.908
188.29,96.4848,122.545466667,98.9091333335,133.9392,124.363666667,88.8485333333,118.303,66.9091999999,122.060666667
188.67,96.6011333333,119.738533333,100.7844,130.3268,121.176466667,90.3268666666,121.176466667,64.3137333333,126.4052
189.05,90.3703999999,116.5926,94.0740666666,126.370266667,119.2592,88.8890000001,118.963,42.5186666666,128.000066667
189.43,82.1705333334,104.496066667,79.3798666667,115.193733333,104.1862,81.3953333333,98.6046,27.5969333333,115.348866667
189.81,83.4286666667,121.904666667,83.8094666667,129.714266667,125.7144,95.0475333334,114.0952,25.7142,122.666733333
190.19,77.9166666666,104.8612,79.3054666667,107.083466667,98.1945333332,86.1111333334,97.4999999999,32.0834666667,105.138933333
190.57,73.0054,92.1311333333,70.2732666667,94.7542666667,83.6065333333,84.0437333333,78.6885333334,47.7596666667,98.6884666667
