wavelength,Back_ThrBonf,Belly_ThrBonf,Breast_ThrBonf,Crissum_ThrBonf,Crown_ThrBonf,DorTail_ThrBonf,Patch10_ThrBonf,Patch11_ThrBonf,Rump_ThrBonf,Throat_ThrBonf,WingTip_ThrBonf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,81.3333333333,56.6666666667,-18.6666666667,39.3333333333,37.3333333333,7.8000000002,-5.3333333334,30.6666666667,30.2222222222,43.3333333333,34.2857142857
179.16,57.7777333333,40.1587,26.0318666667,32.3809333333,33.0159333333,21.0794166667,32.6985333333,37.7776666667,41.5872888889,51.9045666667,41.5645825397
179.54,10.4762,-1.90473333332,3.80973333334,-8.0952,20.9524,-22.7618566667,-4.28566666668,-10.4762,28.5713777777,19.5237666667,6.80273968254
179.93,91.2499999999,80.8333333333,63.3333333333,85.0,76.2500000001,70.6250000001,73.9583333333,60.4166666667,85.6944444445,80.2083333333,73.244047619
180.31,58.2558,61.8218666667,45.6202,59.5349666667,55.4652666667,46.68795,52.9457333333,42.7519333334,57.4806444445,62.7131666667,55.4734365079
180.69,56.6125333333,62.2161,45.8738,59.2973333333,53.8378,45.3820366667,50.6668333333,40.8648666667,54.2102888889,61.7658,53.0528190476
181.07,56.0000666667,63.3685,47.8595333333,60.3859,54.5614,47.1595766667,54.0000333333,42.772,55.1345777778,64.1227666667,54.4611746032
181.45,55.6020666667,65.4974666667,49.3891333333,63.1239,57.2425333333,49.7993566667,57.3647333333,45.5497333334,57.2193333333,65.6719333333,55.9910984127
181.83,56.2962,66.4140333333,49.9326,65.4714666667,56.9696666667,51.3754133333,59.2255666667,46.4645333333,57.4410666667,65.6229,57.5050507937
182.21,51.1658666666,63.7931,47.849,62.6764,54.5813333333,48.6897,57.5370666667,43.8750666667,54.2639111111,61.8554666667,54.8275428572
182.59,48.6870666667,61.4142,48.4847333333,60.3896,52.9871333333,48.1529666667,54.4732666667,43.1458,52.6599333333,58.8745333333,52.4090603175
182.97,50.5690666667,61.5446333333,50.5961333333,62.2628666667,56.3956666667,52.1909333333,57.5067666667,45.4470666667,54.8418444444,60.5284666667,55.3424269841
183.35,52.1985333334,62.7802333333,50.8936,63.3617,59.0921333334,55.41125,60.3831,48.9078,56.1229111111,62.0141666667,57.6204698413
183.73,52.9928666667,61.929,50.8370666667,61.1632,59.1205333333,55.40151,60.4539,51.0354,54.6383111111,60.6097666667,55.4156920635
184.11,50.4715333333,59.7561666667,48.2600666667,58.7317666667,57.1057333333,53.0243733333,57.7724666667,50.2439333333,52.7695333333,57.3008666667,52.319084127
