wavelength,Back_ConSpmf,Belly_ConSpmf,Breast_ConSpmf,Crissum_ConSpmf,Crown_ConSpmf,DorTail_ConSpmf,Rump_ConSpmf,Throat_ConSpmf,WingTip_ConSpmf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,45.7778,4.44446666666,43.111,51.5556,42.2223333333,35.1112,14.6665333333,24.4442666667,20.8887333333
179.16,109.523733333,85.7142666667,80.0000666667,103.809466667,96.1904666667,123.8096,82.8572,80.0,144.761866667
179.54,40.0000000001,-40.0000000001,-106.666666667,166.666666667,200.0,80.0000000001,-406.666666666,-266.666666666,-200.0
179.93,57.3333333334,28.6666666667,56.6666666666,18.6666666667,35.3333333334,47.3333333333,34.0,65.9999999999,40.6666666667
180.31,70.4118666667,41.7227333334,72.2098,68.6892,68.1648666667,74.3819333332,53.9325333333,58.427,44.7190666666
180.69,70.915,42.6798,72.0261999999,69.4770666666,69.1503333333,73.8562,56.8627333333,59.6731333334,51.111
181.07,84.8101333333,51.5611333333,82.7847333333,79.2404666667,80.1688,88.6919333335,69.0295333333,68.0169333333,61.5189333333
181.45,87.3417999999,56.0338666667,85.9915333333,83.2910666667,81.0126,85.6540000001,72.8271333333,69.367,61.6033333333
181.83,103.5616,66.9405333333,99.9085999999,94.6118666667,92.2374000001,100.639266667,91.1415333331,81.5525333333,71.1414
182.21,128.541466667,87.1874666667,121.2498,118.437266667,109.2708,125.729133333,112.812266667,93.9582666666,87.6040666667
182.59,137.179533333,91.1536666667,129.359,132.4358,122.435933333,141.794933333,125.2564,92.6924000001,85.2565333334
182.97,156.507933334,88.8887999999,146.190466667,151.9048,130.634933333,167.936666667,134.2856,92.0634666666,90.9524000001
183.35,236.944333333,124.1666,219.166666667,235.277866666,187.2222,236.111,195.2778,101.3888,105.277733333
183.73,287.555666667,84.4445333332,192.888866667,271.555533333,160.444466667,264.000066667,198.666733333,20.0000666666,68.8888666665
184.11,-320.9524,-75.2381333333,-212.857066667,-249.5238,-159.5238,-248.571466667,-223.333466667,9.04746666672,-65.7143999999
184.49,-187.2464,-28.4058000001,-111.5942,-130.144866667,-81.4494000001,-135.652133333,-112.753466667,26.9564000001,-24.3477333333
184.87,-130.000066667,-11.7778000001,-58.6668000001,-76.2221999999,-43.7776666667,-86.8889333333,-66.4445333333,41.3333999999,12.8888
185.25,-166.666733333,-29.8551333333,-89.5652666665,-106.087066667,-61.7390666667,-119.130466667,-96.2319333333,43.1883999999,18.2609333334
185.63,-107.5268,9.03213333332,-44.9462,-53.1182,-31.6128,-77.8495333333,-60.8601999999,51.6128666666,38.9246666666
186.01,-77.3333333332,17.5238,-31.0475333335,-37.3334,-7.04760000002,-51.2380666668,-35.0475333333,54.6668000001,41.7142666667
