wavelength,Back_MelMelm,Belly_MelMelm,Breast_MelMelm,Crissum_MelMelm,Crown_MelMelm,DorTail_MelMelm,Patch10_MelMelm,Patch11_MelMelm,Rump_MelMelm,Throat_MelMelm,WingTip_MelMelm
196.27,354.222133333,443.204969231,330.222266667,389.111133333,350.0001,358.8889,374.888966667,326.666666667,436.566676667,345.110966667,496.888866667
196.65,351.1112,416.649597436,313.7778,373.111066667,342.000033333,327.444233333,346.888933333,312.2222,428.144416667,326.1112,482.888866667
197.03,547.0,621.551282051,492.333333333,567.0,516.166666667,497.333333333,516.0,486.666666667,655.166666667,516.666666667,740.666666667
197.40,914.666666667,1078.64102564,797.333333333,933.999999999,835.000000001,843.333333333,842.333333333,779.333333334,1162.96666667,894.333333334,1290.66666667
197.78,-858.333333334,-1081.69871795,-783.333333333,-933.333333334,-776.25,-789.583333333,-887.083333333,-754.999999999,-1205.29166667,-894.583333333,-1390.83333333
198.16,-254.8484,-341.503471795,-251.212,-290.909066667,-238.333333333,-230.000033333,-273.7881,-243.636333333,-396.545456667,-300.757566667,-441.515
198.54,-140.196133333,-199.298707692,-145.6864,-171.7648,-136.274333333,-126.372533333,-162.3529,-153.3332,-249.72545,-189.902,-271.176466667
198.92,-112.4326,-171.427551282,-116.576666667,-140.000066667,-109.639733333,-82.6126,-143.243233333,-122.1622,-208.97291,-156.036033333,-218.1982
199.30,-75.2201333334,-107.474610256,-73.9623333333,-82.8931333334,-71.5093333334,-46.6668333333,-89.0566333333,-81.8867333333,-135.471773334,-89.2452666667,-136.603666667
199.68,-65.2688666665,-99.970974359,-64.1937333335,-71.3979333333,-66.5592333334,-43.0108333333,-70.8601,-66.8819333334,-115.139723333,-76.5592,-114.946266667
200.06,-38.75,-68.1346153847,-32.0833333334,-40.0,-36.3333333333,-20.75,-47.1666666667,-35.75,-74.9208333334,-44.9166666667,-70.25
200.44,-22.8235333333,-49.7768051282,-17.4117333333,-22.1960666667,-20.0392333333,-4.39196666666,-28.8627,-25.0982,-52.4509233334,-32.902,-49.4900666667
200.82,-8.06346666666,-36.8620461539,-9.26986666668,-12.6349333333,-7.39676666668,2.19043333333,-17.7143,-12.0000666667,-35.9110566667,-23.6191,-32.9523333333
201.19,-11.9858666667,-46.6339435897,-12.9788,-17.2340666667,-12.5531666666,2.34043333333,-20.5317666667,-18.7236,-42.6275933333,-23.8652333333,-34.3262666667
201.57,-8.22813333334,-38.6071,-13.093,-14.5346,-13.4533666667,1.83183333333,-15.2852333333,-17.057,-34.49851,-21.0209333333,-29.9098
201.95,-11.7646666667,-39.1813051282,-14.5658,-16.5266,-14.9859666667,-0.33616666666,-17.0309333333,-20.6722,-33.7422266667,-21.9607333333,-26.6668
202.33,-16.6666666667,-48.858974359,-19.9333333333,-24.0,-21.3333333333,-7.0,-24.4,-23.4,-41.8966666667,-29.5,-36.6
202.71,-24.5455333333,-63.0332871795,-28.4090666667,-28.7122,-31.8180666667,-9.43173333334,-34.3183,-31.0606,-49.95458,-32.8789333333,-45.4545333333
203.09,-16.0144666667,-53.8852076923,-19.5652666667,-22.8985333333,-26.9565333333,-6.66673333334,-27.0289666667,-27.174,-44.0218166667,-25.942,-44.4926666667
203.47,-25.4617333333,-69.6633435898,-29.1566,-33.6546,-33.3736,-19.5583,-38.5544,-35.261,-54.0682066667,-42.7711666667,-58.8756
203.85,-28.4847999999,-72.4376333333,-32.1213333333,-40.2598,-34.9782,-25.4545666667,-51.9048,-42.684,-62.3896233333,-52.9437333333,-63.6364
204.22,-58.6242666667,-104.277707692,-60.5291333333,-77.1427333333,-65.0794333333,-58.4656333333,-86.7726333333,-79.4710000001,-102.968336667,-91.7989666668,-105.0794
204.60,-70.5819333335,-116.988310256,-74.3914000001,-88.9946666667,-80.6878666667,-73.5450666667,-98.6773333333,-91.1112000001,-119.89417,-102.910033333,-116.190466667
204.98,-96.7856666668,-140.805841026,-90.7142666666,-103.571533333,-104.583233333,-99.7022666666,-128.035733333,-116.5476,-142.35127,-122.8571,-144.761933333
205.36,-141.4284,-187.124415385,-135.396733333,-150.317466667,-142.539666667,-153.492033333,-186.7461,-159.206466667,-204.523766667,-185.952333333,-215.237933333
205.74,-366.2964,-452.47875641,-342.222133333,-375.5556,-352.9629,-372.407466667,-458.703566667,-418.518466667,-506.685156667,-475.000133333,-542.592533333
206.12,-3746.66666667,-4380.64102564,-3573.33333334,-3546.66666667,-3525.0,-3628.33333333,-4343.33333333,-4190.0,-5004.16666667,-4721.66666667,-5350.0
