wavelength,Back_LoxViof,Belly_LoxViof,Breast_LoxViof,Crissum_LoxViof,Crown_LoxViof,DorTail_LoxViof,Patch10_LoxViof,Rump_LoxViof,Throat_LoxViof,WingTip_LoxViof
193.61,-547.179466667,-552.8205,-377.4358,-589.743666667,-407.692333333,-314.8718,-519.487266667,-354.358933333,-637.435866666,-405.640933333
193.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194.37,-374.761933334,-365.0001,-209.999933333,-424.761866667,-262.857266667,-241.4286,-340.9522,-216.666666667,-476.666733333,-285.714266667
194.75,-192.051266667,-189.871666667,-100.2564,-219.230666667,-123.077,-117.948666667,-172.051333333,-115.384666667,-241.0258,-129.743533333
195.13,-124.385933333,-133.684133333,-62.8069999999,-156.842066667,-79.6491333333,-82.2807999999,-116.3158,-72.1052666667,-158.772066667,-90.5263333333
195.51,-114.700866667,-134.4444,-59.6582,-156.923066667,-79.3162666665,-82.5642666667,-111.282133333,-57.7777333334,-156.752133333,-87.1794666667
195.89,-43.3938666667,-56.4242666667,-9.21193333334,-74.4243333332,-17.6968666667,-16.7272666667,-43.5152,3.87873333332,-69.8181333333,-20.2424
196.27,-34.2307999999,-55.7693666667,-4.74346666666,-65.6410000001,-13.077,-6.92306666665,-45.7691999999,14.8717333333,-60.2564666666,-12.3076
196.65,-2.50000000001,-16.125,18.0,-20.75,5.66666666666,14.0833333333,-17.5833333333,27.5833333333,-19.1666666667,10.25
197.03,11.0502,-6.71223333333,35.0684,-12.7853333334,9.86286666668,27.3058,-10.5936666667,35.7991333333,-10.685,14.703
197.40,4.77480000001,-8.55856666667,31.1710666667,-13.6937333333,2.61266666666,22.9730666667,-18.1081333333,28.6486666667,-12.4323333333,7.5676
197.78,14.5318,1.61043333333,32.06,-1.64786666666,9.21353333336,24.0447333333,-7.56560000001,34.2322,-1.87253333334,15.2808666667
198.16,20.3367333334,5.35343333333,36.9696,7.81146666666,18.788,29.8316,-2.62620000001,40.8754,8.48486666667,22.6935333333
198.54,10.7450666667,-10.9019666667,28.9412666667,-3.45086666666,8.70586666666,20.8626666667,-21.4116,36.3921333333,-2.35293333335,10.9806
198.92,19.9252,-1.23593333332,33.1836666667,4.26966666666,12.9588666667,25.3932666667,-12.8090666667,45.0188666667,5.76766666666,13.2585333333
199.30,30.2683333333,13.2566333333,40.5364,18.0078,19.157,33.4099333333,-3.14186666664,55.8620666667,18.8506,21.6093333333
199.68,33.0768666667,17.2221,45.8974,22.4786666666,22.1368,34.7862666666,-3.58973333334,58.8889333333,27.1794666667,23.7606666667
200.06,23.9393333334,2.57566666667,42.6262666667,12.0204,7.97966666668,22.4243333333,-15.6565333333,53.1313999999,21.2120666666,7.5758
200.44,19.403,-0.09966666666,40.4974,5.87073333335,4.17906666666,18.209,-10.1491333333,50.6467333334,19.801,6.16913333336
200.82,14.0350666667,-7.01766666667,42.6901333333,-1.2866,3.39186666668,17.193,-12.9823333333,54.5029333333,21.5206,4.67860000002
201.19,1.808,-18.4745,28.0226,-9.49139999998,-2.93786666666,7.00553333333,-22.8247333333,45.3108,16.4972666667,0.56493333332
201.57,12.6668,-14.7778666667,34.3334,1.44453333334,7.33346666667,20.6665333333,-11.6666666667,55.5556000001,24.4444,7.88893333334
201.95,14.8718666666,-30.1922666667,35.1283333333,-5.89753333324,5.3848,19.2307333333,-13.9744,63.2050666666,26.6666666667,4.35893333334
202.33,9.69693333326,-50.6818,22.5758,-24.3939999999,-18.0304666667,7.12119999998,-24.2424000001,49.8485333334,15.0000666666,-14.3940666667
202.71,12.7891333333,-25.5781666667,26.5306,-16.8708000001,-10.8842666667,16.8707333333,-12.9252,39.7278000001,23.8096,-7.21073333332
203.09,16.6667333333,-20.4165666666,27.6387999999,-17.7777333333,-6.25000000002,19.4444666667,-12.7778666667,36.8056000001,33.6110666667,-1.52780000001
203.47,17.7778666666,-11.0526000001,30.8771333333,-9.23973333332,3.50866666667,23.3917333333,-8.53806666667,33.8012000001,32.6314666667,5.14626666667
203.85,18.7255333334,-2.94126666667,27.1567333333,-5.19606666668,6.27459999999,21.1765333333,-3.82346666669,35.5883333334,29.3137333333,10.6861333333
204.22,20.8,4.93333333333,29.1554,-3.8222,9.68886666667,20.4444,0.53333333334,35.2888666667,29.2444666667,14.6667333333
204.60,27.3845333334,6.15389999999,29.7436,-7.6924,10.4614666667,19.2820000001,-3.17939999999,32.5128,31.3847333333,10.359
204.98,42.1468,13.7288,37.0622666667,0.67799999998,13.7853333333,21.8079999999,-1.01699999998,41.243,41.582,17.5142
205.36,50.7575333333,10.4546,38.3334000001,-1.6666,7.27259999994,15.0,-11.0606,49.2424000001,45.7577333334,15.1516
205.74,58.8506000001,2.29883333328,35.1724666665,-28.7356666669,-11.9540666666,-18.6206666666,-42.2989333335,51.7241333333,62.2988666667,2.75846666667
206.12,54.9205999999,-0.79376666674,24.4443333333,-55.5556666666,-43.1746000001,-35.8729333333,-93.0159333332,46.3493333334,68.5714666667,-29.5237333333
206.50,71.3333333333,-40.3333333333,-17.3333333333,-178.666666667,-130.0,-142.666666667,-257.333333333,71.3333333333,106.0,-96.6666666667
206.87,89.0909999999,-47.2725333333,-10.3029999999,-135.151533333,-123.0302,-136.9698,-196.3636,115.151466667,122.4244,-64.8486000001
207.25,24.4443333333,-107.036966667,-74.0741333334,-209.6296,-239.2592,-224.4444,-302.222133333,102.2222,76.2962666667,-140.7408
207.63,8.18836295884e+14,2.29018276506e+15,1.96179529223e+15,3.5824087945e+15,3.62505651824e+15,4.11977011367e+15,4.58036553011e+15,1.87649984474e+14,6.8236357992e+13,3.01092929633e+15
208.01,103.999999999,378.0,239.999999999,556.000000001,554.666666667,609.333333332,686.666666666,113.333333333,-41.3333333334,482.666666667
208.39,16.6666666666,183.333333333,128.666666667,250.666666667,238.666666667,291.333333333,337.333333333,83.3333333333,-63.3333333335,230.666666667
208.77,48.2052666668,163.589633333,131.282,186.666733333,216.923133333,259.487133334,312.3078,72.3077333333,-31.2820000002,227.6922
209.14,103.666666667,153.666666667,144.666666667,174.0,181.666666667,224.333333333,259.666666667,98.6666666667,25.3333333335,222.666666667
209.52,110.8772,160.350866667,155.7896,195.4386,199.999933333,237.193133333,280.701666667,120.3508,31.5790000001,255.4386
209.90,144.6154,210.769233333,200.0,273.8462,285.641066667,331.282,411.794866667,149.743466667,41.0255999998,370.256466667
210.28,150.2222,206.222266667,199.1112,269.777733333,268.0,332.0002,376.889,147.555533333,51.5555333333,341.777733333
210.66,143.75,183.125,178.75,240.833333333,233.75,321.25,347.916666667,127.916666667,31.25,330.416666667
211.03,85.2251333333,102.882933333,95.4954666667,119.459533333,106.486466667,165.5854,174.954933333,78.9188666665,36.2162666666,158.738666667
211.41,72.9252000001,91.7686333334,76.7345999999,99.728,86.5307333334,137.142866667,147.483,72.3808666665,38.5034,130.340066667
211.79,55.0876666666,74.2689666667,65.0294000001,79.4152000001,73.0994,106.783466667,120.818733334,58.1286666667,26.3158666667,102.105266667
212.17,51.8973333334,61.6410666667,60.1025333334,67.7948,65.4359333333,95.9998666666,109.7436,50.2563333333,26.0513333333,89.4359333333
212.55,56.2856666668,57.6666,59.2381333333,64.0952,66.0953333334,93.8096,103.904733333,49.3333333333,33.3332666667,85.0476
212.92,56.6292,54.2697333333,57.2284000001,60.3746,64.1947333333,84.5693999999,91.7603999999,52.2096,38.6516,74.2322666667
213.30,56.8626666667,55.3724333333,58.1176666666,60.7844000001,68.3922000001,88.4706,92.7059333334,53.0195333333,39.6079333333,72.9412
213.68,59.8692666667,52.3854666667,60.3921999999,58.5620666666,66.9281999999,85.9476666666,88.4313999999,54.5750666667,43.4640666667,69.6729333333
214.06,60.4761333333,51.756,62.0237999999,58.4523333333,63.2142666666,84.0478000002,82.5000666667,57.1428,46.9643333333,66.3096
214.44,59.6490666667,50.9356666667,63.2164,58.4210666666,62.5731333333,85.7309333333,82.2806666667,60.0584,51.228,67.4268666667
214.81,58.0666666667,48.2666666667,62.0666666667,56.4000000001,62.6666666667,87.0666666666,84.9333333334,60.8666666667,50.4666666667,65.0666666667
215.19,58.2796,47.8137,65.7347999999,60.6450666667,66.2365333333,88.6022000001,90.3942,63.6559333333,53.19,69.104
215.57,58.8552666667,49.2590333333,67.8114666666,63.5691333333,68.2155333334,90.5723333333,87.34,66.4647333333,57.7104,73.7374000001
215.95,62.9357333333,52.5077333333,65.4434666667,66.7889333333,67.9509333332,92.5380666667,87.9509999999,66.9725333333,61.2232666667,75.2293333333
216.32,63.3888,55.5834333333,67.4999333333,66.3333333334,67.0556000001,89.0,86.1111333333,66.7222,61.7779333333,76.3888666667
216.70,63.3334,55.0926666667,68.6419333333,65.3704,68.3950666667,90.9875999999,91.9136,68.2099333333,61.0494666667,80.6791333333
217.08,70.3252,58.5770666667,76.8292666667,71.6259333334,72.9268000001,105.0406,107.642333333,75.6098,67.8049333333,92.1137333333
217.46,68.9177333333,57.5756333334,81.6449333333,75.4977333333,71.8614666666,104.5022,112.121266667,76.5368666667,71.3419333334,99.2206666667
