wavelength,Back_IncPulf,Belly_IncPulf,Breast_IncPulf,Crissum_IncPulf,Crown_IncPulf,DorTail_IncPulf,Patch10_IncPulf,Patch11_IncPulf,Rump_IncPulf,Throat_IncPulf,WingTip_IncPulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-63.3333333333,-52.5,-28.3333333333,-15.0,-11.6666666666,-59.1666666666,-29.1666666667,-40.8333333333,-38.3333333333,-25.8333333333,-61.6666666667
179.16,-16.6665833333,-18.8889166667,-4.44441666667,-19.4445833333,7.22216666668,-22.7779166667,-4.44441666665,-6.11108333336,-4.44433333333,-3.33333333333,-23.8889166667
179.54,-20.8333333333,-18.7499166666,-23.611,-38.8888333333,-4.16675000001,-31.2501666667,-20.83325,-29.8610833333,-8.33341666667,-37.4999166666,-59.02775
179.93,-17.7083333333,-14.5833333334,-39.5833333334,-55.2083333332,-47.9166666667,-61.4583333333,-35.4166666667,-60.4166666668,-32.2916666667,-30.2083333333,-55.2083333334
180.31,-97.8395,-104.475333333,-98.4569166667,-98.6111666667,-97.3765000001,-150.463,-94.9074166667,-129.938333333,-101.54325,-80.7097500001,-150.61725
180.69,-133.506916667,-154.514,-143.229,-137.3265,-140.451333333,-203.472166667,-139.409666667,-177.256916666,-142.187416667,-118.923583333,-206.423583333
181.07,-193.75,-223.697916667,-217.708333333,-208.333333334,-218.75,-310.9375,-224.739583333,-268.229166667,-208.854166667,-173.4375,-316.927083334
181.45,-383.33325,-436.111166667,-447.685166666,-412.037,-448.148083333,-600.926,-454.166666667,-526.388916667,-421.75925,-362.963083333,-610.185083333
181.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.21,756.944333334,857.638916668,863.888833333,738.194583332,864.583333333,1045.83316667,876.388916666,963.888916666,814.583333333,706.944416667,1093.74991667
182.59,508.75,541.25,573.75,480.0,558.333333333,668.333333333,568.333333333,625.833333333,529.166666667,477.083333333,718.75
182.97,330.637333334,351.96075,373.03925,321.078416667,357.10775,414.46075,365.9315,398.28425,336.274583333,319.117583333,460.294
183.35,470.290083333,501.81175,539.1305,462.681166667,501.087,580.0725,539.49275,564.49275,454.34775,452.174,658.333416667
183.73,422.0,450.0,491.666666666,419.666666667,446.0,514.666666667,487.333333333,500.333333333,399.0,411.0,597.0
184.11,766.025666667,835.897416667,923.077,794.230833333,799.358916667,930.12825,910.256499999,891.025583334,712.8205,756.41025,1117.30775
184.49,1227.08333333,1353.125,1492.70833333,1225.0,1232.29166666,1427.08333334,1405.20833333,1378.125,1058.33333333,1156.25,1787.5
184.87,-3277.77775,-3475.0,-3891.66666667,-3152.77783333,-3094.4445,-3647.22216666,-3550.00008333,-3508.33333334,-2625.0,-2938.889,-4666.66683333
185.25,-1191.66666667,-1281.48141667,-1409.25916667,-1169.4445,-1126.85191667,-1273.14816667,-1223.148,-1265.74066666,-980.555416667,-1094.4445,-1658.3335
185.63,-10908.3333333,-11983.3333333,-12616.6666666,-10550.0,-10291.6666667,-11791.6666666,-10958.3333333,-11816.6666667,-9000.00000001,-10058.3333333,-15300.0
186.01,2228.33333334,2376.66666667,2500.0,2036.66666667,1990.0,2420.0,2168.33333333,2306.66666667,1798.33333334,1936.66666667,3021.66666667
186.39,793.452499999,841.0715,872.023833333,730.952333334,682.738083333,869.047583332,768.452166667,827.976083334,633.33325,675.59525,1070.23808333
186.77,457.666666667,493.666666667,498.333333334,415.666666666,396.0,497.666666667,440.0,467.666666667,367.333333333,373.333333333,600.333333333
187.15,298.98375,322.357666667,320.731666667,265.244,258.536583333,316.6665,279.471666667,300.812916666,248.373916667,246.544666667,379.878
187.53,221.774166667,236.559166667,240.591416666,197.177416667,194.354916667,231.720333334,204.704333333,224.1935,194.758,185.080583333,273.790416667
187.91,171.496166667,186.174083333,187.310583334,151.231166667,150.66275,175.378833333,162.689333334,173.295333333,150.7575,143.181666667,206.439416667
188.29,152.777833333,170.079416667,163.41275,133.492083333,137.6985,158.571416667,148.09525,153.491916667,138.333416666,127.539666667,185.15875
188.67,150.235916667,165.723416666,158.726333333,132.783166666,137.578583334,156.682416666,150.393083333,150.078416667,137.500083334,125.78625,179.638416667
189.05,138.402833334,153.333416667,147.361083334,126.527833333,130.833416667,147.777583333,142.222166667,143.958416667,131.527833334,120.83325,166.250083334
189.43,141.076666667,156.194666666,150.81125,125.663666667,132.522083333,150.589916667,146.976416667,148.23,133.185833333,121.755083333,165.486666667
189.81,146.893833333,164.242416667,159.46975,132.42425,139.5455,158.560583333,157.6515,153.863583334,140.37875,128.939333333,170.984833333
