wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
189.43,66.6668,67.1453333333,60.9230666667,55.3845333333,65.6067333333,56.4291555556,54.1538666667,53.0256,47.1111333333,62.3247333333
189.81,71.0160666667,72.0854666667,64.7772,60.1069333333,72.0141999999,61.3804851852,58.4313333333,59.2870666666,52.1568,66.2388
190.19,64.0741333333,68.1852000001,60.7777333334,57.8519333333,69.2961999999,56.5080962963,54.5185999999,56.1481333333,46.6297333333,62.2592666667
190.57,64.9895333333,72.998,62.2640666667,61.8449333333,72.8720666665,57.5168074074,56.1425333333,57.4423333333,45.6604666667,63.9831333333
190.95,63.3782666667,71.2161999999,60.2702,60.4954666667,70.5856000001,56.0960222222,52.072,53.2432,42.0720666667,61.3964
191.33,64.0322666666,74.6774000001,56.7740666667,59.7311333333,68.9247999999,53.207837037,49.8923999999,50.6452,36.8279999999,60.9677333333
191.71,59.6694666666,74.5454666665,53.9394,55.5922,64.4627333333,51.7202259259,48.8705333333,47.3828666667,31.9558000001,54.3800666667
192.09,48.3112,61.4222666667,43.0222666667,46.0444666667,52.4445333333,44.5135074074,39.5999333333,40.6666666667,28.1778666667,43.2888666666
192.47,50.9756,61.3414666667,44.6747333333,47.2358,51.748,47.2789,39.5934666667,41.2195333333,30.4064,44.187
192.85,49.5237333333,59.4444666667,39.3651333333,45.3968666666,48.2936,45.3660370371,37.738,38.9285333333,29.9206,41.5078666667
193.23,47.4028,58.0366666667,37.3824666667,46.0940666667,45.3170666667,41.8381777778,35.501,37.5458666667,28.2209333333,38.4868
193.61,45.7142,58.0951999999,33.5600666667,45.8957333333,42.5849333333,39.6473333333,32.8798666667,36.5987333334,26.576,38.4579333333
193.99,43.8570666667,60.5237333333,32.8094666667,45.5714,41.4761333333,36.7486222222,28.6189333333,35.1904000001,23.4286666667,38.2857333333
194.37,45.0980666667,60.0981333333,29.5587333333,40.9314,38.9216,36.037662963,26.5686666667,35.1471999999,21.8137333333,36.5684666667
194.75,42.2548666667,54.4606666667,26.1765333333,33.4802666667,34.0685333333,33.4014185185,24.0194666667,31.1274,17.1569333333,30.5882666667
195.13,40.1789333333,54.6308000001,24.653,31.0962666666,34.8546,34.1412111111,24.8769333333,31.0512666666,18.5235333333,26.4876
195.51,44.5334,59.1617333334,34.4762,36.6858666667,41.2190666667,41.5575222222,32.6856666667,39.5046666666,28.3428666667,32.3428
195.89,54.5693333333,65.3931333334,42.9213333333,44.1573333333,48.5392666667,49.3902037037,41.3107333333,47.2660666667,37.3782666667,40.7489333334
196.27,60.0919333334,74.0690000001,46.2069333333,46.1148,52.6435333333,50.7331148148,43.5862666667,50.1150000001,40.8277333333,43.1723333333
196.65,68.0,85.9486666666,53.6410666667,51.3847333333,58.5128666667,56.4017666666,49.1794666667,56.6153999999,48.4101999999,49.2820666667
197.03,70.1312666667,90.3936666666,58.1102666667,55.1706,62.9921999999,60.5716444444,50.9711999999,60.3675333333,53.6484000001,52.2833333333
197.40,69.7710000001,93.3843333335,61.7811333333,53.4350666667,65.8523333333,64.0740814815,53.0280666666,62.9516000001,56.2339999999,53.6388666667
197.78,71.0275333334,97.0427333331,64.9624,52.2808,69.2229999999,64.7117222222,52.8822,64.6617333333,58.7467999999,53.6841333334
198.16,66.7684666667,88.6004666667,60.1018,44.4784,61.9846666667,60.3816740741,48.8040666666,59.4402666666,54.8599333333,45.9034666667
198.54,69.1794666667,91.1281999999,63.1281333333,48.5129333333,64.6154666667,61.8889592593,49.5383999999,59.0769333334,58.7693333334,46.9742666667
198.92,78.5129333334,102.6666,72.9232000001,60.4615333333,73.8976000001,72.3790703703,56.4103333333,71.0254666667,71.3846666667,57.1794666667
199.30,85.3332666667,112.985466667,80.5797333333,64.2318666667,78.6667333335,78.4122259259,62.6087333333,75.8839333334,78.9563333333,60.4636666667
199.68,89.5833333335,123.889,82.9861333333,64.5138666667,82.7778000001,82.122,66.4584666667,76.9444,85.5556,59.3054666666
200.06,81.07,125.596733333,78.2717333333,55.3086,78.4361333333,77.4849888889,52.0164,64.609,79.0124000001,41.8930666666
200.44,78.5508000001,113.478333333,75.8694666667,53.7682000001,74.0581333333,76.7832518518,56.0871333333,62.319,70.4347333332,42.8986
200.82,72.0700666667,108.6316,71.9297333332,48.421,74.1053333334,72.1560444445,54.8069333333,57.9647999999,65.9648666667,38.6667333333
201.19,80.6129999999,117.931,80.1532000001,45.6704666667,79.2337333333,76.8157259259,60.7662666667,64.2145333333,68.8888666667,39.9235333333
201.57,74.7618666666,110.555466667,68.9682000001,38.2538,71.4284666666,68.1393370371,52.0635333333,54.7618666667,59.0475333335,29.6031333333
201.95,70.5983333333,105.982866667,58.9744666667,35.1284,67.1796000001,64.4444148149,45.1282,45.9828,54.7862666667,20.4274
202.33,69.3876666667,104.557866667,65.9863333333,44.0135333333,71.9728000001,69.8299259259,51.6327333333,55.1018666667,59.7958666666,34.2856
202.71,67.8678,101.261133333,66.7267333333,46.1862666667,70.9909333333,72.7293962962,53.8138,57.8379333333,62.6425999999,39.3392666666
203.09,60.6790666667,96.9135333333,60.6789999999,36.5432666667,62.5308666667,64.6638222222,47.2223333333,47.6542666667,58.7654,32.963
203.47,60.6956666666,94.0289333333,63.1303999999,38.3768,62.2610000001,66.4251481481,46.7245333333,51.4202,64.8695333334,38.4346666667
203.85,58.9790666667,90.0901333333,61.1412666666,36.9368,58.3182666667,64.9381962963,41.6816666667,51.1110666666,65.8257999999,38.0780666667
204.22,60.1503999999,87.7191999999,64.5112,42.1554666667,60.2504666667,66.959037037,47.1177333333,58.5464,69.3232666666,45.7142666667
204.60,62.7513333333,95.8731333334,69.0475999999,47.0900666667,66.9840666666,72.7278259259,49.1534666667,63.9683333333,77.3543999999,48.2010666667
204.98,58.8557333334,87.8109333333,62.9352666666,43.2338666667,59.4529333334,68.7867037037,44.0299333333,59.4528,72.8856000001,44.0298666667
205.36,55.6741333333,86.8703333333,59.3893333333,43.7659333333,56.0305333333,69.0613629629,40.9669333333,59.1348666667,73.0788666666,42.2901333333
205.74,62.1506000001,93.5486666667,65.1074666667,50.1074666667,59.4624,77.1056629629,45.5914,65.8064,82.4730666667,48.5484
206.12,62.6997333333,97.0799999999,68.5949333334,50.4132666667,58.6776000001,81.4785333333,48.7602666667,69.5316,86.1156,50.6886666667
206.50,62.3763333333,99.208,67.3267999999,44.9504,53.9274000001,84.2610592593,44.5544666667,67.0627333333,91.023,44.4224666667
206.87,65.2778666667,113.611066667,72.0370666666,41.5741333334,56.3888666668,96.2035888889,43.4260000001,73.7038666665,105.926,39.7222666667
207.25,62.1538666665,113.435866667,71.6924,41.5383333334,61.6410000001,99.538522222,40.5128666666,75.2820000001,110.564066667,33.6409333334
207.63,69.9348000001,134.117666667,74.2483999999,43.0064666667,71.634,109.1068,38.1698666666,85.8823333334,124.836533333,29.2811333334
208.01,70.5882666665,134.509866667,79.8691999999,48.1045999999,78.6927999999,108.591074074,37.1241333334,87.3202666667,124.705933333,23.2678666667
208.39,89.8039333334,183.3332,94.9019333333,66.4705333333,100.784266667,136.318162963,34.5098666667,112.745133333,158.627533333,20.9804666667
208.77,85.625,194.791666667,100.208333333,75.0,100.208333333,138.460648148,34.7916666665,118.958333333,173.125,23.3333333334
209.14,198.9744,491.794866667,255.384533333,227.6922,257.948733333,339.743525926,101.025666667,345.1282,429.230666667,65.641
209.52,2540.0,6453.33333334,3526.66666667,2913.33333333,3353.33333333,4268.88888889,1306.66666666,4273.33333333,5693.33333333,640.0
209.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.28,1643.33333333,3743.33333333,2350.0,1966.66666667,2193.33333333,2376.2962963,996.666666666,2533.33333333,3240.0,516.666666666
210.66,2216.66666667,4286.66666667,2780.0,2566.66666667,2640.0,2810.92592593,1483.33333333,3013.33333333,3733.33333333,1003.33333333
211.03,5206.66666667,9173.33333335,6406.66666667,5926.66666667,5833.33333334,6489.25925927,3413.33333333,6613.33333333,8006.66666668,2566.66666667
211.41,1308.33333333,2160.0,1581.66666667,1485.0,1415.0,1566.38888889,808.333333334,1671.66666667,1963.33333333,668.333333332
211.79,1076.0,1726.66666667,1288.0,1292.0,1118.66666667,1270.74074074,697.333333333,1376.0,1589.33333333,558.666666666
212.17,1240.0,2153.33333333,1485.0,1535.0,1231.66666667,1566.48148148,738.333333333,1598.33333334,1820.0,691.666666667
212.55,2.3498895783e+15,4.37992122851e+15,2.8829861251e+15,2.69533614062e+15,2.26459413081e+15,3.16919973778e+15,8.52954474881e+14,2.98534066208e+15,3.80844173034e+15,9.04131743375e+14
212.92,-465.833333334,-822.5,-507.499999999,-508.333333334,-433.333333334,-615.416666665,-117.5,-551.666666666,-704.166666667,-172.5
213.30,-192.5,-333.333333333,-186.666666666,-186.666666667,-139.583333333,-247.893518519,13.7499999999,-180.0,-282.5,-22.4999999999
213.68,-71.7460666664,-167.9366,-67.619,-70.1586666666,-40.9524000002,-119.700011111,86.6668000001,-71.111,-139.365066667,39.3651333333
214.06,2.963,-44.2593333332,14.4444666667,3.7036666666,22.2223333332,-33.9198148147,87.9628666666,0.74073333334,-31.6666000001,59.2593333334
214.44,36.9491333333,11.6384,50.5085333333,35.3671333334,49.7175999999,12.1092777778,94.6892666666,38.8700666667,17.8530666667,69.6045333334
214.81,48.5844,30.5938,67.4886666667,49.041,62.8311333334,28.4474703703,100.000066667,52.7854666667,37.0776,81.0960000001
215.19,53.5,38.5,70.5833333334,51.75,67.5000000001,36.9166666667,99.8333333333,53.25,39.1666666666,81.1666666667
215.57,51.0853333333,31.8604,68.4495333333,48.8373333333,64.6511333334,30.7492333333,94.2636666667,48.1395333334,32.7131333333,75.9690666667
215.95,54.8148666667,34.0741333333,72.4279999999,56.2139333334,66.9958666667,30.2606481481,101.399133333,53.4157333333,33.5802666667,79.5884666668
216.32,45.1164666667,29.5348666667,63.3333333333,48.0620666667,53.4884,22.6830444444,88.2946,43.5658666667,24.0309333333,70.3100666667
216.70,37.5824,20.3663333333,52.2343999999,37.729,44.6153333333,16.4346407407,74.4322000001,34.7252,14.066,60.1465333333
217.08,46.1059333333,36.8847333333,57.5701333333,50.3426000001,54.5794666667,31.5195925926,79.5014666667,43.6138,26.729,66.6045333333
217.46,49.7246666667,39.1438666667,57.4310666667,55.9021333334,55.6576,34.0298296296,80.3670666667,43.425,27.2172,68.2570666667
217.83,43.4323333334,31.7492666667,52.5412666667,51.9471999999,49.5709333333,24.9211814815,77.0957333333,37.2937333333,20.5280666666,62.7062666667
