wavelength,Back_PhrAlaf,Belly_PhrAlaf,Breast_PhrAlaf,Crissum_PhrAlaf,Crown_PhrAlaf,DorTail_PhrAlaf,Patch10_PhrAlaf,Rump_PhrAlaf,Throat_PhrAlaf,WingTip_PhrAlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,113.333333333,128.888888889,202.222222222,144.444444444,142.222222222,188.888888889,168.888888889,217.777777778,286.666666667,184.444444444
179.16,174.073888889,62.9628888888,218.518555555,229.629555556,200.0,200.0,225.925777778,277.777666667,359.259333333,233.333444445
179.54,144.444444444,49.9999999999,152.777777778,97.2222222221,75.0000000001,113.888888889,88.8888888889,183.333333333,177.777777778,136.111111111
179.93,-147.222222222,-97.2222222222,-66.6666666667,-113.888888889,-100.0,-47.2222222222,-36.1111111111,-208.333333333,-205.555555556,-69.4444444444
180.31,516.666777778,272.222111111,534.127111111,554.761777778,397.619,473.016,400.793666667,635.714333334,781.746111111,425.396666667
180.69,771.111111111,354.444444445,796.666666667,838.888888889,573.333333333,684.444444445,550.0,948.88888889,1164.44444444,596.666666666
181.07,602.381,276.984222222,598.412777778,640.476111111,449.206333333,523.809555556,421.428444445,684.920777779,854.761777777,409.523777778
181.45,-7577.77777778,-3033.33333333,-7966.66666667,-7811.11111111,-5488.88888889,-6511.11111111,-4655.55555556,-8755.55555554,-11255.5555555,-4433.33333333
181.83,-350.877111111,-118.128666667,-381.286444444,-388.304,-246.783555555,-314.619888889,-197.076,-432.163666667,-566.666666667,-187.134555556
182.21,-235.897444445,-60.2564444445,-272.649555556,-265.384777778,-150.854666667,-207.692333333,-120.512888889,-276.923111111,-382.906,-104.700777778
182.59,-87.7551111112,-1.13366666667,-115.192555555,-103.628222222,-46.4852222222,-78.9114444445,-24.9432222222,-107.483,-160.090777778,-22.2221111111
182.97,-60.3173333333,9.171,-85.185111111,-70.3703333333,-30.8642222222,-55.5554444445,-10.4055555556,-74.6031111111,-108.289111111,-5.99677777777
183.35,-57.9631111111,11.852,-93.5183333333,-66.2963333333,-28.3335555555,-57.7777777778,-11.2962222222,-78.3334444444,-104.629666667,-3.88900000003
183.73,-45.5744444444,31.45,-73.823,-32.2034444445,-5.27311111113,-33.3334444444,9.22800000003,-59.6986666668,-81.7323333333,24.1056666667
184.11,-30.986,33.1768888889,-56.8074444444,-14.5537777778,8.60722222222,-19.0923333333,10.9547777778,-40.5321111112,-60.2503333333,30.6730000001
184.49,-38.5885555556,19.8197777778,-56.9067777778,-14.5645555556,1.35133333331,-21.7717777778,-0.300222222222,-41.7417777779,-58.7086666668,25.976
184.87,-45.216,10.0308888889,-61.2654444444,-8.95055555553,-2.31488888889,-25.926,-9.56800000002,-38.7346666666,-60.1851111111,25.463
185.25,-29.451,17.5367777778,-46.1847777778,7.49666666667,12.1821111111,-10.9772222222,-2.94522222223,-23.0254444445,-35.7431111111,29.0494444445
185.63,-61.8517777778,4.074,-78.3333333333,-14.4444444445,5.55555555557,-37.7778888889,-29.6296666667,-43.3333333335,-63.1481111111,18.5185555555
186.01,-67.9013333333,15.4321111111,-76.1315555555,2.88055555556,22.6337777778,-30.6584444444,-24.074,-26.7488888889,-55.5554444446,24.8969999999
186.39,-90.5147777778,26.5583333333,-97.0188888889,16.8022222222,38.2114444444,-49.0514444444,-34.4173333333,-31.9784444443,-70.1897777778,26.2873333332
186.77,-123.611111111,29.861111111,-129.513888889,29.5138888889,45.8333333333,-87.1527777778,-46.1805555556,-47.5694444444,-82.2916666665,20.138888889
187.15,-156.944666667,61.111111111,-152.314777778,75.9258888889,89.351888889,-115.277777778,-47.6851111112,-45.8333333332,-88.425888889,27.7777777779
187.53,-87.7776666668,95.9258888888,-87.7777777778,96.2962222221,111.481555555,-56.6666666666,-8.889,0.370333333333,-41.1109999999,61.8519999999
187.91,-42.8241111111,70.3703333333,-45.8333333333,55.324,83.3335555556,-29.8611111111,-4.16666666667,9.7222222222,-18.9814444443,33.564888889
188.29,-1.91588888887,94.0613333332,-7.088,86.9733333335,104.023111111,0.766222222233,29.8851111111,37.5478888889,22.9884444445,61.3026666665
188.67,26.3071111111,105.882333333,18.9541111111,98.6927777779,112.745222222,18.7908888889,49.8366666667,52.2876666667,40.1959999999,75.1633333333
189.05,46.7743333333,128.136222222,39.785,122.939,144.086,27.5986666667,65.9497777778,66.6667777778,56.9893333332,87.2757777777
189.43,56.3974444444,129.797888889,55.8923333333,122.727222222,144.276111111,34.3434444444,78.9564444443,72.0541111111,62.1213333335,87.5421111112
189.81,58.0103333333,114.858,61.6278888889,109.043888889,127.002555556,42.8941111111,77.1316666666,67.7002222222,62.919888889,78.9405555554
190.19,49.3331111111,113.925888889,50.8147777778,108.296333334,125.333444444,34.6666666667,65.3333333335,64.1481111111,55.8517777779,76.1482222221
190.57,37.0833333333,98.4722222222,39.3055555556,101.25,111.388888889,25.9722222222,54.4444444446,56.9444444444,45.2777777778,67.2222222221
190.95,30.159,102.698444444,37.9363333333,107.301666666,124.444444444,23.9683333333,49.6824444443,64.127,39.6825555556,76.9840000001
191.33,27.9166666667,88.3333333333,37.5,90.9722222222,105.277777778,22.5,45.8333333334,63.0555555556,33.1944444444,67.2222222223
191.71,26.2173333333,74.0324444444,35.3306666667,84.8938888889,93.508111111,18.9762222222,47.6904444445,60.9238888889,35.8302222222,55.9298888889
192.09,33.8624444445,78.5714444443,37.8308888889,98.8096666667,98.6772222222,19.9734444444,52.6456666665,66.6667777778,44.8413333334,66.7988888888
192.47,31.0344444444,71.392,35.6321111111,91.3156666667,87.8671111111,18.391,49.2976666667,62.1965555556,45.083,60.7917777778
192.85,22.5885555556,67.2772222222,31.6238888889,88.0342222221,78.8766666667,16.1173333333,45.6654444445,60.8058888889,45.6655555556,57.6313333333
193.23,29.2928888889,71.7173333333,34.0067777778,89.6743333332,77.4412222222,24.13,49.8317777778,67.9013333333,52.7497777778,62.7386666667
193.61,35.0761111111,77.0153333333,39.8691111111,97.4945555554,79.5208888889,29.1936666667,51.1982222222,74.9455555556,61.0021111111,68.4094444444
193.99,31.6717777778,72.8972222222,40.9138888889,101.973111111,77.5702222222,30.4256666667,49.9481111111,76.2202222222,64.485888889,70.1972222222
194.37,39.4735555555,75.4385555555,53.996,107.699666667,83.3334444444,35.4775555556,60.4288888889,80.7017777778,76.0234444445,79.4347777777
194.75,49.5496666667,82.5826666667,65.4654444445,111.311333333,89.2892222221,40.941,65.965888889,88.1882222222,85.6855555554,85.3854444445
195.13,48.6112222222,80.5555555556,63.8888888889,107.142888889,84.3252222223,38.4921111111,63.4921111111,85.7143333333,81.4483333335,77.4803333334
195.51,51.1347777778,88.8888888889,74.313,127.479111111,99.163888889,44.086,73.2378888888,96.5353333333,97.3714444443,83.6318888889
195.89,52.06,92.7591111111,79.0262222222,132.334444444,104.369666666,50.1873333333,75.9052222221,99.3757777779,101.373333333,84.1447777778
196.27,46.7432222222,81.8646666667,75.862,131.673111111,101.788,44.3165555556,68.4546666668,97.3181111111,93.4864444446,73.3076666666
196.65,44.5833333333,81.1111111111,80.9722222222,140.972222222,106.527777778,45.9722222222,71.388888889,104.583333333,93.8888888889,69.7222222222
197.03,64.6951111111,99.6416666669,101.433666666,173.655888889,141.935666667,56.81,85.662888889,136.917666667,114.157666667,77.4193333334
197.40,64.6295555555,90.5556666667,95.3702222222,171.852,142.592444445,52.9628888889,84.6294444444,130.0,112.407444444,67.5924444444
197.78,60.889,78.5185555556,79.8517777778,145.037,129.629555556,53.037,78.0741111113,110.518555556,91.8517777779,62.2222222222
198.16,82.1839999999,92.911888889,93.8696666667,176.819888889,163.793111111,59.0037777778,91.3792222221,130.651333333,109.961777778,73.1800000001
198.54,91.6665555555,94.213,92.824111111,198.611222222,184.953555556,49.5371111111,86.5741111111,131.25,111.342555555,63.4258888889
198.92,77.4647777779,74.9608888889,74.9608888889,148.513444445,143.348888889,47.1047777778,69.0141111113,99.5304444445,92.1753333332,56.6508888889
199.30,82.9725555556,68.8312222222,74.7474444444,144.588888889,139.971111111,48.7735555556,66.811,92.4963333332,94.0834444443,57.8642222222
199.68,82.0833333333,61.6666666667,63.6111111111,134.583333334,129.027777778,40.1388888889,55.4166666665,86.388888889,84.4444444443,59.3055555555
200.06,92.8316666665,63.0824444443,70.7883333333,160.035777778,150.179222222,32.9748888889,52.5092222223,94.6235555557,92.2937777777,66.8457777778
200.44,94.8412222222,68.6508888888,75.992,170.833222222,162.698333334,38.0953333333,64.484111111,99.8016666667,108.928555555,69.643
200.82,101.767555556,64.3938888889,70.9594444444,180.050555555,190.403888889,24.7475555555,59.8485555557,102.020222222,115.908888889,64.8988888889
201.19,78.4444444444,43.7777777778,51.3333333334,148.0,154.666666666,11.7777777778,44.2222222223,73.7777777779,85.5555555554,48.2222222222
201.57,76.4444444444,37.1111111111,52.2222222222,139.333333333,146.222222222,6.66666666667,35.111111111,68.8888888889,79.3333333333,46.2222222222
201.95,88.0660000001,9.05355555556,60.0823333335,200.411555556,202.057666667,-28.3950000001,10.6996666666,77.3663333332,102.469111111,18.93
