wavelength,Back_TanDowm,Belly_TanDowm,Breast_TanDowm,Crissum_TanDowm,Crown_TanDowm,DorTail_TanDowm,Patch10_TanDowm,Patch11_TanDowm,Patch12_TanDowm,Rump_TanDowm,Throat_TanDowm,WingTip_TanDowm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-11.6666666666,-1.66666666665,11.6666666667,-1.6666666667,-38.3333333333,26.6666666666,23.3333333333,1.66666666665,43.3333333333,-46.6666666667,56.6666666665,-53.3333333333
179.16,19.4445,136.111,69.4443333333,0.000333333333335,102.777833333,30.5556666666,13.8891666667,80.5554999999,13.889,36.1111666667,5.55583333335,52.7778333332
179.54,48.8095,38.0951666667,42.857,29.762,21.4286666666,51.1903333333,38.0953333333,14.2858333333,42.857,19.0475,64.2856666667,32.143
179.93,112.820333333,116.666666667,105.128166667,98.7178333331,67.9486666665,107.692333334,120.512833333,115.384666666,103.846166666,92.3078333334,114.102833333,107.692333333
180.31,111.702333334,136.879333333,95.0356666669,73.0496666666,39.7163333333,133.333333334,178.368833333,145.0355,108.510666667,87.5888333332,140.780166667,92.5529999998
180.69,132.993166667,140.476166667,95.9183333335,90.136,48.6393333333,150.6805,196.5985,165.986333333,125.850333334,98.2991666666,151.020333333,107.823166667
181.07,142.177,157.823,103.401333333,105.442,77.2108333331,155.101833333,210.204333334,178.9115,137.415,120.748333333,154.081833333,134.0135
181.45,116.666666666,143.287,104.166666667,89.8146666667,75.926,140.509166667,170.833333333,158.3335,115.740833334,114.814666667,120.833333333,123.148166667
181.83,144.915166667,182.768166667,123.163833333,112.147,91.808,172.881333334,217.514166666,203.6725,150.565,151.13,147.175,153.389833334
182.21,165.811833333,230.342,145.7265,146.153833333,107.692166667,223.077166667,291.025666667,276.068166667,179.914833333,200.427333333,165.812,185.47
182.59,173.873833333,245.946,168.4685,168.4685,109.91,250.901,315.315333334,320.270333333,201.351166666,219.819833334,174.774666666,196.3965
