wavelength,Back_ComBaem,Belly_ComBaem,Breast_ComBaem,Crissum_ComBaem,Crown_ComBaem,DorTail_ComBaem,Rump_ComBaem,Throat_ComBaem,WingTip_ComBaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,158.333333333,170.833333333,-300.0,-158.333333333,110.416666667,-54.1666666667,-25.0,-58.3333333332,-50.0
179.16,114.285833333,140.406272059,129.166666667,122.619,122.916625,88.6902916667,110.714333333,102.381,92.8571666668
179.54,48.7178333332,74.5663137255,50.0002083333,63.4615,49.3588541667,81.0899166667,62.1795833333,61.5385833333,59.6155
179.93,-13.3333333333,-14.7058823529,-56.6666666667,-5.0,-20.8333333334,82.5,-51.6666666667,-20.0000000001,103.333333333
180.31,-0.2035,-18.5556372549,-9.24795833335,-4.065,-16.3111041667,37.0935,8.13,17.2765,35.1626666667
180.69,4.73491666665,-13.4970392157,1.79920833343,-0.378833333342,-6.58160416667,46.1175416667,11.9318333333,25.568,40.1514166667
181.07,12.6811666667,-10.3475882353,-7.24625,-3.26091666667,-5.16306249999,50.8150833333,19.7462500001,26.26825,45.2896666667
181.45,26.9344166667,14.5177083333,11.9049166666,16.2201666667,8.40779166667,55.0594583333,29.76175,37.0534166667,52.0835
181.83,20.8333333333,5.0392156863,8.41666666675,1.99999999999,-2.04166666667,52.5833333333,19.3333333334,39.8333333334,56.6666666667
182.21,6.30075,-20.9169142157,-6.5040833334,-25.2033333333,-26.117875,28.150375,3.65841666667,33.3334166667,35.7721666667
182.59,-27.97625,-67.4896397059,-48.2142916667,-84.2260833334,-78.1994791667,-7.58933333332,-46.4284166667,-20.5356666667,3.86908333333
182.97,-73.5295,-104.959617647,-59.3138333334,-145.58825,-157.965645833,-14.9510833333,-94.6079166668,-21.5687499999,-21.5685833333
183.35,-40.8601666667,-47.3196495098,-30.5109166666,-91.3978333332,-75.8735208333,1.47841666668,-55.3762500001,-4.03233333333,6.9895
183.73,-20.71425,-35.3571544118,-19.9999166667,-67.8571666667,-59.5239166667,-1.07133333332,-47.1430000001,1.19066666665,25.47625
184.11,-29.1666666666,-32.1656544118,-16.0538333334,-67.8922500001,-57.1078541668,-6.12725,-42.4020000001,-0.244999999925,31.8626666667
184.49,-38.4260833333,-40.0326078431,-5.5556250001,-72.4538333333,-63.7152291666,-9.49066666668,-47.6851666667,-8.5647499999,16.898
184.87,-108.33325,-117.250034314,-77.1825416668,-184.523916666,-168.749875,-78.96825,-148.01575,-69.4444166668,-9.92041666657
185.25,-221.153666667,-235.030203432,-174.999916667,-365.384666667,-300.000041667,-197.756458333,-328.20525,-183.9745,-65.3845833334
185.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.01,350.5555,379.248414216,268.61125,496.111083333,384.166541666,300.0,425.5555,342.22225,238.33325
186.39,550.000000001,508.061161765,370.370416667,733.333416666,533.796354167,428.240833333,624.999833333,531.4815,339.814916667
186.77,353.889,295.88239951,240.277708333,463.333416666,323.7500625,279.166666667,400.000083334,297.777833333,225.0
187.15,2458.33333333,2178.30882353,1835.41666667,3366.66666666,2019.79166667,2022.91666667,2850.0,2100.0,1587.5
187.53,523.484833333,506.862735294,408.333416667,695.454583333,460.984958333,451.136375,658.3335,490.1515,378.030166667
187.91,502.500000001,451.421568627,349.166666667,694.166666667,442.5,361.666666667,619.166666667,454.166666667,336.666666667
188.29,223.666666666,186.254901961,162.5,305.333333333,202.75,159.166666667,285.0,196.0,156.0
188.67,135.20425,117.852053922,110.969416667,180.782333333,123.341770833,92.857,172.619083333,123.469333334,105.442416667
189.05,160.000166667,134.201713235,119.523833333,217.85725,143.452375,85.238125,197.380916667,144.999833333,122.142833333
189.43,154.504416667,118.316098039,98.085625,209.009083333,139.808354167,63.1755833333,180.180166667,121.621666667,120.495416667
189.81,153.921583333,107.886404412,91.6665833333,213.4805,138.541729167,51.1029583333,183.08825,118.137083334,111.029416666
190.19,111.49425,76.9100588234,72.5575416667,191.379166666,101.939791667,6.17829166667,172.413833333,89.0804999999,69.2529166667
190.57,64.7434999999,58.4589436273,49.7863749999,148.076916667,77.0833125,0.534333333325,124.14525,62.1795833332,43.16225
190.95,36.7425,45.4711887255,29.3560833333,111.742416667,56.3920625,-21.4960833333,90.9090833332,38.8258333333,33.1438333333
191.33,27.0833333334,32.8242328431,22.035125,91.6665833333,40.0641666667,-26.843,77.2435833334,35.0960833333,29.4870833333
191.71,19.4445833333,17.7561053922,12.9628333333,71.9577500001,26.1573541667,-24.9998333333,53.0424166666,23.4126666667,23.14825
192.09,16.47925,16.9172230392,16.66675,59.9250833333,21.3015625,-8.05241666668,43.8203333333,18.8203333333,20.9736666667
192.47,7.963,14.2564534314,8.84254166668,49.4444166667,17.8009375,-12.0371666667,38.9815,15.92575,14.7224166667
192.85,0.185250000025,5.28891666666,4.86120833333,42.5925833333,13.2870833333,-18.3795416667,28.70375,12.5925,3.61125
193.23,1.96958333332,7.17020588235,7.235,39.31825,9.39391666668,-11.2499166667,29.0908333333,13.40925,7.803
193.61,-10.96075,0.002333333325,-1.91458333332,26.4265,-1.70789583334,-17.71775,16.7419166667,5.78083333333,-3.82875
193.99,-27.6728333333,-9.64205147059,-12.5392916667,16.35225,-15.8999583333,-24.1352916667,5.26733333332,-6.4465,-16.58825
194.37,-19.23075,-2.87829411764,-5.62666666667,18.5185,-8.27981250002,-14.9570416667,8.90316666666,0.712166666668,-9.9715
194.75,-19.0580833333,-3.63595098038,-4.81875000001,17.5363333334,-8.38777083332,-21.6303333333,12.1014166667,4.27524999999,-12.2466666667
195.13,-19.35275,-5.01152205882,-3.27120833332,17.2175,-9.22858333335,-22.8994583333,12.741,6.54274999999,-13.5675833333
195.51,-17.5065833333,-0.150078431372,-1.937875,18.6048333333,-4.15077083334,-18.1845,14.5995833333,9.23766666666,-10.5941666667
195.89,-12.6205833333,6.14873529413,4.28754166666,20.8334166667,1.31350000001,-6.70283333332,18.5990833333,14.9759166667,-7.00466666665
196.27,-1.56991666665,18.504879902,18.750125,30.2535833333,10.9301041667,6.76345833332,32.0048333333,29.4685,3.98566666667
196.65,2.67858333332,22.8972573529,25.297625,37.0835,13.4078333333,14.8514166667,36.012,34.1070833333,13.21425
197.03,4.2565,24.9416568627,30.3957083333,37.1703333333,15.7974375,22.1523333333,39.3885,37.7099166667,16.6065
197.40,-1.56716666665,23.4644362745,30.3419166667,34.6865,14.86825,21.9372916667,37.1795,40.8120833333,14.52975
197.78,16.06275,37.4344166667,42.7537083333,44.9878333334,28.0494375,38.9492916667,50.6641666667,53.3816666667,32.3671666667
198.16,27.042,43.7103553921,46.8817916667,49.5586666667,33.98175,44.0395,53.6976666667,57.5608333333,41.5565833333
198.54,29.9341666667,43.7693651961,47.944125,48.2455833333,34.142,44.2157916667,52.4670833333,59.1558333334,45.1205
198.92,29.8990833333,43.2858357843,47.2727083333,44.899,32.9546041667,48.4596666667,49.5959166667,55.1515,45.0505833333
199.30,31.0363333333,43.6793872549,44.6316666667,43.9101666666,32.2115625,53.1783333333,49.25225,56.08975,45.2991666667
199.68,29.62975,40.2488872549,42.6198333333,39.4881666667,26.2390208333,53.2679583333,43.4640833333,53.3769166667,42.9738333333
200.06,27.027,39.1228088236,43.80625,38.4571666667,24.6058958333,52.2522083333,42.455,52.25225,42.2295833333
200.44,18.6938333333,32.8911544118,33.3334583334,29.6171666667,17.9618125,41.047375,32.8266666667,43.1306666667,37.7255
200.82,18.792,33.3151666667,32.2146666667,28.5795,16.596625,38.9263333333,31.5996666667,44.9664166666,35.2349166667
201.19,18.9976666666,31.7443676471,30.4779583333,28.9626666666,13.3012708333,40.2972916667,29.72025,45.4544166667,38.11175
201.57,27.816,37.1349044118,37.0688333333,35.6895,20.2153958333,48.965625,35.977,49.3104166666,42.18375
201.95,28.34825,34.6574583333,37.72325,34.4494166667,13.98825,52.1206666667,35.0445,49.2559166667,42.1131666667
202.33,26.3200833333,35.2771862745,39.3152916666,33.4985,12.4999375,60.4374166667,35.7261666667,54.29025,45.1320833333
202.71,20.6989166667,35.6129705882,36.2902083333,33.7814166667,10.2597291667,68.23475,35.7526666667,53.8530833333,44.8924166667
203.09,17.248,32.1021446078,30.6200416667,26.841,3.7549375,65.0679166667,27.0348333333,51.16275,48.8370833333
203.47,13.9756666667,33.8285906863,32.1614166666,25.2605,4.03641666667,60.46,20.5729166667,45.3993333334,44.8785
203.85,7.00933333335,26.5552401961,25.4672083333,18.6916666667,3.03741666665,47.5856666667,13.5514166667,35.9034166667,36.29275
204.22,-6.64825,11.7067696078,6.64795833333,5.89875000001,-14.4194583334,37.453,0.0936666666925,28.8389166667,26.1235833333
204.60,-19.9324166667,1.25881372548,-8.61483333332,-5.40533333333,-30.2364583333,32.6579166667,-9.91008333335,25.9009166667,19.82
204.98,-17.2535833333,3.58316421567,-5.10579166665,-4.57749999999,-29.4894375,33.4507916667,-4.57750000001,23.00475,22.183
205.36,-26.1030833333,-1.47431127452,-20.2206250001,-21.0784166667,-40.1654583333,23.8359166667,-11.5195833334,9.80391666668,8.08808333333
205.74,-26.7440833334,1.92654166668,-15.4555000001,-21.6084166667,-35.4891041667,24.1277083333,-9.10850000001,7.17058333333,5.32958333332
206.12,-35.7954166666,-4.57601470588,-22.2065000001,-28.4089166667,-39.9620416667,12.689375,-17.89775,4.5455,-0.568166666675
206.50,-42.3075833334,-12.4811642157,-22.9702083334,-38.1410833333,-45.4594166667,7.5855,-21.3675,4.38041666667,-4.27341666665
206.87,-54.9018333333,-25.7604264706,-30.0245416666,-53.06375,-59.5588541667,-1.83808333325,-34.31375,-2.69591666667,-17.6470833333
207.25,-73.3050833334,-33.2875759804,-38.63,-61.4406666667,-77.4718333334,-5.79079166675,-43.7854166667,-11.7232499999,-29.3785
207.63,-83.9869999999,-45.6074534314,-52.6961250001,-72.0588333333,-87.0504791666,-6.12741666675,-47.71225,-15.1961666667,-33.3331666667
208.01,-118.88875,-64.4280441176,-82.2221666666,-116.111083333,-129.7915625,13.61125,-66.66675,-10.8332499999,-45.2775
208.39,-88.8095833334,-28.8165735293,-45.4762083334,-90.4762499999,-94.4642708333,32.380875,-55.7142499999,9.04775000001,-10.9525
208.77,-63.4615833333,-22.8569632353,-18.9101666666,-75.8545833334,-72.5961874999,61.96575,-47.8633333333,22.6495833333,1.282
209.14,-90.2776666667,-37.9738161763,-34.305625,-123.33325,-110.972125,83.6110416667,-104.722166667,13.3332499999,4.4445833335
209.52,-78.0554166668,-24.2647524512,-16.1112500002,-98.6109166666,-100.34725,90.2779166667,-100.5555,32.4999999999,33.3335833332
209.90,-109.420166666,-74.8720220587,-50.36225,-152.173916667,-144.112395833,85.1448333333,-172.46375,17.7535833333,37.6813333332
210.28,-90.2778333333,-62.5164019608,-31.6665833333,-116.388833334,-110.1388125,79.722,-135.000083333,3.61108333342,36.1112499999
