wavelength,Back_EucPenm,Belly_EucPenm,Breast_EucPenm,Crissum_EucPenm,Crown_EucPenm,DorTail_EucPenm,Rump_EucPenm,Throat_EucPenm,WingTip_EucPenm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,130.0,126.111133333,137.5,104.1666,120.555466667,137.2222,117.888933333,144.166666667,109.444466667
179.16,108.632533333,101.624066667,114.700933333,52.3931333334,128.547,121.1966,128.49558,110.854666667,129.102533333
179.54,35.1111333333,50.6667333333,39.1111333333,-4.44433333334,48.0000666666,48.4444,46.8889133333,67.5555333333,39.3334
179.93,46.0606,40.0000666667,24.2425333333,28.4847999999,40.0000666667,36.9697333333,38.7878666666,45.4545333332,36.0605666667
180.31,51.0393333334,47.9266666666,71.5444,28.6044,45.0558000001,78.5912000001,44.0239333333,83.7348666667,44.0696666667
180.69,61.9083333334,59.4840666667,83.2601999999,33.6872,49.4854000001,86.7483333333,45.7210533334,98.8922666667,44.5716
181.07,36.9320666666,41.5453333332,59.7798666667,14.2961333333,26.7378666667,64.4336666666,24.4527333333,80.3803333333,21.0970666667
181.45,19.0138,30.7650666666,42.4509999999,10.7833333334,14.5506000001,43.5833333334,6.04007333326,64.0909333333,9.0586
181.83,-20.5986000001,2.48686666674,7.02960000007,-12.8079333333,-42.5653333334,14.9044666667,-41.8354733336,36.1615333334,-26.3809333333
182.21,-1.281,24.7582,19.4692666667,9.14239999999,-25.3334,14.9908666667,-27.2308666667,48.2744,-6.72676666674
182.59,27.1896666667,46.7973999999,32.4837333333,19.6731333333,3.92153333334,24.9018666666,-1.54895333352,49.9346666667,9.15029999998
182.97,40.9894,65.9454666668,43.3533333333,32.8910666667,29.963,31.8352,17.7968466665,61.8153333335,19.3359666667
183.35,55.1333333333,83.5333333335,64.5332,52.1108,63.805,46.1646666667,41.1798866667,73.9900666667,36.1102
183.73,60.8344666666,91.9600666667,69.6156666667,64.8254,72.7534666668,46.0619999999,48.1682533334,71.8799333333,47.5730666667
184.11,56.6885333333,86.5933333332,64.6505333333,67.5420666667,63.3604,46.8208,43.6434466667,61.2501999999,44.824
184.49,63.4789333333,100.876533333,70.6691333333,81.5727333333,76.3234,56.2222,42.7951066667,61.3258666667,52.4396
184.87,47.9295333333,83.9203333333,57.669,68.6506,69.9708666667,48.3509333333,42.90626,51.1372666667,47.4080666667
185.25,52.0048,88.2622000001,65.1592666667,76.1121333333,74.3247333334,51.8136,45.9702333333,52.2257333333,59.6676666667
185.63,58.8872,96.8049333333,71.3501333333,89.1892,79.1516666667,55.2142666667,49.6944933333,54.7397333333,69.2660666667
186.01,52.1488666667,83.0738666667,69.8194666667,80.3213333334,73.7947333334,51.3164,46.2728533333,51.1477333333,63.6068
186.39,45.3408666667,77.5417999999,64.6961333333,75.3061999999,70.4542666667,49.8198666667,46.3253933333,45.3758666667,61.3687
186.77,39.5044666666,86.5984000001,70.3713333334,92.9094666665,75.1872,34.7037333333,42.0046733333,34.6820666667,64.7834
187.15,32.3026,92.3640000001,70.8991333333,98.4846,70.2578,20.1063999999,43.5658066667,14.9102666667,68.6050666667
187.53,16.2448,83.6841333333,59.2206,94.2914000001,55.8434,-3.0161333334,32.5424666667,-13.5694666668,67.6670666667
187.91,-28.2280666667,83.4428000001,16.7592666666,102.866133333,35.0842000001,-79.6382000001,-13.2618066667,-132.895666667,62.1631333333
188.29,82.2752,48.9134666668,72.723,-0.92773333328,52.1340000001,171.848333333,93.3528599999,204.515066667,32.0847
188.67,87.1901333333,40.7274000001,96.1869999999,10.9272666667,56.8986,191.730533333,97.7199133333,237.070466667,18.4851
189.05,48.7728666667,63.5664666667,70.5285333333,37.0382,64.5583333334,102.365933333,71.8108533333,114.178066667,41.2671333333
189.43,42.0080666667,63.0246666666,63.8199333333,32.8668,54.1666000001,93.9360666667,63.0476,103.5166,38.6401333333
189.81,38.9874666667,63.4152,66.7461333333,32.8042666667,51.9239333334,96.2217999999,57.37192,98.4800000001,41.4189333333
190.19,29.8327333333,52.2043333333,61.1584666666,29.1213333333,41.7413333333,81.7869333333,48.7926466667,82.4184,36.3727
190.57,28.0197333333,49.4899333333,61.8393333333,28.7991333333,40.585,78.9942666667,49.24644,78.9977333334,37.4994333333
190.95,27.8129333333,52.3594666667,64.2576666667,29.067,42.0426666667,78.4830666667,48.9919866667,77.3798666666,39.6639
191.33,27.784,53.9822,70.3907999999,31.5686666667,44.0769999999,82.7321999999,55.34018,83.2498666666,41.0919333333
191.71,25.3801333333,52.4738,72.6170666666,33.6426000001,48.1659333333,84.3206,55.87516,80.8880000001,41.8716666667
192.09,25.9083333333,48.3835999999,72.9004666667,30.0760666666,44.1200666667,87.3880666668,54.1887066667,81.1881333333,40.5770333333
192.47,29.0402666667,44.6393333333,79.9810000001,31.9877333333,40.4830666666,98.4124,55.78864,89.0448,40.9164
192.85,29.4568666667,48.5729999999,78.0108666667,33.2928666667,43.7576000001,100.609,52.76052,85.5381333335,42.2135
193.23,25.5542,39.4926,71.1226666665,30.0004,38.0162666666,96.9163333333,42.3767866666,79.4557999998,36.0925666667
193.61,31.3422,39.3066,73.5643999999,39.1820666667,43.9468,93.5644000001,48.3821733333,77.7776666668,44.4355333333
193.99,37.4188666667,47.2653333333,76.0508000001,49.5215333334,52.6665999999,91.0441333333,54.9519333333,80.9910000001,47.3794333333
194.37,42.399,53.1526,76.1434000001,52.0702666667,56.4022000001,95.3697999999,57.1790066667,81.4521333335,48.1915333333
194.75,44.1122666667,54.752,75.5074666666,54.4835333333,57.8226000001,97.1391333333,58.9128666667,82.2777999999,47.7593333333
195.13,46.0827333333,52.4613333333,75.7423999999,53.9262,56.2678,93.6623333335,59.4853333333,80.4678666667,47.1362
195.51,44.8428,54.9891333333,74.6751999999,51.7216666667,57.6876666667,91.7319333333,57.05164,78.27,44.8097
195.89,43.9854666666,54.7974666667,74.6170666666,52.5518,56.6874,89.1075333333,57.0538066667,75.3474666667,44.7357333333
196.27,41.9413333333,50.0931333333,70.9717333334,52.4838666667,51.8428666667,81.6823333333,51.5364666667,67.6896666667,42.5347
196.65,41.2230666667,48.35,70.0012,54.2235333333,53.7634666667,76.9719333333,50.64706,63.4995333333,44.2756666667
197.03,37.597,43.5396666667,67.5441333333,54.0607333334,53.0639333334,73.4090666667,48.1297733333,58.543,41.8979333333
197.40,39.6948666667,47.064,71.5110666667,56.3975333334,52.649,78.2470666666,54.77444,60.9372666667,46.0222666667
197.78,35.3049333333,45.4466666667,71.024,56.3834666667,51.3398666667,78.3987333333,52.9455333333,56.5578666666,41.2147333333
198.16,21.8805333333,34.8701333333,68.4680666667,56.8982,49.8939333334,79.2690666667,47.4745066667,48.2687333333,37.3954666667
198.54,16.8158,36.5486666667,78.2471333334,73.4436666666,61.2105999999,92.704,49.9208199999,56.9525333334,50.1925666666
198.92,-50.5764,-17.1661333333,85.5782666667,78.3908666667,65.5997333333,111.417,26.8552133333,20.0555333333,49.3426666667
199.30,106.622,124.785,73.1306000001,30.0648666668,30.2838666667,17.5872,55.9116933333,97.1736000001,42.7919333334
199.68,81.5347333334,109.864066667,72.8792666667,30.2062666666,19.4084666666,9.18613333332,53.7170000001,86.5034666666,47.5348666667
