wavelength,Back_CyaLucm,Belly_CyaLucm,Breast_CyaLucm,Crissum_CyaLucm,Crown_CyaLucm,DorTail_CyaLucm,Patch10_CyaLucm,Patch11_CyaLucm,Rump_CyaLucm,Throat_CyaLucm,WingTip_CyaLucm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-114.8148,-51.1111666667,-62.2221999999,-81.4815333333,-59.2593333333,-47.4075666666,-58.5185333333,-72.5926,-70.3703333333,-68.1480666667,-41.8517
179.16,-255.555533333,-185.555666667,-193.333333333,-233.333266667,-219.999933333,-232.222133333,-153.333266667,-240.0,-173.333333333,-133.3334,-56.6666666666
179.54,-59.9999333334,-35.7143,-43.8096,-81.9048,-31.4285333333,-42.8572,-11.4286,-54.2856666667,-26.6666000001,35.2380666667,4.76196666666
179.93,181.9048,158.571433333,158.095266667,188.571533333,137.142733333,136.666633333,165.714266667,170.476066667,163.809533333,103.8096,120.476166667
180.31,1343.80953333,1035.71426667,863.809466666,1232.38086667,812.380866667,823.333400001,863.809533332,1026.66666667,926.666599999,639.999933333,606.666766667
180.69,1635.55553333,1257.22213333,1061.11106667,1505.55566667,971.1112,1024.4445,1071.1112,1273.33326667,1094.44446667,772.222199999,751.111199999
181.07,487.0176,364.210533333,312.631533333,454.736866667,287.017466667,309.122733333,315.789533334,370.1754,330.175466667,217.894733333,225.9651
181.45,301.9354,225.4838,196.774266667,279.785,183.440866667,188.494633333,207.311866667,223.656,216.7742,136.129066667,157.5268
181.83,180.113,138.700566667,117.062133333,158.982933333,112.542266667,115.2543,134.4632,137.514133333,130.2824,93.3332666667,98.7006666667
182.21,165.7628,129.209033333,99.9999333334,139.661,101.355933333,102.599033333,116.045266666,121.016933333,111.751466667,79.9999999999,81.5254666667
182.59,139.005,113.830866667,85.2735333333,117.810933333,87.1641333333,90.7463333333,98.8059999999,106.1692,94.1294666667,67.3632,71.1442
182.97,124.4762,109.190533333,80.2856666667,113.8096,86.9522666666,90.3333666668,100.0,98.0952666668,95.0476,64.0951333333,74.5237666667
183.35,123.4376,105.781133333,78.3332000001,109.791733333,83.7500666667,86.0416666667,98.9584666667,92.9166,92.9167333334,60.0000666667,69.2186333333
183.73,143.580133333,103.2716,85.8027333332,116.5432,91.1112666667,89.6914333333,100.247,100.9876,93.3333999999,57.7777333334,68.5185333334
184.11,139.855133333,86.1596333334,78.5507333332,100.289666667,79.4200666666,86.5217999999,83.7681333333,96.0870000001,79.5651333333,38.2608,55.2897666667
184.49,119.861133333,67.7778333333,69.7222000001,80.8334000001,71.9445333334,78.8195333333,65.1389333333,82.0832666665,64.8610666667,30.6944666666,44.0972666667
184.87,115.4074,56.2222333333,62.6666666667,70.5185333334,70.6665999999,71.7778333332,57.6296000001,71.8518,61.7777333334,25.1854,30.0741
185.25,107.555533333,62.4444333334,63.2591333333,67.5555333333,61.4814666667,68.9630333335,63.2592,70.3703333333,57.7778,9.77779999995,28.2963666667
185.63,91.2057333334,44.9644333333,47.3758666667,52.3404,37.8723333333,61.3475333333,53.9006,61.7019333333,36.0282666667,-4.11353333334,18.2269
186.01,115.913933333,51.8279333334,66.0215333334,66.2367333333,48.3870666667,76.6665333334,63.4408,73.5483333333,39.3548000001,-23.6559333334,21.7204666667
186.39,87.6921999999,30.5983000001,61.5383333334,54.7008000001,32.8205333333,63.6751666666,59.1452666667,60.8547999999,37.7778000001,-9.91453333326,29.1454000001
186.77,97.8432,20.2941333333,67.0588,62.9411333333,37.2548666667,75.2940333333,71.5686666667,60.7842666667,44.3137333333,-16.2744,25.9802999999
187.15,93.3332666667,-1.22796666666,69.1229333334,54.7368000001,31.7543333333,61.579,56.4912666667,54.3860666667,33.5088000001,-9.12286666666,20.9648666667
187.53,74.9594,-15.0406,54.309,42.1138,27.317,53.3333666667,36.5853999999,39.1869333333,20.6503999999,-16.2601333333,10.5691666667
187.91,59.2592,2.34559999999,46.2963333333,34.6911999999,26.6666666667,55.2468999999,31.4815999999,32.3457333333,23.5801333334,-9.5062,14.1357333333
188.29,53.143,17.6667,48.3809333333,40.4761333333,30.6667333333,48.2379666667,36.9524,29.7143333333,30.6667333333,4.95233333333,23.9998
188.67,50.3124666667,16.8227,47.3956666667,38.6456666667,27.2916,45.7808666667,38.8539333333,25.4164666667,28.9582000001,-2.60440000001,23.8019333333
189.05,45.3154,19.3693666667,40.4504666667,37.3874666667,20.7206,43.6036,37.0270666667,19.6398,27.2974666667,-1.62166666666,23.8290333333
189.43,46.1666666667,21.875,39.25,38.0833333333,22.0833333333,45.0833333333,34.0833333333,19.0,26.75,7.25000000001,27.4583333333
189.81,43.4342666667,18.2828666667,37.7778,33.6364,17.3737333333,36.7171666667,25.5555333333,9.59593333333,24.2424666667,4.54546666665,19.0405
190.19,34.1798666667,6.56093333334,29.8412666667,26.9842,5.07940000001,33.5449,13.9682666667,2.22213333332,13.5450666667,-6.24346666668,13.5979666667
190.57,41.0884666667,4.48966666668,30.204,28.9794666667,3.6734,37.3469333333,11.2924666667,-0.27213333334,9.93200000002,-15.7822666667,13.6733333333
190.95,27.2727333333,-0.984800000006,13.9394,16.0605333333,-8.7878,18.4848666667,1.81806666672,-6.8182,-6.21206666667,-29.697,9.39376666666
191.33,-6.26266666667,-24.4445333333,-28.2827333333,-18.7878666667,-42.8284,-10.8081666667,-16.5656666667,-40.6060666666,-39.1921333333,-76.7677999999,-15.9596666666
191.71,2.4074,-2.77786666673,-9.44439999993,-4.8148,-27.0370666667,0.555599999932,8.14820000012,-21.4816666667,-15.0,-59.6296666666,14.2592666667
192.09,-103.703733333,-97.4075333334,-97.0370000001,-90.0000666667,-140.3704,-100.740666667,-35.1852666668,-125.555666667,-97.7777333333,-183.333133333,-29.2593
192.47,-400.000066667,-377.619133333,-392.380866667,-352.381066667,-468.571266667,-357.618966667,-141.904733333,-393.333200001,-337.142866667,-558.095133334,-181.9046
192.85,-241.818133333,-259.0908,-252.121266667,-193.333333333,-293.939466667,-228.787866667,-57.5757333334,-221.8182,-213.333333333,-324.242333333,-99.0909333335
193.23,-147.666666667,-159.833333333,-135.0,-117.333333333,-155.666666667,-132.166666667,-39.6666666666,-105.666666667,-121.333333333,-184.0,-39.5
193.61,-123.5898,-117.435933333,-96.6667333334,-87.4358666667,-101.025533333,-98.4614333334,-24.1026666666,-68.4614666666,-83.5896666665,-127.4358,-27.3076666667
193.99,-107.333266667,-99.9999333332,-78.4443333333,-73.1111333333,-80.0000666667,-80.6666999999,-18.4443333332,-62.889,-68.2221333335,-122.2222,-19.9999333333
194.37,-70.8333333333,-70.25,-49.5000000001,-39.5,-40.8333333333,-54.2499999999,-0.16666666666,-33.3333333335,-26.0,-61.8333333334,2.66666666667
194.75,-95.0476000002,-91.8096000001,-70.4761333333,-58.8571333334,-55.4286000001,-69.9049000001,-13.3332666667,-58.0952666666,-32.0000666667,-78.6667333333,-11.5238333333
195.13,-86.8375999999,-80.1709,-62.2222666666,-56.9231333334,-51.6240666667,-62.3076333334,-14.8718,-51.1111333335,-25.4701333333,-63.5898,-6.7521
