wavelength,Back_CerOlim,Belly_CerOlim,Breast_CerOlim,Crissum_CerOlim,Crown_CerOlim,DorTail_CerOlim,Rump_CerOlim,Throat_CerOlim,WingTip_CerOlim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,85.5555333332,102.2222,114.4444,84.4444666666,25.5556666667,71.1112,62.2221333334,76.6666666667,63.3333333334
179.16,-53.3333333331,-246.666666667,-26.6666666667,-206.666666667,-213.333333333,-46.6666666659,-333.333333333,-200.0,-213.333333333
179.54,326.666666667,233.333333333,20.0,126.666666667,73.3333333332,313.333333334,153.333333333,366.666666667,300.0
179.93,220.0,245.0,156.666666667,178.333333333,221.666666667,226.666666667,243.333333333,248.333333333,206.666666667
180.31,-32.8,-55.7333333333,10.9333333333,1.86666666666,-55.4666666667,-29.6,-36.7999999999,-61.8666666666,-26.4000000001
180.69,-5.05753333325,-31.2642666667,30.5746,9.88513333334,-34.2528666667,-1.839,-2.06899999995,-36.3218666666,-0.919600000014
181.07,-26.6666,-58.4614666667,6.15386666666,-16.1538,-62.8204,-21.0255333333,-19.7436,-69.9999333333,-15.1284000001
181.45,-6.66660000001,-25.5857333333,21.2612666667,-3.78386666665,-33.8738,-4.68453333334,-0.1801333334,-43.964,4.68473333336
181.83,9.40153333334,-10.5982666667,36.4102666667,0.51273333334,-23.4188,8.88900000001,6.32479999992,-26.1538666667,14.7008666667
182.21,42.6923333333,29.8719333333,63.3332,31.2819333334,14.1024666667,44.4871333333,34.4872,19.7435333333,40.8974666667
182.59,42.5989333333,35.8192,65.5367333333,33.8984,24.7457333333,52.5423333333,40.791,25.5366,45.4237333333
182.97,50.5626666666,42.5108,67.0130666667,45.1948666667,36.6234666667,59.4805333333,51.2554,41.8182,53.9394
183.35,48.1124,39.5982666667,63.7752,41.6868,35.261,54.7790666667,49.8794666666,43.8555333333,54.6988
183.73,57.8402666667,52.0187333333,75.0235333333,46.9484,40.5633333333,69.8591333333,57.8402666667,55.8685333333,66.2911333333
184.11,68.8571333333,61.1428666667,83.4285333334,53.2381333333,46.9523333333,84.2857999999,64.3808666666,63.9048666667,78.2857333333
184.49,77.1874666667,68.6457333333,91.4582000001,56.3542,49.3749333333,89.0624000001,68.1249333333,67.9166000001,83.1249333333
